DOY2,HR2,FC,H,LE,TAU,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
2,1.75,2.191836,-54.580645,-2.80905825,-0.778558475,0.1576408,-10.612375,97.4712825,53.1702925,0,1.5132555,0.362517052209807,0.411407626799288,0.274186726595117
2,2.25,-2.84807435,-60.75745,-5.791181,-0.695145225,0.140393,-10.5292,97.44507,54.90033,0,1.619091,0.411004743549455,0.383752836106569,0.266883359016152
2,2.75,-5.0794675,-50.2132375,-9.574799,-0.8140364,0.1110859,-10.90965,97.424595,43.55166,0,1.5403619,0.391736629976855,0.344994580318099,0.213701603715805
2,3.25,-8.3578945,-49.377605,-13.275015,-0.4884295,0.1531229,-10.8931,97.41431,54.67188,0,1.87059,0.400152145375997,0.358224950056042,0.225922984507206
2,3.75,-14.03456,-47.652395,-9.74063125,-0.74925695,0.1462625,-10.8605,97.38511,58.458395,0,1.678289,0.408410089220523,0.313712356784625,0.269291920500812
2,4.25,-5.73532,-41.5948,-11.9543485,-0.72715085,0.1715292,-11.2719,97.39735,59.46327,0,1.792556,0.346195028122712,0.298423625342637,0.223053421327995
2,4.75,-0.121393325,-55.815525,-14.31536275,-0.56898025,0.1377348,-11.8234,97.40101,60.441045,0,1.1417108,0.362115577723946,0.300251579273634,0.169618519249688
2,5.25,0.54932715,-50.6168875,-9.22889,-0.53420485,0.131212375,-12.2403,97.42379,61.2146325,0,1.33003475,0.422720494579672,0.36892020156852,0.237163704870865
2,5.75,4.33786875,-38.69614,-6.1827285,-0.58220125,0.1691392,-12.5903,97.44943,52.075525,0,1.810918,0.393271092488104,0.348268066652625,0.239527246783314
2,6.25,-0.757795,-65.3150075,-3.624585,-0.620585125,0.1038704,-12.7881,97.47924,52.8404375,0,1.0768154,0.392305951028194,0.305100366223739,0.230669806919944
2,6.75,4.01847375,-45.32874,-3.1756647,-0.58660125,0.13130865,-13.0531,97.5218825,63.01088,0,1.3317729,0.400009096540484,0.281892765970739,0.207800922012946
2,7.25,3.29397425,-40.9952,0.5225388,-0.5255733,0.155757,-13.6402,97.557645,62.972045,0,1.552829525,0.368527307273818,0.405070180225388,0.258665196869441
2,7.75,6.70916,-28.4876075,2.353888,-0.564153625,0.17307545,-13.99835,97.61705,54.07481,0,1.23675115,0.277214365182348,0.33835227633349,0.281323305825333
2,8.25,5.758828,-32.63288,2.4032885,-0.7048325,0.1216524,-14.0278,97.65153,60.30089,0,0.97320495,0.436061843216383,0.341879421140077,0.219840139191203
2,8.75,4.88506,-18.04131,1.92768425,-0.65046545,0.1416546,-13.8621,97.6571375,57.9638725,0,0.3865747,0.436366727759139,0.354688399227922,0.251045390229056
2,9.25,3.654734,-10.6542875,1.5185505,-0.753302,0.16230515,-13.4186,97.6644375,56.812515,0,1.5243071,0.525470813526515,0.364121885476215,0.318454786224416
2,9.75,6.4651475,-0.366990000000003,3.690191,-0.9302701,0.224080275,-12.7791,97.647585,53.3988125,0,1.44455675,0.461147955585477,0.508865573603386,0.328386191809681
2,10.25,6.426575,16.0064,4.096823,-0.781315325,0.177019575,-12.06405,97.650645,48.9947475,0,1.222488,0.499306473361461,0.528414264992309,0.387346131073327
2,10.75,1.580936875,7.13520625,-6.052651,-0.77899705,0.22391205,-11.52645,97.6736075,46.23805,0,0.98327805,0.578895246184029,0.643184533017408,0.399785469510107
2,11.25,9.4489125,29.92516,6.514581,-0.70785375,0.1723678,-10.63345,97.67829,43.1545175,0,1.356415,0.673324031175221,0.541693406930351,0.385153417441666
2,11.75,7.9838805,33.3158725,15.70854,-0.801647975,0.243799875,-9.8543,97.637725,41.90713,0,1.0129959,0.600588759607051,0.562439725030065,0.357981239161442
2,12.25,12.33821,38.5297,7.5696485,-0.6232184,0.2026364,-8.75094999999995,97.5845675,37.061525,0,1.10965,0.68177953580026,0.654527550631043,0.405247436105078
2,12.75,7.62973,28.4146,6.36781,-0.57492785,0.1815912,-8.11499999999997,97.5806125,37.5346625,0,1.228486,0.720187956696442,0.629557673261209,0.480668904743799
