DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1,TA_1_2_1,RH_1_2_1,RH_1_3_1,USTAR_1_1_1,WS_1_1_1,H_1_1_1,LE_1_1_1,PA_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,H2O_1_2_1,USTAR_1_2_1,WS_1_2_1,LE_1_2_1,FC_1_2_1,CO2_1_10_1,CO2_1_9_1,CO2_1_8_1,CO2_1_7_1,CO2_1_6_1,CO2_1_5_1,CO2_1_4_1,CO2_1_3_1,CO2_1_2_1
11,2.25,0.66075,5.825725,4.79235,-6.4821,2.83865,89.08475,99.305875,414.77,7.9227,1.64765,1.823525,-9.57545,-0.219425,1.3218,317.3075,339.67625,1.709175,0.334075,1.8704,7.492475,7.3916665,7.883,8.267,9.0167,9.550025,10.733335,11.2,7.92035,92.766666665,7.81275850025,96.2175258325,94.6750000025,0.623121945,4.387440281,-7.50987640525,1.97298095175,99.2172158325,424.6838244,8.94405459175,0.253679503,0.102548807,9.62136655925,0.6370839495,3.355107402,0.49416067125,0.4867010515,342.24669445,342.2737083,342.2649583,342.268625,342.314333325,342.584187475,343.032916675,343.0422778,423.761329375
11,2.75,0.649875,5.7149,4.793825,-5.8738,3.355,89.791,99.31775,414.48,7.9211,1.6396,1.8162,-9.547325,-0.19187,1.3585,317.12,338.73,1.689625,0.311565,1.7772,7.48,7.3374,7.845833375,8.21666675,9.021000125,9.508325,10.7166675,11.183,7.9731666665,92.816666665,7.81198816675,95.9040908325,94.375,0.6595791085,4.25497159175,-11.1717366,1.69648336975,99.3683475,423.471044125,9.15665186025,0.1701405965,0.1836872505,9.8103154615,0.679202145,3.578646071,0.912488358,0.283881155,342.2719583,342.2883333,342.2707292,342.29610415,342.3276042,342.51080555,343.51405555,343.371687525,423.9597454
11,3.25,0.65509,5.596175,4.825,-5.37645,2.643875,89.862,99.300375,414.6,7.93515,1.672375,1.818,-9.5022,-0.15429,1.3353,316.88,338.205,1.73385,0.355,1.999675,7.44900000025,7.36275,7.8236,8.2562499375,9.033225,9.58335,10.75,11.19575,8.0358333335,92.8085833325,7.8980800835,95.06394167,94.8249999975,0.631839958,4.54468074725,-6.169197577,1.206799063,99.3499150025,423.79950285,9.28139649625,0.25998094625,0.173209854,9.7939257795,0.71872892,3.465128747,0.2135233,0.478863836,342.323750025,342.3469583,342.321395825,342.3653611,342.3920278,342.543562525,343.812958325,344.39229165,423.40299515
11,3.75,0.64468,5.563,4.760125,-5.9077,2.991425,90.643,99.31375,415,7.917,1.637,1.81975,-9.46765,-0.175065,1.3738,316.74,337.59,1.6852,0.32751,1.7868,7.40691666675,7.26225,7.768625,8.221,9.00625,9.5,10.70825,11.15825,7.8316666665,93.08325,7.9037813335,96.1312699975,94.70833333,0.62169129,4.30810771,-9.013115519,1.044869653,99.34913,423.73570995,9.32453259225,0.208518946,0.16965975975,9.71409256575,0.674658293,3.577499169,1.962719439,0.33466338,342.3453542,342.346999975,342.36397225,342.38529165,342.4203125,342.55010415,343.323812525,343.7923958,423.408825075
11,4.25,0.6467,5.3683,4.873825,-4.92365,2.0565,90.8155,99.3135,414.82,7.992275,1.65425,1.817375,-9.67855,-0.17152,1.2999,316.8135333,337.89875,1.6399,0.31895,1.768575,7.391,7.2415,7.80015,8.216833375,9.00415,9.5,10.7,11.175,7.918,91.9582499975,7.35215124975,96.5680899975,94.333333335,0.602774148,4.242915853,-8.937128226,0.875888026,99.2867941675,423.7588919,9.9687311485,0.146038088,0.191313551,10.21885977975,0.643594377,3.487538354,0.879799755,0.417129952,342.3681389,342.373562475,342.38222915,342.386562525,342.404958325,342.542875,342.983791675,343.24463885,423.46751315
11,4.75,0.65766,5.3771,4.796225,-5.327225,2.8152,90.947,99.3215,415.1025,7.875575,1.643625,1.821225,-9.36765,-0.164415,1.2774,317.4796333,337.19,1.7874,0.321705,1.9809,7.376775,7.194,7.70625,8.2041665,9.00425,9.5,10.733,11.15425,7.7161833335,91.5085833325,7.436406583,96.4799341675,94.69166667,0.656193477,4.10120726275,-10.34102745,1.95975518125,99.3599408325,423.771531425,9.84993138575,0.16004202,0.20692962975,10.51206724875,0.629034952,3.37664369,2.422122447,0.317673124,342.365999975,342.37947915,342.4223333,342.42877085,342.454458325,342.563111075,342.9898889,343.31075,423.112399025
11,5.25,0.6466,5.30585,4.725775,-4.30995,2.7602,90.75675,99.34,414.885,7.857925,1.621125,1.8145,-9.56435,-0.17517,1.269,318.3582667,336.52,1.67985,0.4079925,1.990925,7.359775,7.17925,7.70625,8.18325,9.0354168125,9.5,10.7,11.167,7.6035,91.1250000025,7.526387583,96.4901375025,93.933333335,0.64714426425,4.47313958175,-5.1731587445,0.59483486225,99.432785835,424.41835965,9.98988701525,0.25515686925,0.1160994665,10.63309896625,0.630215424,3.373412378,1.717556022,0.52987214,342.35529165,342.3605208,342.345687475,342.38283335,342.470416675,342.614354175,343.279291675,343.39964585,423.0308922
11,5.75,0.64834,5.31535,4.760425,-4.9548,2.48945,90.819,99.3835,415.41,7.866825,1.6349,1.815,-9.0813,-0.19199,1.3109,317.1,336.64,1.7662,0.380015,1.97035,7.314525,7.133225,7.6646,8.148,8.9916668125,9.5,10.7,11.14575,7.5063333335,91.7749999975,7.73272824975,95.540448335,93.64166667,0.6087662565,4.50726581325,-8.4213757885,0.6822835745,99.3905800025,425.15962475,9.7754782655,0.19324841875,0.13610309675,10.389861101,0.623827278,3.3315573065,1.06830585,0.4057362305,342.3491042,342.359888875,342.3788889,342.384666675,342.472375,342.6693125,343.322312525,343.61414585,424.1507459
11,6.25,0.64759,5.1787,4.8623,-5.2172,2.4189,91.23225,99.367,415.545,7.83775,1.65575,1.81565,-8.66585,-0.152955,1.2839,316.5475,336.355,1.6808,0.33982,1.867175,7.27475,7.142,7.62915,8.158,9,9.5,10.7,11.175,7.7353166665,92.17525,7.93048849975,95.43684,93.858333335,0.6051313345,4.47913944125,-7.43241569925,0.681072881,99.3194758325,424.999309125,9.60079549525,0.08181767,0.11235318625,10.2615835835,0.56378690275,3.42724247275,1.570598287,0.58605164725,342.41797225,342.33775,342.3476875,342.38839585,342.44227085,342.6261458,343.283833325,343.392361125,424.4940364
11,6.75,0.6303,5.230275,4.865,-5.683775,3.4521,91.26275,99.388,415.8875,7.840175,1.6334,1.798525,-8.30815,-0.15508,1.2478,317.98,336.215,1.7875,0.33598,2.069375,7.22,7.142,7.65,8.125,9.0083335,9.55000025,10.7,11.167,7.8753333335,92.8832500025,8.0361561665,95.49476667,94.0833333325,0.6003871955,4.285083292,-5.220903535,1.43466613225,99.3943025025,424.82962795,9.335357981,0.1274949075,0.16088599375,10.06440537,0.5596744705,3.14032284175,0.7457583725,0.53364846775,342.32964585,342.315083325,342.359250025,342.4120417,342.48189585,342.5452222,343.106750025,343.4379375,424.41720895
