DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,USTAR_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,VPD_1_1_1,WS_1_2_1,PPFD_IN_1_1_2,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_DIF_1_1_1,NETRAD_1_1_1,PPFD_BC_IN_1_1_1,TS_1_1_1,TS_1_2_1,PA_1_1_1
3,0.75,1.046530372,-6.35962852525,3.05829272125,0.58050821875,412.52480555,2.07758090925,1.2019,0.926265,82.9637444275,2.34568240575,2.285625,2.464475,1.337825,0.5946675,4.5357,1.33205,0.3795975,-10.0017875,1.7044125,1.07485,1.34205,96.5
3,1.25,0.98019748125,-6.8451979395,3.49038627725,0.621060385,412.780525,2.303998,1.1924,0.8904075,82.5817386075,2.271576287,2.4552,2.45715,1.3393,0.609495,4.55965,1.3337,0.383515,-10.3883125,1.7046125,1.070925,1.33955,96.55
3,1.75,1.056573282,-8.133192208,3.209227957,0.6149832325,412.64575,2.32153,1.01835,0.76512,84.145628585,2.24762057325,2.52875,2.4546,1.338125,0.5146425,4.5635,1.3352,0.3853475,-10.0167475,1.7049625,1.069225,1.334575,96.5
3,2.25,1.0115419535,-7.204597388,3.642619556,0.62354785,412.5514769,2.24609575,0.83496,0.591885,83.9656477375,2.218971936,2.4149,2.46035,1.304625,0.565295,4.4611,1.33625,0.388305,-10.0274,1.7066875,1.06715,1.3313,96.5
3,2.75,1.021721156,-7.48682295475,3.7114391065,0.6255182645,412.66625,2.193667357,0.81285,0.5832425,86.0508298025,2.11828199425,2.141925,2.4563,1.3456,0.4808225,4.63585,1.3367,0.389705,-9.095225,1.70925,1.061875,1.3288,96.5
3,3.25,1.080050765,-7.28281744,2.687925951,0.58743292075,412.5042,2.142915,0.768085,0.4340275,85.5326827675,2.067275281,2.25645,2.46465,1.29865,0.58476,4.76875,1.33915,0.3963975,-9.118065,1.7052625,1.06285,1.327325,96.5
3,3.75,0.92264798325,-5.36003101625,2.23783325325,0.5622363675,412.570094475,2.09222625,0.5686525,0.392905,86.20378029,2.06593261675,2.2115,2.4651,1.324825,0.62007,4.67665,1.3393,0.38905,-8.3633325,1.7075,1.062025,1.325375,96.5
3,4.25,1.0095058145,-7.024111971,2.798440719,0.594497005,412.6251583,2.181026,0.49226,0.263485,86.431814835,1.98932667825,2.131225,2.451775,1.39015,0.5693825,4.5684,1.339775,0.38994,-9.597985,1.70945,1.059975,1.318575,96.5
3,4.75,1.0090064175,-7.192947161,1.519139201,0.610918994,412.6537654,2.0997558065,0.29957,0.0055775,87.711853315,1.969183432,2.237275,2.466025,1.33405,0.520985,4.42995,1.338675,0.38258,-8.14883,1.7119875,1.06245,1.3143,96.6
3,5.25,1.091174681,-6.12998893,2.5582223825,0.54140027475,413.2176,2.090165,0.16436,-0.030845,87.25,1.94305296,2.441025,2.565175,1.435025,0.822675,4.3912,1.358375,0.39617,-8.17242,1.89035,1.0642,1.315,96.6
3,5.75,1.004851299,-6.917077274,3.107772619,0.5428905415,413.10541245,2.0579444355,0.07534,-0.174495,87.66399009,1.93759690475,2.132325,9.787675,2.2603,4.598475,5.2256,7.833375,4.812475,-7.680135,4.7858125,1.063725,1.315325,96.6
3,6.25,0.945132878,-4.63503904375,3.888763603,0.58259715,412.743278525,2.20973157725,0.2134825,-0.1009775,88.083701665,1.90766046625,2.209175,52.75825,10.171,24.11975,9.2676,47.679,44.60175,-0.3216775,18.096,1.061025,1.299575,96.6
3,6.75,0.987331932,10.10619938,2.61542,0.61263146225,412.611665675,2.0527774995,0.53146,0.16162,86.78906991,2.055448751,2.354275,178.97,22.81375,101.08,23.0065,186.6275,111.1275,32.43225,38.1595,1.059675,1.285975,96.6
