DOY2,HR2,CO2_1_1_1,H2O_1_1_1,CH4_1_1_1,FC_1_1_1,FCH4_1_1_1,SC_1_1_1,SCH4_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,SH_1_1_1,SLE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,T_BOLE_1_1_1,T_BOLE_2_1_1,NEE
3,5.25,427.60015,2.96435375,2066.685,0.349941775,4.39642425,0.07006035,0.48399375,-8.36,-0.3210657,1.209726,0.60057085,0.5619758,2.79529425,0.3038584,96.430825,-1.844633,-1.6915,-1.8325,-1.96225,-2.085333,0.2220833,0.277333325,0.28324995,0.240166675,0.90241665,2.21249975,2.937166,-6.058777,0,0,1.59306875,291.5583,304.6356,-2.33399975,-2.04833325,0.3867031
3,5.75,428.0971,2.948044,2063.992,0.3213033,4.605222,0.085680715,0.6207341,-8.2950005,-0.210796325,1.28049175,1.116558,0.589816625,2.8823855,0.3114077,96.44349,-1.78903325,-1.7365,-1.86466675,-1.93675,-2.09525,0.226916675,0.262333325,0.2785833,0.231333375,0.913833325,2.20358325,2.9358835,-5.30718425,0,0.003655799,1.77742375,291.4627,305.1288,-2.23483275,-2.28258325,0.411628925
3,6.25,428.208475,2.9274355,2063.34675,0.3545549,4.37986175,0.076620455,0.773396,-8.29141675,-0.090660415,1.508968,3.6302,0.877903775,2.962697,0.31808605,96.461485,-1.930183,-1.79216675,-1.84583325,-1.93575,-1.979,0.218,0.2609167,0.263999975,0.217833325,0.915500025,2.2166665,2.9354155,-0.7931671,20.48138,14.1039425,6.266294,294.2314,305.6962,-2.0511665,-2.00600025,0.390338125
3,6.75,428.6683,2.9422215,2063.256,0.4210531,5.82091575,0.08139778,0.66520525,-8.19175,1.28219575,2.93786325,7.1401975,1.44164425,3.121103,0.3433158,96.47868,-1.7877835,-1.68875,-1.788917,-1.83375,-1.87783325,0.204333325,0.243833375,0.246916675,0.212833325,0.859166675,2.16949975,2.9352745,14.34494,130.754575,71.283485,22.54492,295.234825,308.429325,-1.91575,-1.85975025,0.4396215
3,7.25,428.40045,3.060279,2064.66325,0.5385644,7.1659315,0.0621574025,0.91889105,-7.736,10.56345,6.117333,9.5572255,2.09845525,3.338649,0.3751924,96.493085,-1.6261085,-0.69624995,-0.702249975,-0.608583325,-0.621416625,0.198666675,0.223500025,0.223916675,0.177750025,0.797691675,2.1339165,2.9465,44.5361575,281.15305,153.289575,43.1616425,296.32805,310.40485,-1.39825025,-0.67,0.5556851
3,7.75,427.7034,3.103551,2062.288,0.581481275,8.593812,0.047731315,0.47014555,-7.3745835,29.4114575,10.881295,9.62406675,2.127378,3.643991,0.403724425,96.49566,-0.8901499,0.209825025,0.1521666675,0.251325,0.237825,0.15625,0.1865,0.2000833,0.143250025,0.715075025,2.05566675,2.9719,97.05897,466.13635,243.2094,74.140695,297.721825,313.2086,-0.333500025,0.47775,0.5060277
3,8.25,426.3351,3.188729,2056.60875,0.523088575,6.531234,0.0296127725,0.104380195,-6.6886665,54.516865,13.7685825,8.675009,1.5852345,3.96196725,0.4457228,96.50399,0.000183335,0.84758335,0.816666725,0.933750025,1.055333575,0.107249975,0.138500025,0.151499975,0.1188333,0.692249975,1.960583,2.973966,154.26815,686.57775,340.4903,110.6899,298.05015,317.4223,1.027833575,1.99066675,0.421043475
3,8.75,425.72835,3.18898175,2052.029,0.492993075,7.428386,0.02333182,0.1274996,-5.87425,80.54776,17.68613,7.805109,1.37095725,4.1820455,0.4714573,96.495995,0.389533375,1.05108325,1.1490835,1.28299975,1.48074975,0.0741675025,0.10975,0.112750025,0.097,0.649000025,1.88600025,2.9792165,196.588075,876.97325,428.723825,150.35735,298.3056,321.4925,2.719667,3.36825,0.4034025
3,9.25,425.32755,3.23855125,2049.888,0.520959825,7.481149,0.029301755,0.25564335,-5.12,96.89547,20.7564525,6.9955395,1.186052,4.384338,0.5061231,96.49733,1.0872165,1.61175,1.54199975,1.76199975,2.15991675,0.0909999975,0.08541667,0.0871666675,0.0760833325,0.60491665,1.83999975,2.997766,239.7196,1033.914,504.033,185.72045,299.209575,325.145925,4.205583,5.4045005,0.44065125
3,9.75,424.91115,3.23482275,2049.125,0.495342725,8.378143,0.03292679,0.11973215,-4.260083,114.136,24.062625,6.870772,1.023509,4.6027665,0.52178205,96.4993375,1.682975,1.919917,2.01050025,2.12266675,2.53149975,0.0794999925,0.0818333375,0.105999975,0.066166665,0.550249975,1.82975,2.99435925,279.8835,1203.7105,583.82655,211.73115,300.4843,329.4356,5.6117505,7.27700075,0.45803745
3,10.25,424.75675,3.291194,2046.8465,0.47671165,8.92265425,0.0230000275,0.09142285,-3.57825,134.6073,26.83686,6.3989025,0.7811073,4.66520525,0.5397181,96.49231,2.17650925,2.522,2.501,2.75275,2.9715,0.06825,0.0744166725,0.0875,0.0657499975,0.539,1.8231665,2.997924,316.6685,1325.53775,640.00665,239.04705,300.9316,332.7814,6.47825,8.969167,0.4397555
3,10.75,424.5737,3.35210125,2044.7985,0.500137375,8.24189975,0.0324234225,0.156514125,-3.08575,142.81815,29.12749,5.783302,0.854100625,4.748167,0.5347353,96.49145,2.571925,2.64274975,2.8238335,3.019,3.26225,0.0462500025,0.0640833375,0.0672499975,0.0190000025,0.506833325,1.81149975,3.000807,335.794875,1420.182,690.7451,257.57255,301.5675,335.03115,7.7496665,10.56083,0.4645868
3,11.25,424.4444,3.343874,2044.794,0.495877925,7.6603815,0.02376949,0.169788075,-2.82625,147.5583,32.073905,5.05067175,0.81848465,4.785905,0.5548884,96.46741,3.112733,3.27375,3.52625025,3.91591675,4.11816625,0.054,0.0494166675,0.04408333,0.0024166664,0.510083375,1.78700025,3.002758,363.665375,1491.5365,717.431675,283.706075,303.0556,336.84365,8.24333375,10.9058325,0.44515015
3,11.75,424.14235,3.36445625,2042.82125,0.471048825,8.33736075,0.02723239,0.031893105,-2.79524975,155.21875,33.38153,4.677653,0.73051425,4.842481,0.5633264,96.456645,3.407734,3.907333,3.98124975,4.182,4.48483275,0.0690833325,0.043499995,0.04233333,-0.0131666675,0.52174995,1.805,3.00249975,370.0956,1533.259,739.2922,292.6439,302.44475,338.4654,8.47999975,11.87083,0.465981175
3,12.25,423.732725,3.364402,2040.9725,0.5130103,9.0237455,0.02235521,0.07205049,-2.96983325,154.23965,34.06922,4.05464525,0.7479211,4.878164,0.569069,96.44085,3.716067,4.42625,4.425417,4.475417,4.80066675,0.06825,0.05975,0.04616667,-0.01733333,0.5313333,1.87800025,3.00129925,368.812925,1522.362,731.807175,294.619425,304.03685,339.820425,8.5983335,11.8750025,0.484345925
3,12.75,423.3276,3.319624,2041.08025,0.47164675,7.39618925,0.0246304425,0.12583995,-2.97041675,146.785875,34.5031675,3.888781,0.7264658,4.872424,0.562542225,96.41323,4.018699,4.42433325,4.62525,4.83233325,5.11900025,0.08516667,0.06966667,0.05583334,0.00674975,0.5420833,1.829,2.9981825,362.820575,1491.911,721.574275,280.746075,305.669375,340.534825,8.966667,12.115,0.4542117
