DOY2,HR2,CO2,FC,H,LE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,TS,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA
1,20.75,407.606,1.031667,-29.06808,4.792446,1.613913,2.382284,0.2409247,75.235265,1.928265,93.47854,-26.72793,0.09932174,1.6233335,4.260629,0.2638136,0.5998807,0.7022489,0.2726511
1,21.25,409.2071,0.805084,-28.59219,7.626214,1.692268,2.410406,0.2334,73.58493,1.819121,93.47897,-24.59331,0.09667921,1.6,4.297518,0.2498595,0.6397008,0.6737301,0.2856471
1,21.75,408.63175,0.523963,-29.63161,7.198843,1.728311,2.394579,0.23036275,72.675075,1.8717535,93.51713,-26.019965,0.09482334,1.523333,4.5326185,0.27489195,0.6723444,0.71135065,0.3049322
1,22.25,408.74155,1.072945,-24.946345,7.335555,1.517505,2.48806,0.227436,73.008845,1.853419,93.51956,-24.24998,0.094709295,1.5,4.550073,0.2759103,0.6541602,0.694944,0.3133404
1,22.75,408.0343,1.0050505,-29.44203,6.669739,1.58086,2.3590355,0.2384057,71.260925,1.9002685,93.560115,-22.92746,0.090371465,1.461667,4.578092,0.3025547,0.73370515,0.8242368,0.32009765
1,23.25,409.4927,0.947012,-27.793715,7.469548,1.418848,2.082618,0.22771115,72.195525,1.8689795,93.57707,-22.43484,0.0912189,1.356667,4.821359,0.28868355,0.6598505,0.7817214,0.3163869
1,23.75,408.96835,0.947012,-23.20915,7.555813,1.4114675,2.1173325,0.2227325,71.65613,1.899338,93.61572,-20.732385,0.089457895,1.3,4.9239375,0.28291975,0.75484995,0.793039,0.32219155
2,0.25,406.8096,0.670248,-15.94616,4.047711,0.0171616,0.61947615,0.19840155,66.94558,1.7369975,93.672505,-27.710015,0.02331067,1.3766665,3.230162,0.23024405,0.54608645,0.61183835,0.23877885
2,0.75,407.1389,0.679333,-13.69073,5.6615815,-0.1283465,0.49743295,0.2158513,66.65722,1.767932,93.6535,-31.48373,0.02462077,1.3,3.2989555,0.2318002,0.56485295,0.62768055,0.2551322
2,1.25,406.7067,0.591687,-17.22261,4.521582,-0.02605772,0.5153805,0.2046437,67.44385,1.645773,93.61205,-28.23408,0.01566979,1.2883335,3.200965,0.2272603,0.5659119,0.6403404,0.2422182
2,1.75,406.8502,0.63836,-16.626195,6.285983,0.08434276,0.65585925,0.23635475,68.19886,1.704028,93.62077,-28.11627,0.02530142,1.2466665,3.4738505,0.23622595,0.5860929,0.63076005,0.25008415
2,2.25,407.1488,0.47522,-17.00604,5.6891985,0.2297091,0.66660185,0.22673555,67.48651,1.613163,93.61751,-37.96191,0.01660725,1.1916665,3.5464935,0.250352,0.6098815,0.67534085,0.2632105
2,2.75,407.0535,0.552243,-17.58465,6.481292,0.0008735216,0.5813946,0.2038193,68.21748,1.64841,93.60625,-41.44216,0.02578031,1.15,3.396338,0.2197319,0.57437,0.5889252,0.2457082
2,3.25,407.1689,0.714666,-17.67879,5.1650825,-0.2942291,0.2694105,0.2006691,66.969365,1.651205,93.60418,-32.14646,0.03140357,1.15,3.662306,0.2396177,0.5586905,0.7361459,0.2575789
2,3.75,407.1083,0.6047365,-19.76804,6.91128,-0.5631092,-0.002700269,0.1936517,67.66924,1.504855,93.59805,-29.11521,0.03365038,1.15,3.60875,0.2682464,0.5992278,0.7470491,0.2680225
2,4.25,406.87975,0.647715,-20.56778,7.478727,-0.6718327,-0.2120783,0.1947543,67.75391,1.518505,93.58197,-28.79461,0.03456716,1.1216665,3.69342,0.259557,0.6446028,0.7157904,0.2796274
2,4.75,407.08705,0.643782,-16.566535,5.6439935,-0.3983858,-0.09947504,0.1933344,66.74538,1.6110745,93.60883,-30.42834,0.02431391,1.0816665,3.710753,0.2576925,0.6359453,0.7068354,0.2656166
2,5.25,407.29825,0.697972,-17.44666,4.812551,-0.9274658,-0.45373985,0.19885665,69.566515,1.5052925,93.62286,-28.85031,0.04161322,1.05,3.693445,0.2463365,0.64184295,0.71565805,0.26721455
2,5.75,407.696,0.579104,-20.15498,8.290362,-0.9512876,-0.4668212,0.18689085,69.757755,1.5056265,93.62677,-36.92004,0.03808604,1.05,3.9335555,0.254144,0.6268717,0.7345804,0.27667255
2,6.25,408.0097,0.643154,-16.44363,5.249344,-1.146879,-0.63147775,0.2002546,69.2198,1.508234,93.65559,-37.15886,0.08954949,1.00333345,3.9301265,0.2326954,0.59114375,0.68650745,0.25637735
2,6.75,409.0026,0.588005,-17.64133,6.117464,-1.138975,-0.7218683,0.1961658,68.68846,1.4199445,93.68198,-34.69802,3.650527,0.95166665,4.035878,0.23837285,0.5967856,0.72090875,0.2720611
2,7.25,408.3896,0.512315,-11.779755,9.0717055,-1.154196,-0.747488,0.17672375,68.59234,1.434882,93.67948,-18.92622,33.70208,0.9483333,3.957393,0.2503192,0.58336255,0.7197928,0.26517735
2,7.75,406.7354,0.450815,-6.11815,11.69167,-0.6948717,-0.50730655,0.1864076,67.0925,1.5379595,93.66006,-1.735462,110.5873,0.9149999,3.995621,0.2433846,0.59349785,0.715755,0.26798775
2,8.25,407.5261,0.3525735,2.851353,20.943065,-0.3260852,-0.1956238,0.1899683,67.91913,1.699377,93.64952,19.32466,195.2654,0.8999999,3.7953545,0.2639373,0.6091411,0.68699925,0.2851722
2,8.75,406.6827,0.252731,12.531095,21.453595,-0.007533831,0.1156948,0.2266695,68.24777,1.793144,93.64298,34.31515,291.9778,0.8999999,4.004053,0.28697065,0.62736045,0.7031302,0.292852
2,9.25,407.82565,0.152431,20.18751,27.60752,0.09756032,0.4897417,0.2330441,63.687655,1.7746595,93.63258,63.85884,412.2532,0.8999999,4.171856,0.2676589,0.6607059,0.7919407,0.28458
2,9.75,407.9296,0.0162856,31.8738,39.06597,0.31996345,0.8725933,0.2838861,62.78453,1.914971,93.60866,97.55356,547.293,0.8999999,4.288477,0.2852901,0.7219481,0.7876776,0.283117
2,10.25,406.9936,-0.0679175,40.52305,47.13237,0.71374135,1.066959,0.3034513,60.80178,1.989824,93.596825,112.1755,625.63455,0.8999999,4.443308,0.31977,0.8117482,0.8402829,0.3112409
2,10.75,407.0606,-0.3116825,51.358615,56.11056,1.3447675,1.7251115,0.3681225,57.8001,2.5342045,93.586925,110.8075,674.33245,0.97166665,4.513024,0.32426695,0.91931975,0.8831102,0.3402978
2,11.25,403.6657,-0.0535,47.19629,63.760725,1.778687,2.1160185,0.27322475,57.736105,2.4029095,93.571245,127.57125,704.93295,1.1,4.8401035,0.34105035,0.86542835,0.9537508,0.35405275
2,11.75,400.29985,-0.0965,55.0613,71.69212,2.2469,2.552661,0.2998337,57.56174,2.630292,93.50925,120.0098,763.21295,1.22,4.668384,0.3615763,0.8864052,0.981187,0.3333963
2,12.25,391.5439,-0.183767,46.024765,72.373705,2.484306,2.941036,0.3077009,56.722255,2.7516785,93.51027,149.9005,814.5447,1.63,4.839087,0.368819,0.9245821,0.9837555,0.3566661
2,12.75,401.6438,-0.12788981,40.665885,67.917715,2.5671395,3.132118,0.3206606,58.30542,2.930976,93.501025,130.1083,781.9192,1.82,4.644844,0.3619454,0.9441147,0.9636889,0.3577083
2,13.25,390.9976,-0.2178982,50.38934,68.53159,2.9892125,3.738667,0.3322915,57.14942,3.000623,93.46791,102.1496,734.0236,2.266667,4.711761,0.3542999,0.900905,0.9814071,0.3497816
2,13.75,406.72945,-0.0937,52.76702,55.00437,3.346943,3.988181,0.3409732,55.88493,3.3458305,93.42751,68.65351,679.71,2.56,4.93305,0.3420047,0.8781925,0.9343018,0.3374637
