DOY2,HR2,CO2_1_1_1,TS_1_1_1,TS_2_1_1,G_1_2_1,G_1_2_2,NEE,NETRAD,G_1_1_1,USTAR,FC_1_1_1,FC_1_1_2,LE_1_1_1,LE_1_1_2,H_1_1_2,H_1_1_1,SLE,SH,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,RH_1_1_1,RH_1_2_1,WS,PA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,PPFD_IN_1_1_3
1,10.75,414.0639,-0.4705,1.01643,-1.8821,-2.10235,0.64807,51.2645,-1.839,0.46484,0.097132,0.81875,14.2383,0.51439,58.2327,58.9544,1.71835,11.64495,355.39,357.16,119.25,56.4035,-20.0572,-18.655,-15.7515,84.1,81.735,3.1307,98.2,0.89991,1.6421,1.6086,1.8076,0.14865,0.86518,1.104,1.37565,355.39
1,11.25,414.6194,-0.44913,1.1231,-1.8734,-2.09965,0.252265,61.9365,-1.9401,0.498155,-0.0561765,0.31999,17.7681,2.8894,64.1151,70.62495,1.5077,9.6662,401.34,409.85,136.495,54.998,-19.1371,-17.94,-15.4345,82.5,81.278,3.3538,98.2,0.899445,1.6404,1.606,1.8063,0.14295,0.86776,1.10135,1.3715,401.34
1,11.75,414.0657,-0.27868,1.20805,-1.8705,-2.0971,0.42965,67.5605,-1.8801,0.502245,-0.13533,0.60949,23.7379,5.6404,89.13445,78.0267,1.0521,7.63345,457.875,434.97,144.81,29.7095,-18.68115,-16.445,-14.8365,81.2,80.695,3.59735,98.2,0.89807,1.63605,1.6052,1.8052,0.15033,0.86596,1.1005,1.3693,457.875
1,12.25,413.86425,-0.19552,1.27725,-1.8698,-2.09435,0.32883,64.0555,-1.851,0.50492,-0.012881,0.40754,20.8151,4.79965,86.24505,81.732,0.93514,6.49005,423.67,398.19,144.625,31.287,-18.82945,-15.695,-14.3165,80.45,79.333,3.53155,98.2,0.896,1.6318,1.6036,1.8066,0.14938,0.86598,1.1005,1.3688,423.67
1,12.75,413.5839,-0.07369,1.32235,-1.8791,-2.0927,0.497405,62.9025,-1.8976,0.514535,0.2204,0.49213,19.59115,2.9442,85.1139,82.0358,0.789825,7.1994,413.265,404.77,135.945,52.8785,-18.60455,-15.55,-14.013,79.95,79.2835,3.66235,98.15,0.894095,1.6311,1.6028,1.8052,0.14727,0.86387,1.0999,1.3689,413.265
1,13.25,413.4926,-0.00808,1.52565,-1.8808,-2.09205,0.51506,59.423,-1.9249,0.50997,0.0580815,0.67867,14.68305,7.7071,69.3571,62.5428,0.89634,6.1712,373.875,379.66,127.945,36.7345,-18.54485,-14.87,-13.5845,79.84,79.4685,3.6163,98.15,0.8932,1.6298,1.6006,1.8041,0.14207,0.86468,1.0993,1.3687,373.875
1,13.75,413.26345,0.07954,1.6568,-1.8836,-2.09105,0.365855,44.574,-1.8767,0.489855,0.089105,0.45039,18.3619,5.077,75.6616,70.5503,0.666825,3.86855,355.585,334.96,111.485,26.893,-18.656,-15.01,-13.331,80.35,79.284,3.57215,98.1,0.89307,1.62655,1.6019,1.8039,0.13977,0.86974,1.0998,1.3691,355.585
1,14.25,413.3773,0.24242,1.62075,-1.8834,-2.0897,0.38681,36.9865,-1.8669,0.482035,0.173055,0.40727,14.27655,7.1494,49.66205,50.5704,0.40364,1.84495,299.925,258.69,84.5845,25.6935,-18.3353,-15.2,-13.588,81.3,78.654,3.5029,98.1,0.892875,1.62425,1.6016,1.8042,0.13739,0.86519,1.0984,1.3673,299.925
1,14.75,413.4634,0.29621,1.7453,-1.8863,-2.08825,0.324685,26.334,-1.9395,0.47224,-0.23527,0.30406,10.9508,4.6706,29.83605,29.24585,0.248775,-0.388045,215.47,199.63,64.914,24.5835,-17.9668,-15.055,-13.459,81.4,79.008,3.4254,98.15,0.89554,1.5817,1.6021,1.8036,0.13657,0.85922,1.0976,1.3676,215.47
1,15.25,413.6389,0.46696,1.77605,-1.883,-2.08575,0.30061,14.0895,-1.8692,0.45162,-0.0762825,0.3216,8.0859,1.8751,14.5128,15.1806,0.0524475,-2.5942,131.08,118.6,39.489,22.379,-17.923,-15.02,-13.729,82.65,79.429,3.2128,98.1,0.89225,1.6184,1.5995,1.8024,0.1372,0.85732,1.0965,1.36685,131.08
