DOY2,HR2,CO2,H2O,FC,SC,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
1,19.25,412.53,2.69936,0.0491074,-0.007005545,-10.8154025,-0.5841885,-1.3482981,-0.223351,98.71805,70.446,-4.81199999999998,-6.11599999999999,0.64460775,247.935,290.105,-48.93,0.00304235,-3.2171,-0.46767,-0.085051,0.1083825,0.09213395,0.0126342,0.09178865,0.669333
1,19.75,411.921,2.7366025,0.058290125,0.0009791265,-12.556502,-0.40451475,-0.8074621,-0.2801395,98.76425,69.7,-5.11049999999997,-6.13499999999999,0.63147875,246.7,287.6,-43.6125,0.00407925,-2.89875,-0.48295,-0.06598535,0.12789225,0.1155895,0.01266485,0.09976585,0.61860525
1,20.25,412.103,2.76245,0.0615683,-0.0010770475,-11.99081575,-0.651876,-2.0459923,-0.2410385,98.78905,72.0345,-5.22599999999997,-6.13474999999998,0.551637,246.93,287.545,-43.169,0.00333495,-3.35225,-0.47466,-0.09869255,0.160935,0.085477,0.01534255,0.1668775,0.6070205
1,20.75,412.288,2.672185,-0.004701,-0.0259586,-9.045698,-0.64289125,1.486937,-0.03612865,98.805325,72.317,-5.46699999999998,-6.13200000000001,0.56733175,247.685,288.005,-42.849,0.003031775,-2.71265,-0.46493,-0.0852752,0.155343,0.10507325,0.020212475,0.18082375,0.71866775
1,21.25,412.1295,2.67862,0.0870347,-0.0462123,-11.4667534,-0.5286085,-0.35761985,-0.184299,98.8378,68.971,-5.41249999999995,-6.113,0.57037425,245.53,284.94,-45.993,0.0029287,-2.7223,-0.444095,-0.05776995,0.1674635,0.1082261,0.01905045,0.1107315,1.11517
1,21.75,411.389,2.85904,0.0347706,-0.0431502,-8.90877,-0.661725,-0.54504305,-0.246002,98.85625,70.256,-5.66699999999997,-6.589,0.539122,245.55,283.14,-43.1465,0.004330275,-2.95395,-0.497115,-0.053634425,0.1354325,0.1001606,0.015022725,0.10930425,0.96707475
1,22.25,412.784,2.85631,0.07455741,-0.0306073,-11.57313,-0.7097395,1.046916675,-0.130308575,98.859575,72.826,-5.56699999999995,-6.69,0.570847,244.37,283.35,-44.3785,0.004515325,-3.69805,-0.792475,-0.058915475,0.143912,0.098252775,0.017307525,0.08378165,0.9060185
1,22.75,413.2145,2.939275,0.0430824,-0.041628875,-15.89595075,-0.508269,-0.838853,-0.38837,98.8565,75.35225,-5.25024999999998,-6.38124999999997,0.5160995,240.28,282.11,-51.3845,0.0030958,-3.650725,-0.8603925,-0.0714966,0.127097,0.107277,0.0217565,0.133895,0.980494
1,23.25,413.2945,2.9619775,-0.02710355,-0.004851145,-16.62874,-0.73628825,1.092343,-0.220931225,98.8521,76.9945,-5.53924999999998,-6.76799999999998,0.45618325,245.49,283.9075,-45.54475,0.0029385,-3.120125,-0.794435,-0.069469,0.142951,0.0968565,0.0158676,0.0611255,0.952959
1,23.75,412.8525,3.0057625,-0.0613840525,-0.033359875,-11.32271775,-0.495823,0.8826448925,-0.049816075,98.8509,78.491,-5.96874999999997,-6.93749999999998,0.426777,245.58,282.2725,-45.90525,0.00010965,-3.828875,-0.6680425,-0.0562149,0.135931,0.09578,0.0201366,0.0824952,0.93197
