DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA,U_SIGMA,V_SIGMA,W_SIGMA
1,15.75,-3.3801,2.52079,0.93772,0.17027,0.616595,36.96367,-0.35673,-0.3617,427.3515,24.51971,239.7405,278.4333,-9.04608,-6.656,78.428665,1.89743,2055.2245,2.733185,-0.002495,-0.047395,-0.35525,0.01346,95.77855,0.64751,0.70857,0.28093
1,16.25,-5.301095,1.67612,0.773005,0.14991,0.52903,13.208165,-0.32215,-0.31246,427.5802,9.417,241.429,273.9535,-17.60033,-6.90144,82.85667,1.86626,2054.449,2.482535,0.0018,-0.0493,-0.487,-0.022105,95.777175,0.58054,0.6141976,0.24534
1,16.75,-7.82856,1.88814,0.64887405,0.14374,0.439545,0.47058,-0.23089,-0.229825,427.6097,1.38,244.1535,272.61395,-23.687085,-7.53547,84.72,1.85494,2056.208,3.46689,0.0018,-0.08236,-0.4781,0.00674,95.84098,0.5062823,0.50035,0.22907
1,17.25,-3.76478,0.72749,0.60129,0.12196,0.35766,0,0.05708,0.06919,428.1013,0.0055,245.0181,268.3835,-21.97658,-8.09347,87.08001,1.84532,2057.972,2.54336,0.008215,-0.0864,-0.41775,0.077865,95.864805,0.4817326,0.4736849,0.2245111
1,17.75,-3.672535,0.458805,0.575545,0.12582,0.331165,0,-0.06771,-0.05138,428.4679,-0.06056,245.729,268.5294,-19.1685,-8.74067,87.66206,1.76823,2062.502,2.906065,0.007915,-0.08292,-0.2903967,0.044835,95.880635,0.42417,0.43869,0.20598
1,18.25,-3.410295,0.33208,0.592455,0.12558,0.32087,0,0.17152,0.17449,428.73585,-0.03508,244.8097,265.0285,-15.351085,-9.464,88.05998,1.62388,2062.857,3.753975,0.0083725,-0.05931365,-0.27620335,0.0396225,95.87766,0.436586,0.4382539,0.19573155
1,18.75,-3.7746,-0.01148,0.64253,0.149795,0.276465,0,-0.04305,-0.12449,428.9309,-0.03,248.2142,265.5605,-12.47617,-9.5065,87.670825,1.64682,2064.93,3.638805,0.00883,-0.0357073,-0.26201,0.03441,95.87657,0.44168935,0.472595,0.2002591
1,19.25,-4.88203,0.341385,0.69636,0.150115,0.22889,0,0.01419,0.00663,428.9285,-0.03957,247.2313,264.2467,-10.96293,-9.49586,87.66553,1.59221,2064.395,2.85907,0.010555,-0.04847334,-0.15928,0.0147,95.90164,0.44862,0.4681035,0.20405
1,19.75,-3.68156,0.98686815,0.68646,0.13747,0.22163,0,-0.072375,-0.057905,429.4014,-0.02848,248.1239,262.9053,-11.734685,-9.58,87.77142,1.55194,2069.72,2.94065,0.00615,-0.041725,-0.193885,0.0383,95.89552,0.49833,0.55871,0.23529
1,20.25,-3.22682,0.094225,0.6908,0.13367,0.21604,0,-0.11617,-0.1265,429.933,-0.02312,253.9049,267.48145,-9.3475,-9.98211,87.87588,1.58418,2075.0415,3.261515,0.007145,-0.025865,-0.100425,0.01682,95.88968,0.45059,0.460565,0.20335165
1,20.75,-3.92464,0.52961,0.73252,0.14308,0.24352,0,0.01784,0.02645,429.191,-0.02017,259.754,268.4449,-10.001205,-9.841,88.439995,1.636785,2071.505,2.715605,0.003,-0.01627,-0.123295,0.00449,95.8944,0.4816898,0.5514,0.22939
1,21.25,-2.495265,-0.07425,0.64345,0.13932,0.26208,0,-0.13771,-0.12145,429.2737,-0.028335,259.0235,269.6014,-7.17267,-10.09466,87.89667,1.589745,2067.0215,3.75919,0.00604,-0.00197,-0.15412,-0.03646,95.898525,0.43451,0.47081,0.19251
1,21.75,-1.762135,0.02108,0.57537,0.13326,0.252875,0,-0.19226,-0.1812,429.562,-0.0275,260.43,269.4237,-6.813165,-10.52267,88.24666,1.61333,2069.212,2.13558,-0.00057,0.00408,-0.06972,0.02195,95.921585,0.4531126,0.42483,0.20058
