DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,CO2,VPD,NETRAD,H2O
3,13.25,0.348,25.576,2.365,-26.546,-25.9,-0.01025,145.853,0.27425,180.665,0.5295,22.1225,29.543,20.792,53.7165,329.1995,15.095,596.891,17.142
3,13.75,0.4225,25.61,2.7155,-26.30425,-24.6815,-0.037,130.3775,0.518,182.75,0.26425,23.344,29.619,20.69,53.0925,328.96025,16.11,543.974,17.4045
3,14.25,0.4425,25.848,2.8515,-25.228,-24.971,0.00725,125.063,-0.05175,190.734,0.46475,23.7785,29.7715,20.5265,52.6185,328.8595,14.955,564.8695,17.5245
3,14.75,0.4665,25.7205,3.0485,-21.2975,-21.6845,-0.00025,113.068,-0.0305,170.974,0.02475,18.792,29.941,20.8905,54.0315,328.94075,15.42,465.795,17.63525
3,15.25,0.4625,25.8035,3.1115,-19.4025,-23.3935,0.007,105.5735,-0.451,173.505,0.005,17.995,30.2476666666667,21.0655,54.2095,328.85775,15.47,436.349,17.6465
3,15.75,0.475,25.5465,3.128,-18.715,-19.856,0.01825,96.679,-0.4785,147.3655,0.0455,14.892,30.2646666666667,21.064,56.6285,329.325,14.255,355.103,17.671
3,16.25,0.4495,25.5595,3.0235,-14.77525,-19.199,0.03475,79.649,-0.48825,137.5295,-0.33625,12.57,30.247,21.027,56.333,329.39,14.45,345.747,17.579
3,16.75,0.3945,25.064,2.8675,-12.4465,-16.055,0.053,59.319,-0.8265,121.338,-0.199,10.296,29.9245,21.0525,57.2555,329.9105,13.225,230.986,17.50725
3,17.25,0.4585,24.865,2.884,-10.53,-10.6795,0.106,32.872,-1.31025,93.417,-0.05075,8.1075,29.4143333333333,21.105,58.386,330.7575,12.705,172.535,17.65075
3,17.75,0.401,24.156,2.632,-6.828,-6.9135,0.09,14.686,-1.156,57.469,-0.121,5.349,29.0083333333333,21.145,60.757,331.156,11.86,72.113,17.4615
3,18.25,0.354,23.621,2.2375,-2.269,-3.709,0.20125,-2.579,-1.93825,39.723,-0.14675,2.999,28.5256666666667,21.2015,63.512,332.16775,10.985,13.04,17.3475
3,18.75,0.3015,22.8565,1.9815,1.7875,0.893,0.31825,-14.892,-2.76525,21.864,-0.29075,1.104,27.9941666666667,21.2385,65.2085,334.141,9.725,-26.038,17.36625
3,19.25,0.2315,21.7285,1.4705,3.163,2.516,0.27725,-18.839,-2.89925,13.2535,-0.37425,-0.637,27.3491666666667,21.283,69.0545,336.13175,8.445,-44.547,17.34
3,19.75,0.179,21.225,1.4275,2.99525,3.5275,0.12875,-30.365,-1.67625,14.5185,-0.591,-2.809,26.7451666666667,21.2815,71.7115,337.29375,7.115,-46.465,17.21475
3,20.25,0.166,20.927,1.5205,3.47025,3.433,0.0855,-25.4205,-0.84075,8.708,-0.65225,-4.795,26.1991666666667,21.264,72.3795,337.4545,6.57,-45.712,16.98
3,20.75,0.147,20.31,1.2715,2.9275,3.5515,0.07625,-31.2265,-0.88425,15.315,-0.64425,-6.339,25.701,21.253,74.766,337.969,5.82,-46.839,16.81225
3,21.25,0.146,19.9195,1.361,2.8625,3.034,0.118,-30.053,-0.9895,15.213,-0.638,-7.694,25.2235,21.248,76.351,338.3775,5.375,-41.811,16.58225
3,21.75,0.158,19.7255,1.3855,2.4835,3.717,0.09075,-30.625,-0.97725,13.764,-0.7955,-9.6,24.8185,21.2325,76.4305,339.54575,5.28,-43.142,16.34525
3,22.25,0.154,19.557,1.3395,2.46625,3.2105,0.05225,-25.521,-0.82675,11.4955,-0.69775,-10.893,24.4721666666667,21.206,77.2535,340.1815,5.185,-44.432,16.26725
3,22.75,0.147,19.3695,1.393,2.682,2.7975,0.06925,-25.521,-0.7535,7.83675,-1.04975,-11.988,24.1645,21.208,78.42,339.9525,4.62,-42.737,15.9975
3,23.25,0.129,19.413,1.348,2.4645,2.56625,0.029,-25.521,-0.641,7.0605,-1.01025,-12.625,23.8741666666667,21.182,78.672,339.96625,4.665,-40.558,15.8665
3,23.75,0.135,19.173,1.346,2.51875,2.64025,0.0455,-25.521,-0.45325,5.50425,-1.01975,-12.622,23.6121666666667,21.184,77.879,340.13125,4.805,-42.852,15.6005
4,0.25,0.103,19.5415,1.3115,1.017,1.015,-0.0095,-7.692,-0.5255,4.93,-0.3635,-13.4385,24.8755,21.2705,70.9595,342.1335,6.64,-43.546,16.305
4,0.75,0.1055,19.7625,1.3325,1.5185,1.4885,-0.0345,-5.993,-0.47,4.135,-0.2865,-13.3165,24.5495,21.2945,71.294,343.414,6.545,-42.3045,16.1225
4,1.25,0.1105,19.528,1.497,2.572,2.686,0.0085,-15.934,-0.5135,5.542,-0.977,-13.646,24.2235,21.2725,71.28,342.5895,6.405,-45.117,15.7615
4,1.75,0.111,19.5715,1.477,2.305,2.4805,-0.014,-12.998,-0.3385,3.599,-1.119,-13.814,23.95,21.241,70.7545,342.779,6.635,-46.707,15.43
4,2.25,0.103,19.439,1.441,2.429,2.5085,-0.003,-20.0955,-0.587,7.394,-0.9555,-14.388,23.746,21.237,70.306,343.1375,6.35,-45.6525,15.4575
4,2.75,0.105,19.149,1.4295,1.815,2.301,0.043,-17.729,-0.4015,5.704,-0.6585,-14.689,23.525,21.23,69.33,343.1545,6.415,-46.3435,15.1995
