DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,LW_OUT_1_1_1,LW_IN_1_1_1,NETRAD_1_1_1,SW_OUT_1_1_1,SW_IN_1_1_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,PA_1_1_1,PA_2_1_1,PPFD_IN_1_1_1,PPFD_IN_2_1_1,PPFD_OUT_10_1_1,PPFD_OUT_11_1_1,PPFD_OUT_12_1_1,PPFD_OUT_1_1_1,PPFD_OUT_2_1_1,PPFD_OUT_3_1_1,PPFD_OUT_4_1_1,PPFD_OUT_5_1_1,PPFD_OUT_6_1_1,PPFD_OUT_7_1_1,PPFD_OUT_8_1_1,PPFD_OUT_9_1_1,TS_1,TS_2
10,1.75,-0.45007375,-46.095885,-9.455127,-0.878398875,0.58046625,0.0377720475,7.965188,372.944625,3.6000805,0.2054251,0.175726825,0.05552888,0.11635365,333.231725,263.42525,-87.49674,0.48994,-3.102451,7.55783994333333,20.6150664833333,0.62475,-22.834416,-14.4937385,-39.54082325,-19.551192,85.49878025,85.5475,-0.0150262245833333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,14.702,17.20675
10,2.25,-0.372853,-47.55458,-7.419258,-0.47896225,0.481771175,0.0353410675,7.4952765,372.081075,3.604724,0.178901525,0.16687125,0.0539720525,0.113412125,330.95265,260.3204,-84.50056,0.4129437,-3.044517,7.15298136166666,21.5749204333333,0.59725,-23.1661945,-14.81977125,-40.3686675,-20.242006,85.4872628166667,85.5358333333333,-0.0167919190833333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,14.4946666666667,17.085
10,2.75,-0.349636075,-46.859275,-8.405679,-0.55080585,0.5043947,0.0289852825,7.05638,372.4024,3.5293945,0.2116832,0.1730766,0.0546298925,0.078903065,329.555425,259.312775,-84.68491,0.4977126,-2.936009,6.94008610333333,22.21064795,0.59575,-23.348461,-15.144951,-40.5353465,-20.89526775,85.47813045,85.5320833333333,-0.0131480378333334,1,1,1,1,1.2,1,1,1,1,1,1,1,1,14.2758611111111,16.9458333333333
10,3.25,-0.3003848,-47.40714,-8.4978,-0.639261375,0.48861575,0.0312749475,6.682359,372.64075,3.5480485,0.2018362,0.169749225,0.0567391275,0.130884875,329.74025,259.89875,-84.74547,0.4665241,-2.878837,6.444255065,23.0659591833334,0.57775,-23.47980325,-15.3055895,-40.6699910207698,-21.55976875,85.4779849333333,85.5283333333333,-0.01314758925,1,1,1,1,1.2,1,1,1,1,1,1,1,1,14.0453888888889,16.8075
10,3.75,-0.330722675,-43.98492,-8.2768305,-0.418603225,0.3396344,0.0300841625,6.57144275,372.32115,3.6406335,0.184863,0.17023195,0.047597815,0.09340447,326.238275,256.69925,-84.04214,0.7233566,-3.022594,6.30960557333333,23.2262636833334,0.5545,-23.546186,-15.54244375,-40.8622833291796,-22.08113775,85.4792672833333,85.5250833333333,-0.00941523091666667,1,1,1,1,1.2,1,1,1,1,1,1,1,1,13.8211666666666,16.6863333333333
10,4.25,-0.21449315,-44.3685425,-7.489763,-0.602321625,0.3840295,0.0335776325,6.377113,372.4058,3.5911095,0.20472215,0.18387775,0.0421841925,0.1005454775,325.21865,256.636475,-84.32799,0.5386833,-2.689005,6.01452014,22.6527824666667,0.32925,-23.90880625,-15.76237175,-40.8738629000886,-22.5953675,85.4936200333334,85.5161666666667,-0.0158543538333333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,13.5909722222223,16.5331666666667
10,4.75,-0.259437,-47.675325,-11.7734,-0.339977,0.412594025,0.0325348475,6.320209,371.254425,3.991549,0.18968475,0.166245625,0.051026395,0.0961953625,323.460325,255.287175,-84.02297,0.5437658,-2.826155,5.96652946333333,23.2341894333333,0.305,-24.096965,-15.89697775,-41.226205337585,-22.91266475,85.5125567833334,85.5325416666667,-0.00933041858333333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,13.3791666666666,16.4394166666667
10,5.25,-0.29695215,-44.64792,-6.5818875,-0.37319525,0.45870705,0.0280724325,6.01214025,371.324375,4.11023375,0.179199725,0.166265725,0.0480983075,0.0916265675,321.83335,253.9994,-82.3373,0.7546084,-2.97562,5.360956735,23.5298279333333,0.32425,-23.919437,-15.9417445,-41.6637638526349,-23.1306575,85.5251712833333,85.5517916666667,-0.0144864018333333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,13.1616666666667,16.3366666666667
10,5.75,-0.265928875,-44.17302,-5.46637825,-0.47265015,0.3618744,0.028560575,5.230469,370.61075,3.879393,0.16631275,0.13665705,0.0434555675,0.09558291,321.33815,251.87345,-81.87628,0.6144155,-2.917163,4.94124751833334,24.4164016833334,0.21425,-23.94393925,-16.20556,-42.0176,-23.28725375,85.5344843,85.5633333333333,0.067346999,1,1,1,1,1.2,1,1,1,1,1,1,1,1,12.9474444444445,16.2761666666666
10,6.25,-0.2133789,-40.99907,-11.5072,-0.48229755,0.322595175,0.0304365025,5.54028925,369.274925,3.91943575,0.193077,0.17538825,0.051473775,0.10743165,320.043275,250.1558,-74.25846,1.085589,1.472759,5.374098685,23.7826910333333,0.26175,-24.318495,-16.30028375,-42.4261963744713,-23.3691305,85.5465281666666,85.5795416666667,4.4986373725,4.3375,1,1,1,1.2,1,1,1,1,1,1,1,1,12.7084166666667,16.1616666666667
