DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
2,2.75,-0.008,-0.002,-0.5585,-34.86,0.25475,-0.275,403.7025,384.575,2.3035,-57.12275,0,0,-0.009,-2.835,0.25125,263.54375,272.25775,-8.455,70.005,2.1735,100.6,-0.058,0.187,0.4155,0.7765,1.65925,3.28775,-0.20925,-0.08725,0.1695,0.657,1.5625,2.83575,-3.528,-3.696,-3.6645,-4.3785,0.317075,0.549825
2,3.25,0.04975,0.0185,-0.5485,-36.775,0.272,-0.27,403.59825,384.3,2.26825,-56.95525,0,0,-0.009,-3.02725,0.23525,263.856,271.9105,-8.45,70.855,2.27475,100.5,-0.06075,0.187,0.41775,0.77575,1.6535,3.2735,-0.21625,-0.08825,0.17875,0.65925,1.561,2.834,-3.528,-3.7065,-3.696,-4.3785,0.35525,0.569325
2,3.75,0.159,0.05775,-0.419,-34.28525,0.2655,-0.30325,403.4925,383.9,2.298,-57.2895,0,0,-0.009,-2.93925,0.23075,262.18975,273.02775,-8.4775,71.1575,2.20825,100.5,-0.05575,0.1865,0.421,0.77375,1.6585,3.277,-0.22225,-0.0955,0.177,0.6645,1.553,2.82725,-3.528,-3.738,-3.696,-4.494,0.338,0.5786
2,4.25,0.0365,0.08275,-0.497,-32.87825,0.266,-0.2835,403.769,383.9,2.3105,-54.077,0,0,-0.009,-2.92925,0.235,262.825,272.2155,-8.6525,71.175,2.181,100.5,-0.0565,0.1905,0.414,0.77225,1.65775,3.27875,-0.21625,-0.09875,0.173,0.6695,1.55425,2.828,-3.528,-3.78,-3.738,-4.5045,0.32145,0.584075
2,4.75,0.046,0.012,-0.555,-31.92825,0.271,-0.291,403.22125,383.5,2.3125,-56.7435,0,0,0,-2.9465,0.2275,261.9165,272.87025,-8.6,70.8375,2.254,100.6,-0.064,0.19,0.418,0.77925,1.6595,3.28225,-0.215,-0.0965,0.165,0.6605,1.559,2.82275,-3.528,-3.78,-3.7065,-4.536,0.341,0.5644
2,5.25,0.0245,0.0425,-0.625,-30.7585,0.258,-0.245,403.51825,383.7,2.303,-58.82225,0,0,-0.009,-2.999,0.215,262.03575,271.91275,-8.48,71.38,2.161,100.6,-0.0575,0.1895,0.40975,0.781,1.653,3.2705,-0.2205,-0.10125,0.17125,0.6635,1.551,2.83025,-3.57,-3.78,-3.78,-4.5465,0.3492,0.5616
2,5.75,0.1005,0.007,-0.5585,-30.588,0.262,-0.18675,403.6705,383.65,2.2695,-58.81,0,0,-0.009,-3.07075,0.2065,261.3275,271.6535,-8.32,72.5625,2.17275,100.6,-0.066,0.1885,0.41975,0.77725,1.66375,3.2755,-0.22375,-0.10325,0.17475,0.66525,1.557,2.82625,-3.57,-3.78,-3.717,-4.62,0.32965,0.53445
2,6.25,0.121,0.021,-0.606,-32.007,0.25975,-0.3325,403.64275,383.65,2.269,-56.0565,0,0,0,-3.0065,0.25425,261.2405,271.85725,-8.41,72.525,2.18825,100.6,-0.058,0.185,0.4175,0.7775,1.666,3.2755,-0.23825,-0.1085,0.17375,0.65575,1.551,2.833,-3.57,-3.78,-3.78,-4.662,0.353275,0.552475
2,6.75,0.074,0.0215,-0.5245,-32.89025,0.24725,-0.2775,403.56275,383.9,2.24475,-56.97125,0,0,0,-2.79025,0.2535,260.142,271.7575,-8.4025,72.8875,2.12075,100.675,-0.06075,0.18175,0.411,0.78175,1.658,3.269,-0.241,-0.11475,0.1735,0.659,1.534,2.82975,-3.612,-3.78,-3.78,-4.6725,0.32405,0.55775
2,7.25,0.086,0.0065,-0.523,-33.35125,0.25775,-0.24975,403.31425,383.95,2.253,-47.36325,0,0,0.017,-0.43675,0.4305,258.86425,272.5565,-8.3175,72.8975,2.1325,100.7,-0.0635,0.1865,0.41825,0.782,1.64725,3.27475,-0.244,-0.114,0.16425,0.66575,1.552,2.8285,-3.612,-3.8325,-3.78,-4.704,0.3266,0.53835
