DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
2,11.25,-0.0048,-5.3842475,-72.647320808,10.32,-35.41,-12.237,22.018,0.0348975,86.6,10.876,-52.058,15.1245438725,32.76038,-12.244,0,-10.1955,-16.936,-13.28,-10.5355,-12.918,-11.844,206.9
2,11.75,-0.064141,-6.84557397575,-72.295225,15.535,-34.83,-12.2375,20.754,0.0440875,86.7,17.32125,-43.9325,21.7573425,49.1010175,-12.256,0,-10.2085,-16.9315,-13.2955,-10.551,-12.95175,-11.86275,207.12
2,12.25,-0.00445599999999999,-5.13905957585,-77.949775,17.37875,-34.868,-12.2415,19.77,0.03808,86.7,21.85975,-39.0675,25.2849,60.1107875,-12.228,0,-10.1885,-16.9155,-13.294,-10.588,-12.973,-11.8835,206.3625
2,12.75,0,-7.427042856225,-81.7587825,21.6415,-34.91125,-12.26,20.1175,0.0453375,86.7525,26.214,-41.845,31.61976058725,69.6025,-12.215,0,-10.19125,-16.92375,-13.295,-10.59875,-13,-11.90625,206.1625
2,13.25,-0.1480630565,-8.66200875,-64.76064554375,22.741,-34.684,-12.143,20.736,0.0388185,86.76,25.64525,-47.6045,41.698139913,70.3730425,-12.216,0,-10.188,-16.9075,-13.2955,-10.608,-13.0135,-11.9135,206.6725
2,13.75,-0.14422425,-7.8471674163,-72.17867179,24.45375,-34.788,-12.1845,20.246,0.042745,86.8,24.69625,-53.519,36.0436485605,69.04328,-12.222,0,-10.1925,-16.9,-13.307,-10.601,-13.022,-11.931,206.56
2,14.25,-0.344037513125,-8.93020686915,-48.608888813,20.8415,-34.86,-12.1635,19.916,0.042925,86.86,21.049,-60.534,33.89764883875,55.2652975,-12.2,0,-10.1555,-16.969,-13.3185,-10.584,-13.0615,-11.91375,205.86
2,14.75,-0.034735,-9.39686175,-73.8925,14.454,-35.37575,-12.198,18.5925,0.03653,86.8675,17.29425,-68.212,24.748663172,47.2376625,-12.254,0,-10.1585,-17.0665,-13.3385,-10.5685,-13.1285,-11.934,205.98
2,15.25,-0.0550289468749999,-6.68325050285,-69.005175,9.54975,-35.79,-12.223,20.83125,0.0329,86.935,11.127,-76.114,13.87140554,29.97436,-12.182,0,-10.1485,-17.1415,-13.3555,-10.567,-13.16,-11.9305,205.695
2,15.75,-0.1111185488,-11.402701103,-71.1490675,3.057,-35.78225,-12.24925,22.2705,0.0318925,86.8675,5.59985,-77.72375,5.802433038925,14.2536125,-12.204,0,-10.177,-17.072,-13.381,-10.564,-13.144,-11.92925,204.92
2,16.25,-0.00335,-10.04911767865,-82.380215,0,-35.8345,-12.206,23.61225,0.04092,86.6675,2.179375,-81.6015,0.64723445375,5.06388675,-12.114,0,-10.16,-16.9855,-13.4065,-10.571,-13.125,-11.916,205
2,16.75,-0.171931459775,-5.585133256875,-70.68657,0,-36.26025,-12.1995,23.07875,0.046345,86.765,0.425075,-81.5025,0,0.923633475,-12.03,0,-10.1955,-16.889,-13.442,-10.571,-13.0995,-11.90625,205.265
2,17.25,-0.18754504265,-6.998784955375,-78.0527,0,-36.566,-12.19,23.64,0.0385575,86.725,0,-78.585,0,0.0967485775,-11.992,0,-10.19,-16.784,-13.4575,-10.578,-13.069,-11.89725,205.5875
2,17.75,0,-5.2920175,-85.9854225,0,-36.60175,-12.11325,25.19475,0.0417,86.72,0,-73.8755,0,0,-11.936,0,-10.207,-16.7165,-13.4915,-10.578,-13.04425,-11.886,204.88
2,18.25,0,-3.8668973742,-82.51,0,-36.95375,-11.96275,25.998,0.0382325,86.725,0,-72.261,0,0,-11.988,0,-10.2,-16.674,-13.494,-10.578,-13.02875,-11.872,203.375
2,18.75,0,-3.9489943538,-65.7274,0,-36.45525,-11.9195,26.03875,0.045065,86.6625,0,-69.565,0,0,-12.062,0,-10.2255,-16.6385,-13.443,-10.571,-13.01575,-11.8635,203.9625
2,19.25,0,-4.7271059574,-77.14449,0,-36.602,-12.02875,24.5225,0.0413325,86.63,0,-68.8825,0,0,-12.048,0,-10.2155,-16.6015,-13.3935,-10.577,-13.00875,-11.87525,203.6025
2,19.75,0,-4.2506591144,-79.5634575,0,-36.02375,-12.123,24.471,0.04328,86.7,0,-68.24825,0,0,-12.044,0,-10.241,-16.571,-13.364,-10.5825,-12.988,-11.87075,203.595
2,20.25,0,-9.41181165825,-83.5107,0,-36.36825,-11.99575,23.06425,0.039645,86.66,0,-68.3935,0,0,-12.058,0,-10.2225,-16.5555,-13.368,-10.5895,-12.97675,-11.884,204.76
2,20.75,-0.032594975,-5.4428984755,-74.47265,0,-37.0595,-12.063,22.787,0.04828,86.56,0,-69.3605,0,0,-12.102,0,-10.2395,-16.5355,-13.4005,-10.5865,-12.961,-11.89675,204.05
2,21.25,0,-6.598545648975,-73.6178,0,-37.0085,-12.0965,21.6775,0.0399275,86.46,0,-69.39,0,0,-12.066,0,-10.2295,-16.523,-13.453,-10.5935,-12.94775,-11.90925,205.0575
2,21.75,0,-5.4324677,-64.9355565205,0,-36.51575,-12.0955,22.41525,0.0443525,86.515,0,-70.162,0,0,-12.126,0,-10.2125,-16.513,-13.4885,-10.5905,-12.93775,-11.886,205.0625
2,22.25,0,-5.256709513,-76.2614575,0,-36.488,-12.083,23.136,0.039,86.4525,0,-68.71725,0,0,-12.13,0,-10.18625,-16.52125,-13.545,-10.6025,-12.944375,-11.865625,204.6
2,22.75,-0.012,-4.13525426945,-65.10825,0,-36.418,-12.0635,24.574,0.049135,86.5,0,-68.4045,0,0,-12.175,0,-10.16875,-16.52,-13.59125,-10.5925,-12.9425,-11.85375,204.76
2,23.25,0,-4.206701745975,-94.77406,0,-36.288,-12.0555,23.81,0.04176,86.5,0,-66.645,0,0,-12.1925,0,-10.1575,-16.525,-13.6275,-10.60125,-12.941875,-11.84625,205.925
2,23.75,0,-3.450640958625,-84.0344,0,-36.27,-12.08625,22.72775,0.042175,86.5525,0,-65.7675,0,0,-12.18,0,-9.95,-16.5105,-13.3395,-10.596,-12.92875,-11.625,205.76
3,0.25,0,-3.754970196,-75.156795,0,-31.7345,-11.709,19.2715,0.035325,87.525,0,-67.55175,0,0,-11.4915,0,-6.6049,-10.802,-9.188,-6.9166,-8.5394,-8.1357,373.965
3,0.75,0,-3.36257300885,-76.51284,0,-31.78425,-11.6555,19.39675,0.036358,87.6,0,-68.46075,0,0,-11.37575,0,-6.320825,-10.776,-9.12575,-6.87485,-8.75335,-8.1249125,373.415
3,1.25,0,-5.4610546469,-75.783515,0,-31.59725,-11.634,20.224,0.0394585,87.62,0,-68.193,0,0,-11.339,0,-6.61865,-10.8305,-9.16675,-6.9569,-8.8143375,-8.2984875,374.3
3,1.75,0,-5.793118322175,-71.53935,0,-31.60625,-11.61775,20.2445,0.03286,87.62,0,-69.3935,0,0,-11.3295,0,-6.702775,-10.8365,-9.18125,-7.0014,-8.8697375,-8.3946625,374.22
3,2.25,0,-3.6672065,-67.81882,0,-31.51375,-11.61,20.629,0.036029,87.32,0,-68.433,0,0,-11.22975,0,-6.7973,-10.8295,-9.1835,-7.060075,-8.884425,-8.4505375,374.315
3,2.75,0,-3.952081869375,-75.054825,0,-31.4885,-11.637,21.0845,0.0339375,87.32,0,-68.733,0,0,-11.23975,0,-6.806275,-10.81175,-9.20675,-7.030075,-8.896425,-8.486775,374.2875
3,3.25,0,-8.2460951398,-78.473125,0,-31.43975,-11.68475,19.16025,0.0394,87.4,0,-68.4775,0,0,-11.199,0,-6.77645,-10.794,-9.24325,-7.076825,-8.8742125,-8.467025,374.245
3,3.75,0,-7.479057772,-78.09212,0,-31.58825,-11.67475,21.0015,0.034204,87.3175,0,-69.885,0,0,-11.1995,0,-6.8324,-10.767,-9.27425,-7.0767,-8.88235,-8.4877375,271.58
3,4.25,0,-7.86103375,-73.83351559,0,-31.6395,-11.709,21.0865,0.036072,87.5,0,-69.1055,0,0,-11.42,0,-6.8656,-11.154,-9.312,-7.0906,-8.99845,-8.4832,374.2225
3,4.75,0,-5.346265,-65.771177705,0,-31.5165,-11.733,21.023,0.0285875,87.4,0,-69.34425,0,0,-11.3865,0,-6.893,-11.207,-9.352,-7.0706,-9.0445,-8.4814,374.32
3,5.25,-0.0273,-3.06274625,-65.306013933,0,-32.24025,-11.73325,21.58875,0.036034,87.4,0,-68.6755,0,0,-11.26975,0,-6.899725,-11.27575,-9.4015,-7.0583,-9.0910375,-8.4850875,255.3375
3,5.75,0,-6.800632,-65.3913075,0,-31.8865,-11.66475,20.66925,0.033,87.4125,0,-66.03375,0,0,-11.27975,0,-6.92645,-11.3135,-9.4525,-7.05795,-9.124475,-8.4777375,370
3,6.25,0,-7.2433421338,-63.712945,0,-31.8365,-11.56,20.849,0.031304,87.415,0,-66.196,0,0,-11.38625,0,-6.96625,-11.393,-9.492,-7.1028,-9.1733,-8.494075,370.8575
3,6.75,0,-6.634653,-70.703864945,0,-32.04625,-11.539,20.25125,0.03006,87.41,0,-63.9595,0,0,-11.49125,0,-6.994625,-11.432,-9.50825,-7.0967,-9.1662125,-8.4974125,212.12
3,7.25,0,-5.4875816428,-67.913265,0,-31.75775,-11.54875,20.739,0.031917,87.5,0,-64.33125,0,0.05972658,-11.371,0,-7.02625,-11.48325,-9.56825,-7.10085,-9.1699375,-8.501625,210.9925
3,7.75,0,-7.406372372175,-77.445455,0,-31.749,-11.675,19.804,0.0365145,87.5175,0.72125,-60.9975,0,1.38540625,-11.2795,0,-7.1194,-11.568,-9.618,-7.1588,-9.1501,-8.4629,211.2
3,8.25,0,-5.7053475,-60.31061,2.8552,-31.8885,-11.73,18.52575,0.035989,87.505,4.053725,-60.73525,7.788631818375,9.81535,-11.28775,0,-7.150875,-11.6025,-9.56975,-7.125275,-9.173125,-8.451725,211.4
3,8.75,0,-5.4700941384,-56.616420624,12.08,-31.39225,-11.79875,17.475,0.03931,87.5175,11.213,-50.03325,27.769042221,30.2104,-11.414,0,-7.210375,-11.63375,-9.5555,-7.15695,-9.1883125,-8.45075,213.16
3,9.25,-0.1313852,-4.73045447985,-63.981795,26.9475,-30.22075,-11.7775,17.3055,0.029356,87.52,22.485,-43.15175,55.7582366865,62.7126,-11.35775,0,-7.247,-11.66375,-9.499,-7.2014,-9.2005,-8.452775,213.17
3,9.75,-0.05981,-4.4352922286,-70.096185,58.58675,-29.4295,-11.709,16.1445,0.03565,87.5175,37.7155,-27.442,94.792842033,98.5610625,-11.5425,0,-7.2138,-11.694,-9.466,-7.2288,-9.2136,-8.4661,213.4625
3,10.25,-0.0969411999999999,-8.300481686525,-63.6419675,78.811,-29.4195,-11.736,16.718,0.0379465,87.6,59.9875,-16.672,137.6924837025,150.399525,-11.563,0,-7.2324,-11.713,-9.432,-7.258,-9.21895,-8.4599,244.53
3,10.75,-0.3677695075,-5.4600645,-67.0369125575,101.97,-29.366,-11.807,17.4165,0.036205,87.5175,76.0375,-13.1735,144.89403335,196.282625,-11.5385,0,-7.2424,-11.731,-9.372,-7.277,-9.2281,-8.4635,215.8575
3,11.25,-0.5068032307,-7.9235990985,-53.993188457,119.14,-29.3065,-11.843,17.47,0.0331945,87.5,89.625,-14.29575,174.9602492625,249.12885,-11.53,0,-7.2447,-11.732,-9.366,-7.301,-9.224,-8.4552,213.5625
3,11.75,-0.03185,-9.3681225,-61.469746255,132.175,-29.088,-11.814,17.528,0.03128,87.5,101.285,-8.51975,226.29355,272.64195,-11.549,0,-7.248,-11.758,-9.248,-7.328,-9.2283,-8.4336,212.9
3,12.25,-0.10915875,-7.982338145725,-71.170911672,138.96,-28.5895,-11.739,17.8875,0.0321815,87.5,108.785,-13.40125,229.50228743,294.6759,-11.4865,0,-7.2565,-11.718,-9.146,-7.341,-9.2291,-8.4064,212.8275
