DOY2,HR2,CO2,FC,G,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SW_IN,SW_OUT,T_SONIC,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,USTAR,VPD,WS
1,10.25,411.4585,-0.955325,-8.19160194404294,2.85934359861147,2.92956233987246,13.9655890916039,234.675,306.175,60.66,99.1808,190.25,15.4975,70.997292711508,96.125,8.7975,-4.62620169089947,-4.99625,-1.039,-0.5,1.6,1.9825,3.62675,-0.9,-0.3,1.1335,2.142,3.60675,-0.6535,-0.35775,0.609,1.15825,1.803,2.65625,3.098,4.084,5.45525,-1.93475,-1.362,-0.086,0.681,1.37125,2.095,2.6465,3.746,5.278,0.18873875,0.396548830385986,2.7766275
1,10.75,411.11275,-0.9727795,-8.36385939816152,4.5779,3.04987706847072,15.319425,236.5,309.025,71.5525,99.1909,219.4,17.9125,69.5126871510319,106.575,9.4475,-3.86682115689194,-4.7575,-1,-0.5,1.6,1.96825,3.61175,-0.8,-0.317,1.125,2.17825,3.60675,-0.20575,-0.28175,0.585,1.173,1.803,2.65625,3.098,4.074,5.45525,-1.0675,-1.12925,-0.067,0.691,1.39025,2.095,2.637,3.741,5.288,0.1955055,0.398710923389234,2.777475
1,11.25,411.027,-1.10434,-7.54066000010823,7.41093,3.03482430190467,19.950425,237.675,312.55,78.1125,99.128286461697,267.975,17.305,68.6663032824196,128.15,10.37,-3.65689569646483,-4.054,-0.817,-0.5,1.6,1.96825,3.62675,-0.8,-0.325,1.1,2.14975,3.58325,0.029,-0.24375,0.58975,1.2355,1.76875,2.676,3.07875,4.079,5.435,-0.62475,-0.944,-0.067,0.701,1.3665,2.114,2.573,3.711,5.243,0.206111,0.400380140167409,2.853795
1,11.75,410.5205,-1.115145,-6.64414750002634,11.52185,3.08549992345016,21.05275,242.125,313.85,75.22,99.1114929594183,255.325,19.1275,67.2298281084873,127.275,9.7525,-3.29315772263148,-3.928,-0.767,-0.517,1.6,1.96825,3.62675,-0.775,-0.35,1.1,2.212,3.5875,0.182,-0.20575,0.585,1.1825,1.788,2.65625,3.093,4.079,5.44025,0.2065,-0.75875,-0.06225,0.681,1.357,2.10925,2.60775,3.751,5.238,0.218301,0.45020333524823,3.05158
1,12.25,410.314,-0.98235975,-5.90877847217652,10.69315,3.18067298926771,22.923025,242.85,314.25,78.79,99.1071374199218,257.375,15.73,66.8652206124469,123.9,9.56,-3.16655289441283,-3.567,-0.7,-0.5,1.6,1.96825,3.60675,-0.7335,-0.3335,1.125,2.317,3.58325,0.355,-0.14325,0.58025,1.1825,1.77375,2.676,3.093,4.074,5.435,0.7245,-0.625,-0.048,0.701,1.36175,2.095,2.6025,3.77025,5.228,0.2281145,0.432071742724652,3.175635
1,12.75,410.2465,-1.05143839547101,-6.0642147220623,10.4998,3.26572580600202,23.9865,246.85,314.1,76.5975,99.0809035636935,242.5,15.79,66.8203014266571,117.4,8.8225,-3.04979669883267,-3.22,-0.7,-0.5,1.6,1.96825,3.60675,-0.6875,-0.32475,1.12475,2.3205,3.5585,0.547,-0.105,0.5375,1.1825,1.783,2.622,3.093,4.079,5.44025,0.9315,-0.4775,-0.086,0.701,1.357,2.09,2.622,3.726,5.228,0.225454,0.489227177388141,2.94226
1,13.25,410.117,-1.038515,-5.76718083342726,9.15701,3.72370954976168,24.24,246.625,314.225,68.645,99.02,217.725,14.955,65.2886369212556,104.5,7.8365,-1.74703855493201,-3.311,-0.6875,-0.5,1.6,1.95325,3.60675,-0.5835,-0.3165,1.11275,2.37775,3.55,0.5565,-0.028,0.528,1.183,1.764,2.661,3.074,4.054,5.43,0.84,-0.3815,-0.067,0.662,1.337,2.095,2.578,3.726,5.202,0.223106,0.508493780954513,3.02261
1,13.75,410.492,-0.9717595,-6.40303458315628,9.615083437213,3.45964835740855,24.1672,249.25,314.125,64.01,99.03375,200.2,12.3975,64.8035671992914,91.7,6.619,-2.29267364149637,-3.11275,-0.62475,-0.5,1.6,1.89,3.5475,-0.5165,-0.3085,1.183,2.447,3.495,0.662,-0.009,0.53725,1.202,1.764,2.632,3.074,4.044,5.43,1.192,-0.3435,-0.10025,0.6715,1.352,2.114,2.598,3.716,5.228,0.21792,0.519230610723165,3.10501742623043
1,14.25,410.15225,-0.550174,-7.29411856471522,5.377005,3.54166210095103,20.4236,249.225,313.975,49.52,99.0061,176.85,11.435,63.2254353463683,81.95,6.20475,-1.95129290869851,-2.998,-0.58325,-0.5,1.617,1.95325,3.5875,-0.4935,-0.3165,1.2,2.387,3.552,0.35025,-0.009,0.53275,1.2505,1.788,2.65125,3.074,4.059,5.45525,1.20225,-0.1955,-0.0955,0.681,1.357,2.10925,2.622,3.726,5.228,0.2185755,0.540235613756027,3.01482149024267
1,14.75,409.609,-0.393497452299312,-6.91976870393581,3.36711,3.7079368489241,18.5749,246.35,311.725,40.54,99.0385,139.025,8.3325,64.6126762644852,63.7725,4.97975,-2.07683090225541,-2.7995,-0.59575,-0.5,1.6,1.939,3.60175,-0.4585,-0.3,1.2,2.32475,3.56,0.42225,0.00525,0.508,1.2405,1.77375,2.6615,3.07875,4.079,5.435,0.98025,-0.19075,-0.08125,0.662,1.376,2.09,2.603,3.711,5.207,0.1965095,0.492142708249565,3.039285
