DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,G,SG,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_1_2,RH_1_1_2,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_1_2,TS_2_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN,SW_IN_1_1_1,SW_OUT,LW_IN,LW_OUT
1,20.75,425.9992,0.9384155,5.709469,0.055735545,1.504922,4.542666,-22.92204,-35.71513,-30.697125,1.406901,0.1526058,-0.0260726,0.571125,0.3716512,0.1988575,98.308015,8.783519,54.67435,9.9435245,50.20589,5.33835,10.36418,0.4387033,12.732395,12.16415,14.355,-51.106285,-68.71272,0.01644839,0.5197499,0.09584722,281.8337,347.4293
1,21.25,426.17055,1.01616,5.764544,0.063665605,1.3411335,5.552397,-24.53043,-36.49079,-30.54046,1.520227,0.1923372,-0.04445381,0.6748449,0.4320537,0.229244,98.31403,8.234235,56.19848,9.0306845,51.339445,4.767106,9.51349,0.3769954,12.54722,11.851385,14.21765,-48.622315,-61.87681,0.01583499,0.5197499,0.092763885,284.8092,344.1158
1,21.75,427.0153,0.9994066,5.626356,0.0635816,1.461555,2.604534,-17.25981,-32.27353,-26.94896,1.589744,0.1790372,-0.03840535,0.5714476,0.4021256,0.2214305,98.33575,7.875974,58.07899,8.358844,52.43665,4.754099,9.049318,0.3217619,12.44075,11.672555,14.09757,-46.45444,-58.67122,0.01449993,0.5197499,0.097319435,287.3328,342.8713
1,22.25,426.7687,0.8004927,5.72594,0.05322675,1.449598,3.642793,-16.00618,-32.61433,-27.48186,1.5892855,0.1734469,-0.03546937,0.55950275,0.40670995,0.227351,98.3431,7.392281,59.38163,7.670157,53.19099,4.5473535,8.442865,0.30406785,12.322995,11.40703,14.00688,-47.881675,-63.22506,0.01478657,0.5197499,0.09284722,285.1799,340.8633
1,22.75,427.8428,1.0997085,5.7567455,0.05387121,1.215376,4.431832,-21.91771,-31.955895,-21.86611,1.53335,0.1848772,-0.03801008,0.5297243,0.40570475,0.2407781,98.368965,6.852658,61.81978,7.483161,54.77951,4.442159,7.9862395,0.3129385,12.17604,11.1685,14.01848,-46.569155,-62.17672,0.01397146,0.5197499,0.0794375,287.8718,339.5854
1,23.25,426.6165,1.008005,5.483426,0.054999175,1.430352,3.600685,-18.10775,-31.90751,-22.14755,1.532699,0.1754087,-0.03636377,0.5166591,0.3850693,0.2116531,98.35881,6.606968,61.87603,7.0816195,54.81715,4.208421,7.564044,0.2932162,11.958385,11.033875,13.91233,-45.97186,-58.87127,0.0144688,0.5197499,0.09333333,298.3016,338.01
1,23.75,427.1441,1.0115824,5.509675,0.05905991,1.188028,2.5217865,-22.55222,-31.23634,-21.25139,1.553727,0.176557,-0.03880541,0.5715182,0.436832,0.2240943,98.348765,6.2259575,63.062925,6.410934,58.23848,3.9884135,7.120173,0.3023794,11.770265,10.87325,13.76972,-45.43277,-59.64022,0.01428924,0.5197499,0.1162361,291.6062,336.8684
2,0.25,429.3923,0.9376526,8.258415,0.05342548,1.6572115,4.508967,-8.213068,-25.86613,-21.5548,1.881667,0.2653018,-0.12921535,0.768039,0.5771763,0.3222749,98.4141,10.43312,77.560575,11.74681,74.09258,3.794504,12.31791,0.2052993,14.67671,11.95959,15.48596,-33.59443,-37.49117,0.009134691,0.1543611,0.1025278,320.4209,361.4139
2,0.75,430.12395,0.90458545,8.276527,0.04803766,1.536428,3.357971,-14.08097,-24.04797,-21.94173,1.840882,0.2961674,-0.10908,0.7593583,0.5444368,0.3659331,98.38626,10.27983,77.26417,12.122775,76.46323,3.328922,12.21763,0.1940102,14.37145,11.69619,15.41402,-30.41729,-39.40044,0.01347369,0.1543611,0.1074444,314.4248,360.9266
2,1.25,431.156,1.138695,8.373926,0.06756242,1.805583,2.617464,-10.133993,-26.7536,-20.18214,1.822108,0.2867928,-0.09559318,0.7374324,0.6607056,0.3399153,98.40553,10.16329,80.14165,11.86064,78.10915,3.341318,11.76005,0.2024827,14.32958,11.4412,15.34467,-31.56286,-41.74258,0.01248673,0.1543611,0.080708335,313.5473,359.825
