DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,NEE,TAU_1_1_1,USTAR_1_1_1,CO2_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,CO2_SIGMA_1_1_1,WS_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SG_1_1_1,SG_2_1_1
1,13.75,-1.1263,32.7005,32.618,-1.1067,-0.109563325022308,0.294473418468467,403.825773541588,3.77647551074723,0.136258709964248,0.927525955277382,4.187593,0.92862071055946,0.929987352343924,0.352058665512473,98.75089,65.9784,2.0605,1.2056,467.6347,80.36404,302.98,88.77335,284.8922,323.7419,102.1859,2.872087,0.27069725,1.453526,1.219964,1.625371,-5.278077,-4.6584575,-5.049029,-4.975489,3.89670495375565,3.54820004285804
1,14.25,-0.9215,23.384,31.161,-0.944445,-0.110187078583179,0.296343789624843,403.764550738971,3.70886950864018,0.141132635526063,0.936866979932916,3.98657,0.931309556489804,0.891358710030383,0.348432437411366,98.771575,65.9283,2.1268,1.2528,400.2676,72.209785,244.255,77.77642,286.8982,322.449,93.10956,2.89178,0.20902065,1.492298,1.2715025,1.6360725,-5.2800325,-4.6431505,-4.961381,-4.8741525,3.28296286710632,3.40215831162535
1,14.75,-0.68077,15.544,30.205,-0.698135,-0.0979887001229253,0.280163349956436,403.696078973143,3.72299922250455,0.139047377570383,0.838422583046469,3.948032,0.921829621203463,0.859467165220139,0.335810654646474,98.75529,64.7428859689991,2.2556,1.2788,329.2156,60.56279,202.56,67.04089,288.3701,322.3339,68.8029,2.875825,0.20145385,1.450809,1.339833,1.656169,-4.649695,-4.2899875,-5.00073,-4.875571,1.58611561063943,1.42991239574889
1,15.25,-0.44448,9.5269,25.0755,-0.49183,-0.0919784536102312,0.272004416588189,403.644275979114,3.5981902301014,0.121506830062095,0.689539282623231,3.9059585,0.887462303001383,0.843347196375874,0.328745052470766,98.76074,63.94621,2.29145,1.0318,256.1371,49.5596,158.3,54.74531,286.1401,318.4816,44.10948,2.9030655,0.1583703,1.594797,1.278274,1.646193,-5.138981,-4.369329,-5.025373,-4.759316,0.733327045037889,0.525670011073493
1,15.75,-0.17526,1.9279,20.7375,-0.19147,-0.0875436969707647,0.2597002120304,403.446350594981,3.69178238671332,0.107971114551901,0.546793638045555,3.7426935,0.818473909263266,0.785277101490634,0.323006236836192,98.7443,65.46776,2.1956,0.85672,176.7922,35.77253,108.8,40.2265,286.3825,316.8414,27.36996,2.816525,0.1476977,1.490212,1.31295,1.693042,-5.086036,-4.196658,-5.036057,-4.528711,0.217653149319267,-0.189161005832786
1,16.25,0.121855,-3.2225,15.1165,0.13694,-0.0807328608673708,0.252269970006474,403.740636061326,3.71387738742063,0.0984374901858434,0.534432811452981,3.4856215,0.832535765900692,0.701952970820747,0.312647045409443,98.757615,66.642855,2.0458,0.68001,99.04893,20.13066,63.459,24.34984,285.11235,315.88985,3.7880645,2.7494815,0.15354345,1.4069695,1.2481415,1.702771,-5.214565,-4.420749,-5.9956225,-4.9408545,-1.02983353357812,-1.43765580365024
1,16.75,0.33887,-7.4092,9.61935,0.386465,-0.06506254103102,0.228996379127345,404.113565970562,3.61865695862212,0.0802292362168271,0.665987285604064,3.302587,0.755217671681183,0.602633298145237,0.283404576537698,98.75576,68.2056,1.78485,0.611445,32.86848,7.4078745,20.7745,7.8806845,282.0839,314.62885,-15.499535,2.59196,0.1820468,1.374827,1.2360255,1.71508,-5.4413465,-4.4713415,-6.2571655,-5.200088,-2.13824708313084,-2.21538255056943
1,17.25,0.52071,-7.97065,7.1955,0.6063,-0.0528559254951386,0.207074901669821,404.206797376047,3.61436806040009,0.0667052179547025,0.756645312428423,2.9804105,0.673680843190235,0.51853447734509,0.258968074324108,98.75441,70.56197,1.59405,0.48929,4.3675665,0.7446255,0.80961,1.521064,280.63125,313.0805,-26.914935,2.4925835,0.24280095,1.2891025,1.161058,1.7272385,-6.050359,-5.091371,-6.7598705,-5.9779195,-3.9533835419697,-3.71798572666478
1,17.75,0.50036,-7.9827,5.4171,0.57864,-0.0419216131069419,0.178973646840892,404.542019834046,3.73082520017108,0.0628014680387876,0.797711768058639,2.764844,0.60900158508234,0.476926053071098,0.229406082713042,98.76888,71.9947092070141,1.5721,0.425615,0.1852607,-0.055207445,0,0.67972825,284.27455,311.65285,-25.952585,2.304113,0.2228337,1.2176295,1.0654575,1.7265165,-6.755091,-5.842509,-7.2655675,-6.4360115,-5.30108534177778,-5.21826678249773
1,18.25,0.4752,-8.16295,4.5363,0.6256,-0.0430181101050981,0.183626900526368,404.887347752033,3.7084146774955,0.0588254844789254,0.876571751671313,2.672023,0.558660006455947,0.467644220469372,0.223756180999032,98.77723,73.167995,1.54895,0.3295,0.088277135,-0.083122865,0,0.73045225,282.4658,311.12515,-26.711005,2.241406,0.2222351,1.1779585,1.0332255,1.742131,-6.937301,-6.0309045,-7.6367445,-6.9321725,-4.93556046317183,-4.04145064953821
