DOY2,HR2,LE,H,CH4,FCH4,CO2,FC,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1
3,1.75,8.07,-3.69,2325.33,58.53,404.23,3.23,1.235,0.135,99.67,96.735,24.67,-31.14,-1.04063,1.62084,418.0757,446.503,28.265565,27.35692,27.10358
3,2.25,9.04,-3.94,2346.28,59.155,403.18,3.28,1.17,0.125,99.64,96.6,24.6,-31.09,-1.209465,1.673985,417.11815,446.12315,28.128625,27.35499,27.10417
3,2.75,10.37,-3.045,2396.06,56.16,402.53,2.88,1.04,0.12,99.63,96.7,24.5,-28.63,-1.101965,1.62539,418.962,445.61645,28.046795,27.36204,27.10417
3,3.25,7.48,-2.965,2418.46,55.63,401.41,2.985,1.175,0.125,99.605,96.8,24.4,-28.815,-1.086465,1.532905,420.6357,445.25935,28.10585,27.36033,27.1
3,3.75,6.56,-2.85,2394.46,56.98,403.85,2.98,1.105,0.115,99.62,96.855,24.4,-28.31,-1.136295,1.54813,421.42315,445.1162,27.877515,27.35479,27.1
3,4.25,10.385,-2.815,2400.755,60.585,405.92,3.24,1.055,0.12,99.63,96.9,24.3,-26.23,-1.081245,1.52757,419.6023,444.167,27.71771,27.36144,27.1
3,4.75,9.67,-3.14,2431.21,46.54,406.425,2.825,1.045,0.12,99.635,96.9,24.3,-26.165,-1.061245,1.552515,421.62035,443.8895,27.674765,27.35772,27.1
3,5.25,6.45,-2.36,2357.7,50.115,407.98,2.51,0.955,0.1,99.64,96.9,24.2,-26.145,-0.973545,1.55934,419.2223,443.6743,27.62368,27.35346,27.1
3,5.75,6.945,-2.415,2367.815,57.245,410.63,3.09,1.025,0.11,99.66,96.9,24.195,-25.11,-1.033155,1.576865,420.1837,443.8095,27.630975,27.354925,27.1
3,6.25,8.5,-2.505,2331.37,59.57,410.98,2.9,1.015,0.12,99.69,96.97,24.2,-22.575,1.728,1.982445,420.7836,443.5419,27.54688,27.35506,27.1
3,6.75,16.8,-1.225,2458.73,66.08,408.74,2.79,1,0.13,99.73,97,24.3,2.295,35.72595,7.78596,418.2037,444.18335,27.589275,27.35599,27.10417
3,7.25,54.95,0.96,2356.01,131.51,406.915,1.775,1.12,0.18,99.76,97.1,24.55,50.955,106.10705,19.68698,417.33065,446.9747,27.953155,27.33075,27.11718
3,7.75,95.42,6.145,2315.12,78.19,398.95,-2.285,1.335,0.22,99.805,96.15,25.1,126.935,199.8426,35.4937,418.56225,450.4193,28.437155,27.339625,27.124155
3,8.25,157.55,18.695,2213.7,109.89,391.98,-6.83,1.615,0.27,99.84,92.985,25.8,221.09,302.6502,52.20826,420.7289,454.78435,29.038805,27.334215,27.13372
3,8.75,186.39,38.585,2174.09,104.59,387.235,-9.6,1.745,0.29,99.86,88.5,26.69,316.69,417.3015,69.57903,422.1219,460.05905,29.59749,27.30785,27.15513
3,9.25,217.37,58.74,2134.69,119.485,380.56,-11.86,1.84,0.31,99.88,84.085,27.51,409.3,523.45595,84.06892,425.0348,463.57375,30.11256,27.30467,27.162785
3,9.75,260.5,82.49,2107.43,117.98,378.375,-12.7,1.66,0.31,99.895,78.66,28.5,498.69,633.9032,99.91737,427.64665,467.138,30.47642,27.3,27.164
3,10.25,287.56,91.45,2113.03,104.54,375.95,-13.77,1.735,0.33,99.89,73.955,29.51,584.195,740.4231,114.73985,430.4946,471.7211,30.9427,27.3,27.15975
3,10.75,314.08,101.75,2094.385,109.42,375.435,-15.26,1.675,0.36,99.885,70.66,30.375,634.615,796.60045,117.1265,434.7096,475.5706,31.51471,27.3,27.1481
3,11.25,352.18,96.32,2085.16,142.54,375.35,-15.93,1.69,0.32,99.86,68.25,30.87,668.255,824.2204,125.24435,438.9611,478.7383,31.86295,27.3,27.158705
3,11.75,358.88,116.085,2078.31,133.13,373.95,-15.98,1.66,0.345,99.845,66.5,31.15,686.275,872.51775,133.68645,439.74705,480.88805,32.179375,27.3,27.163225
3,12.25,363.18,112.495,2096.52,135.52,373.54,-15.43,1.65,0.34,99.8,65.25,31.665,697.7,845.42905,123.83905,441.3456,483.9519,32.603315,27.3,27.137085
3,12.75,359.495,102.14,2098.74,157.09,373.5,-15.75,1.62,0.33,99.745,64.785,31.995,670.1,822.0862,120.9213,443.0869,485.3433,32.81802,27.3,27.13839
3,13.25,366.9,97.78,2086.84,154.96,373.105,-14.74,1.505,0.295,99.69,63.55,32.2,656.94,787.6752,121.5474,444.0855,485.5026,32.92985,27.3,27.13109
3,13.75,384.74,102.68,2075.68,185.7,373.06,-14.79,1.525,0.33,99.63,62.25,32.475,620.075,750.6276,115.0187,445.2472,485.024,33.01706,27.3,27.127935
3,14.25,328.17,82.03,2022.735,166.16,371.95,-12.91,1.7,0.35,99.57,61.15,32.55,555.14,668.4117,102.9945,443.2225,483.907,33.0564,27.3,27.13451
3,14.75,310.7,60.675,2067.37,164.94,371.75,-12.56,1.77,0.32,99.54,63.02,32.415,501.47,627.6508,99.50263,441.5201,481.1408,33.06896,27.3,27.132045
3,15.25,287.175,46.49,2079.28,158.275,371.455,-11.12,1.61,0.3,99.495,63.025,32.2,404.31,509.8094,80.66941,437.23995,477.3164,32.79097,27.3,27.13279
3,15.75,230.45,31.88,2077.36,131.28,372.24,-9.08,1.79,0.27,99.465,63.715,32.05,355.825,443.0704,72.19862,437.1525,474.4184,32.67314,27.3,27.12445
3,16.25,175.14,15.6,2083.93,141.155,370.56,-7.58,1.65,0.31,99.455,65.69,31.845,245.225,290.3141,46.64923,434.3789,471.3463,32.50064,27.3,27.12239
