DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
2,23.75,-18.21021136,-0.6336695,1.90679,0.01169568,0.278572,-0.004915865,-0.0362,396.286,0.871806901,7.253795,0.081262337,0.524793,0.424378,0.199118,2.82199,0.1922,11.2197,0.432296,9.59,40.48,88.6,7.100950894,9.03,12.1,10.95,11.01,-16.08737,-8.006143,0,0,-63.825,0,0
3,0.25,-21.52243879,-0.689574,2.28635,0.104565,0.49561,-0.000352024,-0.041,394.258,0.971957404,7.53775,0.061193374,0.526477,0.435942,0.212159,2.78965,0.2003098,14.3621,0.44011,12.3015695,29.745,88.6,9.9674633765,13.35,16.57,15.44,16.01,-20.47267,-8.052264,0,0,-69.45,0,0
3,0.75,-20.42165,-0.620793,2.14495,0.0331196,0.461553358,-0.0118569,-0.04525,394.191,1.009300269,7.454425,0.0677426755,0.5658345,0.4452055,0.2179185,2.728845,0.210792,14.47605,0.4624185,12.065,30.08,88.6,9.9581041535,13.1,16.13,15.07,15.67,-21.07361,-8.270943,0,0,-69.29,0,0
3,1.25,-21.80295,-0.611818,1.98494,-0.009571585,0.436694,-0.002986105,-0.04325,393.64,0.9834454915,7.49892,0.0640811005,0.548355,0.4487755,0.210254,2.75886,0.20519925,14.10235,0.4775185,11.905,30.54452642,88.6,9.649151852,12.88,15.77,14.78,15.37,-21.56434,-8.3662115,0,0,-69,0,0
3,1.75,-21.8345,-0.616214,2.173,0.100267,0.457734964,-0.00547992,-0.0481,393.838,0.953349885,7.45775,0.06567697,0.553798,0.461256,0.218954,2.78483,0.2144255,14.0675,0.466089,11.7,31.13,88.6,9.588878985,12.45,15.44,14.49,15.16,-21.82194,-8.675863,0,0,-68.69,0,0
3,2.25,-21.8145,-0.33977,2.05177,-0.0309605,0.474292,-0.00805077,-0.04765,393.494,1.0446252345,7.41562,0.0662874545,0.5613365,0.457569,0.21665,2.81261,0.2139295,13.7282,0.48132,11.57,31.715,88.6,9.6119380305,12.05,15.14,14.2,14.97,-22.10281,-9.0088385,0,0,-68.38,0,0
3,2.75,-20.56645626,-0.87696,2.06691,0.13516,0.457998,-0.00449721,-0.0457,393.471,0.931977355,7.42339,0.062489173,0.545903,0.446232,0.213287,2.83033,0.2094547,13.5733,0.452044,11.185027,31.80506632,88.56,9.32221548,11.69,14.97,13.9,14.74,-22.45686,-9.265704,0,0,-67.41,0,0
3,3.25,-21.7246,-0.821502,1.9930569845,0.1599,0.441866,-0.00191041,-0.0454,393.665,0.944356731,7.475,0.062132724,0.582325,0.460517,0.214904,2.85082,0.209412,13.4324,0.453582,11.2045455,32.73,88.5,9.0672063135,11.19,14.71,13.6,14.48,-22.69493,-9.4483395,0,0,-66.6,0,0
3,3.75,-21.55165,-0.60542,2.126085391,0.0633133,0.442233,-0.00640225,-0.046,393.534,0.9206242565,7.49999,0.064646897,0.548958,0.467536,0.217594,2.85357,0.211586,13.1606,0.449998,10.79,33.725,88.5,8.6917108995,10.72,14.4,13.43,14.12,-23.01524,-9.611295,0,0,-66.025,0,0
3,4.25,-22.45535,-0.5915045,2.211045759,0.1547935,0.4374645,-0.00290589,-0.0458,393.7975,0.9402079815,7.49061,0.079936824,0.5510965,0.450591,0.218872,2.756515,0.211981,12.89665,0.4541425,10.655,33.66,88.5,8.5632729375,10.42,14.11,13.19,14,-23.32125,-9.7422695,0,0,-66.085,0,0
3,4.75,-20.97132213,-0.2997485,2.24318,0.08367605,0.429229,-0.000168085,-0.0472,393.329,0.92646811,7.75588,0.069470517,0.553116,0.459785,0.21433,2.82706,0.210484,12.8358,0.451982,10.5857805,33.92,88.505,8.4771785425,10.33,13.93,13.06,13.67,-23.47578,-9.869215,0,0,-66.155,0,0
3,5.25,-22.46465,-0.3000605,2.016665,0.0361851,0.415273,-0.0067726,-0.05025,393.474,0.882003293,7.589865,0.062656007,0.5561145,0.4614815,0.2213945,2.78995,0.215037,12.94665,0.434821,10.645,34.51515104,88.5,8.467804398,10.13,13.71,12.87,13.35,-23.47837,-9.991298,0,0,-65.9,0,0
3,5.75,-22.576,-0.223514,2.236155,-0.104705,0.4187145,-0.00457485,-0.0489,393.6225,0.9253869555,7.60865,0.071720752,0.5723385,0.4690285,0.222432,2.735945,0.2131054,12.80415,0.4755975,10.45,33.85,88.55,8.2802017225,9.79,13.44,12.78,13.12,-23.50008,-10.082205,0,0,-65.335,0,0
3,6.25,-20.9998,-0.07223695,1.987792273,-0.123181,0.402573,-0.00763248,-0.0472,393.2205,0.893891631,7.494555,0.07207641,0.572371,0.449961,0.215277,2.788745,0.20437895,12.6401,0.4541835,10.245,33.87,88.575,8.3669892235,9.47,13.16,12.57,12.87,-23.49006,-9.898653,0,0,-64.405,2.9395205,0.2797444
3,6.75,-22.81428222,0.184886,2.493668926,-0.0003439645,0.412872,-0.01655355,-0.0484,393.4045,0.908229548,7.57234,0.070340877,0.575782,0.449351,0.219349,2.682515,0.2080546,12.5654,0.461035,10.52,33.175,88.6,8.4745280245,9.47,13.01,12.42,12.77,-23.43005,-10.139725,14.0027488,2.2837415,-52.737502,34.085062,4.579708
3,7.25,-13.07525,3.06549,4.472882099,0.383995,0.190866,-0.0447565,-0.0536,393.222,1.215900777,7.577875,0.086144173,0.645641,0.45704,0.223464,2.35674,0.2243385,13.5257,0.611078,12.13,30.315,88.6,9.986324551,9.55,12.95,12.29,12.68,-23.32722,-9.979909,87.37734,27.94622,-10.749864,171.4349272,20.45057
3,7.75,7.5206003895,7.18536,10.156189975,0.394897,-0.2079406765,-0.101832,-0.05365,393.2195,1.126038715,7.836875,0.125094786,0.653395,0.487941,0.2332355,1.77944,0.2232325,15.546,0.547797,14.82,25.67503254,88.6,12.6981303,10.37,12.82,12.19,13.02,-22.18875,-9.5589925,188.968095,48.36114,57.185565,398.1924798,44.31321785
3,8.25,43.85463134,5.90423,19.1708,-0.254355,-0.746284,-0.0504542,-0.0536,392.844,0.808981511,7.6176,0.159537433,0.660865,0.682006,0.288765,1.21956,0.22790265,16.8877,0.468224,17.205,22.075,88.6,15.45446793,10.96,12.76,12.28,13.79,-19.95696,-9.432398,298.11295,63.050298,137.98314,630.5941604,67.929755
3,8.75,92.72525,3.30574,25.983372335,-0.348383,-1.17674,0.00520273,-0.07,393.0065,0.868277212,7.70126,0.1324756075,0.7598505,0.715548,0.366933,1.436525,0.25339955,18.11745,0.5091855,18.085,20.875,88.6,16.38665372,11.65,12.77,12.52,14.25,-16.87052,-7.978569,408.80655,77.978863,222.416566,862.0895,91.733633075
3,9.25,134.653,2.64896,29.8526,-0.242691,-1.5073841125,0.00165787,-0.0797,393.033,1.0360183755,7.47678,0.135144551,0.827732,0.846653,0.407268,1.73122,0.276101,18.7029,0.615117,18.61,20.24913852,88.63,17.39255158,12.805,12.965,12.905,14.405,-13.82658,-6.903244,512.57316,95.335125,295.51933,1079.793266,114.9077001
3,9.75,177.649,2.48055,34.876749505,-0.230552,-1.80866,0.00310118,-0.100124,392.824,1.166695888,7.324785,0.135714477,0.9341,0.938619,0.442018,1.91569,0.3069754,19.2975,0.707801,19.36,18.96,88.65,18.5077169,14.53,13.24,13.39,14.51,-8.464338,-5.5052175,609.122855,111.86125,363.517733,1286.741346,135.3369492
3,10.25,219.043,2.40616,38.29156827,-0.124797,-1.87628,0.00548308,-0.1334425,392.8795,1.296030275,7.349475,0.136250039,0.99162,1.062965,0.486775,1.98028,0.343394,19.96855,0.79435,19.8757375,17.8,88.63,19.36481891,16.41,13.9,13.87,14.88,-0.9415088,-3.881325,694.353705,126.87228,422.911895,1465.476,154.8506347
3,10.75,243.614,2.56634,40.87365,-0.686618,-2.07079,-0.00412103,-0.14184,393.179,1.371008585,7.14363,0.145167472,1.15937,1.15207,0.503976,2.19932,0.356447,20.5649,0.857524,20.49,16.14,88.625,20.32702603,18.27,14.6,14.62,15.31,5.559717,-1.6476785,763.613925,141.544,466.34254,1610.720504,169.9458901
3,11.25,272.713,2.35492,45.798,-0.747255,-2.1626,-0.011604,-0.173041,392.9555,1.412449833,7.088335,0.153041619,1.218275,1.26564,0.534802,2.29785,0.3933695,21.10175,0.9159445,21.2829465,15.06,88.6,21.31758352,20.775,15.18,15.295,15.725,12.86148,0.8877395,819.3638,152.5353,500.52328,1734.275375,182.69115
3,11.75,291.9648428,2.20964,44.64702954,-0.502414,-2.27706,-0.0147404,-0.174758,393.225,1.459044682,6.92795,0.140729553,1.35005,1.43111,0.557903,2.35987,0.409892,21.4821,0.961624,21.98,14.51,88.6,22.33855882,23.595,16.13,16.315,16.31,25.521565,2.859003,858.29215,161.28783,521.13427,1814.924,193.8940818
3,12.25,308.40446405,2.0832,46.02035,-0.507702,-2.30665,-0.017072,-0.233886,392.862,1.498881374,6.7116,0.14126185,1.46669,1.48603,0.594599,2.52086,0.46411935,22.229,0.978697,22.37481,13.86,88.6,22.94544646,26.59,17.38,17.38,16.93,38.00507,5.2902725,883.1995,169.31405,526.56354,1876.555436,200.2442
3,12.75,314.105,1.88441,47.204976435,-0.4717385,-2.240415,-0.0144805,-0.244437,392.5005,1.4615063575,6.59109,0.142496959,1.54366,1.579795,0.621064,2.93515,0.4752924,22.4966,0.976894,22.8269455,13.13,88.57,23.699635095,28.99,18.59,18.55,17.75,47.86372,7.929123,886.952,172.94824,526.60754,1880.8635,202.7512
3,13.25,314.094,1.475085,48.4657,-0.298517,-2.32505,-0.0122924,-0.2658565,392.503,1.49829528,6.54051,0.137605563,1.56079,1.551105,0.6181455,3.09478,0.503699,22.79985,0.9798225,23.18,12.84590104,88.5,24.40115275,31.1,20.09,19.93,18.59,54.8562,10.930715,869.2745,170.62065,505.34232,1852.149,203.92043655
3,13.75,304.848,0.9647355,43.64880098,-0.126283,-2.190105,-0.01266515,-0.291461,392.64,1.445727634,6.53017,0.139061234,1.55126,1.60383,0.64082,3.43467,0.530607,23.0688,0.961841,23.4610315,12.32,88.5,24.961093605,32.665,21.24,21.04,19.555,57.6745,13.85897,837.0289,163.53435,480.599605,1783.160949,199.98375
