DOY2,HR2,CH4,CO2,FC,FCH4,H2O,SC,SCH4,H,LE,SH,SLE,PA,RH,T_SONIC,TA,VPD,NETRAD,PPFD_IN,PPFD_OUT,TS_1_3_1,TS_1_2_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS,NEE
11,20.75,2008.475563,406.2349,1.6566193945,17.6,7.8107935,0.0191,0.243,-13.249923035,0.1515369,-0.4493854415,-0.0793,102.01193505,86.25,14.74564005,9.025,3.830493875,-51.350061665,0,1.5736794,10.0311553967115,9.3448150423853,-0.0161,0.423841211287863,0.113400594,0.358406841350625,0.170293863659264,1.096769179,1.711947246
11,21.25,2018.6277475,407.05685,1.476004836,12.9,7.644744016,-0.00604,0.117,-14.16129563,0.24395895,-0.314188646,-0.0322,102.02694525,87.5,14.59386455,8.825,3.6286214525,-51.437061665,0,1.7028313335,10.0887253064342,9.42090051888363,-0.01725,0.38643864325401,0.118236374,0.417325556627905,0.169934804192157,1.0337934495,1.432667022
11,21.75,1998.989046,407.6190027,1.411555059,15.3,7.5104628935,0.0245,0.284,-13.90975247,0.0116,-0.5028629475,0.04325,102,87.25,14.36424065,8.55,3.2571556785,-54.655535,0,1.5723548335,10.0879228230576,9.44959836720247,-0.0162,0.39935959025195,0.1143573,0.37265108713413,0.150323764504446,1.061105112,1.427759843
11,22.25,1998.4453345,408.12065,1.4881707505,25,7.518022482,0.02105,0.1145,-14.981956665,0.493462576,-0.264331691,0.0213,102,87.25,14.41882885,8.35,3.2062067645,-53.45049167,0,1.620041167,10.1486551799223,9.18764005515953,-0.0229,0.430862515194813,0.140171943,0.381890596741943,0.194164878389476,1.1585045,1.4369128095
11,22.75,2005.016844,408.2444889,1.6922039525,21.9,7.508752922,0.01845,-0.0704,-15.06841342,0.1652693165,-0.3723967275,-0.019835,102,87.25,14.3568,8.3,3.2410072795,-55.911233335,0,1.500823917,9.90171333558035,8.80343453082988,-0.02835,0.408368037206788,0.1515189735,0.394697946729087,0.202086227492629,1.121238608,1.79427605
11,23.25,2019.806056,407.26437235,1.6840918105,22,7.5634890085,-0.01175,-0.184,-16.176865,0.2407471195,-0.2240325225,-0.123674038,102,88.75,14.43064155,8.45,3.355257324,-54.552481665,0,1.3306068,9.75785979082061,8.56158810193146,-0.0224,0.405908887070908,0.136169634,0.400394542047844,0.178044938147649,1.1952903625,1.6831051815
11,23.75,2027.127674,407.8689274,1.710301905,18.45,7.390804294,0.0173,-0.007475,-20.407283745,0.3896566,-0.435791136,-0.0252,102,88.75,14.18989885,8.375,3.3060288905,-55.70362,0,1.2650368335,9.72827948718924,8.67554040434013,-0.0292,0.427604314198869,0.1520571695,0.404755311827824,0.195957684344245,1.207203011,1.767901905
12,0.25,1985.333,409.5643639,0.217855714,13.85,5.032042,0.0188,0.0583,-13.19501,0.2286382,-0.15869885,-0.0129,102.1,90.25,7.68116500000002,4.7,1.879848,-40.73382333,0,1.332594667,5.88617204070057,6.34102639762619,-0.03,0.439784104987891,0.15326332,0.414256977055424,0.20952326839757,1.222304859,0.1941728
12,0.75,1981.8296195,409.3553288,0.4500194705,20,4.990216,-0.003557,-0.07945,-15.004196035,0.0733,-0.23497665,-0.00746,102.05,90,7.61969940000001,4.575,1.895894747,-39.59046,0,1.324646667,5.82543968383594,6.51566527232148,-0.0314,0.433104706739606,0.156589502,0.427870238972294,0.214476105895272,1.2022905125,0.4666034295
12,1.25,1982.10816,409.33323985,0.218389296,14.7,5.069622956,0.005465,0.03155,-12.417920705,-0.2207968635,-0.1220776115,0.016,102.05,90.25,7.66217365000002,4.475,1.9620818615,-39.87631667,0,1.35114,5.70397497010669,6.44580972244337,-0.0332,0.433788524513962,0.164295819,0.365830383044635,0.211187120819429,1.162156,0.2712206525
