DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA,U_SIGMA,V_SIGMA,W_SIGMA
4,4.75,-0.4502825,10.54029,1.252506,0.2408939,0.6738921,0,0.87491,0.87,454.090495,0.39975,309.5056,317.237,-1.058583,1.0117,97.1266625,3.822205,2085.853,6.620258,0.04201427,0.07024,0.03648533,0.3980683,95.91435,0.852467,0.8695009,0.39775
4,5.25,0.09,10.18656,1.24396,0.217985,0.6422415,0,1.1577825,1.1365025,455.3618,2.2915,308.1638,317.6599,2.76133,0.7984,97,3.80677,2086.4,7.073963,0.09012359,0.1289016,0.148040325,0.1882089,95.91526,0.83904,0.89377,0.4064368
4,5.75,2.80603,11.0125525,1.3321545,0.2354376,0.5940319,45.54142,0.85906,0.8764045,453.9638,13.24728,309.6426,318.9757,21.92333,1.2863,97.17499,3.891647,2086.2805,6.7799055,0.05598,0.494945,1.1155775,0.241393775,95.89668,0.89613,0.86379,0.4075106
4,6.25,6.63963,18.30819,1.3634625,0.241516425,0.8833175,113.89375,0.450605,0.4972475,452.2307,34.4625,313.8672,322.8635,54.25383,2.44847,96.639995,4.0882625,2074.834,6.1230725,0.023942255,1.1636405,2.90034,0.11092,95.89388,0.9201021,0.92569,0.42007
4,6.75,20.3211825,28.2177375,1.5148525,0.26287,1.4336265,190.26805,-0.02230847,0.0544775025,444.48318,52.53917,314.893125,329.3736,86.6385,3.41013,95.261665,4.184236,2071.6335,5.35343,0.004842043,0.9844091,2.51388,0.146915,95.89474,0.96513,0.9440637,0.4315971
4,7.25,30.06096,43.50208,1.5231375,0.2817625,2.01413,285.69815,-0.13128,-0.00742,437.67915,73.36427,312.6617,337.1223,125.4759,4.58935,94.4625,4.445054,2063.97,5.697356,0.004593289,0.563714075,2.65200975,0.1040894,95.89786,0.96394195,1.03977825,0.451978975
4,7.75,55.37423,51.56033,1.63164,0.29326,2.64737,370.81285,-0.33496,-0.26447635,435.17845,93.22983,312.92685,344.28475,172.7973,5.3263825,93.5375,4.53965,2060.346,5.67244075,0.0064386015,0.348338525,1.9685085,0.0856175,95.90875,1.062698,1.07592,0.4772674
4,8.25,83.94848,56.731395,1.759295,0.3249225,3.3066445,472.31125,-0.36871,-0.279255,433.9383,113.6526,314.600025,350.605375,227.7187,6.2381925,92.1516625,4.5509175,2060.557,6.402396,0.00398,0.22404,1.51916,0.115167075,95.92455,1.123745,1.189208,0.494096175
4,8.75,101.184375,64.54451,1.86888625,0.33379,3.81852,563.00765,-0.361405,-0.341235,433.4117,129.3055,314.1503,355.845425,281.0916,7.35935825,91.02126,4.4811035,2056.2345,6.065749,-0.000165,0.20616,1.3556375,0.0674725,95.93228,1.135637,1.23987,0.502692
4,9.25,126.78,78.355885,1.91071225,0.34278,4.7427175,641.6186,-0.6357055,-0.6169,433.24105,142.8235,312.54065,363.63935,349.5867,7.90184,88.4375025,4.5132545,2057.007,6.29592,0.002403967,0.1830275,1.21597525,0.0738285575,95.91326,1.2297195,1.3380025,0.534395575
4,9.75,153.23515,88.004155,2.00052,0.3561237,5.2886425,706.9933,-0.7881057,-0.7943305,432.502,145.6539,313.742975,371.238525,396.524,8.95533,86.648335,4.6211565,2054.81225,5.858173,0.00156,0.2292075,1.10519,0.0464600825,95.87666,1.21017925,1.369655,0.540099375
4,10.25,175.4095,103.239275,1.956707,0.36641465,5.6493975,774.28465,-0.88553,-0.83819,432.689125,150.5237,314.645,375.782775,454.2314,9.55173,86.745195,4.4775745,2055.898,7.0936605,0.008162332,0.186778825,1.085356,0.108236225,95.88763,1.2618415,1.38693775,0.537679825
4,10.75,184.4716,116.7527,1.98797,0.3741746,6.14336,820.2834,-0.8953975,-0.81337,432.449825,160.0354,316.95225,379.70185,471.6617,9.74798,84.30221,4.568712,2052.0525,7.58052,0.00689,0.23404,0.92504945,0.03747676,95.88364,1.26164,1.37809,0.5525764
4,11.25,191.215,120.8264,1.98996,0.36905,6.74351,822.2676,-0.930739375,-0.91305,432.6647,156.9358,318.48405,380.7611,500.0938,10.5574975,83.2062575,4.638116,2051.45875,6.133822,0.009025,0.1625191,0.932275,0.07222544,95.87239,1.2950905,1.413807,0.56642465
4,11.75,190.49285,130.80245,2.006665,0.36179105,7.292275,848.632825,-0.87959,-0.8529025,432.089825,163.176975,320.3515,382.13655,486.0723,10.7151675,81.853575,4.670562,2051.27775,6.46081,0.00669,0.193165,0.7421475,0.06356,95.85246,1.2625515,1.402541,0.5637011
4,12.25,198.02985,129.31135,2.00623,0.3734845,7.881715,850.876075,-0.726805,-0.7062225,431.7322,173.675,321.8469,384.705,522.0757,10.9480825,80.6431625,4.72102525,2050.534,6.358585,0.00708,0.16726,0.72742925,0.068300385,95.84495,1.2729625,1.4429415,0.5613
4,12.75,196.675325,128.1178,1.9425275,0.3776125,8.030809,829.22255,-0.75444,-0.74026,431.49295,156.418825,323.85655,384.15985,476.112325,11.0302475,80.03733,4.6472545,2050.3165,6.81895975,0.0022848185,0.15503,0.7064275,0.0446032775,95.84756,1.261375,1.374955,0.568395
4,13.25,189.116475,126.25,1.965905,0.36756,8.345606,791.002175,-0.8229425,-0.708818925,431.89325,148.429575,324.5301,383.817925,445.884775,11.27875,80.558995,4.628838,2047.448,6.716365,0.0083975,0.165885,0.664165,0.0589749675,95.86031,1.3156805,1.414282,0.58005395
4,13.75,176.6851,124.24335,2.024595,0.37824,8.40071,738.8813,-0.556155,-0.563245,431.372175,138.5058,324.85375,382.51015,422.38445,11.410835,82.120335,4.542505,2048.575,5.29006075,0.00416605,0.1475725,0.58733525,0.06024854,95.84944,1.321715,1.4478785,0.58310985
4,14.25,159.36075,116.84,1.894305,0.35672,8.6566,685.648,-0.611355,-0.59239,431.3988,128.3847,325.411525,382.076625,385.5009,11.6539975,81.8314975,4.491094,2047.8045,6.50238725,0.00183866975,0.0938025,0.42683,0.07643,95.83133,1.295264,1.41866425,0.57029065
4,14.75,148.419375,104.631,1.91837,0.37262,8.729025,626.39935,-0.4749,-0.4504975,431.3173,111.1889,323.9064,380.6584,345.4167,11.5335,80.614005,4.4703775,2045.75125,7.1790145,0.005212276,0.0974,0.4171,0.0605786,95.80903,1.273284,1.4417405,0.57478405
4,15.25,123.552875,96.1,1.9102335,0.35084,8.767294,545.8795,-0.39972,-0.37607,430.959075,98.60608,324.2484,376.2345,305.9794,11.467915,80.12932,4.487614,2046.682,7.4458835,0.008535548,0.085219405,0.359231325,0.08569,95.81202,1.328019,1.3732255,0.552305
4,15.75,103.5874,79.8343175,1.817251,0.35385635,8.698185,459.50935,-0.26221,-0.25612,431.67055,84.18199,322.898075,376.259575,245.1177,11.491415,79.86559,4.5640385,2046.43725,6.907777,0.0085093195,0.10903,0.2451623,0.1035038,95.80348,1.26504975,1.38894925,0.555969625
4,16.25,77.12,67.428415,1.801885,0.342155,8.5845855,356.653875,-0.09336101,-0.08338,431.317225,68.5936375,319.982925,373.438075,170.659225,11.606415,80.0597475,4.593188,2047.592,5.532875,0.0131363175,0.08352,0.19965,0.133160975,95.8058,1.202401,1.25004,0.52547
4,16.75,53.52828,54.64,1.7557795,0.317285675,8.09728,231.82285,0.0413909,0.084571185,431.3492,54.0613525,321.411625,364.605325,92.121145,11.112665,82.4728975,4.628302,2046.977,6.7702715,0.01604,0.067169955,0.008865,0.10779035,95.82697,1.146763,1.20031,0.5143233
4,17.25,25.63,44.045075,1.6254025,0.306718325,7.90633,172.114525,0.449,0.4734398,431.95065,36.89835,320.74885,357.73215,54.9266475,10.52117,84.86335,4.66293,2048.833,7.494005,0.01818656,0.09793,-0.101155,0.10117,95.81637,1.0826165,1.095093,0.4673017
4,17.75,3.45,36.005705,1.4818,0.28910315,6.9701415,89.27264,0.90468,0.9,432.959525,17.8883525,319.06265,347.669025,16.9462825,9.4145175,86.58271,4.64866,2044.3175,7.1710735,0.03353,0.0979,-0.321315975,0.1000239,95.83768,0.980376,1.006557775,0.4357884
4,18.25,-3.65135,26.89,1.3895995,0.2694624,5.37535,30.6944,1.291516,1.3002705,434.7933,5.70183,319.2012,339.5578,0.8768333,7.207133,89.9350025,4.56653325,2040.39225,6.63047225,0.0791925,0.13808,-0.3307310375,0.131705675,95.84967,0.9739857,0.9668686,0.400465
4,18.75,-4.5298145,23.521125,1.34062,0.2349375,4.026417,4.83628525,1.60956,1.66686,435.7328,1.3055,320.019975,332.8666,-2.83006,6.04883,92.65333,4.4694355,2040.2415,5.592885,0.124855,0.17826,-0.3401461,0.16338745,95.85798,0.9239758,0.9146168,0.4172403
4,19.25,-4.19039,16.748915,1.218997,0.2121675,2.781315,0,1.96223,1.953845,438.57175,0.1657759,319.380075,327.21855,-4.084827,4.72335,93.7793175,4.33062425,2051.78475,5.966169,0.15636,0.24462,-0.18953,0.326301025,95.85567,0.9212775,0.934375375,0.4141537
4,19.75,-2.5704195,17.83,1.24797,0.24449,1.90472,0,2.1822625,2.0660875,441.125825,0.23438,318.666,325.95405,-2.836696,3.90468,95.141075,4.264347,2060.194,7.9884875,0.2172525,0.15355,-0.1467772,0.8191541,95.8728775,0.922940625,0.991205,0.4127286
4,20.25,-2.282515,16.1135475,1.262343,0.241120925,1.38682,0,2.29521,2.3225,442.6758,0.27029985,317.85205,325.69275,-1.82411,3.538185,96.2098575,4.35956975,2079.901,9.30870025,0.16396635,0.12594045,-0.0896875,0.86188,95.880005,0.91763,0.886585,0.410827275
4,20.75,-0.35489,14.56,1.264116,0.24023,1.165538,0,1.8741675,1.87487275,442.9413,0.32232,318.1202,325.4969,-2.991985,3.39887,96.57334,4.278265,2083.87,6.590926,0.1380325,0.08924,-0.094913815,0.42777,95.8884075,0.87960135,0.93473325,0.40902565
4,21.25,0.25363135,12.42804,1.15029,0.22260065,1.1609645,0,1.764544,1.725,442.209,0.33341495,316.02215,325.76655,-2.23525,3.206425,96.30832,4.1820345,2103.584,8.094634,0.12148,0.029165,-0.090595,0.4083438,95.898325,0.8493854,0.85911835,0.388115
4,21.75,-0.643815,13.627695,1.198565,0.22941,1.11693575,0,1.700162,1.69,444.61335,0.30325,318.0265,324.80065,-2.464045,3.281025,96.50999,4.207785,2093.2905,9.329661,0.075535,0.06043,-0.0546975,0.226945,95.8979075,0.9200909,0.9668466,0.3997865
4,22.25,-0.377290475,14.580635,1.2598945,0.2289993,1.085248,0,1.9148795,1.8720685,445.993775,0.30196835,316.710425,324.50525,-1.4497445,2.79773125,96.941665,4.20343,2096.061,10.49162,0.1283725,0.15139,0.00536482925,0.427015,95.910895,0.9537714,0.9594004,0.39609
4,22.75,-0.31243,14.927855,1.25368,0.22872,0.998057625,0,1.84174,1.83388075,447.8963,0.28187165,315.0378,324.03195,-1.60154,2.5214,97.145,4.09515,2094.2505,8.18051725,0.0618,0.124238625,0.14593,0.19530785,95.9182775,0.9176545,0.93455995,0.42257745
4,23.25,0.472715,12.6625,1.2292035,0.2237563,0.95785995,0,1.981755,2.0890605,450.6482,0.283915,316.2655,322.71095,-1.75567,2.46697475,97.19833,4.07579925,2089.362,6.40069,0.190012775,0.04872,0.0282520825,0.4328825,95.931485,0.889902325,0.880619725,0.390953875
4,23.75,0.2539225,14.41759,1.3007375,0.2259475,0.9924543,0,1.6790525,1.67064,449.015125,0.276915,319.0447,323.39995,-1.30446,2.65093075,97.2225,3.958405,2088.246,5.8583495,0.0940774575,0.0503675,0.0349125,0.2820242,95.9297775,0.8457995,0.85580885,0.37536295
5,0.25,-0.49085,18.6775,0.9219962,0.176689775,1.798935,0,3.738805,3.799595,485.0825,0.2572325,341.047475,356.503225,-7.7105205,9.5584425,98.6608,6.8159275,2155.3615,12.36148,0.209887975,0.065215,-0.0324807175,0.55265,96.1291575,0.56617135,0.5712316,0.26027615
5,0.75,-0.373175,15.21191,0.87096685,0.180065,1.7282815,0,3.73799975,3.61086425,480.31835,0.2513325,338.9989,355.4805,-6.32134,9.5638355,98.84998,6.643881,2160.36025,14.854345,0.1151213,0.04870905,-0.04776,0.36766,96.1242275,0.566505675,0.545719075,0.242293
5,1.25,0.2988575,15.34993,0.8935106,0.18204,1.55134,0,4.7165475,4.7177,511.36955,0.28671,335.647725,354.900825,-6.09024175,9.07976875,99.02336,6.644218,2152.298,12.4735,0.14933085,-0.01851,-0.01875,0.24889,96.1138625,0.553581475,0.525620575,0.25042285
5,1.75,-0.3578813,13.121555,0.79169595,0.170080575,1.1886235,0,4.978915,4.21944,485.366,0.28856,335.4441,353.70525,-5.02867,8.7617475,99.09335,6.4424545,2153.3485,14.41043,0.48544785,0.02632822,-0.00896591025,0.513914875,96.12206,0.5305471,0.49118725,0.2409351
