DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
6,17.25,381.671875525,9.3578913,1834.1820282,-11.9980914,-13.5040048,-0.0709646499999997,-94.9266037,34.9312598,1.4788835,0.142285025,-0.587112225,0.391032,0.1939601,100.18675,15.8365,17.2495,9.6001959,21.615729475,0.1300377,21.5535,21.528,21.198,19.90225,18.7305,20.7215,20.71825,20.37025,19.48675,18.4125,19.868,19.839,19.529,18.9245,18.1195,78.818361825,379.2332545,18.903301575,180.928571825,39.930695675,313.21702515,410.873674875
6,17.75,382.5300066,9.5011879,1836.7162629,-7.8309683,-18.0509667,-5.63000105,-99.372936175,27.652041425,1.726210525,0.129313225,-0.54901885,0.3194719,0.166216275,100.21675,18.4535,16.43225,8.482737625,21.189232725,0.15851435,21.30125,21.31925,21.01825,19.98225,18.74825,20.62,20.61675,20.34375,19.539,18.43475,19.71825,19.718,19.52225,18.9745,18.13725,38.590121425,167.623384325,13.720519075,127.15428565,30.97026235,309.1081582,404.754939475
6,18.25,385.03652365,9.525362475,1846.7260544,-3.6598394,-19.636525,-13.9793085,-96.07909235,14.580090325,1.54562785,0.07282685,-0.5388238,0.28994525,0.106411575,100.2345,22.37375,15.2175,7.405845625,20.512041025,0.178441375,21.08125,21.09125,20.93925,20.05225,18.76375,20.44125,20.46225,20.277,19.5845,18.4625,19.6215,19.68025,19.5345,19.0345,18.1595,-14.942532125,128.889541525,7.954009025,71.1657143,15.197832925,303.1937816,398.244765375
6,18.75,391.3311379,10.0826674,1855.4670374,-0.1459635,-18.4837485,-17.7775561,-93.7504488,1.210131075,1.69518925,0.0707375,-0.50045845,0.2977683,0.0819421,100.254575,25.5785,13.95425,6.252304475,19.849074925,0.1798002,20.819,20.89225,20.827,20.1045,18.7815,20.2335,20.249,20.1725,19.62225,18.4925,19.486,19.525,19.458,19.08,18.18175,-54.399910625,61.530552225,3.65566,23.467143175,5.82535295,300.0710789,393.01255375
6,19.25,394.76881,10.1586958,1868.7377757,0.4473735,-14.381407625,-21.34133355,-93.940326,-0.2508883,0.978384575,0.046998025,-0.4851864,0.169732225,0.043885725,100.26535,29.068,13.28975,5.14953475,18.9405628,0.201399975,20.57,20.67225,20.7,20.14675,18.80925,20.02675,20.0445,20.058,19.65225,18.507,19.3225,19.40925,19.429,19.1,18.22175,-86.7445941,16.15158605,0.825472,4.355714175,1.08114935,299.487698975,384.753031775
6,19.75,396.1339377,10.120661825,1868.0646294,0.6740931,-16.202516,-24.93804405,-88.981052475,-1.717742375,0.954201175,0.0538873,-0.484429625,0.236572575,0.048087425,100.265975,30.919,12.12875,4.244247975,18.306826825,0.201543725,20.25675,20.45225,20.56225,20.1845,18.84475,19.78125,19.83675,19.9235,19.67,18.53925,19.089,19.2725,19.35675,19.1,18.24175,-97.795837225,0.705053,0,-5.23142865,-0.9967241,294.676952225,376.67467685
6,20.25,396.64823125,9.897209125,1875.19024315,0.65425,-23.597234,-27.0222159,-82.7463554,-2.2287424,0.8816079,0.03631695,-0.41244195,0.208627075,0.05055345,100.29225,33.873,11.73325,3.611672175,17.880915875,0.2036029,19.94225,20.22675,20.43,20.17225,18.85575,19.559,19.619,19.77675,19.65225,18.53375,18.92675,19.04575,19.26675,19.1,18.245,-98.0271356,0,-0.2093161,-5.758571825,-1.058468,292.329221975,370.55985405
6,20.75,396.5833542,9.973727,1877.0667797,-0.2965972,-23.463779625,-28.25085205,-84.08720615,-4.002126625,0.629111125,0.038843625,-0.4583755,0.263794575,0.05177835,100.301325,35.53925,11.26225,3.051056575,17.5576392,0.177682725,19.4145,20.00225,20.28,20.10575,18.87125,19.318,19.4145,19.63225,19.62675,18.536,18.6935,18.89025,19.179,19.09675,18.24825,-98.1958287,-0.117509,-0.235849,-5.371429,-0.543094325,290.452615875,366.32299035
6,21.25,398.817967725,10.44148835,1880.68435195,0.19650745,-20.7198575,-29.0273713,-86.992996025,-6.836815825,0.6585455,0.042263225,-0.424864125,0.230035575,0.04445885,100.29505,36.114,10.6145,2.77227755,17.1672076,0.17761945,18.92575,19.56475,20.0835,20.03475,18.89225,19.11575,19.14575,19.4845,19.589,18.566,18.39825,18.7535,19.079,19.08675,18.26825,-95.8468027,-0.117509,-0.235849,-5.63142865,-0.655242,288.52878185,361.9728563
6,21.75,398.147005425,10.409915575,1878.90370565,-0.141036,-17.05021965,-29.8287553,-79.71385635,-3.931459375,0.712743175,0.045434625,-0.3982071,0.223866225,0.040765775,100.30195,37.076,10.5895,2.569014325,16.911825975,0.165402975,18.55,19.21025,19.86375,19.9925,18.90675,18.92675,18.9645,19.3335,19.55125,18.58375,18.06725,18.64225,18.9845,19.05675,18.2905,-94.11502755,-0.117509,-0.235849,-5.529999825,-0.68296365,287.183878225,358.4101631
