DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
2,12.75,0.6185,4.34375,26.081,25.895,92.18,820.37875,166.6045,542.752,143.30975,301.3225,323.03825,5.376,16.5025
2,13.25,0.6685,4.284,25.801,26.096,91.90425,791.6195,162.75125,524.5325,139.39125,284.336,302.771,5.13925,16.79
2,13.75,0.64825,4.304,26.298,26.324,92.078,738.27025,152.724,472.579,131.401,271.3885,294.52375,3.544,17.0775
2,14.25,0.649,4.45375,25.97425,26.04125,92.5725,682.37575,144.455,430.56975,108.6575,230.543,288.718,3.97249999999999,17.3635
2,14.75,0.628,4.354,25.9225,26.1135,91.787,614.61975,130.0775,375.56,138.26075,206.56,229.746,4.882,17.5835
2,15.25,0.605499999999999,4.4465,25.63975,25.8975,91.171,510.712,115.75525,282.54925,86.55275,156.1415,204.815,4.6545,17.765
2,15.75,0.614499999999999,4.418,25.1225,25.45,90.5,403.743,95.0115,205.21325,75.3625,116.9105,175.7845,6.243,17.892
2,16.25,0.598,4.1075,24.8225,25.055,91.279,288.797,72.47,123.56875,79.7025,76.9900000000002,128.89,8.44749999999994,17.975
2,16.75,0.57775,4.0175,24.50075,24.8525,89.97125,171.3355,42.835,55.83875,56.57,38.5599999999999,115.911,6.376,18.012
2,17.25,0.60825,3.8065,23.7075,24.14725,89.59,70.8197499999999,24.27925,5.60400000000001,62.4825,17.919,74.22375,9.90125,18.012
2,17.75,0.56,4.0775,22.822,23.245,90.72,12.0244999999999,4.176,-7.33800000000001,36.6875,24.3575,60.53825,7.639,17.951
2,18.25,0.536,3.596,22.277,22.966,91.36425,0.0604999999999995,2.8675,-8.955,23.0475,27.114,55.5922500000001,8.60175,17.854
2,18.75,0.5475,3.6675,21.81075,22.5425,91.98275,0.105749999999999,3.45125,-7.52875,18.795,44.7075,40.677,6.92200000000001,17.73
2,19.25,0.536,3.504,21.656,22.136,92.248,0.120999999999999,3.6915,-6.604,1.2475,38.814,52.64775,7.78749999999999,17.594
2,19.75,0.4755,3.85149999999999,21.45,22.3175,92.546,0.1205,3.405,-6.69550000000001,0.47,27.8285,43.73775,6.94899999999999,17.441
2,20.25,0.618,3.732,21.3035,22.228,92.8445,0.17,3.759,-5.386,-3.1575,36.994,45.6825,6.78699999999999,17.277
2,20.75,0.526999999999999,3.65575,21.688,22.12125,93.112,0.106249999999999,3.869,-5.14100000000001,11.8925,26.444,57.256,7.58799999999997,17.127
2,21.25,0.559499999999999,3.575,21.34025,22.2485,93.2695,0.223499999999997,3.802,-5.07024999999999,11.81,50.0644999999994,47.665,6.2185,16.981
2,21.75,0.598,3.674,21.018,21.827,93.254,0.0852499999999998,3.727,-4.94100000000001,11.3025,53.9595,49.5877499999998,5.765,16.839
2,22.25,0.55025,3.87624999999999,21.02025,21.85275,93.3995,0.481999999999998,3.99,-5.17425,-2.63,48.30025,60.0285,6.84475,16.725
2,22.75,0.5685,3.815,21.34975,21.87375,93.1795,-0.00425000000000068,3.79625,-5.12625,23.725,41.269,56.502,7.76249999999999,16.604
2,23.25,0.58025,3.96925,21.7525,21.954,93.366,0.371499999999999,3.6815,-5.236,7.82,42.92225,58.175,7.2805,16.447
2,23.75,0.51,3.759,21.56375,22.2085,93.26975,0.22525,3.645,-4.86125,1.6125,43.25,42.325,7.0705,16.332
3,0.25,0.4965,3.13,22.595,23.35125,94.005,-0.0160000000000002,3.54625,-3.315,69.0875,41.2222500000001,37.3215,9.37,20.1065
3,0.75,0.4965,3.053,22.5,23.0505,94.115,0,3.7385,-3.4325,43.285,70.244,33.22925,4.8625,19.9595
3,1.25,0.48,3.16325,22.5715,23.4115,94.1005,0.0339999999999998,3.56875,-3.146,57.5425,35.4729999999999,77.07975,5.025,19.8125
3,1.75,0.4765,3.136,22.047,22.812,94.1335,0.0639999999999992,3.7475,-3.118,33.22,33.3365,41.4679999999999,4.87625,19.6865
3,2.25,0.5185,3.08775,22.026,22.91,94.23475,0,3.388,-2.885,67.9025,37.6999999999998,39.7295,6.10325,19.52
3,2.75,0.44925,3.11,21.89375,22.87675,94.32275,0,3.63725,-2.725,51.86875,32.2695,38.434,4.97999999999999,19.40325
3,3.25,0.51975,3.12675,21.77,22.404,94.411,0.1425,3.582,-2.657,44.60625,43.64,40.566,4.73925,19.26175
3,3.75,0.45625,3.03075,21.4505,22.3075,94.50475,0.185,4.03125,-2.5225,44.965,32.035,30.8937499999999,4.7075,19.1425
3,4.25,0.576,2.91925,21.9165,22.8165,94.3605,0.4,3.204,-2.9,42.74125,37.504,51.072,5.4945,19.02325
3,4.75,0.5715,3.0845,21.6105,22.869,94.64725,0.145,3.60325,-2.96775,34.59625,31.7404999999999,47.38475,4.322,18.88475
3,5.25,0.51,2.94025,21.5705,22.4,94.559,0.246,3.575,-2.742,62.88625,31.8375,62.0595,5.50999999999999,18.764
3,5.75,0.48,3.1615,21.837,22.604,94.3645,5,4.554,-1.936,25.84875,26.4434999999999,52.7025,5.922,18.6425
3,6.25,0.555,3.3015,21.6535,22.56375,94.292,64.7345,29.889,8.17399999999999,98.88125,29.77,60.041,3.83199999999999,18.48475
3,6.75,0.56,3.52799999999999,22.31975,23.299,94.46225,165.589,62.75925,46.4585,83.77625,47.9675,77.3315,3.50299999999999,18.3555
3,7.25,0.6435,3.544,23.24,24.1245,94.71,286.132,86.7375,102.39,81.855,53.61,116.4475,2.438,18.2555
3,7.75,0.61,3.571,24.2645,25.268,94.631,400.148,105.471,186.694,29.925,105.39175,142.9525,4.23,18.19475
3,8.25,0.64,3.923,25.18375,26.133,94.465,510.9625,121.465,273.5775,55.535,173.0345,205.698,4.31875,18.17175
3,8.75,0.741,3.919,26.082,27.03875,94.418,620.13,138.3575,357.979,61.36375,222.6295,226.24,5.348,18.218
3,9.25,0.716,4.29075,26.5655,27.326,94.2295,708.56225,154.3355,430.12975,72.45875,271.732,289.94,4.38125,18.3135
3,9.75,0.684,4.21875,26.70425,27.14625,94.18475,792.76275,167.2985,504.75375,88.715,292.126,293.8915,4.4555,18.47825
3,10.25,0.689999999999998,3.9865,27.0335,27.414,93.9335,861.464,172.854,560.784,86.3,355.1475,319.06525,2.2385,18.719
3,10.75,0.66,4.1305,26.918,27.3025,92.5945,904.768,180.219,606.118,118.25875,376.06975,318.584,3.32024999999995,18.91875
3,11.25,0.6735,4.1755,27.32,27.8675,91.52,932.542,184.0625,634.915,130.12,372.7835,310.075,5.97,19.1685
3,11.75,0.68425,4.4925,27.4385,27.864,86.62325,948.152,185.111,651.78425,146.91875,385.04425,335.582,3.292,19.60575
3,12.25,0.67275,4.33225,27.7365,28.1875,85.17475,940.851,184.68775,650.66725,145.0775,404.18725,331.75475,4.49,20.06525
3,12.75,0.7085,4.294,27.717,28.1295,83.941,924.5675,180.808,635.98,140.96125,369.5065,349.894,5.26124999999999,20.5745
3,13.25,0.625,4.35,27.9775,28.10175,82.24275,898.99225,174.332,610.12075,127.65625,349.58875,357.19,2.13599999999999,21.01275
3,13.75,0.6845,4.3345,27.715,28.13,81.67,839.25275,166.2175,557.5675,121.13,349.288,321.525,6.02074999999999,21.4495
3,14.25,0.59,4.2655,27.30525,27.874,78.69675,781.2475,157.49875,502.6305,96.5075,313.22025,287.9525,2.96225,21.825
3,14.75,0.669,4.537,27.1755,27.596,80.87,693.05,141.9165,433.48725,85.7,289.5525,251.5725,3.4385,22.1465
3,15.25,0.60125,4.3775,26.9155,27.2,82.32875,610.188,126.558,361.956,76.91125,221.87125,225.237,3.59825,22.40875
3,15.75,0.5675,4.4885,26.619,26.67,84.0155,501.394,107.94,278.012,83.3379999999999,170.575,194.5135,2.702,22.628
3,16.25,0.579,4.2555,26.25475,26.224,84.98,379.45175,88.7775,191.8025,105.716,121.3235,166.587,2.49724999999999,22.76725
3,16.75,0.5,3.99425,25.82525,25.96875,86.915,260.6645,61.1065,97.1645,128.141,69.136,104.995,3.1335,22.848
3,17.25,0.44875,4.215,25.273,25.243,88.679,133.80575,37.36425,37.5689999999999,141.277,33.8025,60.812,5.87599999999999,22.87875
3,17.75,0.47,3.6835,24.64275,24.9085,88.7635,44.3985,14.6265,-1.84650000000006,176.304999999999,16.18,46.614,5.722,22.8495
3,18.25,0.50975,3.80175,23.825,24.41175,90.18025,2.40275,2.7975,-7.9825,119.582,16.29,56.4005,6.853,22.76025
3,18.75,0.4535,3.453,23.13,23.75275,91.436,-0.20825,2.859,-8.40875000000002,86.796,23.2004999999999,45.1059999999999,6.52925,22.63025
3,19.25,0.4085,3.308,23.32,23.804,92.26475,-0.163,3.435,-7.635,26.6659999999999,13.1815,54.9469999999998,9.19,22.4795
3,19.75,0.42275,3.33,22.425,23.198,92.726,-0.1665,3.3225,-5.79,34.3499999999999,23.144,42.83,6.8,22.298
3,20.25,0.45,3.32525,22.07,22.85,93.074,-0.140000000000001,3.5175,-6.1775,67.3079999999996,24.93425,34.6884999999999,5.79624999999999,22.11725
3,20.75,0.41,3.2745,22.828,23.6445,93.40275,-0.0720000000000005,3.605,-4.9625,40.7429999999996,34.1169999999999,44.672,5.346,21.925
3,21.25,0.4785,3.17,22.684,23.324,93.6035,0.00350000000000023,3.71075,-4.7275,36.1219999999998,32.3765,44.3032499999998,6.00674999999999,21.72575
3,21.75,0.4275,3.2415,22.5295,23.4345,93.78275,-0.03,3.639,-4.48600000000001,39.571,48.498,40.832,5.33,21.5265
3,22.25,0.45425,3.45275,22.808,23.47675,93.89325,0,3.4,-4.155,50.516,47.6755,50.9337499999997,4.82475,21.31875
3,22.75,0.4635,3.137,23.118,23.632,94,0,3.79625,-4.14925000000001,31.196,37.56,36.53,4.322,21.07325
3,23.25,0.47525,3.23725,22.76525,23.409,93.97125,0,4.011,-3.952,41.1979999999999,34.5035,35.224,7.99125,20.8385
3,23.75,0.44575,3.36925,22.61925,23.4045,93.977,-0.10825,3.474,-3.91,34.549,34.8859999999998,40.0954999999999,6.21549999999999,20.603
4,0.25,0.464499999999999,3.245,22.8245,23.65,94.12025,0.0464999999999986,3.5775,-3.44,32.713,36.6069999999999,32.3737499999999,4.72999999999999,21.408
4,0.75,0.5155,3.4015,23.0735,23.7925,94.108,0.0487499999999989,3.18675,-2.91275,38.599,48.5990000000001,37.6890000000001,5.95,21.172
4,1.25,0.439499999999999,3.1225,22.1475,23.173,94.12,0.302999999999997,3.7,-3.49075,34.6655,45.187,98.1855,8.4725,20.948
4,1.75,0.44,2.844,23.04625,23.9495,94.1985,0.552499999999993,3.6365,-2.933,42.1339999999998,31.1825,29.7170000000001,7.79,20.79
4,2.25,0.39725,3.32775,22.9155,23.6785,94.2185,0.0432499999999993,3.6955,-2.782,45.5689999999999,26.55175,32.05425,6.144,20.634
4,2.75,0.43,3.28525,22.82,23.5615,94.218,0.310749999999997,3.5675,-2.9525,31.952,27.27,29.87375,6.80325,20.486
4,3.25,0.44525,3.0715,22.382,23.089,94.199,0.253249999999999,3.31875,-2.9925,44.7729999999999,26.0379999999999,42.0447499999999,6.56925,20.332
4,3.75,0.451999999999999,3.28975,22.17125,23.04275,94.2475,0.0942499999999984,3.598,-2.809,63.5615,29.206,35.215,8.246,20.214
4,4.25,0.451,3.192,22.45175,23.061,94.29975,0.2755,3.623,-2.961,35.7114999999999,27.3442499999999,30.4259999999998,5.65575,20.058
4,4.75,0.487,3.1295,22.02175,22.905,94.31925,0.124249999999998,3.8335,-2.779,36.75,29.197,35.5925,5.47599999999999,19.872
4,5.25,0.45,3.3625,21.61625,22.7955,94.3185,12.14675,5.6375,-1.30800000000001,48.03625,35.0249999999999,30.60675,4.17599999999999,19.702
4,5.75,0.5,3.53799999999999,22.123,23.098,94.366,83.84925,35.12375,8.81875,52.13625,39.173,48.5619999999999,4.65474999999998,19.584
4,6.25,0.57775,3.571,22.90875,24.1145,94.42825,184.8425,62.025,44.498,60.6125,34.862,70.69125,6.17300000000001,19.494
4,6.75,0.5175,3.5605,23.909,24.90825,94.44875,298.12925,83,114.855,31.10625,80.1375,89.34,2.956,19.42
4,7.25,0.556,3.62,24.929,26.03,94.489,412.229,101.045,194.445,22.58125,135.432,119.582,4.974,19.402
4,7.75,0.675,3.996,25.48,26.578,94.5,528.78125,120.76,286.3965,44.615,198.244,157.9855,3.98199999999998,19.398
4,8.25,0.69575,4.035,26.66,27.11275,94.34,635.25175,138.649,367.638,64.86125,268.364,213.36375,6.62375,19.514
4,8.75,0.7145,3.93275,27.177,27.688,94.483,734.06975,151.60075,443.25875,69.76875,308.43125,240.47,6.0325,19.636
4,9.25,0.68,3.91149999999999,28.01,28.4825,94,814.06375,161.9455,511.50775,85.405,352.5545,232.940499999999,6.86424999999999,19.694
4,9.75,0.67,3.92499999999999,28.60175,28.97575,92.87525,888.75775,167.3,590.2975,95.5275,401.61625,250.041,5.80849999999999,19.764
4,10.25,0.682,4.1675,28.56575,29.3285,91.53675,957.08575,176.47,644.359,103.04375,434.032,270.5325,5.0285,20.214
4,10.75,0.603,4.275,28.23,28.5575,91.01,993.45425,178.91475,672.12575,115.105,474.6195,304.12125,4.135,20.308
4,11.25,0.631999999999999,4.384,28.82,29.18425,89.25125,1013.25925,182.727,705.902,140.39625,462.512,290.7255,3.5105,20.716
4,11.75,0.663499999999998,4.4535,29.3385,29.3075,89.78175,1029.4725,184.748,711.51,138.815,497.927,291.8575,4.89050000000001,21.238
4,12.25,0.72,4.30149999999999,29.0375,29.2765,88.8255,1024.33525,186.05025,713.99325,147.365,484.8775,294.076,5.94899999999999,21.91
4,12.75,0.69,4.74225,29.304,29.5,89.117,1004.64425,181.011,690.308,141.56875,472.435,267.168,3.85599999999999,22.608
4,13.25,0.65,4.5385,29.9485,29.6825,88.2155,959.23725,176.51775,656.4965,133.04125,448.082,278.5825,4.31800000000001,23.256
4,13.75,0.63,4.71,29.53325,29.438,89.919,918.254,169.298,613.65,130.97125,437.468,272.22875,4.17400000000001,23.806
4,14.25,0.5835,4.694,29.24075,29.49375,89.19075,855.9005,161.385,554.22,96.8525,396.4615,241.1275,2.656,24.242
4,14.75,0.62,4.60249999999999,29.3055,29.33,89.0085,761.65975,150.2725,485.66,94.1,338.57875,215.98725,3.89499999999999,25.1235
4,15.25,0.623749999999999,4.73475,28.92,29.1135,88.243,668.372,136.74625,411.13375,83.29125,303.32,176.9185,3.112,25.43075
4,15.75,0.594,4.616,28.581,28.838,88.428,548.62975,122.725,322.6175,88.65,253.0925,156.66025,5.12,25.556
4,16.25,0.53,4.37,28.154,28.367,88.208,436.5765,104.193,236.744,143.10125,180.6825,117.474,3.21,25.4495
4,16.75,0.593,4.1325,27.65675,27.892,88,313.10375,82.0225,143.6195,95.191,126.1615,93.631,3.4475,25.249
4,17.25,0.5025,4.175,26.9965,27.1125,89.34125,156.6075,57.5365,62.4265,168.7875,67.727,61.1555,4.16999999999999,25.032
4,17.75,0.4215,4.008,26.25,26.547,90,72.25975,30.7075,12.47925,53.86875,33.8905,52.09075,4.76375,24.7905
4,18.25,0.48025,3.72,25.23,25.95,91.57625,22.67175,6.79675,-4.06900000000002,104.36375,16.18125,29.40675,6.91,24.5155
4,18.75,0.44,3.39875,25.2185,25.9815,91.9475,0,3.039,-6.90150000000001,29.44625,17.04475,26.4895,6.28375,24.32175
4,19.25,0.441999999999999,3.46075,24.489,25.176,91.987,-0.27225,3.4025,-5.9725,26.7725,20.088,29.0425,6.5995,24.09625
4,19.75,0.463749999999999,3.3415,23.4685,24.3505,92.9885,0,3.48,-5.51049999999999,43.3125,18.863,41.2125,7.38575,23.73775
4,20.25,0.423,3.2045,23.5665,24.4825,93,0,3.318,-4.98000000000001,55.235,21.462,27.5059999999999,6.24450000000001,23.4865
4,20.75,0.44,3.27,22.914,23.8625,93.037,-0.00900000000000091,3.482,-5.37000000000001,8.82625,30.2219999999998,32.92125,8.52449999999999,23.25525
4,21.25,0.4115,2.96375,22.741,23.61175,93.351,0,3.6665,-4.50375,41.91625,26.7877499999999,41.97,7.731,22.9
4,21.75,0.39525,3.183,22.938,23.5885,93.6255,-0.0822500000000002,3.996,-4.3655,40.695,46.38275,45.355,7.205,22.62975
4,22.25,0.4725,3.072,23.237,24.226,94,-0.0325000000000023,3.655,-4.69824999999999,32.21625,35.465,53.7159999999999,6.212,22.37525
4,22.75,0.4,3.20125,23.226,24.0415,94,0,3.801,-4.41499999999999,20.94,32.1855,31.73025,5.75375,22.14975
4,23.25,0.4335,3.333,22.9,23.83975,94,0,3.8325,-4.52125,12.04625,30.31125,20.69825,6.44349999999999,21.93425
4,23.75,0.457,3.358,23.201,23.73,94.00025,0,4.03475,-3.99,18.915,33.95,32.4355000000001,6.24,21.69775
5,0.25,0.44,3.2045,24.5505,25.743,96.155,0,3.6665,-1.595,20.844,18.08875,38.9690000000001,5.4555,25.095
5,0.75,0.42,3.075,24.65725,25.5725,96.2505,0,3.63225,-1.37100000000001,34.3435,32.39125,45.2305,6.363,24.822
