DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC_1_1_1,SC,H_1_1_1,SH,LE_1_1_1,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2_1_1_1,VPD,NETRAD,PPFD_IN_1_1_1,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
2,3.25,0.2955,-18.71,2.09,0.258,0.235,0.003,-7.591,-1.529,0.052,-0.155,-2.104,0.277,0.192,82.85,96.5,391.111,0.24,-15.0965,1.923,-2.0865,0.063,-0.41,215.735,233.82,5.775
2,3.75,0.2965,-18.88,2.033,0.23,0.197,0.0015,-6.6235,-1.6395,0.047,-0.0515,-2.139,0.273,0.192,82.55,96.5,391.2325,0.24,-13.571,1.952,-1.454,0.05,0.141,218.625,233.16,5.775
2,4.25,0.3045,-19.155,2.072,0.2525,0.224,0.006,-7.8155,-1.578,0.086,-0.042,-2.096,0.2775,0.1995,82.6,96.55,391.3595,0.24,-14.001,1.9585,-1.151,0.0525,0.177,219.28,233.22,5.775
2,4.75,0.309,-19.36,2.033,0.276,0.218,0.011,-6.86,-1.4775,0.106,-0.049,-2.112,0.2755,0.1915,82.3,96.6,391.473,0.24,-12.913,1.986,-1.065,0.056,0.159,219.54,232.03,5.776
2,5.25,0.293,-19.355,2.044,0.259,0.2305,0.013,-6.803,-1.3425,0.1395,-0.0515,-2.1405,0.2755,0.188,82.1,96.6,391.245,0.24,-14.632,1.9875,-1.037,0.051,0.1605,218.71,231.55,5.7755
2,5.75,0.287,-19.3,2.025,0.264,0.237,0,-7.524,-1.035,0.089,-0.048,-2.1015,0.276,0.19,82.05,96.6,391.925,0.235,-13.6245,1.9965,-1.13,0.053,0.19,220.33,232.14,5.775
2,6.25,0.292,-19.23,2.0355,0.263,0.227,0.002,-7.397,-0.715,0.111,-0.017,-2.116,0.274,0.188,82.25,96.6,391.778,0.235,-12.4915,1.998,-0.9165,0.083,0.18,217.585,231.845,5.7755
2,6.75,0.3045,-18.98,2.0975,0.241,0.2285,0.018,-7.126,-0.257,0.0445,-0.016,-2.075,0.2735,0.1975,82.4,96.6,391.583,0.23,-11.3305,2.416,-0.2305,0.299,0.292,214.785,231.42,5.8015
2,7.25,0.308,-19.2,2.0205,0.252,0.239,-0.001,-6.613,2.341,0.036,0.331,-2.1035,0.2765,0.19,82.35,96.6,391.711,0.22,-1.42,13.033,4.287,2.014,1.224,216.765,231.5,11.056
2,7.75,0.33,-19.18,2.017,0.333,0.296,0.002,-4.14,6.255,0.254,0.995,-2.08,0.275,0.1915,82.3,96.6,391.587,0.23,13.5805,60.81,28.05,9.169,5.4005,220,232.52,52.954
2,8.25,0.371,-18.6,2.1515,0.324,0.347,-0.019,4.77,10.4395,1.157,1.4705,-2.131,0.2715,0.1865,82.1,96.6,391.939,0.24,43.0335,145.414,70.6,19.915,12.695,222.67,234.215,121.245
2,8.75,0.441,-18.08,2.357,0.373,0.46,-0.069,22.002,11.8195,2.783,1.6625,-2.1405,0.269,0.187,81.6,96.6,392.301,0.25,78.711,244.3815,118.1,31.948,21.19,222.79,238.43,183.88
2,9.25,0.499,-17.09,2.583,0.343,0.43,-0.052,47.509,10.5925,5.096,1.514,-2.118,0.271,0.187,81.05,96.6,391.674,0.29,118.02,362.265,173.5,44.994,29.65,223.59,241.97,247.5
2,9.75,0.5305,-16.0945,2.728,0.344,0.417,-0.0475,76,11.822,7.227,1.4185,-2.158,0.272,0.186,80.6,96.6,391.152,0.32,159.69,466.027,231,56.729,36.25,224,246.08,292.695
2,10.25,0.5745,-15.32,2.887,0.401,0.451,-0.041,99.6055,12.245,9.141,1.468,-2.116,0.28,0.183,78.825,96.6,391.313,0.35,188.08,522.527,253.2,68.433,42.03,224.18,251.69,336.665
2,10.75,0.612,-14.35,2.912,0.377,0.412,-0.0325,126.587,11.116,12.783,1.3385,-2.198,0.27,0.181,77.59,96.6,391.277,0.4,215.3,603.126,293.3,79.952,47.01,224.6,254.44,348.99
2,11.25,0.6015,-13.915,3.057,0.355,0.3735,-0.026,140.098,10.122,12.796,1.04,-2.221,0.283,0.184,75.84,96.6,391.216,0.425,230.81,671.419,318,88.025,50.94,221.99,258.27,361.025
2,11.75,0.607,-13.49,3.135,0.39,0.423,-0.022,148.1005,8.375,14.675,1.052,-2.196,0.275,0.185,74.67,96.6,391.188,0.48,248.52,693.3775,334,92.3965,53.515,220.49,259.9105,374.6
2,12.25,0.595,-12.96,3.045,0.394,0.377,-0.0075,144.8285,6.681,16.31,1.09,-2.147,0.275,0.188,73.45,96.6,391.0115,0.5,237.375,667.069,318.35,92.571,53.485,224.985,263.915,384.65
2,12.75,0.588,-12.32,3.157,0.401,0.3725,-0.01,131.885,6.08,16.391,0.942,-2.206,0.271,0.1865,72.46,96.6,391.0455,0.525,224.175,648.269,310.5,89.3055,52.13,226.595,266.57,402.885
2,13.25,0.609,-11.835,3.085,0.3315,0.347,-0.016,126.0835,4.7525,16.0105,0.6635,-2.1475,0.274,0.187,72.04,96.6,390.948,0.575,203.85,600.1435,283.8,84.475,48.075,223.795,268.26,382.99
2,13.75,0.597,-11.51,3.2005,0.347,0.362,-0.018,115.4755,3.319,13.8015,0.411,-2.204,0.269,0.183,71.81,96.6,390.99,0.6,195.84,573.396,274.95,77.4955,45.61,223.415,268.41,335.79
2,14.25,0.61,-11.355,3.2225,0.389,0.3585,0,96.695,1.7875,15.538,0.3645,-2.204,0.274,0.185,71.455,96.6,391.03,0.595,163.28,502.719,239.8,67.6585,40.15,225.21,269.18,308.275
2,14.75,0.5995,-11.35,3.061,0.354,0.348,-0.001,76.414,-0.189,13.039,0.0505,-2.179,0.275,0.1895,72.36,96.6,390.777,0.6,126.805,388.795,183.15,53.339,32.59,225.42,268.915,256.855
2,15.25,0.574,-11.34,2.9905,0.326,0.3165,0.004,54.561,-1.852,10.0845,0,-2.1475,0.273,0.193,71.67,96.6,390.431,0.61,87.7005,316.642,153.1,39.6555,25.545,222.675,267.465,202.67
2,15.75,0.536,-11.38,2.977,0.3115,0.309,0.0085,33.161,-3.552,7.596,-0.046,-2.138,0.269,0.188,71.93,96.6,390.4375,0.59,49.783,214.08,99.4,27.057,17.015,222.455,265.75,151.425
2,16.25,0.508,-11.61,2.7985,0.3025,0.2745,0.0265,13.5795,-5.58,5.3465,-0.2025,-2.114,0.281,0.188,73.52,96.6,389.925,0.55,16.6105,124.6285,61.075,17.0035,10.315,221.695,264.3,101.67
2,16.75,0.448,-11.955,2.5565,0.288,0.2445,0.052,-1.722,-7.909,2.5115,-0.664,-2.085,0.276,0.1885,75.14,96.6,389.947,0.49,-9.451,54.33,24.885,7.4935,4.83,220.73,260.4505,47.271
2,17.25,0.3955,-12.29,2.34,0.2775,0.175,0.067,-8.222,-8.805,1.057,-1.0745,-2.124,0.273,0.188,77.1,96.6,389.844,0.445,-29.342,11.179,2.7105,1.62,1.071,222.94,257.101,9.305
2,17.75,0.355,-12.765,2.261,0.287,0.195,0.068,-11.045,-8.4725,0.228,-1.0915,-2.145,0.272,0.185,78.115,96.7,389.789,0.415,-35.53,2.263,-1.428,0.272,0.301,216.51,253.69,5.772
2,18.25,0.3405,-13.495,2.188,0.292,0.212,0.052,-9.917,-7.5395,0.292,-1.0205,-2.0785,0.276,0.191,79.145,96.7,389.851,0.385,-34.72,1.889,-1.91,0.106,0.2865,214.76,252.07,5.768
2,18.75,0.3185,-14.03,2.1375,0.268,0.197,0.042,-11,-6.138,0.137,-0.93,-2.0435,0.273,0.192,79.65,96.7,389.9715,0.37,-33.015,1.949,-1.671,0.104,0.291,216.485,249.97,5.7695
2,19.25,0.327,-14.12,2.171,0.285,0.1795,0.084,-10.7445,-6.335,0.0275,-0.86,-2.061,0.273,0.185,80.15,96.7,389.799,0.35,-29.8315,1.839,-1.626,0.088,0.284,216.29,248.345,5.7695
2,19.75,0.3035,-14.33,2.174,0.3155,0.181,0.078,-10.603,-4.919,0.195,-0.74,-2.11,0.276,0.185,80.8,96.7,390.079,0.33,-32.092,1.895,-1.633,0.093,0.2825,215.275,247.64,5.77
2,20.25,0.3175,-14.94,2.171,0.2885,0.201,0.056,-10.458,-4.728,0.1525,-0.722,-2.059,0.279,0.1875,81.65,96.7,390.13,0.33,-30.5895,1.912,-1.6305,0.088,0.288,215.72,245.43,5.7705
2,20.75,0.337,-14.97,2.107,0.287,0.212,0.027,-11.501,-4.398,0.073,-0.799,-2.019,0.282,0.189,81.8,96.7,390.171,0.32,-30.8075,1.932,-1.558,0.0785,0.29,216.15,243.72,5.771
2,21.25,0.31,-15.56,2.1325,0.248,0.2065,0.029,-12.412,-4.176,0.089,-0.637,-2.092,0.268,0.1865,82,96.7,390.1915,0.31,-30.323,1.877,-1.572,0.077,0.285,216.505,242.935,5.7705
2,21.75,0.305,-15.74,2.1105,0.263,0.209,0.033,-10.599,-4.1,0.094,-0.632,-2.092,0.273,0.185,82.25,96.7,390.313,0.3,-28.724,1.927,-1.5895,0.083,0.284,214.805,241.39,5.772
2,22.25,0.297,-16.18,2.217,0.265,0.207,0.053,-10.937,-4.268,0.0715,-0.611,-2.057,0.279,0.189,82.65,96.65,390.719,0.29,-31.368,1.9095,-1.5865,0.0805,0.328,213.455,240.94,5.7725
2,22.75,0.307,-16.39,2.1355,0.289,0.2295,0.025,-10.096,-3.613,0.119,-0.451,-2.1095,0.277,0.189,82.55,96.65,390.647,0.28,-27.3055,1.9715,-1.503,0.0925,0.3065,212.365,240.045,5.7715
2,23.25,0.291,-16.55,2.111,0.266,0.218,0.043,-9.957,-3.2305,0.079,-0.323,-2.115,0.272,0.1955,83.2,96.7,390.647,0.27,-24.1095,1.9545,-1.384,0.077,0.301,215.91,240.02,5.772
2,23.75,0.287,-16.71,2.12,0.255,0.205,0.029,-10.272,-3.586,0.0595,-0.357,-2.054,0.2805,0.189,82.85,96.7,390.5365,0.26,-23.747,1.971,-1.483,0.068,0.29,218.24,241,5.772
3,0.25,0.2795,-9.73,2.1005,0.3105,0.235,0.0595,-8.065,-5.464,0.165,-0.675,-1.461,0.295,0.167,77.775,97,392.268,0.48,-40.338,1.801,-1.714,0.02,0.374,219.535,267.32,5.764
3,0.75,0.249,-10.005,2.042,0.3105,0.235,0.05,-7.919,-4.945,0.0925,-0.6305,-1.468,0.294,0.163,78.56,97,392.151,0.48,-39.852,1.839,-1.771,0.014,0.4625,222.69,265.43,5.761
3,1.25,0.235,-10.23,2.004,0.316,0.151,0.044,-8.484,-4.072,0.081,-0.3695,-1.473,0.302,0.16,79.365,97,392.586,0.465,-38.9175,1.847,-1.604,0.0245,0.347,225.105,262.11,5.764
3,1.75,0.2335,-10.75,2.063,0.3125,0.2485,0.028,-6.985,-3.765,0.0735,-0.36,-1.4525,0.297,0.165,79.825,96.95,392.0945,0.43,-33.4145,1.889,-1.606,0.0285,0.371,225.995,261.335,5.657
3,2.25,0.245,-10.84,2.0715,0.311,0.235,0.017,-7.353,-3.406,0.064,-0.334,-1.4455,0.296,0.166,79.16,96.9,392.368,0.42,-31.876,1.852,-2.4615,0.0265,-1.562,226.06,260.185,5.765
3,2.75,0.253,-11.04,2.028,0.287,0.225,0.0085,-6.666,-2.772,0.076,-0.339,-1.449,0.296,0.177,79.62,96.9,392.32,0.39,-29.122,1.863,-2.726,0.025,-2.114,222.665,260.61,5.765
3,3.25,0.2525,-11.46,2.0055,0.2785,0.217,0.0155,-7.636,-2.278,0.0985,-0.1,-1.475,0.293,0.175,80.05,97,392.365,0.37,-26.8475,1.862,-1.838,0.03,-0.4,225.865,259.6755,5.764
3,3.75,0.2485,-11.4,2.0445,0.316,0.2605,0.009,-6.907,-1.676,0.0985,-0.119,-1.4635,0.297,0.17,80.2,97,392.317,0.365,-25.802,1.881,-1.271,0.029,0.153,231.255,259.5,5.765
3,4.25,0.269,-11.84,1.973,0.289,0.223,0.02,-7.824,-2.03,0.08,-0.122,-1.476,0.3,0.172,80.1,97,392.279,0.345,-20.141,1.914,-1.152,0.0235,0.228,231.305,258.45,5.765
3,4.75,0.257,-12.185,2.0525,0.2975,0.279,0.0125,-8.287,-1.85,0.044,-0.052,-1.415,0.301,0.17,80.75,97,392.6045,0.34,-19.8665,1.928,-1.209,0.028,0.247,233.305,258.7355,5.765
3,5.25,0.263,-12.39,2.091,0.291,0.244,0.026,-9.264,-2.215,0.027,-0.246,-1.4595,0.303,0.173,80.9,97,392.421,0.33,-19.563,1.951,-0.986,0.0405,0.174,234.435,256.2355,5.764
