DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_4_1_1,TS_4_2_1
1,12.25,76.0503725,-0.608999999999999,10.29525,12.36874,-1.7655,0.0969955,376.24685,1.96555,2.48398,86.60625,3.127775,8.56345,0.624225,136.14189,21.9367175,224.2102975,341.78217,27.778965,273.8095,-0.30945,0.43407,1.9404,3.4917,5.5823675,8.0659025,0.0804500000000002,1.0569675,7.917675,8.957,6.42145,9.25225
1,12.75,121.52055,3.914675,10.38352,25.6235625,-1.76219,0.0959375,376.347925,1.97705,2.7615875,86.5699775,3.3976,8.74548,0.50105,186.9,27.51215,223.87425,344.4506,39.95608,351.94765,0.0984250000000002,0.44337,1.88215,3.4635,5.5772925,8.08469,0.163855,1.168055,7.909925,8.96475,6.411,9.25225
1,13.25,100.05755,7.445975,7.2195,19.08416,-1.7331,0.0908375,375.520775,1.969675,3.9677375,86.5722,3.8513,9.234835,0.4513875,161.95435,24.9053,224.85045,346.874,34.11875,313.14125,0.731975,1.13338,2.052425,3.9552075,5.5638475,8.08118,2.0018925,1.3682575,7.8912,8.968,6.389,9.252
1,13.75,88.605355,3.09,4.66115,20.88439,-1.5591925,0.093975,375.259215,1.908435,4.04935,86.5169825,3.961625,8.66682,0.49071,145.51954,27.64506,224.9595125,350.2489625,33.88125,280.811445,1.1434125,1.105305,2.080625,3.9179575,5.5569025,8.08469,2.3636625,1.6033825,7.9062,8.97025,6.39165,9.26
1,14.25,77.22,0.3048875,8.712175,9.82786,-1.4206,0.0973375,375.175005,1.88768,4.4871325,86.5032875,4.255,8.82036,0.50372,133.69888,21.29938,224.60776,349.2985975,30.1718,281.5,0.38465,0.512855,1.808675,3.4436,5.5174175,8.08469,2.39285,1.618495,7.910925,8.97025,6.384975,9.26
1,14.75,65.6271175,-8.94558,5.45128,15.55305,-1.30467,0.077805,375.07722,1.85861,3.5214775,86.49298,4.1413,8.7183,0.605875,133.570085,23.8197025,224.1563125,346.3934225,36.3106675,287.812215,1.04805,0.76118,1.754725,3.476175,5.49347,7.8963175,2.83202,1.77907,7.914875,8.98025,6.373325,9.26
1,15.25,39.6579425,-13.8347,5.21179,-0.946814999999998,-1.16977,0.08274,375.080475,1.8753875,4.087295,86.480225,4.265,8.43775,0.5771525,96.76497,17.0666125,227.831215,344.54586,25.7866975,202.297915,1.633625,1.0130725,1.838,3.43135,5.504945,8.0659025,2.83087,2.092155,7.91805,8.978,6.365425,9.26
1,15.75,11.4971,-32.00476,3.3363,-6.3219975,-1.057405,0.08681425,374.96856,1.9012,3.7183775,86.48585,4.2746,7.99924,0.721935,55.92175,10.3701,224.12025,338.0523,16.036525,129.33995,1.9913375,1.2937475,1.883425,3.4422,5.4801275,7.85917,2.979975,2.278205,7.92115,8.978,6.352875,9.26
1,16.25,-8.6235975,-46.11918,1.279845,-13.25492,-0.92191,0.06697,374.91084,1.786325,2.99583,86.54846,3.563425,8.1939225,0.63834,25.7971325,2.817675,223.29267,331.4872275,9.52336,57.60275,2.0259625,1.5405225,2.035475,3.446775,5.4851525,7.749585,3.03442,2.479455,7.930525,8.988,6.347425,9.26
1,16.75,-52.14384,-55.57676,-0.88704,-30.84444,-0.59806,0.06385,375.0042175,1.86444,2.90379,86.52866,3.108375,8.9071675,0.36922,13.77885,0,221.6489875,322.873985,3.414495,32.4390725,1.9944375,1.7644975,2.0307,3.452525,5.4863525,7.749585,2.85757,2.622205,7.93525,8.98575,6.334975,9.26
1,17.25,-88.171295,-73.4269,-13.11679,-48.8250775,-1.0718825,0.05781,375.1806,1.9023,2.69879,86.50536,2.6985,9.6709175,0.25248,5.9958875,0,219.4003575,316.416415,0,14.6868,1.131825,1.8707525,1.804075,3.4659875,5.5117775,7.749585,2.53885,2.52403,7.936875,8.98575,6.3302,9.2545
