DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
5,13.25,0.694,16.0905,4.497,-0.0065,334.30425,86.69725,47.71825,375.32325,11.635,610.64825,1848.963,824.57875,109.78,89.855,5.583
5,13.75,0.71625,16.64375,4.53225,-0.019,319.248,82.144,47.94475,375.85,12.005,594.822,1792.274,802.2975,105.344,87.4115,5.705
5,14.25,0.719,16.85325,4.602,-0.014,302.615,79.061,44.43875,375.8045,12.2,573.789,1719.1275,773.4305,106.015,83.72975,5.631
5,14.75,0.7125,17.319,4.572,-0.019,303.252,74.918,45.30725,375.71575,12.5625,543.7105,1608.241,734.21025,100.789,80.6445,5.627
5,15.25,0.722,17.2995,4.58975,-0.039,271.188,73.96,45.345,375.89225,12.5925,504.032,1480.654,681.339,95.322,75.7315,5.73025
5,15.75,0.72525,17.26825,4.481,0.10675,250.97225,67.17175,46.02725,375.966,12.9225,459.76325,1359.0365,629.72575,89.459,71.13075,5.865
5,16.25,0.70175,17.43575,4.408,0.141,217.28575,59.477,42.4715,376.0995,13.1725,402.557,1148.584,560.09825,81.634,66.32325,5.83125
5,16.75,0.72325,17.28575,4.45975,0.122,185.462,52.368,44.128,375.84325,12.8325,343.0465,898.697,488.938,69.573,58.33475,5.894
5,17.25,0.6845,16.99975,4.36,0.241,143.981,50.375,47.01725,376.057,12.12,278.96975,674.22,418.317,58.058,49.96175,5.821
5,17.75,0.678,16.7645,4.3475,0.303,109.715,39.284,53.4365,376.493,12.0575,217.628,552.248,337.968,47.879,43.34,6.271
5,18.25,0.65375,16.2605,4.177,0.351,80.492,33.945,57.19725,377.055,11.575,159.26825,528.355,249.007,37.64575,38.53,5.929
5,18.75,0.61875,15.86725,4.0645,0.424,54.89,25.153,56.782,377.052,11.17,105.44075,389.304,177.287,28.855,31.18775,5.945
5,19.25,0.57175,15.56025,3.7305,0.476,18.189,20.707,56.00425,377.1835,10.525,46.10925,250.43175,88.787,18.928,22.49075,6.206
5,19.75,0.53275,14.78875,3.5525,0.51,1.318,14.203,56.4835,378.049,9.98,2.4915,133.136,52.125,10.789,14.122,6.185
5,20.25,0.446,13.9075,3.2175,0.712,-6.253,10.515,57.7545,378.2275,9.1025,-14.57175,60.163,21.967,4.765,3.3565,6.091
5,20.75,0.412,12.80625,3.1255,0.74375,-3.98425,7.64675,59.941,380.165,8.61,-22.25875,20.0845,3.285,1.066,0.36275,6.068
5,21.25,0.4155,12.25525,3.0845,0.65675,-5.0785,5.7365,62.91,381.517,7.63,-23.8655,10.089,-1.627,0.204,-0.1445,6.00225
5,21.75,0.39625,11.862,3.044,0.74,-3.989,4.358,64.683,381.972,7.17,-23.1215,7.1165,-2.449,0.089,-0.158,6.22775
5,22.25,0.4435,11.2455,3.24775,0.775,-5.942,4.993,69.43725,382.597,6.35,-22.34175,4.69775,-2.429,0.096,-0.02675,6.517
5,22.75,0.41625,10.54275,3.0745,0.808,-5.689,3.517,72.22275,383.3845,5.755,-22.08625,4.72925,-2.4795,0.097,-0.01375,6.704
5,23.25,0.41775,9.85625,3.09225,0.769,-5.446,3.378,74.3475,384.007,5.4825,-22.23425,3.6765,-2.1525,0.083,-0.10975,6.617
5,23.75,0.40475,9.561,3.1405,0.751,-5.624,3.5675,75.18325,384.649,4.9625,-22.70075,3.52575,-2.1845,0.123,-0.035,6.649
6,0.25,0.3535,14.919,2.4015,1.6065,-7.1275,2.608,83.152,387.14,6.9725,-19.43275,2.271,-1.85675,0.025,-0.11475,10.897
6,0.75,0.352,14.378,2.4665,1.27275,-5.6585,1.8165,84.1125,388.03525,5.915,-15.12275,1.739,-1.93825,0.054,-0.15675,10.9865
6,1.25,0.379,13.62475,2.5735,1.529,-7.334,2.21,86.1345,388.26925,5.4775,-15.31075,1.775,-1.6765,0.013,-0.12325,10.8915
6,1.75,0.384,13.6155,2.539,1.59375,-6.08825,3.76975,86.66475,389.545,5.2125,-15.1295,2.57,-1.36,0.037,-0.01425,10.78425
6,2.25,0.39925,13.03075,2.43075,1.65,-6.6575,3.632,88.3155,390.45025,4.7075,-14.5765,2.935,-1.43825,0.023,-0.0215,10.90225
6,2.75,0.372,12.8555,2.4885,1.593,-6.26275,3.45475,89.01775,390.59325,4.42,-13.779,2.928,-1.1855,0.043,-0.05975,10.8005
6,3.25,0.39075,12.46025,2.55275,1.483,-5.90125,3.74925,89.71025,391.97725,3.9575,-15.00725,3.229,-1.2975,0.041,-0.009,10.627
6,3.75,0.414,12.0305,2.525,1.536,-5.387,3.761,91.3755,392.111,3.635,-11.462,9.322,0.412,0.376,0.37725,10.522
