DOY2,HR2,USTAR,H,LE,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,RH_1_2_1,PA,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,G_1_1_7,G_1_1_8,G_1_1_9,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1
1,5.25,0.024792759525,-57.6957772305,-0.051148186275,0.14792485,0.17688925,0.044075125,0.061878575,0.344607575,-35.750581,-37.6103065,55.01932875,56.58386625,95.92097,-10.0689203575,-8.441329139125,-6.383300928125,-1.447337348875,-11.13139804375,-12.7690739425,-36.15834371875,-14.8094474725,-8.04861138375,-3.833974051625,-2.02100123225,-46.1105465125,-0.09136604,0.171798545,-14.5260325,-13.65885125,-11.1724,-11.307035,-10.18539375
1,5.75,0.015733780125,-50.2133145295,0.18796166995,0.1476305,0.180370175,0.040033375,0.056017325,0.187925325,-35.975405375,-37.627232125,55.52384375,56.89427875,95.913515,-10.07074216875,-8.455930983375,-6.379280915,-1.457757006375,-11.1447396075,-12.70051131375,-36.41145961,-14.70347106125,-8.048955795,-3.877753326625,-1.905368118375,-46.0069583375,-0.0959749625,0.1841290475,-14.5706825,-13.6993275,-11.2014975,-11.3422175,-10.2280775
1,6.25,0.0095808028,-56.526044275,-0.073057872,0.105513,0.1489428,0.0336432,0.0624416,0.2573806,-35.743575125,-37.606773125,55.76665625,57.208635,95.919032,-10.07940483375,-8.438357051625,-6.357677902875,-1.461632602875,-11.16262404875,-12.31312786625,-36.63018161,-14.63961395875,-8.057595528875,-4.419563041,-2.122354663,-43.27085368625,-0.09738068,0.15021361,-14.60961875,-13.73634125,-11.20535375,-11.33757625,-10.2646775
1,6.75,0.010191547075,-54.202186336,-0.7149352289625,0.109724375,0.08031515,0.0334488,0.0501699,0.175220125,-36.133967375,-37.610417625,55.14679375,56.69579,95.948873,-10.09037246625,-8.414116321,-6.336736874,-1.461502126,-11.187021515,-11.97483984125,-36.82625114125,-14.36653357,-8.0597038105,-4.224237442125,-1.964867194125,-44.40306589625,-0.09937846,0.1282173975,-14.65019125,-13.7667825,-11.19721625,-11.34008625,-10.3057775
1,7.25,0.0143631385,-59.064672746,-1.356812585925,0.14144275,0.12730875,0.0311715,0.0579625,0.5280043,-35.821981375,-37.59940725,54.34817375,55.56557375,95.979011,-10.10698174125,-8.386423504625,-6.31801693425,-1.461642405125,-11.228321115,-11.70347533625,-37.01017338875,-14.03680781875,-8.06049974625,-3.85998095475,-1.690109079875,-42.35906298125,-0.09541734,0.161747455,-14.6443875,-13.74704125,-11.1821,-11.3880875,-10.344725
1,7.75,0.01795658805,-57.87952928575,-1.4026399837,0.1104704,0.123361,0.0326454,0.0496986,0.2093474,-36.085369125,-37.614655375,55.624015,56.8937625,96.025115,-10.147428555,-8.36106466275,-6.290942262375,-1.45142260125,-11.225552195,-11.49221576,-37.18383919875,-13.92827990875,-8.062341274625,-4.296171407625,-2.664886298375,-42.05266569875,-0.1044523625,0.1641861825,-14.62516375,-13.724105,-11.21328625,-11.4294175,-10.37708375
1,8.25,0.0189282279,-58.521545544,-1.448467381475,0.14643135,0.154131375,0.035520825,0.069404075,0.1621204,-35.652924125,-37.6040625,56.49391375,57.7236175,96.089612,-10.14124769375,-8.354337887625,-6.267483226,-1.44514996275,-11.09595687375,-11.34805340375,-37.3458982275,-13.938388235,-8.06738137675,-3.797437957625,-2.111067378875,-41.209056205,-0.08785212,0.15557335,-14.59364875,-13.72953,-11.2513125,-11.46902125,-10.399635
1,8.75,0.0169118823,-60.62828223875,-1.165033041625,0.09869285,0.118266525,0.036210525,0.075757525,0.0873127,-35.188687375,-37.605289875,57.24871875,58.55034375,96.137759,-10.12271709625,-8.349555246625,-6.241994057,-1.4288658995,-11.02728276,-11.1374255025,-37.491508415,-13.73637420875,-8.0688031025,-3.940945193125,-2.10560928475,-41.56920348625,-0.0782482,0.18495097,-14.58731625,-13.7582125,-11.27734,-11.4954825,-10.41901875
1,9.25,0.01510601205,-56.10655847,-0.881598701775,0.0911386,0.16077755,0.03303055,0.0535616,0.11304835,-34.794827125,-37.606715625,55.61447625,56.77636375,96.17546,-10.13328342625,-8.342436685125,-6.214553384875,-1.423292024625,-10.95717189625,-10.9899915675,-37.61229850625,-13.48858191875,-8.072456290625,-3.681145625375,-1.846122740625,-42.02633139375,-0.064039245,0.395633925,-14.5961725,-13.76349375,-11.27369375,-11.4951175,-10.41985625
1,9.75,0.007439399175,-49.101841618,-7.008165481375,0.1175244,0.1672028,0.0307312,0.0573066,0.117642075,-34.534660125,-37.6076895,57.98888375,60.15613,96.152987,-10.14089966375,-8.334100703,-6.187817941875,-1.416514717875,-10.85247311875,-10.885768265,-37.7069743025,-13.21641777875,-8.078220233375,-3.288949018375,-1.97886986425,-43.107233525,-0.0449807525,0.506060475,-14.59683375,-13.75802375,-11.2692675,-11.49038875,-10.41093625
1,10.25,0.0216842524,-49.030431934,-3.9124467422375,0.137341,0.16062525,0.052508,0.06023625,0.1216136,-34.4591135,-37.4927155,57.51736375,58.86719125,96.167648,-10.14160947625,-8.321821539125,-6.1791614235,-1.405303503125,-10.78995966875,-10.815629485,-37.68056263875,-12.904897875,-8.089215640125,-2.718848719375,-1.449924404375,-41.35754263875,0.09569011,0.99110835,-14.60558375,-13.76337,-11.26569625,-11.48485,-10.3880475
1,10.75,0.0147625436,-48.95902225,-0.8167280031,0.115813125,0.12921875,0.029997,0.087478125,0.363723,-36.7453905,-37.60712125,57.1272775,58.03052875,96.239909,-10.80984387375,-8.991212871625,-6.55262826975,-1.460071093875,-11.2844828525,-12.92074595125,-37.63815284375,-12.613928485,-8.482474616,-3.09157160675,-0.178955824,-40.32225484375,0.642252525,2.315519,-14.5828825,-13.742725,-11.23747875,-11.45812875,-10.34021875
