DOY2,HR2,CO2,FC,SC,G_1_1_1,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,USTAR,WS_1_1_1
1,16.75,414.8999939,0.162795499,0.000757,-3.361572027,-1.3822300435,-0.381063014,0.665573001,0.047899999,97.74632263,92.198493955,-14.67921972,0.1890570595,-1.702647507,0.940500021,-2.374788046,0.259070009,1.763699055
1,17.25,415.0509949,0.112378001,0.009975,-3.095194459,-3.8762249945,-0.4409035,-0.0493,0.0923499985,97.59700775,92.11766815,-14.84191799,0.18442066,-0.6829770805,0.115000002,-2.747234344,0.2522505,1.671133041
1,17.75,415.423996,0.1498145015,0.0147,-2.917155981,-6.3159749505,-0.2808004915,-1.0647775235,0.00648,97.274497985,92.11766815,-15.47817993,0.1921175495,-1.134220004,0.100000001,-2.791046381,0.197531998,1.720839024
1,18.25,417.5580139,0.203906,0.005165,-2.904371977,-10.33720016,-0.5378009975,-1.6833850145,-0.01745,97.38995361,92.01227951,-15.51710987,0.18796289,-1.266129971,0.088,-2.7629514935,0.231199995,1.611861944
1,18.75,416.7839966,0.180465996,0.0105,-2.853088498,-22.621800425,-0.5232380035,-2.256150007,-0.0625,97.422332765,92.424209595,-15.66444016,0.185379103,-0.7827444375,0.085000001,-2.677434921,0.215580001,1.399783015
1,19.25,416.7879944,0.152427003,0.00668,-2.860443473,-13.72210026,-0.230515003,-0.585654974,-0.00818,97.599651335,92.031867985,-16.01029015,0.1877785475,-1.9220070245,0.080499999,-2.605332494,0.189626001,1.4091655015
1,19.75,415.0570068,0.143986002,0.0239000005,-2.919615984,-7.303679943,-0.227017,-1.1210150125,-0.0836,97.64668274,93.18218231,-15.83810043,0.172242522,-3.718270063,0.079000004,-2.4755061865,0.184588999,1.4005014895
1,20.25,415.6659851,0.209987998,0.0151,-3.14803493,-3.350820065,0.138735995,-0.940385997,-0.158151001,97.516811375,93.48988342,-15.81338978,0.158962458,-3.7120929955,0.0739999975,-2.441361189,0.188161001,1.257144034
1,20.75,415.0859985,0.187546,0.015699999,-3.5275239945,-5.08163023,0.121884003,-0.805963516,-0.1317394975,97.22216034,93.510715485,-16.38615036,0.1600131915,-3.2342494725,0.071000002,-2.25283742,0.143294007,1.2435564995
1,21.25,416.9549866,0.1601445005,0.0145999995,-3.7523064615,-3.685290098,0.0517499985,-0.7511820195,-0.0746,97.05581284,93.48988342,-16.4251709,0.157432944,-1.637230992,0.065499999,-2.212070942,0.119983003,1.4462314845
1,21.75,418.6260071,0.1652080045,0.007865,-3.6899335385,-4.2423899175,-0.284819007,-0.542710498,-0.04095,97.042007445,93.48988342,-15.72569752,0.164966971,-1.075804144,0.0694999995,-2.16549468,0.135042995,1.723912954
1,22.25,421.2550049,0.166889995,0.02095,-3.950687885,-5.189579964,-0.090499997,-0.6014539895,-0.066849999,97.12566376,92.98999023,-16.158501625,0.171345912,-3.051192045,0.077,-2.054664135,0.128428996,1.4329999685
