DOY2,HR2,LE,H,FC,USTAR,TA,WS,CO2,VPD,H2O,RH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,G
1,16.75,64.798,34.969975,1.817499,1.409857,5.44310904999999,6.9910915,446.5488,3.03934123301764,8.80227,99.998,4.12264204999999,8.10381969999999,3.4042027,343.947578890493,340.756431830493,-3.3341875
1,17.25,155.774022499999,2.24086100000001,3.12890675,1.2684,6.07096836249998,6.30036,440.45,2.51983769414725,8.89210899999999,99.998,1.5997487,0.734485081249998,2.2993221,337.174469175669,339.901059015687,-3.3300875
1,17.75,51.56775,28.074675,2.929095,1.30902875,5.06262719999999,6.91369375,450.57025,2.68674735491611,8.94986075,99.998,2.19069629999999,0.529996904999999,2.41409255,337.364433015882,338.674878165882,-3.336425
1,18.25,69.9449999999999,21.4717,1.7266925,1.2481975,4.800145,6.6274405,443.1202,2.76508105192994,9.21230399999999,99.998,2.03918359999999,0.623839236249999,2.6128947125,330.926049952744,333.628860535217,-3.3880375
1,18.75,94.9135299999999,28.803717,1.857905,1.2026455,4.8354675,6.3511255,441.1572,2.63714306608489,9.2453575,99.998,2.15423279999999,0.764129885,2.2706989,335.649664924548,334.499101282784,-2.9983
1,19.25,69.904925,66.2612102500001,2.52946325,1.3738975,4.7647025,7.7295175,446.329075,2.44103272556611,9.25911199999999,99.998,4.59161442499999,0.7405355525,1.9469406,338.174557223983,335.520551653695,-3.1834
1,19.75,64.29016,6.319017,2.03852025,1.394106,5.3075091,8.0317995,434.97385,2.4615869053894,9.243761,99.998,3.68783209999999,0.803368964999999,2.176995,342.475693651809,338.809242028144,-3.2359
1,20.25,144.9391,23.4333625,2.319684,1.50179,4.85402999999999,7.68384799999999,436.8796,2.45895136994009,9.15579749999999,99.998,2.935874175,0.80184360875,1.9798987,337.022307065503,336.524867780705,-3.2725
1,20.75,108.86689,68.0480400000001,2.65411875,1.38624875,5.69323329999999,8.11325125,439.7834,2.54357154957386,9.1897735,99.998,3.1820647,0.679475135,2.0850373,341.625170541659,340.463746564213,-3.304425
1,21.25,66.38198,56.4395249999998,1.82363525,1.487215,5.23743374999998,8.2148725,440.1146,2.26804086600396,9.375835,99.965375,3.46313179999999,0.782789789999998,2.0411499,338.820890957706,338.228770492281,-3.31845
