DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,T_SONIC,CO2,H2O,CH4,FC,NEE,H,LE,USTAR,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,10.25,5.65195,0.79997145,0.6000389905,0.40938979,-23.051995,37.9076,102.21735,-17.6168,463.01085,0.0142,1880.1649,-0.1067,-0.1067,0,-0.0453,0.31885,201.585,220.4747,0.08,0.1938,-6.6688,-4.4493,-7.0931,-6.2836,-15.6857,-15.7138,-16.4082,-15.9122,-12.8198,-16.1272,-14.7749,-13.7207,-13.509,-14.3318,-14.1538,-12.0351,-14.7037,-13.8381,-12.8501,-12.8721,-12.9705,-13.1568
1,10.75,5.3857,0.913236005,0.6516261385,0.437721373,-22.774835,36.8119,102.21255,-17.7929,460.9788,0.01445,1879.83425,-0.13845,-0.13845,0,-0.0051,0.31815,200.8449,220.366,0.2115,0.5928,-6.5994,-4.4286,-7.2014,-6.2898,-15.7316,-15.70725,-16.4204,-15.90435,-12.8157,-16.1327,-14.77865,-13.72615,-13.51315,-14.3759,-14.1537,-12.03775,-14.69175,-13.8503,-12.83385,-12.8849,-12.96105,-13.15005
1,11.25,5.6247,0.852525659,0.663023378,0.432319326,-23.0065,38.0107,102.2273,-17.20825,455.74215,0.0143,1882.47545,-0.065,-0.065,0,-0.0366,0.27195,199.7345,219.3685,0.81065,1.17235,-6.49225,-4.42655,-7.22365,-6.0919,-15.73735,-15.69555,-16.41825,-15.8961,-12.8264,-16.1317,-14.7697,-13.72205,-13.51075,-14.3906,-14.1506,-12.0334,-14.69495,-13.85775,-12.83185,-12.8934,-12.96435,-13.14525
1,11.75,5.4163,0.729863001,0.616642115,0.34525353,-23.06825,38.95515,102.2607,-16.6653,459.1418,0.0141,1885.64335,0.1423,0.1423,0,-0.004,0.3651,200.188,219.17325,2.2286,2.3514,-6.53995,-4.53775,-7.06925,-6.0914,-15.7301,-15.6814,-16.43575,-15.88785,-12.82505,-16.1523,-14.7697,-13.71715,-13.50725,-14.40775,-14.14275,-12.0291,-14.6979,-13.8731,-12.8186,-12.90355,-12.96725,-13.14635
1,12.25,5.2641,0.765375725,0.553082272,0.3156414325,-23.13,37.909,102.2507,-17.9814,459.3281,0.0136,1889.3672,-0.0509,-0.0509,0,-0.0146,0.2863,201.9105,219.1055,3.6166,4.3182,-6.28855,-4.50575,-7.0669,-6.0915,-15.73935,-15.68435,-16.43685,-15.9097,-12.82345,-16.16105,-14.7755,-13.7229,-13.4991,-14.42095,-14.142,-12.0262,-14.70605,-13.86465,-12.83075,-12.9102,-12.974,-13.15205
1,12.75,5.5619,0.691881493,0.616116872,0.349714169,-23.13,26.106,102.2381,-17.8779,460.50605,0.01425,1884.0404,-0.148,-0.148,0,5e-04,0.2982,203.044,218.778,4.9428,5.9166,-6.432,-4.3862,-7.0423,-5.9026,-15.7443,-15.7456,-16.4715,-15.9727,-12.8472,-16.1628,-14.8147,-13.7293,-13.54,-14.4418,-14.1712,-12.0604,-14.7507,-13.9172,-12.8195,-12.9323,-12.9834,-13.2105
1,13.25,5.5232,0.785620774,0.625299928,0.388715835,-23.13,37.3489,102.2447,-17.866,463.8651,0.0145,1891.45995,-0.0459,-0.0459,0,-0.0146,0.33,201.473,218.787,5.2809,6.7369,-6.2884,-4.3945,-7.0631,-6.057,-15.755,-15.7824,-16.4746,-15.9841,-12.8505,-16.1489,-14.8359,-13.7368,-13.5309,-14.4407,-14.1877,-12.0458,-14.747,-13.9306,-12.8212,-12.9484,-12.9805,-13.2036
1,13.75,5.9881,0.73006849,0.5783969645,0.3863821185,-23.13,38.84025,102.24005,-17.0787,465.2938,0.0137,1915.3757,0.004,0.004,0,-0.00375,0.2958,202.337,219.7602,4.4974,5.6942,-6.4914,-4.3212,-7.0926,-6.1134,-15.7916,-15.7869,-16.4638,-16.0155,-12.8508,-16.1183,-14.8283,-13.7556,-13.5424,-14.437,-14.2018,-12.047,-14.7383,-13.9295,-12.8268,-12.9589,-12.9749,-13.1928
1,14.25,5.7533,0.738493088,0.5937546945,0.396484552,-23.13,36.3985,102.2588,-16.93385,464.4197,0.0131,1912.0126,-0.1659,-0.1659,0,0.01635,0.3226,198.513,219.43,2.9272,3.6782,-6.5774,-4.2693,-6.9439,-6.2592,-15.8157,-15.7546,-16.465,-15.9798,-12.86,-16.101,-14.8142,-13.7674,-13.54,-14.4086,-14.2009,-12.0525,-14.7121,-13.929,-12.8418,-12.9449,-12.9862,-13.1958
1,14.75,5.5887,0.838152731,0.592705661,0.370674176,-23.13,38.4765,102.20995,-16.28425,462.4211,0.01375,1888.3052,0.0976,0.0976,0,0.0165,0.3039,196.382,218.144,1.3993,2.0158,-6.508,-4.3758,-7.0803,-6.1678,-15.7895,-15.7401,-16.4978,-15.9841,-12.8721,-16.0708,-14.7972,-13.7788,-13.5487,-14.3852,-14.1995,-12.0519,-14.7123,-13.9387,-12.8493,-12.9582,-12.9884,-13.2083
