DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PPFD_IN,TA,RH
2,5.25,-0.2839515,-4.7311,0.684008,0.278162,1.37638,0.25198025,-7.27744,407.364,0.97677975,0.5651205,0.48751475,0.32779375,0.0867,-0.1445,-9.81969,29.6164
2,5.75,-0.308455,-4.37248,-0.0435,0.338751,1.47375,0.2311635,-7.45015,407.9485,0.956435,0.5566445,0.45809375,0.315322,0.09185,-0.1475,-9.7561975,29.6511
2,6.25,-0.269799,-1.822825,0.6502835,-0.28448225,1.37571,0.20009,-7.481075,408.026,0.93725375,0.537696,0.494599,0.30888625,0.082025,-0.1455,-9.74973,30.23795
2,6.75,-0.292717,-4.151855,0.57421325,-0.400999,1.4639675,0.2316375,-7.381305,407.891,0.908723,0.60147225,0.48517625,0.342897,0.08125,-0.14425,-9.748085,29.8468
2,7.25,-0.3311145,-3.89602,0.4423775,-0.1712015,1.25513,0.214902,-7.9639625,407.06,0.86401275,0.5971375,0.5316805,0.352628,0.0853,5e-04,-9.8026325,27.240225
2,7.75,-0.353428,-0.73083,0.58131575,0.5438205,1.379075,0.2334645,-7.57847,409.136,0.846891,0.6622425,0.4964635,0.32564,0.08565,3.0205,-9.7000425,28.3926
2,8.25,-0.33722825,3.1948,0.535848,0.515206,1.4705075,0.24689975,-7.83343,409.98275,0.9211155,0.6704825,0.50754425,0.36624575,0.1025,19.8725,-9.4022525,28.9612
2,8.75,-0.442385,8.29965,0.4981155,-0.618356,1.42853,0.290046,-7.5448,408.42525,1.038195,0.708809,0.540386,0.369583,0.123951,48.6075,-9.5960025,32.0237
2,9.25,-0.473562,13.552525,1.98597,0.2663845,1.47282,0.298837,-6.98145,408.74475,1.06913,0.72966,0.61935,0.435354,0.1397,99,-9.540605,33.5209
2,9.75,-0.464333,7.24836,-0.9189255,-0.367924,1.81333,0.3236,-6.72228,406.7535,1.0420275,0.826434,0.664587,0.436538,0.14169675,133.125,-8.643805,35.022675
2,10.25,-0.625572,12.2954,4.38721,0.05741325,1.7795,0.380574,-6.12885,407.852,1.04013,0.877062,0.762997,0.503308,0.1708455,182.9,-8.7284775,33.7858
2,10.75,-0.553209,9.14567,-0.1795,0.274419,1.79834,0.396209,-5.7814775,406.934,1.12512,0.875555,0.779964,0.509674,0.169191,236,-8.3761525,35.13475
2,11.25,-0.6164955,11.647125,4.49704,-0.7162845,1.78496,0.380421,-5.27594,407.139,1.07356,0.873545,0.7645325,0.485449,0.205,272.05,-7.92915,34.299175
2,11.75,-0.687252,16.67565,3.2250575,1.04927925,1.76632,0.43116275,-5.21036,407.18525,1.11343,0.922669,0.75210625,0.52671825,0.2008475,279.6,-7.6324775,33.796975
2,12.25,-0.61610925,18.24115,4.63223,-1.18525,1.79805,0.417334,-4.89336,405.78025,1.0975,0.96825925,0.799132,0.54821225,0.21455,336.3,-7.36252,33.40355
2,12.75,-0.571511,25.813275,4.74963,-0.79562225,1.8232275,0.482026,-5.1064925,405.5905,1.159875,0.92564,0.862759,0.571979,0.2104485,354.075,-6.9263525,32.684575
2,13.25,-0.638296,26.8311,3.3976,0.316,1.8843,0.413602,-4.6582725,405.14775,1.1704125,0.93371275,0.803183,0.498567,0.18165,328.25,-6.6582625,31.9431
2,13.75,-0.63460075,19.59845,4.34374,0.0406,1.877445,0.39046275,-4.60378,405.573,1.210325,0.9071395,0.82323275,0.52188125,0.1838285,354.1,-6.4384,31.793075
2,14.25,-0.65368775,14.549725,6.006515,0.033169,1.9729875,0.45413475,-4.77596,406.10675,1.185655,0.995238,0.8200605,0.55676,0.19135,327.125,-6.1158025,30.130825
2,14.75,-0.60501,16.10755,5.45658,0.869627,2.0302275,0.400789,-4.650605,405.385,1.17215,0.978204,0.784861,0.5082325,0.1692,238.025,-6.14631,30.959275
2,15.25,-0.5639465,11.2466,3.943985,0.79357925,2.0415875,0.41849725,-4.7831125,406.68125,1.2312,0.94559075,0.7971735,0.503423,0.16135,185.975,-6.193545,32.1945
2,15.75,-0.53304,15.9448,4.61813,0.396255,1.90507,0.404473,-4.60368,406.13875,1.25594,0.922331,0.792381,0.493315,0.13985,137.575,-6.2582475,32.1791
2,16.25,-0.5007865,12.3206,3.8694325,0.356182,1.8248,0.36957375,-4.32889,407.38125,1.23934,0.833244,0.741307,0.4654755,0.14544675,111.975,-6.25475,31.077
2,16.75,-0.499988,6.528335,5.7010075,0.330682,1.77661,0.351926,-4.6081325,406.2815,1.259005,0.836586,0.731263,0.458771,0.12445,84.425,-6.2830325,29.2719
2,17.25,-0.42444425,4.56628,3.079645,0.444325,1.8417625,0.3565985,-4.3938825,406.977,1.300325,0.78455725,0.666832,0.4417085,0.1052,50.04,-6.39942,31.6292
2,17.75,-0.42268425,0.54042675,1.4386325,-0.0437,1.9127075,0.329313,-4.5581,407.064,1.230375,0.80362725,0.597713,0.428916,0.09835,19.45,-6.4977075,31.090275
2,18.25,-0.415795,-1.976251,2.22151,-0.21935525,1.65087,0.29815,-4.7694925,407.50325,1.178895,0.6973365,0.56505825,0.386164,0.094,2.089,-6.538655,31.6659
2,18.75,-0.378854,-1.6170615,1.4395475,-0.909714,1.506295,0.2675265,-4.83696,407.9285,1.1910125,0.6436525,0.534034,0.383284,0.0872,-0.077,-6.6866875,32.0519
2,19.25,-0.4070305,-2.785245,0.80516,-0.8599115,1.55946,0.242889,-4.929945,407.92975,1.184295,0.615316,0.496628,0.3313775,0.09865,-0.17,-6.83386,32.59855
2,19.75,-0.465148,-5.17761,1.04182,-1.18615875,1.5445,0.22499025,-5.1648125,407.137,1.19158,0.543977,0.458983,0.3167785,0.098,-0.1765,-7.0428075,32.416375
2,20.25,-0.5341045,-5.07795,0.541476,-0.97185175,1.438225,0.2225565,-5.406845,407.603,1.1136875,0.53308,0.470564,0.368195,0.0882,-0.177,-7.38531,32.8943
2,20.75,-0.396079,-4.7275525,1.66894,-1.2368975,1.38344,0.227949,-5.827685,407.089,1.08211,0.577323,0.3953625,0.33357725,0.091575,-0.17475,-7.522455,31.04365
2,21.25,-0.342971,-4.34208,0.7710955,-1.0193695,1.534235,0.20375675,-5.910635,407.6585,1.07678,0.53608375,0.408603,0.30735075,0.089,-0.18375,-7.655925,30.669775
2,21.75,-0.307485,-5.1036525,0.1626195,-0.937253,1.36725,0.2120745,-6.075425,409.1295,1.05279,0.5457215,0.415109,0.318255,0.086075,-0.181,-7.68452,31.22025
2,22.25,-0.3765475,-1.949233,-0.39308175,-1.0555,1.324775,0.22969,-6.30136,409.02575,1.0299575,0.505478,0.3874615,0.2846295,0.0956,-0.1795,-7.9106225,30.669875
2,22.75,-0.3493585,-3.482055,-0.89463775,-0.0989,1.2499,0.2095945,-6.43372,409.68425,1.0112575,0.498898,0.419846,0.2700155,0.090625,-0.17175,-8.08981,31.7392
2,23.25,-0.4655205,-4.3721175,0.13870975,0.049575,1.340295,0.19690175,-6.62714,410.73975,1.0253925,0.508681,0.4478205,0.294677,0.084325,-0.17125,-7.90166,31.1124
2,23.75,-0.396564,-1.6563075,-0.148486,-0.52500625,1.25493,0.2216025,-6.56221,410.496,1.00638,0.5094215,0.445149,0.297009,0.084475,-0.1695,-7.870465,31.5668
3,0.25,-0.456275,-6.64063,-1.49162,-0.31746225,0.978362,0.1728985,-0.344756,408.23325,2.06376,0.4296615,0.3468015,0.2404355,0.1211005,-0.19175,0.8381575,34.802125
3,0.75,-0.41936075,-9.950505,-0.9550815,-0.9694855,0.948329,0.195241,-0.44388075,408.301,2.02324,0.468577,0.3338825,0.2421,0.10945,-0.1905,0.6784555,33.8489
3,1.25,-0.31339525,-7.6383,-1.16815,0.15726,1.13638,0.193003,-0.79731325,408.247,2.02587,0.4466485,0.363926,0.257357,0.1045,-0.1875,0.68546225,34.7744
3,1.75,-0.3454845,-7.14564,-1.18934,-1.6514925,1.14615,0.197324,-0.89614,407.675,2.0139825,0.4453945,0.3574235,0.264377,0.0937,-0.19075,0.42418875,35.5456
3,2.25,-0.33146825,-9.8039225,-1.48071,0.0080625,0.954503,0.20238625,-1.06257525,407.8225,1.9826925,0.45370025,0.36895575,0.258019,0.100225,-0.19075,0.05499575,36.8854
3,2.75,-0.226978,-8.96545,-2.41275,-0.378969,1.0549625,0.189302,-1.256965,407.617,1.93514,0.4869595,0.3811775,0.273623,0.0971,-0.18,-0.546108,37.844925
3,3.25,-0.18629025,-8.0007325,-1.24743,-0.7011145,1.05992,0.18810425,-1.3485375,408.933,1.9757175,0.433929,0.364435,0.25429175,0.0913,-0.18,-0.890397,39.487575
3,3.75,-0.2413925,-9.00964,-0.989982,-1.29608,1.021925,0.1562815,-1.49911,408.27,1.98162,0.4248435,0.3117495,0.234332,0.0906,-0.18,-1.33593,41.658025
3,4.25,-0.2322765,-10.71475,-1.205415,0.15337,1.0253225,0.159479,-1.53919,408.947,2.0354175,0.450484,0.3102685,0.2409195,0.091825,-0.189,-1.71585,44.865825
3,4.75,-0.234571,-6.52059,-2.06139,-0.799983,0.990512,0.169776,-1.670135,408.957,1.9889675,0.4035825,0.341555,0.2312815,0.0919,-0.18,-1.77444,45.4904
3,5.25,-0.240971,-5.899745,-2.516955,-0.968146,0.986661,0.18188775,-1.7724525,410.385,1.90425,0.407244,0.3149115,0.2231175,0.0881,-0.179,-1.88218,47.5823
