DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,NEE,TAU_1_1_1,USTAR_1_1_1,CO2_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,CO2_SIGMA_1_1_1,WS_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SG_1_1_1,SG_2_1_1
1,5.25,-0.390835,-52.058375,-7.982685,-0.364225,-0.235462836840349,0.0437366615214274,393.939096976714,0.430028883452363,0.00834044920169046,0.159022294391933,0.5111457,0.192943423172733,0.170208500039415,0.0350802188764326,96.83198925,51.91139375,0,-18.9591,0.0078520362,0.003582635,0,-1.015112485,163.0548,228.95528,-91.00655875,0.09909246025,0.0321065125,-5.55878585,-5.3091805,-2.281007875,-47.30186725,-45.2992685,-46.176429,-54.71014925,-11.6505738469076,-12.7615281662839
1,5.75,-0.598736,-48.6143,-10.8489,-0.542582,-0.318171028694775,0.042959610717233,394.17953703104,0.397874130985117,0.00997053685524393,0.160514698962478,0.63963388,0.200056186343025,0.214147804967502,0.0375891941233767,96.81080075,52.12404375,0,-19.193475,0.00600168645,0.001937886125,0,-0.6184151,164.48849,228.97279,-90.2070125,0.11444688,0.030674404,-5.59618715,-5.349030375,-2.270931725,-46.7972665,-45.7186625,-45.803961,-56.6806325,-11.2277488044114,-10.7680343348403
1,6.25,-0.6140125,-53.8037,-15.0557,-0.8020425,-0.266377443356102,0.0435853032235031,394.316407594061,0.289619938142148,0.00750994742632138,0.135984238546905,0.61492408,0.169697995230379,0.19885861310143,0.0303208884468847,96.83163225,52.20547075,0,-19.360475,0.0085331104,0.0023939442,0,-1.2409134,168.16709,230.50152,-90.672,0.34917986,0.029455336,-5.68738615,-5.322511325,-2.255949525,-46.74041375,-44.1148515,-45.76679425,-57.967596,-10.8378302093607,-11.3955809522243
1,6.75,-0.5587605,-50.40665,-11.161775,-0.6427275,-0.275962063805874,0.0354474811011242,392.607063499524,0.349856875675059,0.0093094852346753,0.139468577049811,0.63612702,0.166499436675895,0.159667314800269,0.0252787053548549,96.83479675,52.87981,0,-19.7167,0.019986468,0.0039606502,0,-0.43591505,167.90662,229.32589,-90.52457275,0.3609438075,0.028068572,-5.8334312,-5.28372625,-2.237364,-51.1299165,-44.4506625,-45.00551525,-63.2645055,-10.8746701919885,-9.8270497405718
1,7.25,-0.45775125,-60.02795,-10.435,-0.37303125,-0.310077390943738,0.0403626965409945,393.590255088157,0.384307467501611,0.00721172593364772,0.151162959636078,0.64938872,0.20716669221807,0.186515533656972,0.0309127501471746,96.83133325,52.8197255,0,-19.7256,0.31535785,0.0906024225,0,-0.256159935,168.67814,229.7416,-88.46754925,0.60898111,0.027502558,-5.8758667,-5.280488625,-2.2094289,-49.94392975,-44.746968,-49.914662,-68.88805375,-9.76174368742581,-9.74440225507385
1,7.75,-1.5766425,-52.59775,-8.20397,-1.5010635,-0.285694526158227,0.0508416493162294,393.434539191472,0.414845278303026,0.0114304567020738,0.168477983956424,0.6432319725,0.210739736878742,0.198453145420015,0.0475203858178652,96.8415295,52.699658,0,-19.4244,4.234736,0.350816735,1.08257025,0.119575304,169.7419725,231.39089,-70.6493925,0.47404472,0.0336719185,-5.9378936,-5.329322,-2.1805992,-48.439464,-44.561536,-54.5979965,-71.839624,-12.8343810589048,-11.1086788953919
1,8.25,-0.680134,-43.4746,-5.179215,-0.721522,-0.321004786222039,0.0583557788166179,393.835765269253,0.480460037133048,0.018348694576694,0.188640515622339,0.86429355,0.224114999742967,0.23780724220384,0.0762230462132064,96.847048,52.077868,0,-18.4996,14.68089,1.2319802,5.8884725,0.797512,173.67337,237.221575,-38.8732835,0.61245617,0.0340316825,-5.8129232,-5.280401,-2.143456,-47.975946,-44.25667275,-55.9849325,-70.1747,-18.9497750063391,-17.8608990040009
1,8.75,-0.9758675,-41.5255,-0.411282,-1.01088,-0.336890707091011,0.0679468072607421,393.584576049849,0.449628088182739,0.0224472713035831,0.129093568064957,0.7394765475,0.324612624481804,0.29455897685045,0.103161134154374,96.8486585,51.6102405,0,-17.310925,29.015228,2.6173421,13.972275,1.9493625,178.703645,245.62835,-27.80483075,0.5028851525,0.04437424175,-5.53587595,-4.99275225,-2.13400815,-45.3459995,-43.035692,-50.885284,-58.5076935,-8.72850166582024,-8.95993119275801
1,9.25,-1.2274325,-35.94635,-1.72005,-1.2653575,-0.393230302926269,0.0679659502826837,393.57399625341,0.45909799423789,0.0298505999835941,0.152937093723823,1.0451109,0.314581864100722,0.328331184645772,0.107520883318618,96.9460225,50.196498,0,-16.7289,44.278184,4.2563724,22.193675,3.076902,172.9047175,254.256995,-5.42234075,0.111490652,0.047055736,-5.2379873,-4.8504144,-2.1275514,-43.634716,-42.6491535,-41.854082,-45.505622,-9.09887897770531,-6.66533064180533
1,9.75,-1.649765,-26.8825,1.243541,-1.66647,-0.465242336427751,0.0657079139517076,393.696439540323,0.503452014146895,0.0340884851945251,0.224240342048449,1.10526925,0.270094383268595,0.357145149468402,0.1222353299851,96.9605215,49.0804755,0,-16.277775,64.596519,5.508089275,37.296,3.9990996,176.79652,261.80304,2.6731792,0.2742065,0.05211314325,-4.98121075,-4.77332985,-2.128765225,-40.50163425,-38.984128,-34.80886,-39.37287775,-4.43896628566507,-4.80578366264636
