DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,G,TAU,H,SH,LE,SLE,FC,SC,H2O,CO2,CO2_SIGMA,U_SIGMA,H2O_SIGMA,V_SIGMA,W_SIGMA,USTAR,T_SONIC,T_SONIC_SIGMA
11,8.75,10.39,84.7,3.2275,98.019,508.568267693729,32.99,125.28,253.3,49.82,336.286647758645,362.648062015582,3.74085965570161,10.3727120637054,11.95,12.59,13.69,13.84,14.85,15.86,15.735,-8,-0.02989795,27.68635,12.7005791078625,31.2447,7.87471135997582,4.7709984245268,2.380845,10.447125,387.312,4.2703835540457,1.00164530116334,0.219318176150481,0.791612593744908,0.521560658014921,0.4007425,10.7115,0.307029541006472
11,9.25,10.63,83.3,3.21,98.0325,702.725950084199,44.3125,198.58,347.2,60.43,336.936486658325,366.789480267123,3.99083779974586,10.849321499847,12.06,12.72,13.71,13.84,14.84,15.86,15.735,-7,-0.052742925,74.8884,21.2890229768125,43.95255,9.17544994804415,4.72010333948738,2.32818,10.50245,391.9665,4.05407592635117,1.06153054879359,0.20485887338896,0.88632604193873,0.582050285648253,0.45811825,11.06725,0.389305718204208
11,9.75,11.125,81.65,3.175,98.043,864.386280053612,54.23,269.332,427.15,69.93,339.201968663411,371.492541751582,4.53993150340653,11.7878333525139,12.26,12.82,13.74,13.84,14.83,15.85,15.735,-6,-0.06698595,110,25.149,51.137,8.14894341486908,5.06226,0.558198,10.554625,390.2855,3.47788859959471,1.13293160519588,0.21481929140174,0.912692969109063,0.629779164979712,0.4844685,11.7195,0.439718836468554
11,10.25,11.845,78.225,3.0525,98.0575,1027.99751492219,62.475,329.778,499.525,77.95,339.346128058953,377.378400112739,5.23779035871848,12.6071514643153,12.4,12.9,13.76,13.83,14.81,15.86,15.735,-4,-0.07509065,142.0195,28.340425,57.259625,6.54541,4.23926337112863,0.1282275,10.6837,387.300840032659,3.01196341920859,1.13576846231968,0.217687511112826,0.996503888602548,0.648855916209446,0.514162,12.549,0.507498926940578
11,10.75,12.69,75.8,2.92,98.049,1146.2094610991,69.715,382.135,558.75,86.425,340.063809795654,384.010487520933,6.00029219968843,14.0026109098152,12.89,13.1,13.79,13.85,14.8,15.86,15.735,-1,-0.08865725,176.99725,30.3394774512099,64.5031,6.884745,2.80259,-0.064553175,10.5242,387.60175,2.60356300025745,1.17064085013295,0.216132180636138,1.0486324427558,0.676654269180355,0.534523,13.087,0.541270120474789
11,11.25,13.62,72.7,3.04,98.047,1240.76099283934,75.55,419.309,607.2,93,340.399008594789,388.90260655357,6.73694001699787,14.9369521620709,13.2,13.36,13.89,13.85,14.78,15.86,15.735,1,-0.101076,209.663,28.209,74,5.3466,3.127,-0.20775775,10.5568,386.101,2.67664112506394,1.23489269114613,0.213839884867163,1.11770406263375,0.712563093595562,0.56509425,13.9975,0.554094470303975
11,11.75,14.27,70.065,3.115,98.02,1296.57942008042,81.8,442.328,635.3,98.15,342.336952507636,392.886810463453,7.5419376260053,15.7045597778769,13.61,13.46,13.96,13.85,14.77,15.86,15.735,2,-0.112725,224.75,26.649,64.871575,4.79934196690124,2.20409461701016,-0.209219,10.442025,385.6915,2.24436266581295,1.31711878579251,0.220825697012644,1.18688230906267,0.733080049705891,0.57895425,14.47225,0.583791212666305
11,12.25,14.99,68.52,3.305,97.984,1313.86973429054,84.475,448.229,645.2,100,343.199842118593,397.621805042526,8.62464797963507,16.0824093034968,13.81,13.67,14.08,13.85,14.75,15.86,15.735,4,-0.122121,234.79325,23.7493,71.0227,5.35395,2.85775952867595,-0.137235,10.2617,383.261,2.30933030115847,1.35178790599389,0.227724151991766,1.28151449843947,0.758868192023233,0.60620375,15.26025,0.580336469321541
11,12.75,15.73,66.7796074585545,3.4450775,97.946,1289.1753653511,78.2,438.132,629.2,93.9,342.440464968814,400.154472638415,9.34940532042607,16.8097355666715,14.31,14,14.16,13.85,14.74,15.86,15.7275,6,-0.124389,250.625,21.7091,72.9985,3.96879514580378,1.9845,-0.17274825,10.3978,383.13125,2.29146404366943,1.41558261154609,0.247590496978919,1.29419857155892,0.777511398077984,0.630097,15.865,0.564679671061083
11,13.25,16.15,64.58,3.495,97.913,1253.16432963496,72.65,421.409,614.2,90.3,342.817714445529,401.504413721943,10.0916756298917,17.0490707047606,14.425,14.165,14.175,13.8725,14.7325,15.86,15.7275,6,-0.1153,238,20.2022,76.04555,3.721755,1.82642,-0.059061675,10.1243,381.8925,2.3403286667783,1.4202834215023,0.227376340018041,1.31274651604733,0.768790447906148,0.622516,16.3635,0.546020259827529
11,13.75,16.57,64.54,3.6225,97.8945,1171.67626291509,68.5,386.945,579.425,84.725,344.199123512417,403.437841679499,10.6674946725851,17.5442319451202,14.3725,14.2625,14.29,13.8875,14.7325,15.8525,15.72,6.75,-0.124542,216.9455,17.055,68.59275,4.27236,1.68147424390466,0.12471635679785,9.9351825,380.73725,2.22254358787404,1.43759465984999,0.212915632174063,1.34035427716778,0.780572596561524,0.624311,16.584,0.509597848008507
11,14.25,17.04,64.32,3.73,97.8834,1071.49555044677,63.15,341.457,528.7,79.1,342.492460011346,403.077709939802,11.2067287658821,17.7888103656183,14.26,14.3,14.37,13.92,14.72,15.84,15.72,6,-0.11108875,197.90475,14.8815,62.3323,5.20383,1.7106275,0.320484,10.07435,380.322,1.89175626755562,1.46638645538451,0.197060454074784,1.36016267382537,0.773261597774271,0.6332415,16.8315,0.456512460387693
11,14.75,17.15,62.5152740273745,3.71078,97.862,930.550488589403,56.6025,281.22,458.7,70.5,341.792040363009,403.790073185092,11.5727191170128,17.8683828573399,14.26,14.28,14.45,13.92,14.7,15.84,15.72,6,-0.12421825,178,12.0805681180538,62.217125,6.064635,2.0361525,0.155216,10.002385,379.2815,2.13015381453132,1.42107686423424,0.214081153994173,1.33590886471752,0.776059991521459,0.6108935,17.141,0.425129890663346
