DOY2,HR2,CO2,FC,SC,G,H,LE,SH,SLE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,PPFD_IN,NETRAD,TS,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
2,3.25,397.39,4.34086,-0.0229024,-3.011784,-33.55665,8.55487,-1.79431,-2.35874,91.496665,93.2006201024724,9.83000000000004,0.194758055032391,8.838246,0.01291746,-64.594105,11.690575,-0.145901,0.968593826121146,0.357554,0.764646977369296,0.486853160614163,4.2816
2,3.75,397.373,4.5418,-0.0134652,-3.3007285,-25.3671,4.41188,-1.84733,0.0931588,91.492875,94.2083757353446,9.60900000000004,0.203287973082522,8.82018543581909,0.013461225,-63.76962,11.65689,-0.143579,0.928616174746057,0.354455,0.762196824973707,0.516734941725446,4.3909
2,4.25,397.152,5.03589,-0.0613621,-3.5223785,-27.703,5.679255,-2.43188,-1.17397,91.480645,94.7614324300824,9.56700000000001,0.188186875206535,8.58680847355493,0.016684065,-64.10695,11.6116765,-0.167526,0.997278797528555,0.384946,0.796592116456095,0.541017559788959,4.63312
2,4.75,397.204,4.45019,-0.0141692,-3.773684,-27.5945,7.3849,-1.26939,-0.433219,91.476405,95.4436513691929,9.44000000000003,0.185678040943852,8.86753680140026,0.016257205,-60.735555,11.578626,-0.2499465,1.1039184748448,0.4728455,0.92587502222401,0.609785648326757,4.82215
2,5.25,397.5555,5.0231,-0.0139923,-3.95794,-29.0047,8.18389,-2.49795,-0.512222,91.47512,95.2171889560225,9.459,0.203865987280258,8.86195657909328,0.0168996,-64.37502,11.567823,-0.249067,1.10041870494536,0.469327,0.834156655373656,0.61262742925321,4.89107
2,5.75,397.959,4.29426,0.0618184,-4.0968145,-28.97185,7.08307,-1.768815,-1.792105,91.469625,96.3245494296099,9.61200000000002,0.213231054562108,8.716122,0.06268273,-63.784865,11.540565,-0.2101595,1.01641386236951,0.430819,0.859760553197934,0.541428844167605,4.66544
2,6.25,398.14,4.12077,-0.0570224,-4.204893,-30.10815,7.41545,-1.0842,0.182744,91.4727189373066,97.260669816772,9.55950000000004,0.226545022935617,8.54670149114466,9.603353,-53.652795,11.503768,-0.2329155,1.11213438247808,0.454906,0.871951486928812,0.605963583262973,4.730825
2,6.75,397.912,3.4261,-0.1423675,-4.2660505,-31.91325,5.69855,0.899475,0.8605695,91.4877300712672,97.5404776295767,9.61450000000002,0.170299394485224,8.66441114315322,65.65995,-16.583185,11.445903,-0.219086,1.16294822794326,0.4442405,0.82977862813783,0.596337914843417,4.791215
2,7.25,397.031,2.41839,-0.330877,-4.2473345,-17.341,16.3128,5.53076,-0.0257848,91.5010730429752,95.9430754734952,9.55800000000005,0.166777096748924,8.80727142702423,226.4577,26.61344,11.405476,-0.247122,1.092940986513,0.471312,0.875083995968387,0.611081827581217,4.55455
2,7.75,396.852,0.791951,-0.47184,-4.1558215,2.9258,30.4896,14.158,1.63017,91.511095,91.7622337852684,9.93000000000001,0.187536129852357,9.1240175,429.91325,90.783975,11.423044,-0.293004,1.13714115218824,0.513996,0.971270817022729,0.700828081629154,3.88183
2,8.25,396.229,-1.47396,-0.4626135,-3.9660045,31.6117,53.90185,16.4354,5.36628,91.52299,87.6090333741042,11.046,0.19869700551342,9.68111935547658,629.3078,174.5874,11.384203,-0.365396,1.19039069216791,0.570234,0.961314204617824,0.752640020195578,3.6736
2,8.75,395.2515,-2.85913,-0.392546,-3.5728065,80.41445,68.5357,16.6271,4.90542,91.543585,85.3123291174015,11.0945,0.296579478046634,10.5248345967409,844.65575,261.0535,11.360927,-0.389687,1.27526507880386,0.589931,1.05903516494084,0.755748612691272,3.85089
2,9.25,395.056,-4.33838,-0.3211665,-3.19738,122.756,89.2943,14.75815,2.551875,91.54746,81.8780843690836,11.6035,0.353258803712186,10.8649034950056,1048.322,353.57925,11.356469,-0.3826265,1.20583035074775,0.5826915,1.11593442678659,0.805453940883553,3.92255
2,9.75,394.241,-5.944795,-0.290273,-2.650796,170.558,109.078,15.5133,0.901141,91.55685,79.4226038419638,12.176,0.451579450373907,11.34829,1231.191,433.2879,11.276367,-0.356563,1.18474047791067,0.566409,1.13967977958723,0.780667022487821,3.63847
2,10.25,393.843,-7.04348,-0.2476715,-2.0351995,210.27,124.6265,17.3053,5.15707,91.558495,74.9976037059334,12.741,0.504383782451419,11.9570267688956,1398.8845,504.02805,11.193169,-0.4254,1.26677148689099,0.618569,1.15927994893382,0.830130712598926,3.5612
2,10.75,393.5345,-7.9412,-0.186417,-1.2199085,241.317,144.667,16.3702,3.8249,91.57791,73.3879713268494,13.3205,0.539090342866183,12.7761767966452,1549.3865,568.75525,11.3209825,-0.421588,1.29897951523488,0.6251365,1.18452049960052,0.857508059656543,3.54694
2,11.25,393.504,-8.33534,-0.237599,0.08308847,271.633,150.929,14.1864,-3.23229,91.59043,69.3280374842414,13.89,0.598086950200387,13.298845,1662.1845,611.9292,11.52892125,-0.472183,1.34076843638266,0.653443,1.29632943343889,0.898820894283171,3.6098
2,11.75,393.519,-8.73944,-0.330828,1.800643,278.423,145.8975,13.0694,5.71505,91.59863,69.694047479601,14.4845,0.596566625485828,13.7134477149377,1749.6165,652.8301,11.6198695,-0.426867,1.32906411133703,0.6195565,1.28132509332042,0.919016449413828,3.53175
2,12.25,392.742,-8.16559,-0.227396,2.4505435,315.58,160.877,9.695725,-0.5327645,91.59155,66.9690627647612,14.994,0.636605058101175,14.360295208815,1817.87,669.8949,11.7337525,-0.459646,1.364741733809,0.649533,1.34445156104636,0.911488891868683,3.51396
2,12.75,392.54,-8.51042,-0.2517545,2.912041,308.478,155.529,10.70605,2.14163,91.584755,64.3856508756197,15.097,0.637626850124742,14.7220447187407,1839.091,676.8098,11.883428,-0.458572,1.40611165986205,0.655665,1.36633817190328,0.926362240163102,3.74252
2,13.25,391.9605,-8.53852,-0.168168,3.7404505,381.594,159.465,9.603545,2.749075,91.588165,63.5800437053623,14.9005,0.714005170682913,14.9672536221735,1849.301,687.1335,12.001259,-0.4534375,1.38968918873208,0.6469175,1.49852956276417,0.91863799704284,3.379845
2,13.75,391.878,-8.70453,-0.163463,4.5963575,340.395,172.501,8.26721,1.66578,91.58889,61.482963512829,15.6645,0.646753772657547,15.3124979562019,1799.986,665.2682,12.320511,-0.48248,1.4670651806637,0.663511,1.47169398594315,0.939005015235712,3.4617
2,14.25,391.424,-8.40644,-0.143954,5.7213715,326.353,164.199,6.0513,1.92508,91.584455,60.5602962181747,15.8525,0.650383812572972,15.9073944976804,1758.4125,648.0511,12.578094,-0.5045985,1.5432611804361,0.6818165,1.49707539244283,0.957379872853354,3.58547
2,14.75,391.493,-7.3711,-0.137736,8.7156365,353.646,143.363,2.94311,1.964295,91.577155,60.9206681021377,16.068,0.63592373756607,15.8234977577232,1692.7155,609.05035,12.715592,-0.547948,1.47599119238565,0.711168,1.46969044359688,0.956070081113304,3.75537
2,15.25,391.362,-6.920805,-0.0519015,10.3961,303.993,140.667,2.1055,2.17677,91.566445,59.29946,16.0385,0.609696634125797,15.9113144976804,1561.1715,556.9021,12.90641,-0.518352,1.51831408978402,0.6921725,1.40865939948586,0.966288547908286,3.54284
2,15.75,391.311,-5.773685,-0.0215544,10.076025,294.547,131.223,-1.079003,2.892765,91.561435,59.3767501248641,16.194,0.580090001508994,16.1709458632616,1423.892,495.90145,13.053654,-0.5236265,1.40433410391894,0.692602,1.48326501070719,0.954157877401956,3.902935
2,16.25,391.516,-6.48386,0.0429007,9.6166565,292.463,133.379,0.38328,-1.29825,91.554445,59.2001325648694,16.495,0.565399858507234,16.3835599600051,1336.446,448.5161,13.157977,-0.475014,1.457161624529,0.659071,1.4349494764625,0.940666784786196,3.88319
2,16.75,391.0805,-5.67592,0.047085,8.6655015,256.993,126.6715,-1.5617,3.46264,91.55274,59.6884978506966,16.625,0.51299348745098,16.6719027830953,1108.0405,365.08075,13.207655,-0.4717915,1.44965968529056,0.6551945,1.38450037876649,0.915030324006504,3.96166
2,17.25,391.5255,-3.601325,0.09023765,7.8370815,200.376,105.731,-7.615995,3.796755,91.553245,61.633025,16.6565,0.441888601374857,16.220763836877,880.90205,263.43185,13.219076,-0.489381,1.4328240684911,0.6712195,1.32673450471622,0.909099575756299,3.89341
2,17.75,392.3215,-2.951865,0.09936485,6.929417,144.74,78.8867,-8.17382,-2.143385,91.54944,62.60072,16.226,0.360438828400074,15.6861334450875,699.1097,184.2383,13.19923,-0.459383,1.38321476201192,0.649491,1.34465841397314,0.876059909883436,3.882255
2,18.25,392.3925,-1.67699,0.233411,6.023863,101.7762,68.74145,-9.63182,7.28217,91.53911,65.2490339119172,15.683,0.303803054463277,15.0059956485581,471.1253,88.85463,13.259302,-0.3975665,1.2955608870085,0.605139,1.14134540420538,0.844097530837691,3.89905
2,18.75,392.856,-0.365799,0.3542585,5.137778,51.3641,55.49995,-13.1836,4.67491,91.54191,69.08429,15.0405,0.219614533643506,14.37494,283.7585,26.63599,13.208656,-0.336344,1.23026002385326,0.54942,1.04617490305498,0.746463453128298,3.90627
2,19.25,393.5395,1.495,0.4069185,4.099882,10.6592,33.5607,-22.39405,0.961429,91.54066,74.8329502443199,14.515,0.186819558725656,13.2755184700466,112.941,-24.40847,13.177744,-0.3051605,1.17908585527067,0.525432,0.970156635413546,0.67177788584661,3.856955
2,19.75,394.396,2.69334,0.7215915,3.112479,-16.5397,22.1286,-23.97925,-8.450045,91.5516013494837,78.23431,13.9545,0.206802474281449,12.3715378544062,25.93594,-67.70779,13.140848,-0.2121225,1.02263552208989,0.4342515,0.891649568508257,0.61837870952322,3.68759
2,20.25,395.408,4.075355,0.520507,2.390886,-29.918,9.910445,-17.2026,-6.14425,91.55677,83.5819923413646,13.103,0.210776896267119,11.4863,1.092619,-77.21223,13.08067,-0.216093,1.05758214810955,0.441964,0.919437871745557,0.606457747909943,4.10313
2,20.75,395.887,4.5806,0.3451105,1.732278,-27.8197,8.49865,-12.1496,-4.05355,91.57889,85.9293881254177,13.095,0.196956086476148,11.277,0.009042727,-77.28673,12.975102,-0.212921,1.04198848362158,0.436801,0.939768056490536,0.595909389085287,4.34384
2,21.25,396.2895,4.60774,0.257259,0.7831666,-29.5734,8.71588,-8.70143,-1.64342,91.59519,88.0380769175006,12.3215,0.196514443541432,11.05909,0.005810383,-76.42387,12.869514,-0.2459505,1.09345639301415,0.4698845,0.904173038584093,0.622107084349592,4.573615
2,21.75,396.207,4.90349,0.2249005,-0.07521948,-30.3416,8.62849,-6.96759,-3.658545,91.59726,87.5075317738593,12.112,0.183292116578973,10.9165595301851,0.006677022,-72.30754,12.760194,-0.205098,1.10193012482643,0.428944,0.893378978933353,0.633371139222494,4.4968
2,22.25,396.4995,4.17578,0.164146,-0.4381008,-25.3368,10.8008,-6.68187,-3.6187,91.59066,90.6116,11.858,0.180952025853866,10.71929,0.008609323,-71.87016,12.69161,-0.207268,1.07098549723158,0.4308165,0.856341445480426,0.563463256845849,4.48612
2,22.75,397.0095,4.79961,0.1620145,-0.9280685,-26.27865,9.54035,-5.200525,-0.9042885,91.59208,91.1880519761992,11.4595,0.182568481555051,10.4774832311597,0.008606724,-71.89229,12.536104,-0.2090085,1.00961591443754,0.4318125,0.824957400904318,0.575718890318485,4.371205
2,23.25,397.0395,4.663395,0.171449,-1.23456,-29.8092,8.6397,-5.42279,-3.18914,91.58946,91.82033,11.3155,0.178719981565819,10.3052964472282,0.009469686,-71.07796,12.44505,-0.18079,1.06212520806416,0.405083,0.842314748060978,0.566526889265427,4.178855
2,23.75,397.234,4.630375,0.0509434,-1.338102,-28.22635,5.501265,-4.231495,-3.191655,91.58643,93.529273200909,11.2385,0.181300011965499,10.1589376808865,0.01011951,-70.34397,12.33239,-0.180802,1.03875903420224,0.401264,0.871826567692379,0.573405230732642,4.25142
3,0.25,394.535,3.56956,0.0541218,-2.313254,-21.88145,2.44093,-2.856755,-1.40275,91.611105,97.0462747923515,9.28400000000002,0.189665940927712,8.38519307279432,0.00021524845,-64.15394,11.09795,-0.1248205,0.807280562196443,0.333752,0.75612928627178,0.4585839771427,4.16085
