DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,H2O_1_4_1,H2O_1_5_1,H2O_1_6_1,FC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,USTAR_1_1_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,TA_1_9_1,TA_1_10_1,TA_1_11_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD_1_1_1,NETRAD_1_2_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_BOLE_1_1_1,T_BOLE_2_1_1,NEE,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_2_1_1,SC_1_1_1
5,1.75,419.6158,418.619775,422.1839,421.85615,424.839225,429.499875,434.43465,4.37678775,4.72973225,4.67407825,4.680796,4.674918,4.964294,3.044316,11.39533,-10.861785,5.376055,2.779963,1.5738,0.1326667,0.08754,0.61461785,95.417945,12.5807675,12.099,11.75,11.69333,11.19667,11.67433,12.04367,11.93633,11.824,11.668,11.70767,3.683066,11.83767,11.46767,10.96333,9.513667,8.119433,-12.35187,-2.87163275,0,0,0,0,0,0,2.151334,345.279,370.5486,14.85,12.83333,3.551756,11.725935,11.846135,11.3894825,10.829775,9.99416675,9.24207625,3.476261,0.7400786
5,2.25,419.403175,418.979175,422.26025,422.2453,426.6958,430.6725,434.9371,4.363845,4.68328,4.64299,4.6618255,4.6293015,4.891388,3.146802,11.185335,-11.1276475,5.02915525,2.796889,1.618,0.12345165,0.07887833,0.5959469,95.42553,12.2481225,11.89,11.565665,11.491665,10.95017,11.4695,11.897665,11.824165,11.7135,11.55517,11.651835,3.42607025,11.792335,11.526335,10.9985,9.578467,8.1866665,-10.1081615,-2.849475,0,0,0,0,0,0,2.1521665,345.98175,369.41,14.54333,12.752,3.805583,11.6118225,11.786715,11.3808825,10.811655,9.986898,9.23973925,3.047734,0.410794175
5,2.75,419.450075,419.757925,422.0378,422.49315,426.26735,430.24995,435.11175,4.32372625,4.67542025,4.5465625,4.61103875,4.5572605,4.8641,3.1037675,10.675,-9.83724075,4.9552805,2.8179635,1.558,0.1187508,0.094777495,0.59840395,95.43964,11.96945,11.4970025,11.14833,11.1877525,10.72708,11.18133,11.4246675,11.41925,11.36342,11.253085,11.551665,3.181881,11.745835,11.48233,10.96725,9.5264665,8.1426,-8.748813,-2.5531245,0,0,0,0,0,0,2.08622,345.99875,368.0381,14.3640025,12.6066675,3.38815175,11.5027325,11.730375,11.32538,10.791505,9.9785345,9.240993,2.76242825,0.4111906
5,3.25,419.91015,419.6894,422.79475,422.8135,426.362,430.058575,434.47135,4.28111375,4.611244,4.5508565,4.559882,4.520252,4.781644,3.14616875,10.22075,-9.540993,5.2058665,2.769867,1.672108,0.100191675,0.0770050025,0.58896545,95.43855,11.71497,11.18067,10.9537475,10.9625025,10.5295,10.8260025,11.0835825,11.03883,11.02667,10.9507525,11.5044975,3.04891,11.71983,11.4691675,11.004335,9.60155025,8.20909175,-8.2999435,-3.2266005,0,0,0,0,0,0,2.143163,344.86865,367.1506,14.13825,12.38608,3.2951095,11.524005,11.668845,11.2695725,10.7741275,9.9714425,9.23865375,2.5757165,0.4820386
5,3.75,420.4414,420.0956,423.2161,422.812075,425.804925,430.44595,434.1911,4.2841245,4.55450625,4.563483,4.557134,4.50516575,4.738801,2.97106,9.84115025,-11.27991,3.924325,2.8237105,1.647433,0.1067633,0.074132495,0.600560825,95.430745,11.5507825,11.058835,10.814165,10.7125825,10.36883,10.62925,11.0226675,10.9842525,10.9237525,10.82425,11.4175025,2.8377825,11.6054175,11.422665,10.9339975,9.5587745,8.187591,-7.5512165,-2.63809175,0,0,0,0,0,0,2.081091,343.9913,366.3097,13.9014975,12.21092,3.5056755,11.4693525,11.6077875,11.2166225,10.77321,9.96179425,9.23811575,2.26798875,0.524284625
5,4.25,421.1584,421.129475,423.26165,424.11565,426.892,430.63655,434.585425,4.25083875,4.52630175,4.488851,4.5462395,4.48250425,4.720894,2.803894,9.4655245,-11.21228,3.8882485,2.8419345,1.667492,0.1005367,0.09006917,0.606166975,95.43271,11.3531,10.9825,10.6349975,10.640835,10.20133,10.641335,10.9352475,10.95967,10.9352475,10.862665,11.3243325,2.753444,11.59583,11.413165,10.971665,9.66019175,8.21833325,-7.17337025,-2.6952335,0,0,0,0,0,1.339281,2.440953,343.2145,365.4034,13.7719175,12.0441675,3.2281385,11.360985,11.5284,11.15741,10.7780175,9.95251075,9.2372175,2.1096095,0.1298849
5,4.75,420.9403,420.47495,423.076075,422.892,427.637425,430.391475,434.184025,4.239122,4.52158225,4.50321525,4.52484825,4.47021925,4.7225725,3.3979305,9.2482495,-8.5961395,5.10393825,2.846665,1.60364975,0.1082642,0.08566666,0.606521675,95.4380775,11.21954,10.7872475,10.445665,10.51917,10.0691975,10.551415,10.887165,10.835335,10.7823325,10.6907525,11.304165,2.6119995,11.4897475,11.37,10.9430025,9.583625,8.17631675,-1.43713125,-1.145682,32.5857125,22.6354675,10.64282,4.31847975,3.0085765,18.6719,6.43568375,343.5004,364.8114,13.5305,11.82417,3.3309165,11.2769175,11.459635,11.1090225,10.7813525,9.9501455,9.236319,1.9043435,0.218326175
5,5.25,420.97645,420.300075,422.9617,423.0328,427.2368,429.1053,432.6884,4.22346125,4.489674,4.477629,4.478292,4.4570205,4.7120445,2.866384,8.9026,-5.611224,5.677078,2.807957,1.625767,0.1165067,0.08633333,0.589440425,95.4620025,11.14372,10.844,10.53067,10.51333,10.15667,10.64333,10.97433,10.98733,10.93,10.928,11.311,2.531068,11.506,11.36,10.95667,9.663333,8.242066,7.965553,2.47404325,126.517325,82.4435,45.19619,23.98844,19.57325,69.080055,15.809955,342.825,366.162,13.38167,11.921,2.565516,11.2211475,11.394525,11.07388,10.7558525,9.93869025,9.23021475,1.8750615,-0.100289975
5,5.75,420.37635,420.027,422.146575,422.207025,424.425425,426.6922,429.7604,4.233723,4.588269,4.5428975,4.498871,4.49253875,4.805752,2.683603,8.7469505,6.256484,10.579,2.8290315,1.735717,0.1616667,0.10793,0.62919965,95.47813,11.4131,11.205,10.85167,10.82833,10.414335,11.033335,11.46667,11.46717,11.461665,11.401985,11.36133,2.56911875,11.423335,11.305,10.898335,9.6334995,8.2066665,46.3937125,9.4877,276.8043,194.17245,87.11883,51.44818,41.9697875,141.9515,24.0896775,344.3034,369.1547,13.29167,12.256,2.0489665,11.197665,11.3347275,11.0490125,10.73093,9.933781,9.2275215,1.9128365,-0.09323465
5,6.25,419.130425,418.6383,421.016225,420.287525,422.374175,424.368875,426.964925,4.2801785,4.70345725,4.601403,4.62322,4.6057625,4.87893175,2.8023405,8.648467,29.42628,19.68212,2.819287,1.78575825,0.24390335,0.1792708,0.666357,95.49635,11.82576,11.8775025,11.650835,11.5675025,11.1629175,11.699335,12.131165,12.13483,12.0757475,12.07067,11.4300025,2.8519775,11.4257525,11.2514175,10.8720825,9.71591675,8.23750025,116.7937,20.03625,440.1141,362.4922,165.625,92.551815,75.9525475,229.366125,31.53444,345.2888,373.2464,13.431665,12.77208,2.143089,11.2601175,11.2929025,11.03547,10.70269,9.9339625,9.2226735,2.1139945,-0.6080711
