DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT
2,21.25,64.925,-37.115,0.1885,0.094,174.025,172.375,-0.5905,-0.016990005,0.04409739
2,21.75,65.525,-36.7,0.1757,0.1535,175.6,175.275,-0.5905,-0.0191114075,0.0288359975
2,22.25,65.525,-36.755,0.1629,0.16975,176,175.35,-0.5905,-0.0150216975,0.0339145275
2,22.75,65.725,-36.4925,0.1501,0.1145,175.525,174,-0.5905,-0.017775235,0.0322202825
2,23.25,65.925,-35.9925,0.1373,0.19975,177.575,176.725,-0.5905,-0.01621424,0.025481005
2,23.75,65.9,-36.0275,0.1245,0.128,177.55,176.975,-0.5905,-0.01942035,0.020353705
3,0.25,71.5,-26.6725,0.392,0.2975,182.525,200.525,-23.036,-0.0137022825,0.0136102925
3,0.75,70.05,-26.8725,0.392,0.215,182.8,200.775,-23.036,-0.010876985,0.006869505
3,1.25,69.725,-26.765,0.392,0.30175,184.525,198.525,-23.036,-0.0115870525,0.006809736
3,1.75,69.175,-27.1075,0.392,0.203,183.175,197.05,-23.036,-0.01770589,0.01688847
3,2.25,70.625,-27.245,0.392,0.268,183.225,196.675,-23.036,-0.0154449625,0.0135904075
3,2.75,69.925,-26.455,0.392,0.23,185.05,196.85,-23.036,-0.0135885375,0.006801979
3,3.25,70.475,-28.515,0.392,0.3595,187.025,197.25,-23.036,-0.0139764475,0.0186787125
3,3.75,68.95,-28.275,0.392,0.213,188.025,196.65,-23.036,-0.0115092575,0.01369894
3,4.25,69.5,-28.015,0.392,0.19175,189.05,198.2,-23.036,-0.01151975,0.0134473775
3,4.75,67.025,-27.8925,0.392,0.257,185.6,198.65,-23.036,-0.013166215,0.0135504275
3,5.25,70.55,-28.48,0.392,0.131,187.65,199.225,-23.036,-0.0135426575,0.0101820445
3,5.75,69.375,-28.0025,0.392,0.181,184.55,199.15,-23.036,-0.00996608075,0.00654086575
3,6.25,69.425,-27.7725,0.392,0.412,185.95,198.675,-23.036,-0.0011065995,0.0215039725
3,6.75,69.35,-28.5825,1.043,0.40975,190.45,197.7,-23.036,0.01761655,0.08475935
3,7.25,70.225,-28.8375,2.633,0.77825,192.975,198.125,-15.195,0.0797742375,0.15514105
3,7.75,69.1,-27.8925,2.9965,2.095,193.925,197.425,-15.98025,1.029115725,1.301324
3,8.25,67.625,-27.8125,12.249,4.76975,195.325,199,-14.934,8.8069775,10.0947735
3,8.75,68.425,-27.9125,27.445,24.005,193.5,200.15,-19.3725,33.5519925,36.76685
3,9.25,66.225,-26.5775,56.65,47.7225,192.625,202.95,-11.1425,90.2136725,79.3937825
3,9.75,67.325,-26.9675,86.5,71.395,191.6,205.6,-2.895,151.061025,136.717075
3,10.25,64.575,-26.8975,118.2,96.475,193.925,208.6,-1.09,222.8398,191.3003
3,10.75,65.65,-26.645,148.575,129.775,199.125,210.8,3.75,294.36215,266.229375
3,11.25,63.675,-25.815,182.725,144.75,199.075,212.625,9.175,354.5068,314.340025
3,11.75,63.975,-25.6725,214.025,178.475,200.15,213.325,11.9,411.0433,389.46755
3,12.25,64.525,-25.3675,236.325,196.525,195.1,215.9,12.65,441.965425,429.170225
3,12.75,64.675,-24.995,246.5,205.5,189.75,217.1,11.05,472.0274,469.390875
3,13.25,63.925,-25.355,254.6,213,195.675,217.875,12.175,487.134525,463.68415
3,13.75,63.025,-24.7775,259.45,218.575,203.125,217.1,9.125,506.70315,485.27435
3,14.25,62.125,-24.1825,264.575,228.025,203.625,217.975,7.175,497.403425,493.20345
3,14.75,64.45,-24.1525,245.275,208.05,194.675,216.45,4.35,477.566325,452.3286
3,15.25,63,-24.0725,242.9,207.75,192.025,217.775,6.8,439.963625,425.5154
3,15.75,63.075,-24.5875,214.15,184.825,193.2,217.25,1,390.71775,410.7503
3,16.25,64.025,-25.095,173.5,152.825,194.575,215.35,-6.775,317.341775,333.885225
3,16.75,62.7,-25.5125,129.5,114.05,189.275,213.975,-13.075,258.69885,251.272
3,17.25,63.025,-25.445,114.35,99.45,190.225,212.875,-16.875,201.3405,197.77705
3,17.75,64.925,-25.44,78.5125,70.2875,191.225,211.65,-22.1225,129.85655,132.187925
3,18.25,63.35,-25.0025,44.205,40.23,188.475,211.15,-27.485,78.8230875,83.1430625
3,18.75,65.2,-24.56,21.76,21.7125,188.1,210.275,-29.28,36.4838375,40.09429
3,19.25,64.425,-25.5575,4.797,4.687,183.425,207.5,-33.82,10.43971125,11.1477725
3,19.75,67,-25.2,2.578,1.209,184,206.7,-31.412,1.2182965,1.5068345
3,20.25,70.65,-24.915,0.6,0.897,184.425,206,-24.4525,0.0735989025,0.220183
3,20.75,71.525,-25.25,0.1775,0.288,186.45,206.2,-20.422,0.0137209825,0.0628469675
3,21.25,72.425,-25.52,0.1775,0.1345,193.85,206,-20.422,-4.7075e-05,0.028815265
3,21.75,72.425,-24.8375,0.1775,0.2275,192.975,205.85,-20.422,-0.013669555,0.011226268
3,22.25,72,-24.815,0.1775,0.27325,194.425,203.975,-20.422,-0.01237285,0.01357958
3,22.75,70.925,-24.805,0.1775,0.256,194.55,202.275,-20.422,-0.0127382775,0.01351262
3,23.25,71.925,-25.0425,0.1775,0.294,188.05,203.375,-20.422,-0.01346109,0.010229081
3,23.75,72.075,-24.815,0.1775,0.258,182.5,200.85,-20.422,-0.01013914,0.0135376975
4,0.25,68.45,-27.0325,0.602,0.143,187.45,202.5,-8.626,-0.006378906,0.00850493775
4,0.75,67.35,-26.055,0.602,0.21175,189.8,204.8,-8.626,-0.00590510775,0.0182895525
4,1.25,70,-27.29,0.602,0.1015,187.425,201.15,-8.626,-0.0064078425,0.01299649
4,1.75,68.975,-27.14,0.602,0.119,193.9,202.725,-8.626,-0.006789294,0.0052445995
4,2.25,68.975,-27.07,0.602,0.113,188.1,205.5,-8.626,-0.0110182,0.02025624
4,2.75,68.725,-27.74,0.602,0.15525,187.125,203.2,-8.626,-0.00614215,0.019220485
4,3.25,71.525,-27.19,0.602,0.178,188.675,205.325,-8.626,-0.0032249005,0.018982165
4,3.75,70.85,-27.01,0.602,0.26475,188.725,205.075,-8.626,-0.0061004105,0.034732675
4,4.25,70.15,-27.4425,0.602,0.37775,190.15,202.875,-8.626,0.0187715525,0.03767335
4,4.75,69.775,-27.58,1.129,0.19,190.65,202.55,-27.981,0.055247625,0.2495315
4,5.25,69.85,-27.5725,2.651,0.43,187.725,203.075,-15.826,0.426991325,0.4779223
4,5.75,68.725,-27.2075,4.42625,2.021,187.5,202.375,-27.87925,3.99637525,3.74802375
4,6.25,68.8,-27.4575,9.7575,8.8675,187.6,202.575,-23.57475,18.5612175,17.984205
4,6.75,67.85,-26.875,32.4375,29.38,190.275,204.325,-17.1375,55.9857525,54.0953
4,7.25,68.125,-27.045,59.5425,58.185,194.925,205.975,-10.765,110.994075,105.933875
4,7.75,65.225,-26.2925,101.7,90.375,188.45,209.9,-9.575,185.8398,168.303375
4,8.25,65.35,-26.27,176.725,139.75,184.5,213.075,5.2,280.81555,250.67675
4,8.75,64.825,-26.0225,222.075,182.25,187.25,215.375,15.5,394.9198,353.3301
4,9.25,65.275,-25.5475,272.45,208.825,187.6,217.825,20.1,483.377325,428.343175
4,9.75,64.55,-24.835,307.775,244.275,187.575,220.65,26.225,587.72845,534.851975
4,10.25,65.225,-23.8625,332.975,283.05,184.825,223.025,34.6,672.76065,608.057375
4,10.75,65.125,-23.5075,372.825,318.75,185.2,225.2,38.55,777.501475,705.407525
4,11.25,65.2,-23.1725,410.825,344.225,186.325,225.15,36.95,831.986725,758.225925
4,11.75,65.45,-21.825,443.275,367.925,182.75,226.525,41.9,896.514175,826.5234
4,12.25,66,-21.5425,464.8,385.875,185.75,227.625,46.45,940.089625,879.325375
4,12.75,64.7,-21.54,488.875,398.45,182.925,228.925,44.95,970.80215,892.9678
4,13.25,65.975,-21.255,468.225,399.975,185.875,230.25,45.65,985.37415,903.079
4,13.75,66.65,-20.835,460.825,398.5,188.6,232.15,42.625,984.28725,914.433075
4,14.25,65.525,-20.89,495.075,412.375,185.325,231.6,42.1,986.95585,911.046825
4,14.75,64.675,-21.3575,470.35,398.05,186.425,231.325,35.7,958.3546,878.62135
4,15.25,64.975,-21.5225,437.175,377.625,191.7,228.775,32.5,899.975175,844.117025
4,15.75,66.75,-21.52,402.825,350.5,188.925,227.8,28.8,832.836275,794.3464
4,16.25,65.75,-21.285,361,323.875,186.25,227.075,25.5,758.993425,736.64695
4,16.75,66,-21.2475,324.325,286.075,184.675,228.225,19.1,652.68535,649.563525
4,17.25,67.65,-21.2275,270.225,249.775,185.575,226.225,8.6,561.9223,560.12475
4,17.75,66.375,-21.3,232.75,213.7,187.575,225.175,-0.95,479.589525,487.4153
4,18.25,67.825,-22.1,199.875,175.475,186.6,222.9,-9.375,385.131625,393.055775
4,18.75,67.75,-23.285,145,135.375,185.025,219.475,-19.7,279.8285,296.4164
4,19.25,66.875,-23.82,119.45,105.35,184,216.525,-27.15,212.037625,222.630375
4,19.75,67.95,-24.0575,78.1175,75.695,182.7,213.2,-31.75,139.230225,144.751125
4,20.25,68.9,-24.915,34.9975,35.2425,178.45,211.6,-36.2975,67.00407,70.58598
4,20.75,68.95,-25.8525,14.1875,13.97,177.125,209.925,-36.6525,27.8130175,27.6909075
4,21.25,69.45,-26.05,5.719,3.7745,175,203.825,-39.64,7.80504325,7.64893325
4,21.75,68.3,-25.9925,2.36975,0.716,175.15,199.3,-37.83975,1.26040425,1.2137532
4,22.25,68.675,-25.95,0.80325,0.656,179.75,202.425,-30.78675,0.13302815,0.2081158
4,22.75,68.375,-25.9575,0.82,0.23675,182.3,203.65,-13.67,0.0136061725,0.045553535
4,23.25,68.9,-25.9425,0.82,0.3075,179.675,207.25,-13.67,-0.00043492175,0.04137348
4,23.75,68,-25.9425,0.82,0.23425,177.475,208.15,-13.67,-0.008796188,0.0272188425
5,0.25,81.075,-4.1805,5.639,2.55425,253.625,292.75,-42.178,6.1019885,2.12184
5,0.75,82.025,-4.719,4.53675,1.86825,260.025,293.525,-38.1265,3.790664,1.325284
5,1.25,82.225,-4.759,3.61225,1.906,259.35,291.55,-38.60475,2.9903855,1.1042125
5,1.75,82.325,-5.11825,3.5415,2.02175,260,288.6,-36.9985,3.1940995,0.98606615
5,2.25,81.5,-5.55075,4.15,2.1875,259,289.6,-34.7355,4.1436375,1.291464
5,2.75,80.4,-5.2895,5.431,3.115,258.075,290.625,-32.727,5.999084,1.92121
5,3.25,79.575,-5.42075,7.713,4.555,257.9,291.825,-30.12,10.119081,3.455495
5,3.75,80.4,-5.36125,13.765,7.9015,259,290.45,-30.1125,17.0824,7.29542
5,4.25,78.95,-5.435,23.56,12.4575,261.775,292.1,-25.98575,31.58056,13.804085
5,4.75,77,-5.5565,38.3425,22.62,262.45,294.05,-16.07,55.28973,27.857015
5,5.25,75.375,-5.58125,53.715,29.9025,264.525,293.675,-9.22,83.56215,43.53779
5,5.75,75.75,-5.6175,74.7425,38.5525,266.65,294.45,1.45,121.2248,62.60299
5,6.25,75.6,-5.33625,77.315,47.3225,262.125,294.5,-0.225,165.2777,93.57946
5,6.75,74.525,-5.41675,107.55,63.86,264.25,295.4,-5.85,220.09915,133.20495
5,7.25,73.75,-4.471,157.9,74.1625,266.275,298.35,15.225,281.874,162.4244
5,7.75,71.75,-4.257,202.35,85.3,266.675,300.3,25.2,350.11185,198.3856
5,8.25,71.025,-4.187,245.2,95.5,268.05,302.55,33,426.5971,236.3778
5,8.75,69.775,-3.898,298.425,103.3,271.075,305,45.325,535.19215,251.0357
5,9.25,70.4,-3.782,333.275,102.9,268.9,306.95,47.425,606.34325,258.0073
5,9.75,68.95,-3.1585,365.75,119.325,266.95,308.175,58.7,648.68665,265.65635
5,10.25,69.2,-2.919,405.225,131.15,266.6,310.675,67.1,725.86685,324.2723
5,10.75,68.3,-2.7615,455.125,128.875,268.375,309.325,72.95,775.778,316.7333
5,11.25,68.85,-2.462,487.5,132.65,267.95,313.5,80.9,878.232675,281.186075
5,11.75,66.775,-1.749,520.75,141.95,266.85,316.4,79.2,959.8979,364.0479
5,12.25,66.3,-1.55075,549.925,142.75,266.825,317.05,88.225,996.5776,329.9523
5,12.75,67.325,-1.4465,557.9,129.2,267.8,318.7,102,1028.9655,234.15975
5,13.25,66.05,-0.94,580.175,132.2,270.425,319.375,91.5,1065.207,207.38365
5,13.75,64.9,-0.721,586.75,129.85,270.175,319.875,113.82,1070.1845,193.53495
5,14.25,64.55,-0.85375,545.65,124.2,270.15,320.85,98.7,985.996475,167.14995
5,14.75,65.7,-0.741,525.8,123.55,270.75,320.45,97.25,1031.3561,183.485475
5,15.25,62.75,-0.7455,527.35,123.05,265.5,321.25,86.4,994.7535,164.965825
5,15.75,63.275,-0.736,490.375,116.375,265.825,320.325,88.35,882.2495,151.0007
5,16.25,63.6,-1.12925,429.7,110.8,264.175,317.75,62.7,784.303775,131.6164
5,16.75,65.2,-1.36625,387.22266,103.4,263.725,317.2,49.1425,729.8693,117.2737
5,17.25,65.2,-1.20125,353.4,94.5,263.125,317.175,42,679.60955,116.2804
5,17.75,65.275,-1.3425,308.25,85.85,266.7,315.95,45.3,594.2137,101.40655
5,18.25,66.6,-1.34725,272.51136,78.43,266.2,315.8,35.05,524.00645,89.29863
5,18.75,67.7,-1.52575,243.6,73.1,263.3,314.4,31.15,448.920075,79.74623
5,19.25,66.85,-1.88075,202.2,61.965,266.15,312.8,25.2,376.42365,67.70208
5,19.75,67.425,-1.8205,163.4,57.96,265.25,312.05,12.6,293.60865,62.999775
5,20.25,69.8,-1.7365,127.85,52.04,261.75,310.8,-1,237.19315,52.529095
5,20.75,70.8,-2.192,89.7,37.305,260.9,309.35,-12.85,167.3668,46.25845
5,21.25,70.7,-2.5215,67.64,32.025,259.5,306.9,-24.005,119.9553,32.67121
5,21.75,72.25,-2.7275,48.515,24.8,259.8,304.05,-28.755,85.10775,30.555065
5,22.25,74.75,-3.03275,31.99,17.385,259.35,302.25,-31.64,55.081,23.017735
5,22.75,75.65,-3.103,19.95,10.75,258,300.9,-36.92,34.138555,14.06484
5,23.25,77.7,-3.448,12.465,6.3571054,256.65,300.35,-40.387,20.525465,6.6887825
5,23.75,78.9,-3.6425,9.3,4.2125,255.6,299.9,-42.44625,13.48213,3.4218375
6,0.25,73.3,2.336,10.97,1.842,291.55,324.6,-33.105,20.59416,1.3982005
