DOY2,HR2,CO2,H2O,FC,LE,H,USTAR,WS,U_SIGMA,V_SIGMA,W_SIGMA,PA,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,G_3_1_1
1,20.75,338.01113598,1.8225887434,-0.6705178558,-8.402958172,-54.531240812,0.03352040975,0.346101345625,0.14893646005,0.166535509375,0.03875763245,96.499255,-17.44820161375,-0.1223744,-0.13035228,-1.33685555,-20.544978,-26.84792,-23.957508
1,21.25,337.96063404,1.8242963648,-0.829654282375,-10.50441525825,-54.732343539,0.0313410289,0.32138079345,0.1387099756,0.17180741645,0.04343817585,96.5159429045,-17.5872532995,-0.1236168,-0.15205518,-1.34630805,-21.778528,-24.022882,-23.286264
1,21.75,337.930097165,1.69097243725,-0.809646426125,-12.30011828025,-50.960860815,0.039005038025,0.3189234083,0.159739630025,0.185035539125,0.037551509925,96.502052925,-18.408416172,-0.1537477,-0.167290025,-1.4309264,-20.1045525,-22.92907,-22.4963625
1,22.25,338.036121115,1.24598397655,-1.015686286,-15.06190197,-47.5646092725,0.02466064095,0.2477587454,0.15951825,0.15263939495,0.03401377235,96.450946462,-19.2217125,-0.181765875,-0.179953725,-1.5009079,-21.356975,-22.05383,-23.69005
1,22.75,338.65134314,1.6925048228,-0.75307959495,-9.009060793375,-47.780046464,0.02602599525,0.29175693965,0.1507015,0.16167070255,0.03688786145,96.431383481,-19.77436,-0.3115275625,-0.1977163375,-1.5620871,-22.64492375,-21.3106325,-25.095675
1,23.25,338.09427774,1.444709878575,-0.833432965,-13.0214381065,-46.53900978325,0.0311272085,0.2310103181,0.15659049565,0.159341334,0.03868447525,96.37097515425,-20.27751967675,-0.3177798875,-0.21660275,-1.6273046,-24.08026375,-21.53299625,-27.4880375
1,23.75,338.825617725,1.898911451625,-1.0633662644,-16.7587847,-45.70447578,0.02702490045,0.2964682405,0.138341209,0.1585770955,0.033733826,96.38416027325,-20.4610240615,-0.3154578125,-0.223894375,-1.6259888,-23.77237375,-20.04404,-27.046825
2,0.25,339.99977135,1.3891453175,-0.634638831825,-14.4915942375,-62.01233316375,0.027989893525,0.205673631225,0.126573915825,0.14686327765,0.031706846425,96.4830895925,-17.747082572,-0.22099,-0.218930625,-1.483035,-26.0838625,-31.3848415,-35.91074875
2,0.75,340.44199144,1.619213797375,-0.553345131725,-15.212428354,-62.464885719,0.02915717645,0.187409013,0.12941,0.140438087,0.02761,96.46831845,-17.532799715,-0.221309625,-0.217872625,-1.530313,-26.2311375,-30.8648305,-36.4191525
2,1.25,339.985492055,1.66654191615,-0.6469608098,-18.03999934,-59.44085246,0.027210882,0.2108909502,0.128727238175,0.15804777255,0.028684350225,96.499814955,-17.705884286,-0.2255208625,-0.21699275,-1.5776576,-26.4175375,-31.1988745,-35.7987775
2,1.75,338.023003255,1.49841622925,-1.3268571656,-19.3411088005,-61.785710679,0.0238216938,0.260395276,0.11885,0.140140202,0.027995179,96.46876213,-18.0961875,-0.22823985,-0.2247791125,-1.5940032,-26.66540125,-29.837561,-35.96410125
2,2.25,336.483853265,1.41991960445,-0.8521642623,-13.944760497,-60.17028461,0.02864,0.219382465,0.137622044,0.15153,0.028966076,96.47169803175,-18.2824725,-0.2294708,-0.2280998375,-1.629885,-26.701305,-31.064615,-35.34962625
2,2.75,338.034758485,1.5153102222,-0.8811045284,-12.705593475,-55.44571812675,0.025872234125,0.219866072275,0.134958229225,0.146377553425,0.028791884725,96.44013005475,-18.876694097,-0.2306093625,-0.22643705,-1.6317174,-26.04437375,-28.4372855,-37.59135375
2,3.25,339.64095288,1.40164751965,-0.596602063775,-17.962008737,-54.934606588,0.029605114625,0.258203050125,0.14342508055,0.1608029533,0.031382819675,96.41435792175,-19.1129914,-0.23144845,-0.226159425,-1.6133834,-27.7137,-25.8119595,-36.4857325
2,3.75,335.815909755,1.33655579835,-0.603008889675,-16.554735,-59.209934205,0.02420228175,0.220782697325,0.133515603375,0.13645945305,0.027649193925,96.4472551335,-19.46941211625,-0.2326627875,-0.226977575,-1.6079144,-28.2381725,-32.34328075,-36.84899125
2,4.25,336.52320075,1.396610565025,-0.953952803,-16.284427582,-61.886134215,0.029653206775,0.252981627,0.148192058,0.15189,0.027424259,96.4529666665,-19.96057052875,-0.23378355,-0.2338302125,-1.622306,-28.22715,-32.346916,-37.217015
2,4.75,339.0350391625,1.3962315476,-1.7163363916,-18.58646346775,-59.27753610075,0.0310382758,0.16822670465,0.1511162537,0.14770172115,0.028240183,96.4573360695,-19.99963875825,-0.2352253875,-0.270752675,-1.6214018,-29.346575,-31.25927,-37.46175875
2,5.25,339.65279205,1.3635277259,-3.521017628,-22.094768028,-58.238776861,0.032862639825,0.212148686275,0.134915533575,0.145249183225,0.03063557815,96.4254737895,-20.74478,-0.235852875,-0.264696625,-1.610069575,-29.0062,-31.2686245,-38.4059925
2,5.75,340.615890105,1.333849723275,-0.901334403,-16.6302973275,-52.4977754235,0.0284311109,0.29657406915,0.1478746679,0.14385785815,0.03138313185,96.4053406175,-21.21103955125,-0.235915375,-0.272507375,-1.605196675,-28.7305875,-32.218251,-38.14771125
2,6.25,338.4423194,1.329012979,-1.03487779575,-19.018848014,-59.5444775,0.0323573852,0.347853118825,0.1469429433,0.1517000082,0.032389807525,96.398175265,-21.58569039375,-0.23579305,-0.26991068,-1.60363675,-29.65794,-31.4567535,-37.3795355
2,6.75,338.981561895,1.292533389175,-1.3205946933,-24.22498916,-58.089165,0.021065475725,0.236583118,0.115470444,0.1544,0.02947786,96.412375,-21.810015145,-0.2361774,-0.28466956,-1.603955,-28.71029,-32.4325255,-38.3930485
2,7.25,340.6052169125,1.2632480345,-0.6604249072,-15.79171991625,-67.903097255,0.0253322162,0.285471168975,0.121663881025,0.15236461075,0.02844727065,96.41325,-21.88614045125,-0.2364449,-0.296651665,-1.63411275,-27.27307,-32.7232575,-39.7671335
2,7.75,340.755890065,1.21800258675,-1.81674847625,-18.110130618,-67.8660217785,0.0232966472,0.1532173283,0.135499739475,0.156853098675,0.03122085455,96.43935,-21.915777925,-0.23729105,-0.2952479,-1.645178,-27.10591,-31.5023745,-38.845708
2,8.25,342.1592214975,1.21025049465,-1.019299338975,-9.9845945702,-56.322155843,0.0299188977,0.152758775,0.1240938582,0.14006843295,0.03519543285,96.450575,-21.26230055375,-0.23872695,-0.29409365,-1.6550495,-24.255834,-25.602162,-33.751585
2,8.75,342.7281615,1.2566688646,-1.63490301135,-9.9977115462,-50.962092893,0.0289040372,0.2409010042,0.15515882535,0.1759754925,0.0415593718,96.46113483275,-20.4682375,-0.23782205,-0.2917465375,-1.6376883,-20.0752125,-21.34822,-27.12188125
2,9.25,342.238872985,1.4233407835,-2.10520027285,-8.43272883515,-46.1854078185,0.0358971319,0.2838281513,0.1676316488,0.2033805213,0.0514958038,96.41852,-19.474458138,-0.2345608375,-0.27971775,-1.51330745,-17.9759925,-19.4132905,-22.27035625
2,9.75,342.15205366,1.4937602048,-1.4969076065,-14.327259699,-49.1082101325,0.0340618505,0.329927312525,0.19192323455,0.2196505922,0.066804870025,96.40165,-17.25506393175,-0.230138875,-0.2798887375,-1.430467475,-15.56120625,-16.45885775,-18.37172375
2,10.25,342.3069191875,1.47820456925,-1.5727288955,-2.3890986338,-41.030149325,0.065940578125,0.5007538252,0.3467447218,0.3005880792,0.1061439851,96.38558,-15.89141489625,-0.229466625,-0.2628217625,-1.356121225,-13.1887125,-13.36518025,-15.42614625
2,10.75,343.23632132,1.511513505,-1.177748377225,-2.23539381095,-34.513625464,0.0759875747,0.657894197675,0.384241044325,0.4149951027,0.12351634265,96.34418,-14.70116,-0.228852125,-0.256942375,-1.3094164,-11.3319075,-11.9914625,-14.2179
2,11.25,343.4243248,1.61932496165,-1.513011456,-1.4018921164,-44.43203341,0.0736523859,0.559686845825,0.4263625635,0.374281277025,0.12847663875,96.312005,-14.08368021075,-0.226879375,-0.24856075,-1.266063,-8.566171875,-9.8226894,-11.4573875
2,11.75,343.9633872,1.617492371,-1.390223717175,-1.3679316428,-31.7625557675,0.079864265375,0.734201492925,0.426769361275,0.365758518425,0.115100870725,96.31495,-13.824266875,-0.225723375,-0.252298625,-1.2614504,-8.0387525,-8.95877475,-11.1024625
2,12.25,345.3101747525,1.625770851975,-1.37644974055,-0.195483477625,-42.743885768,0.08635563185,0.766783784375,0.429672974875,0.470316481125,0.144152693875,96.3051425,-13.48753961325,-0.21864175,-0.255471625,-1.1493668,-7.7861475,-8.7546845,-10.4411875
2,12.75,345.04905781,1.556569894425,-1.75411009625,-0.3115427252,-40.065084466,0.0955174056,1.02141245695,0.486280887025,0.49578978295,0.146675998575,96.27806,-13.22742879975,-0.219071875,-0.257797125,-0.992283,-7.223995625,-9.007519,-10.184025
2,13.25,345.149871,1.54749601,-1.323839909775,-2.2251147944,-45.498519981,0.10320610445,1.1619272174,0.50031362415,0.504115186725,0.170876076025,96.28318,-13.153581294,-0.219755875,-0.257402375,-0.8339374375,-7.39963625,-8.806025,-10.1873
2,13.75,344.9712207875,1.620276404125,-1.71612062785,-0.024636668625,-47.4824130205,0.09870175,1.106782207375,0.436870326175,0.49143988815,0.167737358325,96.2925564305,-12.931911111,-0.2197808,-0.2538956,-0.74236866,-7.383727,-8.780281,-10.13493
2,14.25,345.16991796,1.5460611988,-1.724292745,-0.2872346762,-49.259823985,0.0789499405,1.1555854064,0.5004751907,0.5030777753,0.1795454474,96.320840468,-12.7056,-0.2210688,-0.24966,-0.69410852,-7.637271,-8.6875875,-9.947585
2,14.75,345.57304207,1.83087089495,-1.36427409825,-4.5445102518,-58.3981780405,0.0918335322,1.0921191856,0.5068499596,0.5183912264,0.1747712684,96.28998,-12.7155,-0.2211884,-0.24453,-0.65381164,-7.3591885,-8.5088775,-10.0263346
2,15.25,345.1515820675,1.741436549575,-1.2904966789,0.433617710625,-62.0194581075,0.10136137595,1.0602643226,0.5083983154,0.5136214514,0.1669100504,96.297963524,-12.54344092575,-0.223193245,-0.239865,-0.6245764025,-7.349168,-8.30763475,-9.8153885
2,15.75,345.1323085025,1.8547144567,-1.3373688489,-2.14297704005,-66.577088829,0.0914750018,1.1600881314,0.4835833019,0.4732609611,0.1616415951,96.309725,-12.35609933025,-0.223043375,-0.2348,-0.612614195,-7.214225,-8.075687,-9.9229425
2,16.25,344.983427385,1.824111960525,-1.16133108445,-0.46755705525,-63.58681241375,0.0849978004,0.9519727502,0.4551714916,0.4381405876,0.1535461678,96.31555849825,-12.40108449975,-0.2230185,-0.2317375,-0.60948819,-7.219636375,-7.9399115,-10.28350375
2,16.75,344.8433792,1.75948529,-0.83215185905,-5.675508485,-64.41396578875,0.0842826747,1.0352193045,0.4132442359,0.3974200641,0.1418832058,96.307649357,-12.897072144,-0.223173625,-0.22785,-0.631534725,-7.24819125,-9.37750585,-10.07546
2,17.25,344.82521111,1.81509169265,-0.7458245014,-7.98983845075,-65.21088669275,0.06778771525,0.8104319958,0.3446487714,0.3078495046,0.1093783382,96.3579973245,-13.104864198,-0.22402225,-0.2247375,-0.6542548125,-7.711120125,-14.054122,-12.35134125
2,17.75,344.3437265875,1.8173991232,-0.43122863725,-5.6793417441,-63.546788583,0.054044700625,0.7620794347,0.2237589403,0.2418852539,0.081716634,96.342597826,-13.089823462,-0.224478625,-0.222461,-0.6976575825,-11.35344375,-22.0501485,-23.6838025
2,18.25,343.55503732,1.77494356985,-0.63731859945,-12.0806058974,-69.731490725,0.0360463594,0.48535909765,0.162735485075,0.201833948425,0.057445274625,96.392084333,-13.6012121975,-0.2249366875,-0.222693375,-0.8484218775,-16.79852125,-29.3723315,-33.19990375
2,18.75,343.344532675,1.7227956934,-0.419096462125,-10.371408213,-64.172733578,0.0348342159,0.4193073215,0.153014118,0.15441316675,0.041885070125,96.430361506,-14.08603595825,-0.2249950375,-0.223081875,-0.9308430675,-20.365195,-33.3876495,-38.3824925
2,19.25,343.2074463175,1.89024641775,-0.6061344924,-12.6032417875,-63.982636389,0.035277181725,0.344947,0.16004503515,0.1550975765,0.0370698855,96.4351166,-14.4414275,-0.2251835375,-0.223239125,-1.00990503,-23.13153,-33.2180625,-37.51912
2,19.75,343.189473135,1.87873927375,-0.506233650525,-8.508465927,-57.292937743,0.0295943606,0.290149267,0.1466546106,0.1556804537,0.0380687715,96.459578209,-14.71913,-0.2254819375,-0.2234615,-1.1157686,-23.85675375,-31.4877995,-34.5104975
2,20.25,342.88191615,1.6366177587,-0.47888624,-10.978983392,-63.265687914,0.0256476622,0.29381470955,0.12882276205,0.1366995572,0.0374651598,96.444366447,-15.07238,-0.2257348125,-0.2236605,-1.198220375,-21.312465,-31.2409735,-37.26758375
2,20.75,341.76565254,1.68445929545,-0.760628379,-10.89721312,-64.662629684,0.035832677125,0.316107565,0.145960493,0.167033769,0.031109459,96.436620473,-15.588691756,-0.2261916,-0.223741125,-1.240773825,-21.4068675,-32.295569,-37.94999875
2,21.25,341.388393625,1.7743486235,-0.789114685,-11.92245361,-59.72068583275,0.034075769725,0.28068,0.13066194,0.16860486,0.033966002,96.453889613,-15.73204,-0.22645345,-0.2241875,-1.283299725,-21.42098125,-31.519283,-36.8989175
2,21.75,341.41382746,1.6252275275,-0.6381486188,-12.58710250925,-59.901694664,0.03162784225,0.314310678075,0.1546483085,0.16136819455,0.031698025,96.475545327,-16.314503234,-0.2273689125,-0.228929875,-1.345140175,-21.801345,-29.9497505,-37.76532375
2,22.25,341.019790875,1.7198639379,-0.803006664525,-12.008918663,-59.437748041,0.02456370625,0.249419937125,0.1486265532,0.136791934425,0.028476563325,96.481104106,-16.727401733,-0.2283161,-0.230864625,-1.4680751,-22.67621875,-30.92253175,-40.5420725
2,22.75,339.03557597,1.6287252,-0.95801258295,-8.9135436518,-59.103463073,0.02168226995,0.259980092725,0.13017101535,0.14322581585,0.0269158612,96.527854417,-16.95968091925,-0.2294279125,-0.232367375,-1.517295425,-22.975035,-31.27885675,-39.82633375
2,23.25,339.5885592875,1.6609735925,-0.764060851375,-11.770429359,-59.4262235795,0.0249283701,0.2234188452,0.13037598335,0.1420438044,0.030434,96.5085627925,-17.46434,-0.229793125,-0.2371855,-1.507792125,-25.11677375,-33.341474,-40.48619625
2,23.75,339.193129285,1.593966113425,-0.6385370592,-11.67881534045,-61.986242927,0.025458054,0.2630910358,0.1116530962,0.1488921139,0.03183319555,96.495018493,-17.5121269415,-0.23111335,-0.2432961,-1.496457675,-25.793295,-34.0590955,-41.3965525
3,0.25,349.719927425,2.13086841175,-0.7375688758,-11.23,-59.33015993225,0.025485404575,0.25412415945,0.138667452425,0.14439086195,0.029020750075,96.753085,-12.214252257,-0.34686,-0.259813675,-1.783202225,-36.47600225,-56.325901,-56.433345
3,0.75,347.71689968,2.1479393809,-1.71162017675,-8.827578197525,-57.982929008,0.026129047,0.2791885976,0.1304533022,0.134639324,0.0332053868,96.6912114575,-12.37027642575,-0.344688775,-0.258104375,-1.862507825,-35.35034,-55.7310595,-52.57483425
3,1.25,348.3939246875,2.164153928875,-0.95479492855,-9.188518288,-68.70454329025,0.029597502925,0.23011125,0.1313134196,0.157848041475,0.02910620405,96.6891895735,-12.54599,-0.346562475,-0.259529325,-1.930517925,-37.357914,-52.78351775,-50.2409635
3,1.75,348.5506059375,1.867094436225,-0.6351933554,-9.9390652305,-60.75393458575,0.030773040175,0.249918747,0.1278036078,0.1464053142,0.0345898298,96.7306717755,-12.73587648,-0.34677808,-0.259231,-1.9588868,-39.34053,-52.205874,-49.846938
