DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
2,8.25,474.28,15.7812,6.146375,7.56169999999998,43.086775,87.2651,3.91225,0.490675,1.4765,1.673,0.6645,101.37,100,15.09455,5.716,15.52705,0.89235,449.9,272.55,84.7999999999998,365.4935,379.989
2,8.75,474.35,15.789,9.8542,10.772,74.9501999999999,107.06,4.1276,0.5658,1.507175,1.688025,0.656725,101.341,100,15.5343,6,15.1048,1.030275,622.27,373.0445,100.8745,360.373,381.4945
2,9.25,445.72925,15.646475,4.337,15.5005,108.295,104.40375,4.3337,0.5763,1.594775,1.837675,0.710525,101.328,100,15.6486,7.329,16.135625,0.76615,816.025,473.163,135.293,363.5405,384.2915
2,9.75,431.438,14.4576,2.9556,21.5471,149.957,139.108,4.5024,0.610799999999999,1.9595,1.936025,0.793275,101.324,100,16.0284,9.422,16.8924,0.752425,981.4,563.919,149.734,367.5415,392.114
2,10.25,429.04,14.5221,3.70707499999998,31.5765,176.998,182.11925,4.8475,0.6853,1.88025,1.99925,0.814625,101.3535,100,16.28895,10.816,18.2722,0.802325,1127.41,641.65,169.409,367.7835,400.182
2,10.75,437.062,13.97795,4.09869999999998,34.6915,200.559,173.5715,4.68425,0.63075,1.874975,2.08695,0.826975,101.3635,100,16.73505,11.507,18.7394,0.8612,1228.5,704.7165,178.42,361.2555,411.1235
2,11.25,422.041,13.3605,4.19217499999999,54.8595,227.014,159.96125,4.8345,0.63125,1.92975,2.006125,0.823,101.3135,100,17.21245,12.59925,18.4447,0.89475,1339.81,751.859,194.597,362.083,422.2695
2,11.75,418.456,13.6326,0.912875,63.4525,233.8055,177.99,5.2464,0.6602,2.0895,2.2885,0.873,101.3035,100,18.072625,14.00725,19.0445,0.9695,1403.425,786.8705,201.838,355.266,425.891
2,12.25,405.498,12.3342,4.22740000000001,58.298,249.509,180.45,5.4626,0.6495,2.16695,2.34995,0.9155,101.2775,100,18.448875,14.5275,19.9389,0.9142,1445.225,811.5065,206.33525,357.7405,431.8325
2,12.75,401.3885,14.53315,4.25459999999999,64.4125,244.875,176.05875,5.6374,0.705,2.2752,2.4096,0.938,101.2435,100,19.3885,15.579,20.6671,0.9472,1462.1,803.087,201.19975,360.9415,430.595
2,13.25,400.507,13.5406,5.0921,58.76,237.075,157.562,5.657375,0.66895,2.2276,2.4478,0.9734,101.17,100,20.108,15.8195,21.623925,0.8816,1406.175,772.549,194.4205,368.781,432.8155
2,13.75,398.1715,13.68575,1.368,61.7355,211.155,159.4925,5.266825,0.6924,2.13275,2.3904,0.9801,101.1335,100,20.5101,16.316,21.998,0.85735,1383.025,734.06575,183.67625,369.3435,431.4675
2,14.25,401.88125,14.22775,5.4027,50.003,203.25125,165.009,5.58935,0.7145,2.2574,2.4232,1.0252,101.1,100,20.8089,16.8215,22.2166,0.8163,1269.275,681.087,168.414,365.523,433.91875
2,14.75,401.938,14.113,1.8406,48.781,176.6575,157.182,5.226875,0.674625,2.1165,2.507525,1.0282,101.0565,100,21.3065,16.73725,22.357325,0.773624999999999,1138.375,624.02625,152.89575,368.34675,430.1465
2,15.25,409.59825,14.13005,3.7398,46.8985,167.612,131.706,5.20685,0.69695,2.018875,2.306425,0.90705,101.01,100,20.963125,16.27325,22.361675,0.642275,1002.225,539.1665,133.21625,373.3175,426.11025
2,15.75,405.296,14.0109,4.17925,38.63,117.8875,112.27875,4.79545,0.6339,1.956575,2.192175,0.8761,100.982,100,20.5716,16.34125,22.32535,0.617225,845.1,442.25525,115.643,375.3815,416.5605
2,16.25,405.49825,15.013375,3.60369999999999,33.324,72.945725,101.393875,4.7852,0.6304,2.0455,2.026,0.86125,100.989,100,20.44615,15.9325,22.281325,0.46875,657.305,339.49875,97.1455,370.86,413.036
2,16.75,407.345,14.63175,4.06494999999998,26.813875,48.0046499999999,83.1164249999999,4.6643,0.6278,1.8352,2.0865,0.848,101.003,100,20.2086,15.48225,22.20725,0.501,398.85375,242.11,77.14,370.892,404.2775
2,17.25,416.58425,14.5464,3.91189999999999,20.286875,10.151,65.349375,4.6585,0.603,1.77475,1.968,0.79725,100.99375,100,19.409,14.83325,21.693,0.52125,245.4075,145.63875,53.54045,374.8635,393.20925
2,17.75,401.378,13.8468,9.36029999999998,14.821,15.0525,46.5871,4.097,0.607075,1.68275,1.93625,0.7515,101.0155,100,18.8005,13.68225,20.8208,0.713,85.905,38.36475,14.70565,373.61125,386.575
2,18.25,422.76125,14.277625,5.55925,11.03375,13.212375,52.5575,3.755375,0.573625,1.5169,1.6047,0.6763,101,100,18.376875,12.10125,19.79785,0.9121,13.9735,1.0163,2.7374,373.05775,385.2315
2,18.75,442.7845,14.21725,10.4345,7.97557500000001,22.4622999999999,55.0815,3.9818,0.5368,1.6007,1.5484,0.732099999999999,101.0265,100,17.726625,11.34875,19.1116,0.7643,13.423025,0.15165,3.173,372.1855,376.4515
2,19.25,440.2355,15.0385,5.51595000000001,4.83335,25.6557749999997,44.5884,3.5418,0.5142,1.5179,1.612625,0.740625,101.05,100,17.4816,11.30875,18.457275,0.934675,13.41615,0.678900000000003,3.297425,370.84775,377.791
2,19.75,406.1685,15.608,4.429,5.9508,18.0442,48.527,3.524,0.533,1.384775,1.774025,0.68615,101.051,100,17.3202,11.00475,18.3151,0.792025,13.410275,0.533625000000001,3.9235,368.3085,375.611
2,20.25,421.845,14.601,10.6108,5.94795,19.96505,41.96955,3.177375,0.459375,1.4764,1.59,0.710199999999999,101.06825,100,17.2668,10.9635,18.338825,1.0554,13.4222,0.405925,4.02915,367.60675,375.32025
2,20.75,418.4095,15.60645,4.8452,7.078775,18.3635499999997,48.3694999999999,3.716275,0.509075,1.546475,1.60375,0.706125,101.091,100,16.8039,9.46499999999998,17.809,0.89245,13.41835,0.763025000000002,3.7767,365.25075,377.75875
2,21.25,443.461,15.5606,14.86465,7.6134,24.8920999999999,101.005549999999,3.855375,0.5235,1.571,1.726625,0.707,101.09825,100,16.86855,9.15325,18.2042,1.1446,13.425,0.669200000000001,3.76205,369.54475,377.91725
