DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE
1,10.75,3.164,153.165,175.99425,3.43727500000002,1.40065,1.9749,3.06619999999999,4.09749999999999,5.10338249999997,1.86194749999999,2.0087325,425.700195,9.740215,88.53725,12.1741,0.950563999999997,12.3475,11.69615,11.867125,98.7881,834.1175,474.7295,449.73975,80.424,334.63416475,358.04,291.62875,2.6775,2.11995,2.03215,2.3107,2.81805,4.1363,1.569035,3.43388,2.7614,1.917604,9.16950000000001,1.43255
1,11.25,2.2894625,163.444,208.13675,4.65440000000003,2.216675,2.0185,4.68214999999999,5.69157499999997,6.80036499999999,3.27533749999998,4.33506999999999,425.798686,9.673325,88.51505,12.38325,0.66183625,12.76125,11.812,12.04545,98.6043,910.2075,532.3575,476.3125,85.4977,336.816,362.12,317.781,3.216425,2.44909999999999,2.16774999999999,2.326325,2.7938,4.13045,1.53963225,3.21023,2.65698,1.82546,8.97875,1.26845
1,11.75,3.88444749999999,157.69525,220.292765,5.98585000000003,3.2632,2.0386,6.095,7.67064999999998,9.7359975,4.90275499999996,6.89393249999997,425.998475,9.6446925,88.4878,12.433,0.75236,13.364,12.273,12.5555,99.12775,962.625,533.41725,497.4325,89.890525,333.5095,362.74175,338.6825,3.95235,3.19165,2.48175,2.5188,2.83205,4.140725,1.51383,3.1467125,2.6874125,1.83228125,8.67747749999999,1.9831
1,12.25,3.20058,188.66,227.845,9.10525,5.151075,2.212825,7.76289999999999,10.597,13.7907999999999,5.64125499999999,8.82557499999997,426.4300325,9.6430225,88.4818,12.8605,0.63935,13.582,12.51,13.066375,98.8648,985.16,555.4205,504.005,87.785,334.4215,365.965,360.128,4.03295,3.23535,2.5691,2.51125,2.8519,4.15075,1.48846,3.175995,2.70961,1.832445,9.14131,2.574175
1,12.75,2.696325,159.36525,230.34,17.37,6.42119999999999,3.18924999999999,8.49924999999998,10.82,15.17055,6.762725,9.25226,426.615363,9.821145,88.4564,13.3355,0.663,14.4205,12.8219,13.2126,98.05525,985.7499975,518.9,497.60575,85.303,334.95,367.265,350.63,4.08659999999999,3.08102499999999,2.51532499999999,2.404325,2.8803,4.158,1.431665,3.1744,2.672435,1.845115,9.1486075,1.9893
1,13.25,2.78684,147.8,226.275,17.13425,5.7457,3.45734999999999,8.8935,11.7265,14.3994,7.83013000000001,9.750695,426.4360765,9.815975,88.4165,13.2577,0.571968,14.6845,13.02245,13.107,98.266275,918.175,510.534,473.151,76.97815,336.0245,368.8135,328.67,4.44,3.1935,2.5851,2.57265,2.96565,4.2144,1.429575,3.12065,2.67615,1.8324625,9.583388,1.473625
1,13.75,2.89455,122.5595,196.824,17.142,5.427775,3.88544999999999,9.37099999999999,12.2165,13.35885,7.46790500000001,10.27895,426.271662,9.80032,88.3994,13.23125,0.592825,14.671525,12.816175,13.055,98.211275,860.9783355,460.254,433.28025,73.54865,334.91575,367.2115,296.63,4.50605,3.4211,2.68899999999999,2.5731,2.9601,4.244575,1.5201875,3.2941875,2.74795875,1.8933375,9.8045,1.420725
1,14.25,2.84329999999999,138.70175,186.56305125,17.0965,5.307,3.7922,9.76699999999997,12.4025,12.49695,7.23752500000001,10.72116,426.16748375,9.8131125,88.367675,13.340625,0.6053775,14.15565,13.134275,13.3025,99.3086,778.31875,409.38,392.0875,67.5534,332.63175,367.8295,249.66,4.54334999999999,3.52719999999999,2.78274999999998,2.561475,2.951975,4.2517,1.47925,3.15024,2.76423,1.876263,9.76675750000001,1.854
1,14.75,3.187055,127.83075,144.021,17.1735,5.2495,4.019175,9.968,12.2805,11.4034,6.77375500000001,10.252685,426.1485155,9.9537,88.37,13.36925,0.53925625,13.8853,13.199925,13.55765,99.2221,681.4205,358.648,336.5925,61.72345,330.921,366.848,203.80175,4.6454,3.6505,2.86865,2.5548,2.93885,4.282775,1.4710985,3.1853,2.63882,1.85328,9.57654,1.7396
1,15.25,3.17132499999998,114.8265,109.9355,16.173,4.9932,5.02259999999997,9.4405,10.86125,10.858815,7.252725,9.69001000000001,425.92834375,9.9841,88.37,12.991525,0.620143,13.741,12.822,13.214,98.916425,524.73,297.29708125,252.87775,50.583,331.23075,364.2205,128.208,4.50835,3.7309,2.9493,2.735525,2.99155,4.287575,1.50438175,3.178665,2.633385,1.8472505,9.39999,1.3281
