DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,PA_1_1_2,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,LW_IN,LW_OUT,PPFD_IN,RH,G_1_1_1,G_2_1_1,G_3_1_1,SW_IN,SW_OUT,TA
1,14.75,-0.0204,-6.34081,1.605455,0.143379,3.104995,0.2263855,0.420505,100.01145,0.1432420755,431.2155,5.022135,0.9475725,0.8940405,0.3181925,0.2480285,293.507,308.5335,141.65,84.80685,-0.0402,-1.18152,-1.52863,96.27275,64.75815,-0.44605
1,15.25,-0.0167,-4.984085,2.241315,0.3197595,2.99042,0.2597135,0.158235,99.9672,0.1508164905,430.7455,4.98063,0.974521,0.846065,0.3189895,0.2519085,295.7365,306.8435,126.895,83.8433,-0.0406,-1.1794,-1.526,74.0150833325,49.7733,-0.78039975
1,15.75,-0.0042875,-5.56635,1.08486025,0.1942055,3.7355825,0.250186,-1.568,100.481625,0.15238530025,430.60275,4.6173475,0.820413,0.81796275,0.35965175,0.28838075,291.53925,301.6425,96.529325,83.959325,-0.038825,-1.175815,-1.59553,60.0225833325,41.18595,-1.06175
1,16.25,0.0022105,-2.1991475,1.8779375,0.13545075,3.5294025,0.2148895,-1.61603,100.471875,0.128897425,430.59675,4.63432,0.861635,0.79982225,0.340983,0.54501025,283.4705,296.39325,40.674775,84.1183,-0.0391,-1.1730475,-1.6809,26.5925,17.9528,-1.225
1,16.75,0.00527371,1.1068975,2.4215225,0.18728825,2.983425,0.18162625,-2.650705,100.464125,0.13562794625,431.22575,4.264355,0.86625125,0.75908475,0.29930725,0.64769325,282.636,292.668,16.690475,85.4517,-0.03925,-1.1698525,-1.7745,9.61659999975,5.85218,-1.7320925
1,17.25,0.00335,-2.78423,1.31244,0.161567,2.31558,0.141819,-2.80948,100.976,0.1061095865,432.591,4.65001,0.771671,0.576725,0.238591,0.531811,283.82,293.733,3.09097,88.55,-0.0362,-1.16487,-1.7907475,2.647641667,1.40887,-1.94175
1,17.75,0.00357,0.190365,0.84115225,0.316359,1.7148975,0.13710475,-2.4959545,101.11175,0.1032281635,435.28525,4.7208175,0.54384775,0.591097,0.23338825,0.46381025,286.25975,294.66425,0.145875,88.055825,-0.028075,-1.15567,-1.8884825,0.07875,0.32138325,-2.401
1,18.25,0.004715,1.73071725,1.3482445,0.13139075,1.34005,0.09279225,-2.8345475,101.08325,0.10482936475,436.85925,4.655865,0.58623825,0.4950075,0.1796515,0.4837795,284.4205,293.918,0.097275,88.485825,-0.029125,-1.159825,-2.0040975,0,0.355258,-2.2255
1,18.75,0.0061265075,4.0266325,2.2072325,0.0506,1.838205,0.157934,-3.3785925,101.0865,0.11149023025,437.021,4.379425,0.73210425,0.65287675,0.219373,0.54474,283.57175,294.06,0.1094335,89.7658,-0.027875,-1.158365,-2.14924,0,0.2671585,-2.60275
1,19.25,0.0047925,-1.923476,0.8053765,0.47813025,1.42489,0.10003375,-4.1201375,101.09625,0.1102216915,436.0375,4.22457,0.5194005,0.537034,0.19247325,0.69272475,284.85475,294.21075,0.10150025,91.925825,-0.02864175,-1.16799,-2.3223975,0,0.22742525,-2.59425
1,19.75,0.00832715,4.399635,0.72788,0.0748,1.002304,0.1224635,-4.3223475,101.08475,0.10871545025,435.512,4.263725,0.50335325,0.5206075,0.16098675,0.55744325,273.342,292.2125,0.11524975,91.14915,-0.028175,-1.167875,-2.3398975,0,0.43231675,-2.751
1,20.25,0.0042724,2.0600125,1.2224175,0.0903195,1.352125,0.1000585,-3.7588475,101.0665,0.10947592325,436.285,4.276265,0.512781,0.4754265,0.165109,0.601636,278.45775,292.4855,0.112,91.868325,-0.02863325,-1.1594675,-2.3195725,0,0.3207665,-2.7689
1,20.75,0.0057450675,0.213102,0.82339925,0.079925,1.0903725,0.115663,-4.26143,101.0485,0.1211468975,437.27625,4.323535,0.5350435,0.5320795,0.15413125,0.573018,290.65525,295.958,0.13241675,92.285825,-0.02888325,-1.1632275,-2.300845,0,0.32496675,-2.7394175
1,21.25,-0.0044,-0.84105075,5.8069575,0.2521005,2.4785425,0.16962275,3.23784,99.87205,0.10944544275,432.698,3.6992825,0.8970095,0.92974975,0.331136,0.9386325,276.8935,308.567,0.107216675,84.422525,-0.23447475,-0.772483,-0.494442,0,0.87575825,-2.75075
1,21.75,-0.00159,-0.31657,0.85704,0.241934,2.3556,0.155747,1.01917,99.8977,0.103693164,433.472,3.77572,0.755898,0.79861,0.294019,0.79647,276.313,304.13,0.1009,84.64,-0.2405,-0.788267,-0.514533,0,0.9589,-2.7065
1,22.25,0.00702503,0.211219,1.59949,0.0525631,2.06838,0.173908,0.675579,99.9434,0.10660458125,433.668,3.646,0.630956,0.969267,0.271731,0.350013,274.93,300.32,0.101933,85.3,-0.240967,-0.787867,-0.515033,0,0.8612,-3.09475
1,22.75,0.01349916,1.3858085,2.923935,0.1012105,1.59477,0.1528175,2.032934,100.05425,0.10354723275,434.1165,4.289005,0.741445,0.828636,0.219284,0.583147,279.005,303.5265,0.0960165,83.22165,-0.2447835,-0.7763165,-0.515033,0,0.9479,-3.28134999975
1,23.25,-0.0175,-2.561915,1.79472,0.4501525,2.280625,0.171973,2.2680105,100.073,0.10278788925,433.4605,4.137765,1.1990435,0.9163265,0.2418365,0.5961985,280.867,304.245,0.1101335,83.4733,-0.245083,-0.775383,-0.515033,0,0.9646665,-3.4724
1,23.75,-0.0232,-3.38072,4.17108,0.144928,4.6953,0.231203,3.98529,100.099,0.104504093,432.607,4.64745,1.47851,1.37052,0.338326,0.355006,281.93,312.363,0.1148,84.8833,-0.242133,-0.764567,-0.515033,0,0.414,-3.324
2,0.25,-0.00351,-0.606194,4.87543,0.24246,4.79454,0.268026,4.22861,100.098,0.108985963,434.151,4.53343,0.887781,1.12871,0.346561,0.389253,283.463,311.923,0.0845,85.32,-0.240367,-0.7633,-0.4846,0,0.311067,-1.49975
2,0.75,-0.0091,-0.1154,1.9118,0.163518,3.81057,0.225105,4.172,100.082,0.102086858,434.227,4.43989,0.836657,0.895295,0.329625,0.415327,282.923,311.753,0.0859,87.75,-0.240533,-0.7639,-0.4826,0,0.4528,-2.14775
2,1.25,-0.00841,0.394119,0.577617,0.147121,3.51942,0.221502,3.93264,100.06,0.11577473225,434.658,4.37215,0.865835,0.98619,0.338066,0.555014,281.33,310.657,0.113133,87.4633,-0.2392,-0.7632,-0.482067,0,0.4354,-2.2375
2,1.75,-0.0098,-0.584392,4.7524,0.334585,4.0076,0.252647,3.8633,100.074,0.11768575125,434.692,4.30385,1.25616,1.06983,0.364627,0.427563,283.473,308.843,0.105467,87.17,-0.238867,-0.763767,-0.4814,0,0.5341,-2.1632
2,2.25,-0.0076,-3.57596,6.53608,0.81531,4.59224,0.264642,3.17178,100.074,0.10206633475,432.997,4.32349,1.18351,1.18497,0.390077,0.396806,285.86,307.16,0.116667,86.81,-0.239667,-0.762567,-0.479233,0,0.754833,-2.383
2,2.75,-0.00529,-3.06067,14.2297,0.423216,4.4274,0.245363,3.77535,100.079,0.087792984,433.012,4.34005,1.29157,1.01253,0.340932,0.427874,286.117,308.02,0.1022,86.53,-0.239367,-0.7628,-0.480633,0,0.247667,-2.52825
2,3.25,-0.000475,-1.39987,7.14738,0.389779,4.20515,0.272094,3.71153,100.109,0.10345525175,433.331,4.36566,0.949092,1.02055,0.354805,0.419834,286.98,309.86,0.0948,87.9167,-0.240667,-0.762,-0.480033,0,0.0684667,-2.6945
2,3.75,0.00624,0.922225,7.27303,0.47358,4.16677,0.270888,3.74856,100.107,0.10193374225,433.644,4.24162,0.979183,1.08488,0.398754,0.431044,287.663,311.163,0.1064,91.9533,-0.24,-0.761533,-0.479033,0,0.3959,-3.0018
2,4.25,0.00539155,0.7404025,7.032504,0.45478405,4.1831295,0.2681772,3.418045,100.081425,0.09241065975,433.5788,4.229373,0.9831852,1.08376105,0.39569925,0.41864025,287.56605,310.89035,1.789245,91.51847,-0.24012165,-0.764323,-0.48243635,0,1.3062185,-2.8485
2,4.75,0.0045431,0.55858,6.791978,0.4359881,4.199489,0.2654664,3.08753,100.05585,0.09175431325,433.5136,4.217126,0.9871874,1.0826421,0.3926445,0.4062365,287.4691,310.6177,3.47209,91.08364,-0.2402433,-0.767113,-0.4858397,0,2.216537,-2.79825
2,5.25,0.00369465,0.3767575,6.551452,0.41719215,4.2158485,0.2627556,2.757015,100.030275,0.085057187,433.4484,4.204879,0.9911896,1.08152315,0.38958975,0.39383275,287.37215,310.34505,5.154935,90.64881,-0.24036495,-0.769903,-0.48924305,0,3.1268555,-2.87425
2,5.75,0.0028462,0.194935,6.310926,0.3983962,4.232208,0.2600448,2.4265,100.0047,0.09573772975,433.3832,4.192632,0.9951918,1.0804042,0.386535,0.381429,287.2752,310.0724,6.83778,90.21398,-0.2404866,-0.772693,-0.4926464,0,4.037174,-3
2,6.25,0.00199775,0.0131125,6.0704,0.37960025,4.2485675,0.257334,2.095985,99.979125,0.091855884,433.318,4.180385,0.999194,1.07928525,0.38348025,0.36902525,287.17825,309.79975,8.520625,89.77915,-0.24060825,-0.775483,-0.49604975,0,4.9474925,-3.00525
2,6.75,0.0011493,-0.16871,5.829874,0.3608043,4.264927,0.2546232,1.76547,99.95355,0.08225394275,433.2528,4.168138,1.0031962,1.0781663,0.3804255,0.3566215,287.0813,309.5271,10.20347,89.34432,-0.2407299,-0.778273,-0.4994531,0,5.857811,-2.651
2,7.25,0.000300850000000001,-0.3505325,5.589348,0.34200835,4.2812865,0.2519124,1.434955,99.927975,0.0670044795,433.1876,4.155891,1.0071984,1.07704735,0.37737075,0.34421775,286.98435,309.25445,11.886315,88.90949,-0.24085155,-0.781063,-0.50285645,0,6.7681295,-2.545
