DOY2,HR2,TAU,H,LE,FC,CO2,T_SONIC,TA,PA,RH,VPD,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,NETRAD,G,TS,PPFD_IN
1,15.25,-0.15077189975,-6.11895295225,-0.48287681725,-0.09171001825,243.035869375,10.3020206725,9.21184255925,91.1753088975,29.710554165,4.4721794215,1.66533038675,0.1486123935,0.5035396605,0.4221596775,0.1620305945,0.18901260225,39.918657665,11.3457939675,13.218925,347.1242
1,15.75,-0.09791941625,-23.477381795,-2.22500622775,-0.17695811325,242.434047475,9.3560527615,8.4464922265,91.165525645,32.776969085,3.718855173,1.17303886375,0.0754090935,0.35959225475,0.31440529625,0.08133423775,0.262053726,-5.7472111915,-20.0406659875,12.72737875,200.82035
1,16.25,-0.10278091575,-26.3904271175,-1.072584752,-0.3427274475,242.598363575,8.2034323015,7.30153746675,91.1424135775,36.31858144,3.0808170605,1.0134135235,0.0679946235,0.335427499,0.32120909725,0.063796869,0.2636834525,-46.261270385,-34.7632451975,11.94774375,92.53789
1,16.75,-0.09140793025,-25.123372975,-0.989240556,-0.15174549625,244.109404225,7.447586165,6.639053588,91.13441538,40.98025062,2.689795529,1.17221333325,0.0798045245,0.36900539825,0.3361840175,0.0753789545,0.24889770025,-86.5989008675,-46.1379699375,11.49514625,15.641815
1,17.25,-0.10767877125,-27.8495765275,-2.42684617525,-0.28471683875,244.491065825,6.6650248235,5.94233806625,91.1402193575,43.63186034,2.364979189,1.2635399335,0.091544245,0.36482382075,0.34885189025,0.1036859185,0.27066659225,-87.6991573175,-61.9485098475,10.64526125,0.273270825
1,17.75,-0.125354044,-29.54411684,-1.4075686195,-0.37459798975,246.01758875,6.3088148505,5.63843927575,91.1541541825,49.4234071575,1.40411240775,1.5117705665,0.1115161445,0.416208809,0.3946512415,0.11895232675,0.24512556125,-84.2151401925,-66.75375975,9.874022,-0.08608849
1,18.25,-0.10126765475,-26.2413099775,-1.712896648,-0.24387057725,246.798047225,5.59252774675,4.89054497275,91.1901605625,53.2392271225,1.06346354575,1.551218711,0.11364417325,0.4164668735,0.3681554695,0.1284369555,0.2394320665,-80.5806703925,-65.2652030575,9.122457875,-0.08233744
1,18.75,-0.15608829275,-29.5307354575,-1.91542474575,-0.31729044825,245.8039313,4.73290905875,4.166798967,91.2449244025,54.7890012875,0.9345333265,1.637139069,0.125484632,0.4056674085,0.36662646025,0.1406018815,0.2340933295,-79.3066215725,-58.9416418875,8.483039875,-0.0787592425
1,19.25,-0.12221370225,-32.2846815275,-1.9387328635,-0.41053285575,245.8318327,4.30928046825,3.742108767,91.2649836375,57.23135968,0.89716995825,1.57461364875,0.123136813,0.3979755505,0.370368918,0.132521263,0.24791545,-76.5139240175,-56.926231645,7.897024875,-0.077368295
1,19.75,-0.1059375805,-32.0817629525,-1.415934234,-0.2243616265,245.724777875,3.86769868375,3.317871608,91.2711663325,59.8564805175,0.69706580675,1.46420207475,0.116121758,0.366596838,0.3726431185,0.13150543025,0.237813131,-75.23914481,-54.0939002025,7.381286125,-0.074996125
1,20.25,-0.108453547,-30.43546731,-1.773166305,-0.43312483675,246.312908675,3.368739877,2.706755516,91.2998170325,62.1324810925,0.4093469035,1.46989523475,0.11755027,0.359804243,0.40196107875,0.12863027675,0.24241823525,-72.460570225,-51.8255166475,6.76833925,-0.0707651675
1,20.75,-0.09487708,-32.443862355,-1.488696226,-0.28409611175,244.449882275,3.21395155675,2.55080734725,91.3171608175,61.98063227,0.2707015945,1.49553368925,0.11288452425,0.39481770225,0.373240276,0.11969355275,0.25185091275,-71.1553696975,-49.42236085,6.27383825,-0.068177045
1,21.25,-0.09087655625,-32.3673899625,-1.577574953,-0.299602247,244.3365257,2.881511845,2.385476344,91.2886235575,61.8671624525,0.217895238,1.499453026,0.10759779125,0.347862167,0.38862423425,0.11360246025,0.23489930025,-69.4017096375,-47.863125545,5.835835125,-0.0631701675
1,21.75,-0.08521409675,-29.542053875,-1.38917131,-0.4196468375,244.7135644,2.88084601475,2.222550116,91.26797637,62.008480465,0.09712047325,1.249943498,0.09331719075,0.3309780985,0.34911540775,0.1023374365,0.246219504,-69.442989945,-46.3624672525,5.415913125,-0.0616742025
1,22.25,-0.124020127,-31.560707125,-1.81205504,-0.268199624,246.8892735,2.6249035185,1.8508684825,91.26576508,63.83971276,0.01131643425,1.2902079445,0.095348711,0.3585916155,0.3413260985,0.1033887445,0.2391029045,-68.633975455,-44.72093158,5.083306375,-0.0585944075
1,22.75,-0.1015702665,-30.386845925,-0.809042211,-0.317834648,246.6097126,1.92889536,1.4334230665,91.2289985175,67.82612641,0.130983334,1.3214808095,0.0925102215,0.340721919,0.3727395635,0.1019564055,0.267680962,-69.0258798175,-43.5855492525,4.7991205,-0.0629324175
1,23.25,-0.1340609105,-28.573519975,-1.59537089,-0.664311658,248.4262053,1.715335475,1.2210806515,91.220082425,67.739661465,0,1.118647276,0.094357785,0.395433011,0.399488037,0.0979681405,0.243006891,-67.3665260775,-42.694196375,4.58095725,-0.05955515
1,23.75,-0.1013968505,-28.07739059,-1.4659482025,-0.132661457,248.8424941,1.389497814,0.814013859,91.191302765,66.4157617575,0,1.2068344485,0.0870508565,0.356505942,0.391640462,0.093659599,0.2603904285,-67.8815158275,-42.1871098,4.30156225,-0.0556793
2,0.25,-0.09927851,-29.790821365,-0.9107607495,-0.297708514,256.64121975,2.78158971675,2.1450771455,91.47022918,59.89509195,0.315154429,1.3677721,0.10973820725,0.37553105375,0.39286889375,0.13414347625,0.229360113,-70.02508645,-49.05513302,6.99993,-0.06425676
2,0.75,-0.09936212825,-30.9867881475,-1.05002181775,-0.2751884345,255.675068,2.080863593,1.60110879275,91.47701709,59.87860677,0.1939194365,1.379669667,0.11144047075,0.408741953,0.403518205,0.1239310975,0.240758538,-69.85983617,-48.59836939,6.6828185,-0.06177397
2,1.25,-0.09822900475,-30.94422919,-1.0113581175,-0.234536935,257.1594976,1.71932361025,1.0827661995,91.47035252,60.44499884,0.08985978,1.42857812575,0.1056895835,0.38808852875,0.3877201995,0.11844665025,0.23890479125,-69.2366019,-47.977066,6.2812755,-0.06045501
2,1.75,-0.0967078095,-32.164953185,-0.7690085985,-0.322627528,259.6760553,1.6205097625,0.982114353,91.4540464,62.7317995425,0.14985967525,1.48010251925,0.11661777025,0.41530499425,0.38206279375,0.13134146475,0.2489550115,-69.34173638,-46.92090167,6.023868,-0.06004967
2,2.25,-0.11295517725,-28.9329631325,-0.97929627525,-0.2504567405,264.4849803,1.434171736,0.897265922,91.45282925,64.85203914,0.0299512065,1.4059014055,0.11241358925,0.39265919375,0.3977380485,0.124625511,0.26911217225,-69.69709318,-46.5892485,5.7918745,-0.05952806
2,2.75,-0.126736135,-27.74496678,-0.5708241745,-0.169891555,264.1495781,1.04095158225,0.50624441075,91.46281246,66.13434392,0,1.369366108,0.10556313725,0.44267858225,0.402206255,0.114718367,0.24085235775,-67.88596416,-46.73166715,5.579468,-0.05926846
2,3.25,-0.10812152775,-28.15237186,-1.06855703875,-0.496199064,264.4608043,1.26723861175,0.683110613,91.47445033,67.4255860575,0,1.24137393875,0.08962698825,0.4109099205,0.40354031025,0.097991257,0.26619581125,-67.57893403,-45.37777497,5.42998,-0.05705404
2,3.75,-0.11923326875,-27.5258107075,-1.520164744,-0.320737148,266.0317987,0.92057745425,0.359494592,91.49202456,67.58710543,0,1.34747248825,0.09692807575,0.36261035325,0.39248868,0.10799081,0.25657187525,-66.69507397,-44.63836223,5.1462775,-0.05735301
2,4.25,-0.10633519625,-32.8027844325,-1.27198632025,-0.392036761,268.92289705,0.56332667325,-0.0254749225,91.5181097,68.11151793,0,1.37485434925,0.096957065,0.400467138,0.39643713675,0.115174578,0.25574208875,-66.39074414,-43.57537219,5.0056725,-0.05553273
2,4.75,-0.090189062,-28.039792275,-0.8053910055,-0.403158999,270.38618675,0.503412594,0.1102274625,91.52850722,68.789031355,0,1.3087398635,0.09631329025,0.3529822775,0.383256653,0.11033528825,0.25399805,-65.59083264,-43.01066149,4.8057235,-0.05954563
2,5.25,-0.119220427,-26.7680988175,-1.2829198065,-0.305949673,273.21411365,0.4379053505,-0.19839590325,91.54454459,69.88524197,0,1.345946297,0.09528227275,0.370929187,0.3730491815,0.108072896,0.2481836715,-64.00019662,-43.77339228,4.69513,-0.05842732
2,5.75,-0.11102089,-23.9998540675,-0.790849624,-0.2933053845,270.9794724,0.59824524925,-0.041610076,91.5800901,68.583707135,0,1.3787890345,0.0987987935,0.34993275,0.38397378925,0.10813710175,0.25301469225,-64.82587923,-43.44618326,4.6215335,-0.05250023
2,6.25,-0.1052771675,-17.0506314075,-0.63225729825,-0.30566538,268.24673805,1.02989807325,0.49382953075,91.62275765,66.49825375,0,1.2855266305,0.1144588855,0.41032258975,0.4020028175,0.136529665,0.25038388175,-64.16456431,-42.40535512,4.231049,0.1483891
2,6.75,-0.1738059035,-1.92832804125,-0.217128497,-0.626887419,262.0923713,2.848775915,2.13319514375,91.63962888,62.47223626,0.4438673095,1.34069215775,0.143430355,0.4821429425,0.39737641725,0.1564761695,0.31223442475,-50.42280869,-43.83477576,3.9936915,15.06427
2,7.25,-0.177684434,11.66027539,1.27181732525,-0.580874907,257.8945209,3.86979736075,3.33808234825,91.60943617,54.76487062,0.88883528425,1.019685365,0.13714010275,0.4519051525,0.470348444,0.16064997075,0.30455912075,-15.34755467,-42.43000584,3.875445,97.1234
2,7.75,-0.20085127875,23.8079025225,1.67468134775,-0.9270621445,252.1864744,5.45379784175,4.59189048075,91.61836644,50.548240305,1.34468437975,0.990278824,0.144109538,0.4811779305,0.46354042375,0.17559091375,0.40342921625,25.96609589,-18.18184062,4.186492,249.3982
2,8.25,-0.196526641,41.8910881475,4.1939073925,-0.7201100985,253.72610835,6.49333815125,5.724576468,91.6228319,47.60355539,1.824403786,0.9180182205,0.137211876,0.53192968375,0.48821034625,0.1881221555,0.4680174665,82.41073079,9.843024291,4.78596,454.3017
2,8.75,-0.23656640025,58.1922996425,6.07533478325,-1.158111183,252.1509447,7.63841651525,6.96922951825,91.61795529,45.2358387425,2.4778397855,0.80083857475,0.15959413325,0.60211852825,0.58349031825,0.21313461425,0.52780753525,131.2406428,37.80984878,5.793453,611.5923
2,9.25,-0.2361459845,83.612785825,9.434346851,-1.35353852675,250.8257009,8.476809297,7.8245345035,91.59653938,41.7378409625,3.232389583,1.0446273425,0.1586007375,0.6841711425,0.7081889605,0.232172449,0.635104011,186.9586842,57.9418169,6.9971345,769.6045
2,9.75,-0.2166568285,102.9788582,7.6721113105,-1.18980350875,249.0958471,8.9245522565,8.2480484745,91.57283869,37.9400013675,4.03372366875,1.0125936635,0.2099344865,0.796538443,0.7829677135,0.257104065,0.713389011,224.8907952,70.11334524,8.385037,906.7961
2,10.25,-0.20229915825,110.223231325,8.764544202,-1.3694332885,246.61010695,9.40998976475,8.7056177045,91.55658997,35.74815544,4.526732086,1.09442658325,0.2021528325,0.89224576075,0.92880571725,0.266676165,0.74286365025,262.1781728,84.44630934,9.5875625,1028.044
2,10.75,-0.2085964755,116.924900325,7.592886769,-1.2983923215,246.41619155,9.7294534385,9.117999243,91.55282778,34.4755860125,5.05548794075,1.359528998,0.21181448,0.88862660825,0.88809232275,0.2753902465,0.73456980775,290.7861786,109.58248,10.9986275,1142.375
2,11.25,-0.18124598375,133.4899267,8.18944253925,-1.375233813,244.2615012,10.1533900825,9.466382638,91.50647659,32.6111732575,5.49746819425,1.31479857925,0.21494850225,0.95563640425,0.97735673875,0.2899338075,0.7935136345,295.4699551,112.8282471,12.511285,1140.41
2,11.75,-0.19914193325,132.56182635,8.257688376,-1.424532309,244.51427455,10.61038209,9.89948992575,91.4624761675,31.8495867775,5.74684746475,1.54658794925,0.21746481425,0.983137197,0.97588120875,0.2913261445,0.811372654,309.0998931,109.390621025,13.724971,1224.76075
2,12.25,-0.201990492,122.3854209,6.797107285,-1.37793828725,243.991555475,10.79099232,10.384324,91.42898297,30.6628297675,5.753317093,1.545850621,0.244625715,1.030771232,0.963968703,0.292430708,0.745102677,310.721360625,102.841751225,15.137265,1248.713
2,12.75,-0.185211399,117.422504475,4.9511149165,-1.4803454,244.041415075,11.1411435275,10.354335345,91.4042276325,29.74048675,6.076944547,1.47492373275,0.22220346875,1.0036748135,0.9972354455,0.28746535775,0.73117561725,276.588679675,98.15685401,16.07706875,1047.8105
