DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
10,12.25,0.407205,13.242,1.0433,52.1595,64.0215,40.78625,98.820715,387.1075,7.6773,1938.725,435.7925,-8.057,-0.89508,-8.804825,14.28725,15.717
10,12.75,0.382895,13.69275,1.141075,47.975,63.564,39.183,98.786335,386.84,7.4205,1956.525,425.29,-7.58655,-0.671515,-8.0486,14.159,16.648
10,13.25,0.381725,13.9465,1.14395,42.792,64.125,38.1335,98.75135,387.315,7.43715,1950.2,390.185,-7.482475,-0.551915,-7.52405,14.244,19.74975
10,13.75,0.3922725,14.12,1.110625,37.25,62.778,36.5045,98.71258,387.0275,7.3518,1944.7,357.955,-7.2821,-0.567825,-7.3553,14.2945,14.77125
10,14.25,0.389,14.425,1.19415,25.0905,66.82975,35.1365,98.681795,386.245,7.34925,1944.975,308.385,-5.9318,-0.407635,-6.2978,14.3225,16.2525
10,14.75,0.38412,14.477,1.194075,25.5075,63.137,33.9785,98.6775375,386.695,7.46525,1970.5,309.555,-5.1486,-0.31654,-5.412375,14.3695,13.936
10,15.25,0.36763,14.149,1.10765,12.73275,48.3815,33.476,98.654005,387.065,7.42585,1941.95,228.835,-4.8304,-0.2337625,-4.54315,14.3265,10.7105
10,15.75,0.35899,14.679,1.16165,1.4258,47.202,33.2935,98.6615975,387.27,7.4738,1944.1,190.885,-3.9293,-0.19374,-3.9773,14.3605,10.97675
10,16.25,0.34152,14.635,1.08965,-8.311125,41.816,33.8185,98.6778,387.49,7.2843,1956.8,158.245,-2.625775,-0.1612425,-2.75105,14.369,8.44045
10,16.75,0.28716,14.349,1.07565,-20.7105,30.7995,35.1515,98.67899,387.38,7.40405,1954.825,95.8775,-1.5769,0.0172835,-1.38935,14.4605,7.34465
10,17.25,0.25322,13.897,0.94796,-31.339,21.156,36.3725,98.68248,387.96,7.4504,1940.15,29.412,-0.59649,0.1395,-0.35559,14.4195,5.35845
10,17.75,0.1811475,13.586,0.8306775,-41.741,13.73325,39.2635,98.68011,388.93,7.442,1954.5,0.5818,-0.00304425,0.385295,0.875515,14.561,2.1549
