DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_1_1_2,TS_1_5_1
1,10.25,395.8249054,-0.109042958,-7.219165,-6.1355,39.2026057,4.685853544,24.856467445,259.7,310.55,144.6,99.172124935,582.4,104.75,72.935,-0.008369427,1.185966776,0.202324716,328.2,90.4,-0.166568184,-2.342,-0.3505,0.025,0.3925,2.2835,3.466,-0.2,0.266,2.475,3.0005,2.3415,-0.9055,-3.2556123265,0.370668673,0.931693911538877,0.749537215,0.815914523415216,4.1335457075,0.401903155808362,-1.787365,3.5085
1,10.75,397.4070349,-0.17983427,-7.016,-5.955,45.9872651,4.646676391,27.259833175,256.55,311.95,172.8,99.13750992,658.25,111.7,72.04,0.012021278,1.331584736,0.214032495,381.050150973361,98.4,-0.177399445,-2.0345,-0.3175,0.0165,0.4085,2.3,3.4,-0.2,0.2505,2.466,3.0075,2.317,-0.5955,-2.8897168125,0.374994965,0.964752283885608,0.8973296915,0.833579078696381,4.258629016,0.41569333849704,-1.399884,3.5165
1,11.25,396.7638835,-0.1303328725,-6.9745,-5.716,54.27326021,4.705117582,26.755376885,260,313.6,195.45,99.09851171,707.25,119.35,70.78,-0.009633655,0.9619262655,0.203463952,421.4,105.2,-0.187941925,-2.013,-0.3245,0.0175,0.383,2.2585,3.4,-0.2,0.242,2.4835,2.934,2.3245,-0.264,-2.841927602,0.390149323,0.9863618859222,1.020423145,0.874312501912217,4.298543959,0.428603104281805,-1.080695,3.551
1,11.75,396.6785263,-0.183122287,-6.864,-5.587625,56.289768405,4.786486848,28.538707895,257.5,315.75,196.7,99.08733875,721.85,117.6,70.62,-0.0210504185,0.631623182,0.164447913,419.45,105.75,-0.198459981,-1.8965,-0.3,0.009,0.392,2.283,3.4,-0.2,0.2585,2.4745,2.983,2.317,0.1705,-2.4502386495,0.3957813245,1.01229586324549,0.99843702,0.873229613339221,4.363934744,0.435002643080231,-0.89148645,3.517
1,12.25,395.79420635,-0.158174437,-6.839,-5.504,50.64153433,4.729485785,28.50240539,264.1,316.45,192.5,99.066430615,730,119.15,69.98,-0.013916971,0.593350992,0.1365027715,389.508331274964,100.789961699353,-0.198269304,-1.53,-0.3005,0.009,0.367,2.282,3.3665,-0.2,0.2585,2.4595,2.967,2.3085,0.3605,-2.203097607,0.414570911,1.05509082692565,1.02355282,0.899243810938004,4.432819722,0.443563222904172,-0.53414875,3.524
1,12.75,396.2790253,-0.151809665,-6.8005,-5.45,53.585016565,4.660522669,27.79025763,263.65,316.8,173.216182017851,99.04059562,634.45,111.3,70.175,0.007397988,0.684468353,0.1424720465,371.725295441568,97.55,-0.2119157,-1.387,-0.308,0.0165,0.4,2.267,3.367,-0.2,0.2755,2.4995,2.9415,2.3075,0.441,-2.086811623,0.411423457,1.0422683522011,1.047703379,0.872741878220588,4.520160647,0.447559049735339,-0.43362595,3.4835
1,13.25,396.3114386,-0.103246231,-6.7275,-5.467975,46.22119132,4.679599908,27.09891177,264.35,316.8,165.2,99.017709085,614.4,107.2,69.41,-0.004456164,0.421783915,0.138105398,353.45,92.1979271256004,-0.209858131,-1.021,-0.3,0.017,0.383,2.233,3.4,-0.2,0.2745,2.4835,2.982,2.318,0.234,-1.932337169,0.4147413115,1.03836535982725,1.025222003,0.882938633003737,4.516771606,0.449656594956651,-0.4244713,3.509
1,13.75,395.8131583,-0.060244909,-6.581675,-5.39425,41.87145039,4.7110648635,25.72685636,263.611078907736,315.65,140.85,98.99992527,536.2,94.65,69.15,-0.011413197,0.404853629,0.1216144215,326.55,78.425,-0.215286735,-0.8705,-0.3,0,0.4,2.25,3.4,-0.2,0.267,2.4995,2.95,2.3245,0.3225,-1.489754139,0.415310295,1.06368134937114,1.0819798555,0.891515979666097,4.406794694,0.447252017323567,-0.233281645,3.525
1,14.25,396.0502831,-0.001990606,-6.4755,-5.270435,33.41735917,4.6695772935,22.11713135,257.781268133831,314.95,116.13305259974,98.97558673,475.75,85.4,69.325,-0.007505776,0.2222756305,0.077305286,285.05,71.64,-0.201311792,-0.804,-0.3,0.025,0.4,2.283,3.4255,-0.2,0.2915,2.458,3.017,2.3165,0.306,-1.065799766,0.402778502,1.04300267880768,1.126541984,0.864713752637253,4.452111336,0.44379457973256,-0.19331985,3.499
1,14.75,394.83397245,0.147251699,-6.341,-5.127565,23.97123004,4.647451715,17.70223928,257.55,314.5,88,98.97650539,384.6,68.45,69.53,-0.0107599565,-0.080946227,0.02344072,218.842156845888,57.88,-0.1870996245,-0.742,-0.3,0.017,0.417,2.275,3.45,-0.2,0.275,1.918,2.925,2.3085,0.1625,-1.054551516,0.388238276,1.02727836782442,1.0852566365,0.860071073807276,4.297120979,0.423394578378137,-0.3008604,3.491
1,15.25,394.0756204,0.1917580855,-6.2465,-5.12855,12.134041305,4.645931918,14.99686754,257.036651927456,312.7,41.6867951148334,98.973399465,261.25,44.99,70.355,-0.0322265255,-0.2652476865,0.0013478915,139.85,41.835,-0.177927473,-0.8175,-0.3,0.0415,0.398,2.267,3.45,-0.2,0.2585,1.9,2.9,2.325,-0.2405,-1.2202012465,0.376565056,0.970608305867839,0.9878915685,0.782873047660059,4.0879994505,0.418456811177743,-0.39992075,3.5255
1,15.75,393.9023375,0.274490211,-6.1695,-5.15205,3.1002198235,4.6669299065,12.59843115,257.6,310.15,10.935,98.998338255,156.95,30.55,71.915,-0.019156764,-0.417870598,0.0161125835,85.2,27.21,-0.161583432,-1.1185,-0.3,0.033,0.4,2.2835,3.45,-0.2,0.2915,2.458,2.9415,2.317,-0.781,-1.404378649,0.360319793,0.961730612478779,0.872562701,0.725858003179106,3.9997964315,0.402716029921876,-0.5863947,3.515
1,16.25,394.0001016,0.376671015,-6.278,-5.269,-2.858702141,4.5690488805,10.28616607,262.1,308,-8.29,99.05157453,62.3,13.29,72.775,-0.034204237,-0.4952867905,-0.07255952,32.51,12.76,-0.146738529,-1.1635,-0.3,0.0415,0.4,2.25,3.5,-0.2,0.291,2.451,2.95,2.317,-1.265,-1.5179416415,0.3408526795,0.911369246328718,0.852074326,0.707595461126576,3.8725257405,0.388857119011074,-0.76712875,3.4915
1,16.75,393.2278051,0.409941483,-6.2065,-5.3365,-9.717053976,4.578901503,7.01357997,262.1,304.1,-36.14,99.03992314,10.555,3.0345,74.79,-0.01812183,-0.7648736,-0.061287018,5.65,2.7865,-0.127970757,-1.659,-0.3,0.042,0.401,2.2495,3.459,-0.2,0.2505,2.458,2.9335,2.318,-1.9925,-1.756954755,0.32277758,0.844505691514273,0.762545839,0.662649134157738,3.702061115,0.363700202089578,-0.90514095,3.4755
1,17.25,392.2723428,0.4123605025,-6.142,-5.44456,-13.472698685,4.656196003,4.6884016795,259.3,302.4,-41.62,99.03684667,0.3915,0.129,76.01,-0.010572984,-0.7050815,-0.0375163535,-0.486,0.8375,-0.1142389635,-1.941,-0.3,0.083,0.4,2.268,3.448,-0.2,0.267,2.45,2.933,2.333,-2.195,-1.840234477,0.30494474,0.806906761732222,0.5763190175,0.607834249821355,3.528977049,0.348670590173927,-1.293905,3.5
1,17.75,392.439123,0.352177625,-6.1345,-5.420695,-14.94884148,4.7060266445,3.554279179,259,300.3,-38.81,99.05509147,0.002,-5e-04,77.405,-0.012241216,-0.545602611,-0.113685306,-0.9675,0.606,-0.11372456,-1.9955,-0.3,0.058,0.4,2.233,3.4585,-0.2,0.2915,2.4415,2.932,2.3245,-2.394,-1.8548852285,0.3069856835,0.800053048800609,0.526861215,0.57962893638853,3.4113285,0.345246706872174,-1.659321,3.492
1,18.25,392.78274655,0.319547535,-6.1655,-5.4655,-13.47045919,4.628327922,3.69190003,260.342795691035,300.25,-34.88,99.068918015,0,-0.001,77.935,0.00732734,-0.376589619,-0.0043720995,-0.926934699050342,0.6315,-0.109306738,-2.123,-0.3,0.0495,0.4,2.2835,3.417,-0.2,0.283,2.45,3.0085,2.333,-2.5185,-2.1171555025,0.292832025,0.791087149417798,0.531264589,0.564340440066962,3.26543108,0.338131476226928,-1.9003055,3.483
1,18.75,393.83065655,0.352658229,-6.2995,-5.5995,-13.87196471,4.601406526,3.244687894,261.3,299.6,-32.23,99.10210885,0,-0.001,78.555,0.00812627,-0.362080463,-0.037831272,-0.921,0.579605972773672,-0.1223349335,-2.2285,-0.308,0.0515,0.4,2.259,3.4,-0.2,0.267,2.458,2.984,2.3505,-2.6745,-2.527560742,0.307893005,0.808981615983948,0.537504645,0.588144929417911,3.255181228,0.35212200868449,-1.968754,3.4835
1,19.25,395.13793035,0.344277797,-6.311,-5.599,-12.76576306,4.60789517,3.419474323,261.3,300.1,-27.85,99.117303,0,-0.001,79.56,-0.002995171,-0.216347047,-0.0253625725,-0.793187716867333,0.6105,-0.119558738,-2.257,-0.3,0.083,0.4,2.282,3.4,-0.2,0.2665,2.4505,2.934,2.358,-2.8605,-2.73555894,0.314236683,0.798444880376849,0.519733869,0.605977970721709,3.220337999,0.342219235286388,-2.0000515,3.483
1,19.75,395.3200482,0.396884161,-6.4555,-5.601,-13.38804234,4.528973572,3.295115914,262.3,299.4,-25.5254580919912,99.090066955,5e-04,-0.001,79.335,-0.001919915,-0.20396058,-0.05428414,-0.727616925795771,0.655896563322634,-0.1110830945,-2.4035,-0.3,0.0675,0.4,2.2675,3.4,-0.2,0.2745,2.4495,2.9835,2.3585,-3.2555,-2.794828191,0.302901367,0.772392190969636,0.478060868,0.546783385201556,3.1850802755,0.336804107702127,-1.9769555,3.4835
1,20.25,395.352642,0.4281410365,-6.498,-5.676,-14.850329165,4.5198602705,3.291489958,261.730233505909,297.2,-26.21,99.08997992,0.001,-0.001,80.07,0.003511028,-0.137092805,-0.038993001,-0.942945710994807,0.587087624859997,-0.10949359,-2.299,-0.3,0.074,0.384,2.291,3.35,-0.2,0.2585,2.4665,2.9745,2.3585,-3.3615,-3.049212583,0.298392809,0.773338424624045,0.469024385,0.584461212571031,3.255157834,0.330682571358093,-1.8098535,3.483
1,20.75,393.9321936,0.326862565,-6.4955,-5.6805,-14.69150398,4.3369541275,3.582223148,261.5,297.4,-25.92,99.068378125,0.001,-0.001,79.79,0.003010581,-0.202707296,-0.0721323325,-0.798,0.627,-0.106174422,-2.221,-0.3,0.051,0.4,2.2825,3.384,-0.2,0.2835,2.4585,2.966,2.359,-3.512,-3.328156964,0.2910675005,0.764753007153046,0.491942824,0.566739529678732,3.348273804,0.333371546884877,-1.955757,3.4995
1,21.25,393.93854895,0.400881017,-6.498,-5.6795,-12.98538535,4.254045674,3.084617262,259.8,295.9,-25.93,99.04119308,0.001,-0.002,80.25,-0.00132075,-0.251910007,-0.0763792685,-0.737749069129354,0.599300605556516,-0.1075363465,-2.4285,-0.3,0.058,0.4,2.2835,3.4,-0.2,0.2915,2.482,2.95,2.3665,-3.874,-3.639345028,0.292058622,0.766488953605986,0.5007715115,0.564994767232405,3.286123904,0.329648992111306,-2.105107,3.484
1,21.75,393.6699863,0.370082651,-6.525795,-5.715,-12.55674652,4.254872178,3.55225444,260,294.5,-25.69,99.08401707,0,-0.002,80.8,0.0004673645,-0.256887706,-0.043123319,-0.938944908577018,0.636738445212842,-0.085733146,-2.9355,-0.3085,0.0585,0.4,2.259,3.366,-0.2,0.3,2.476,2.9,2.3675,-3.875,-3.684377529,0.265025323,0.716785287237399,0.4418095705,0.559687168872041,3.178671644,0.304548716956746,-2.176777,3.4755
1,22.25,394.67617915,0.339248321,-6.674,-5.749,-12.32437238,4.262533406,3.973314129,258.7,293.9,-24.3,99.08997992,5e-04,-0.002,80.6,0.010516446,-0.2424410765,-0.065403589,-0.8565,0.675370917652011,-0.099332752,-3.2315,-0.3,0.0495,0.4,2.284,3.3915,-0.2,0.3,2.5,2.9,2.351,-3.947,-4.104833966,0.277825654,0.717376187923742,0.426433677,0.552166818995854,3.218124215,0.312152039878006,-2.255264,3.4835
1,22.75,394.1683886,0.332898072,-6.68972,-5.748,-12.50264323,4.121594311,3.478573784,257.667022762349,292.6,-22.6993583218555,99.05814443,5e-04,-0.002,80.85,0.0046911095,-0.215349634,-0.0705747435,-0.9625,0.6925,-0.0961304335,-3.371,-0.3085,0.058,0.401,2.275,3.4,-0.2,0.3,2.424,2.9,2.35,-4,-4.355131109,0.276888527,0.723812092327836,0.413101931,0.565509129015615,3.169918202,0.313146015462436,-2.281389,3.4745
1,23.25,394.87760185,0.3602815075,-6.68672,-5.834,-8.153403728,4.080459703,3.159247652,259.9,293.45,-22.38,99.05881876,0,-0.002,81.4,0.005744507,-0.252397355,-0.056816881,-0.909952003534501,0.692749314215269,-0.097216981,-3.468,-0.308,0.0415,0.399,2.258,3.4095,-0.2,0.3,2.3915,2.95,2.3585,-4.426,-4.4358363475,0.281777755,0.717711430312554,0.403050296,0.593116423990558,3.03951936,0.323280878074897,-2.3001185,3.4835
