DOY2,HR2,LE,USTAR,TA_1_1_1,WS,FC,H,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
3,18.25,21.1101,0.6933,9.37687499999999,2.5902,0.8504,17.3250999999999,88.43555,394.8568,7.461,8.57074999999998,122.702975,88.245425,82.8708,39.2306,5.0116
3,18.75,9.13759999999994,0.73385,8.24727499999999,2.54895,0.654,10.9269,88.843,394.8914,6.5565,3.65015,53.05335,32.2539,37.62265,19.229,5.0046
3,19.25,10.3108,0.62385,6.7933,2.512,0.4367,12.8673,89.4331,394.9007,5.747,2.11229999999998,19.801225,3.670475,9.81687499999998,3.796,5.0087
3,19.75,8.08709999999998,0.73,4.94074999999999,2.6365,0.571099999999999,7.71209999999999,90.06615,394.9243,4.444,2.24042499999999,16.6676,0.107125,0.465725,6.00242499999998,4.7331
3,20.25,9.10579999999991,0.7373,4.36962499999999,2.79425,0.696699999999999,13.6836999999999,90.91585,394.9825,4.2045,0.574274999999992,14.8252,0.042225,0.3064,1.17905,4.5593
3,20.75,7.76239999999995,0.75785,3.83707499999999,2.77815,0.356399999999999,10.6291,91.61355,395.1512,3.8125,0.975099999999995,12.42375,0.0934999999999999,0.24565,4.128975,4.5673
3,21.25,14.5906,0.71055,3.36655,2.72575,0.5541,21.6566,92.8367,395.4601,3.6825,1.14019999999999,10.8264,0.149575,0.21655,1.0404,4.543625
3,21.75,8.83009999999999,0.67625,3.06247499999999,2.53435,0.4946,20.3816999999998,92.2102,395.8853,3.6155,2.84939999999999,12.5194,0.556049999999999,0.4135,1.5603,4.55555
3,22.25,13.1311,0.6321,3.012475,2.41725,0.6036,17.6212999999998,91.8825,396.0256,3.5575,4.06732499999998,7.2616,0.49645,0.215625,1.455775,4.54715
3,22.75,6.88439999999999,0.6388,2.57339999999999,2.32065,0.703199999999999,12.3172999999999,91.84135,396.4103,3.4095,2.43392499999999,7.8204,0.551275,0.263975,1.4386,4.5434
3,23.25,8.03549999999999,0.60915,2.50692499999999,2.33215,0.648799999999999,19.8198999999997,91.626,396.4398,3.2905,2.55902499999999,7.97059999999999,0.4147,0.292325,1.25725,4.538175
3,23.75,3.49599999999999,0.64885,2.30299999999998,2.4485,0.653899999999999,31.0766,92.4198,396.4913,2.992,1.7998,4.77049999999999,0.955949999999999,0.3372,1.56235,4.5214
4,0.25,29.411,0.751475,6.92315,3.021625,1.156,11.593,93.93905,409.834,4.8665,-0.747875000000014,7.344725,0.6865,0.212375,2.53655,5.921
4,0.75,24.711,0.741275,6.765575,3.119125,1.247,15.219,94.96635,410.17,4.705,-0.0745250000000047,7.13925,1.051,0.22745,2.595525,5.899
4,1.25,23.816,0.7422,6.48514999999999,3.068475,1.392,20.394,94.747125,411.602,4.6375,-1.02472500000001,9.606225,0.435100000000001,0.33025,1.930925,5.869
4,1.75,19.168,0.806925,6.453525,3.231975,1.3,25.377,94.5822,415.086,4.4785,-3.048175,8.88897499999999,-0.241,0.217,1.73915,5.979
4,2.25,18.172,0.773025,6.742625,3.06885,1.276,25.988,94.37445,413.848,4.24075,-2.029125,7.78897499999999,0.0455,0.224,1.900375,6.016
4,2.75,15.768,0.720275,6.7238,2.871325,1.08,15.478,94.1282,412.346,4.1505,-1.933775,7.58879999999999,0.182975,0.260025,2.408825,6.025075
