DOY2,HR2,FC,H,LE,TAU,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
2,7.75,18.3625,1.38517,6.98704,-0.267359,0.3765975,-3.80549999999999,99.106,100,0,3.209435,0.966128304522457,0.811675891707648,0.560504917434031
2,8.25,18.5261,6.20561,6.93924,-0.173251,0.358756,-3.87599999999998,99.1208,100,0,3.128285,0.891045217425307,0.719489847745594,0.534199397247885
2,8.75,25.5035,18.57225,7.599805,-0.2630835,0.423758,-3.44299999999998,99.1284,100,0,2.94909,0.977550474620147,0.789345848816553,0.537669973124778
2,9.25,19.6888,24.02295,12.5868,-0.2062005,0.409945,-3.10699999999997,99.128,100,0,3.04835,0.949178525345754,0.83388188612057,0.528608681221976
2,9.75,24.09975,41.6646,18.1471,-0.306528,0.452776,-2.32249999999999,99.1624,100,0,3.04592,1.02771104888485,0.918646304055919,0.596012583759773
2,10.25,20.0013,49.5564,16.56525,-0.2838905,0.484349,-1.93249999999998,99.14835,99.3724,0.04577572,3.343965,0.998521001496633,0.932938450671488,0.615549198891826
2,10.75,20.24995,52.109,19.5571,-0.3279045,0.499485,-1.37949999999998,99.14375,98.5553,0.0917967,2.97715,0.995761435459381,0.899094720814893,0.646741834119303
2,11.25,23.16165,62.9599,26.0772,-0.328089,0.529242,-1.74699999999996,99.1499,97.48855,0.18857505,3.37371,0.982559921836831,0.936988260332006,0.663574564089383
2,11.75,25.7074,122.6055,25.59015,-0.350515,0.5103225,-1.22199999999998,99.1567,96.3291,0.2730897,3.17652,1.14586522156814,0.994796342229481,0.665195486215549
2,12.25,21.6636,95.2552,19.9733,-0.445833,0.488573,-0.404999999999973,99.1403,96.21055,0.28424935,3.63063,1.18600043438913,1.0893304283303,0.695113659770832
2,12.75,23.2382,109.998,30.4147,-0.3752285,0.535732,-0.10899999999998,99.09775,94.268,0.4271245,3.70685,1.19136408720461,1.21454929912293,0.753521897710209
2,13.25,22.9208,128.5765,34.64915,-0.384385,0.543903,0.328500000000048,99.0622,95.79635,0.3867785,3.925125,1.25826070430575,1.12485110125741,0.720037768273159
2,13.75,22.16795,102.8865,26.9499,-0.39315,0.560726,0.763000000000034,99.0225,91.93645,0.6386625,3.6954,1.31218474899614,1.15432829939212,0.719649914889177
2,14.25,23.2384,92.8324,31.3142,-0.445837,0.514225,0.777000000000044,99.0182,87.7781,0.952946,3.93951,1.31325168950967,1.26155855987742,0.784462873563816
2,14.75,21.45205,98.12655,32.2829,-0.545373,0.559504,1.16300000000001,99.0166,87.0011,0.91018,3.59031,1.26129441436817,1.13194964552316,0.708920305817234
2,15.25,30.0893,104.436,32.9899,-0.388178,0.540451,1.34700000000004,98.9934,92.3108,0.612579,3.7194,1.28944582891955,1.21323071688515,0.733886839406502
2,15.75,30.8108,86.08455,36.3099,-0.3543455,0.532564,1.68200000000002,99.0133,90.9504,0.688653,4.03285,1.3161610843662,1.20968177633624,0.746265058845574
2,16.25,32.75795,64.55645,28.7378,-0.323312,0.51298,1.96200000000005,98.9989,90.325,0.791678,3.85031,1.29499806949663,1.09312119376129,0.725055170314646
2,16.75,29.92225,46.38725,20.83785,-0.2502525,0.4578335,1.79100000000003,99.0268,88.25535,0.9932545,3.671645,1.25123989885999,1.12344819906844,0.640328910157258
2,17.25,26.2172,35.0085,18.8617,-0.348739,0.51808,2.0505,98.98625,91.30085,0.6747375,3.97393,1.17112466723936,1.0490410094319,0.674269199746005
2,17.75,22.3958,20.6765,15.4913,-0.327464,0.488954,1.82250000000005,98.98515,94.4477,0.423278,3.993545,1.1764905439484,1.03247760266264,0.648043208435981
2,18.25,18.6723,14.1029,12.1588,-0.2513585,0.4634175,1.52900000000005,98.99695,95.2949,0.387604,3.759935,1.13688170009021,0.878193291911108,0.563869152517524
2,18.75,22.30295,5.38659,11.66585,-0.222838,0.417296,1.31650000000002,99.078,96.5822,0.354139,3.39983,1.05029043602234,0.763435000507574,0.547664130649434
2,19.25,14.35745,4.85148,8.83807,-0.179039,0.407337,1.13200000000003,99.13645,92.76495,0.7419405,3.56822,1.02610946094871,0.798318232285847,0.511946286244954
2,19.75,14.9849,15.013,7.759905,-0.316473,0.4747425,0.851500000000016,99.13885,95.5276,0.466456,3.3961,1.08472350766339,0.833195340988992,0.618852735974002
2,20.25,13.4685,-2.96338,6.8463,-0.2422865,0.4681055,0.521500000000032,99.11845,94.17555,0.5275395,3.328075,1.07595074236695,0.840762154238641,0.625283903346704
2,20.75,11.41495,-6.099405,7.525865,-0.22158,0.4208375,0.232000000000028,99.11485,93.0145,0.562011,3.330085,0.969283756182884,0.77541414427323,0.57168054689258
2,21.25,12.3734,-7.0737,7.91501,-0.211093,0.425236,0.0400000000000205,99.1386,95.4453,0.322043,3.44861,0.991532147739043,0.792128146198581,0.581407501128765
2,21.75,8.27644,6.49719,3.50561,-0.17229,0.427737,0.063000000000045,99.1448,97.4395,0.1670785,3.1026,0.980169326656073,0.845009509849804,0.55183016254839
2,22.25,11.0052,-5.17543,7.15387,-0.246941,0.44041,-0.0499999999999545,99.1598,98.6131,0.1586995,3.17865,1.01900448288447,0.782114953785702,0.574469320329641
