DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,FC_1_1_1,G_2_3_1,G_2_2_1,PPFD_OUT_1_1_1,TAU_1_1_1
1,0.25,0.117341042,-7.784478564,1.68205267625,0.086975,-0.0225,-32.327,-0.641390504,-0.80529995775,-0.13012641,-10.250495,0.33992675,0.6417915,56.285892785,97.50819996,356.09,0.620350975,-65.2254375,-0.015685308,-1.977185,0.3294545,218.058475,274.1356,3.60563332525,0.059,-11.06172,-10.7469675,-0.014698835,0.01082215175
1,0.75,0.1201041365,-7.779065594,1.731547908,0.0951,-0.0228,-33.4354105875,-0.76389723575,-0.7634812285,-0.1245233265,-10.3285,0.3413864,0.646185,56.4110817,97.49371059,356.970440875,0.6607585245,-64.7067425,-0.0114946955,-2.04084675,0.35390375,215.1931,273.8862,3.5603963605,0.05485,-11.01834,-10.7949375,-0.01792916,0.0148629175
1,1.25,0.12680981,-7.88395215975,1.752964493,0.097,-0.03135,-32.133356185,-0.8679728275,-0.90746517275,-0.13025815,-10.611805,0.351,0.6417077,57.230320535,97.499780665,356.815313375,0.6254457125,-64.5324025,-0.0109240965,-2.051746,0.25473895,214.83905,274.1284,3.546309009,0.107294989,-11.24617,-11.122365,-0.017898841,0.017583335
1,1.75,0.128942629,-8.0567818505,1.730257623,0.0003525,-0.03245,-32.367083745,-0.7729679325,-0.6466390745,-0.120228202,-11.0595,0.364077975,0.64375035,58.369843275,97.4972596275,357.16,0.5941836725,-63.8151725,-0.01086509,-1.992151642,0.3883123,214.0424,275.18395,3.53826,0.0757,-11.50143,-11.36032,-0.01856147,0.0140169575
1,2.25,0.136750421,-8.171312209,1.741526268,0.0287,-0.0376,-32.5592900125,-0.60111734975,-0.71268,-0.101943495,-11.25174,0.3475893,0.6437298,58.9743281225,97.49066328,356.36242865,0.578032875,-65.350125,-0.005344718,-2.0636055,0.40193605,215.73095,275.1697,3.5533662005,0.0457,-11.49397,-11.4635,-0.0244225045,0.022690345
1,2.75,0.13906056,-8.26039977,1.773273046,0.0655,-0.029775,-32.4360925,-0.658707112,-1.1414,-0.130083036,-11.29704,0.326854275,0.659485,58.489573325,97.504612375,357.0107429,0.56319145,-65.284485,-0.006978899,-2.08464169425,0.3572878,216.14725,273.878,3.55718777625,0.063,-11.59858,-11.66425,-0.027147085,0.0120763575
1,3.25,0.1392419035,-8.3655606025,1.767516148,0.05825,-0.024225,-31.6438,-0.663348226,-0.915056032,-0.13511874125,-11.46052,0.32509565,0.6559388,60.282530995,97.5002003425,357.57,0.5031338675,-65.1722325,-0.001366192,-1.9931785,0.35794,215.4308,273.0825,3.5657,0.037,-11.59948,-11.50693,-0.030151485,0.016958475
1,3.75,0.134263481,-8.552913476,1.878123223,0.09065,-0.02545,-32.954661555,-0.633880354,-0.919126902,-0.10901032275,-11.58032,0.31013965,0.6602495,59.768,97.51863485,355.388941225,0.489716695,-63.3501875,-0.0076327135,-2.05673725,0.26044015,215.6728,272.9194,3.54319,0.0666,-11.53909,-11.7939075,-0.03480248,0.0213111325
1,4.25,0.145351677,-8.6087411925,1.8318726545,0.06045,-0.020825,-30.742100575,-0.68521676675,-1.05080870225,-0.10049224,-11.61395,0.3014135,0.65097495,60.3031036475,97.51759162,357.49,0.485700257,-64.607,-0.0099904285,-2.0656,0.3253451,214.430525,270.7809,3.57227,0.0382,-11.5168,-11.794815,-0.037351005,0.0189052175
1,4.75,0.15641364075,-8.818772746,1.873793556,0.0956,-0.0299,-29.963067145,-0.614587719,-0.8068075,-0.084175,-11.735585,0.3018702,0.6432709,60.890389905,97.4985840425,357.70669415,0.500117865,-64.493165,-0.0102998045,-1.98449975,0.2866021,213.9759,271.1657,3.57927,0.0741,-11.68341,-11.967775,-0.04003045,0.0187635575
