DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
2,7.25,0.028,-11.7085,0.4406,-0.4206,-0.2602,-0.495375,-76.207225,-18.8827,-2.5114,-4.51345,-17.2025,-2.67775,-0.765,20.434,76.69,382.9968,-0.8925,-116.175,0.452,-1.7165,0.54625,165.325,244.45,1.4197,0.015
2,7.75,0.018,-10.307,0.4024,-0.393475,-0.10665,-0.508675,-65.14025,-6.877075,-2.14315,-7.9931,-17.22025,-2.669525,-0.80085,18.772,76.73,382.835775,-0.814,-78.0225,4.772,4.9615,2.06225,163.775,245.075,1.2647,0.1475
2,8.25,0.03465,-8.8895,0.461,-0.54175,-0.287825,-0.494,-40.940775,-4.247,-1.149,-5.9665,-16.9295,-2.625725,-0.8264,17.418,76.78,382.86275,-0.8875,-27.92,20.35,14.435,4.94425,163.475,250.075,1.3542,1.13
2,8.75,0.03475,-7.74625,0.3916,-1.05875,-0.71625,-0.568,-21.604,-2.2455,0.248,-4.551625,-15.77375,-2.544325,-0.849525,17.028,76.8,382.5525,-0.826,13.5325,37.9275,32.4975,11.4175,164.625,258.85075,1.50825,13.0375
2,9.25,0.093775,-7.2168,0.472,-1.8808,-1.62175,-0.894475,-7.89075,-2.68175,2.273625,-7.575,-14.7615,-2.458225,-0.868425,16.87,76.78,382.1285,-0.7175,28.345,67.085,64.105,16.41,168.275,267.925,1.500875,36.24
2,9.75,0.13575,-6.46745,0.7706,-2.894,-2.22125,-1.1645,6.335,-0.2685,4.21375,-9.088875,-11.83,-2.3115,-0.8845,15.276,76.76,381.53125,-0.772,36.475,74.845,70.275,19.2925,170.6,276.7,1.423625,72.8825
2,10.25,0.196,-5.316,0.9655,-3.2217,-2.7378,-1.4313,10.9173,-4.2426,8.10965,-9.124675,-8.95,-1.893,-0.879,13.162,76.76,380.730825,-0.85,34.885,71.175,62.5675,22.1025,172.25,287.175,1.4206,80.6225
2,10.75,0.192375,-4.99025,1.0888,-3.722775,-3.21685,-1.21475,15.325425,-4.644925,4.6596,-11.332,-6.38675,-1.48925,-0.861,12.136,76.722475,380.536575,-0.6375,40.3675,127.4825,80.155,19.885,175.9475,293.995,1.2902,95.2375
2,11.25,0.25375,-4.6885,0.9108,-2.9684,-2.9227,-0.852875,20.2079,-3.4776,9.19315,-9.984025,-5.505,-1.064,-0.83675,10.7975,76.742725,380.6524,-0.7425,56.69825,128.7,100.0525,22.585,179.41,295.9775,1.0942,77.475
2,11.75,0.20225,-4.33925,1.24975,-3.540025,-3.540225,-0.618025,27.40405,-3.212525,4.9654,-9.3648,-5.1445,-0.93375,-0.7875,9.6825,76.80025,380.191175,-0.70625,57.5055,156.23,100.0275,25.479,182.4,298.675,1.0624,106.525
