DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
2,10.25,0.31,1.07,2.96,4.52,21.67,341.755,44.98,173.73,-0.28,78.08,37.89,-5.915,1.59
2,10.75,0.36,1.08,3.02,4.88,21.96,415.35,49.96,252.1775,1.305,101.945,41.91,-6.68,1.59
2,11.25,0.39,1.3,2.9775,4.965,22.09,452.6025,54.525,279.93,2.425,125.635,50.82,-6.46,1.58
2,11.75,0.39,1.355,3.15,5.06,23.46,445.685,57.16,265.095,0.515,144.77,50.48,-6.51,1.6
2,12.25,0.4,1.35,3.315,4.7425,24.365,370.92,53.36,232.255,2.55,131.6725,36.255,-6.605,1.6
2,12.75,0.43,1.5,3.365,4.25,23.71,391.39,53.57,253.46,-5.975,147.62,41.2175,-6.1675,1.6
2,13.25,0.4275,1.385,3.3475,4.445,23.29,370.4625,43.84,225.095,0.5,136.765,44.2,-6.155,1.6
2,13.75,0.44,1.3975,3.465,4.4025,24.035,301.165,45.89,186.2,-3.55,107.03,36.96,-5.61,1.61
2,14.25,0.4,1.435,3.23,4.615,24.245,249.42,36.77,146.6,7.35,94.105,36.68,-5.0875,1.61
2,14.75,0.4,1.315,3.26,4.35,24.275,187.64,29.98,109.4,-0.73,91.43,34.3,-4.695,1.61
2,15.25,0.3725,1.27,3.17,4.22,25.1,172.1,26.94,94.345,2.985,74.925,29.44,-4.525,1.61
2,15.75,0.34,1.12,2.745,4.195,26.185,126.975,17.98,59.165,-0.455,42.035,24.4775,-3.9425,1.61
2,16.25,0.3,1.04,2.3475,4.12,26.57,92.74,12.71,27.85,0.64,15.495,9.98,-2.53,1.61
2,16.75,0.25,0.79,2.22,3.9475,27.95,45.6325,5.5575,-11.3225,-5.425,-1.6025,6.03,-1.5775,1.61
2,17.25,0.16,0.47,1.815,3.58,29.26,4.485,0.63,-64.3,2.025,-14.5325,-1.91,-0.625,1.61
2,17.75,0.13,0.59,1.6125,3.09,31.0775,-8.4175,-2.09,-84.5,-4.505,-15.8325,-3.575,-0.27,1.61
2,18.25,0.12,0.815,1.2875,2.7775,30.9225,-7.8725,-0.85,-86,-11.045,-24.84,-5.035,-0.25,1.61
2,18.75,0.12,0.79,1.165,2.87,28.92,-7.0425,-0.2475,-84.8575,-11.355,-23.6325,-3.38,-0.17,1.6
2,19.25,0.12,0.7475,1.23,3.085,25.6075,-6.8225,-0.0575,-85.4375,-16.215,-26.59,-4.91,-0.16,1.6
2,19.75,0.125,0.79,1.26,3.01,25.41,-6.8325,-0.0975,-85.3675,-16.96,-36.4675,-2.985,-0.03,1.6
2,20.25,0.1225,0.81,1.135,2.81,24.9975,-6.9825,-0.19,-84.5925,-19.49,-40.665,-3.405,-0.09,1.61
2,20.75,0.13,0.8825,1.1075,2.8425,22.435,-6.7725,-0.0725,-85.11,-17.505,-43.96,-6.9775,-0.08,1.61
2,21.25,0.12,0.83,1.0125,2.76,22.335,-6.865,-0.1,-85.1875,-16.37,-45.65,-4.8,-0.105,1.6
2,21.75,0.13,0.85,0.99,2.65,23.4025,-6.7725,-0.14,-87.015,-16.48,-52.7525,-4.335,-0.085,1.6
2,22.25,0.13,0.81,0.96,2.52,22.8175,-6.805,-0.24,-85.9625,-15.94,-49.4475,-3.55,-0.0975,1.6
2,22.75,0.13,0.865,0.7975,2.6425,21.11,-6.725,-0.1,-87.9575,-16.725,-50.8,-3.77,-0.135,1.6
2,23.25,0.135,0.89,0.875,2.38,21.7925,-7.0425,-0.155,-86.0575,-14.045,-58.8925,-1.5625,-0.06,1.6
2,23.75,0.12,0.9,0.8725,2.49,21.985,-6.7125,-0.165,-87.0625,-15.9,-54.93,-2.2275,-0.05,1.6
3,0.25,0.125,0.91,4.915,5.585,19.0625,-7.205,-0.04,-88.28,-18.54,-36.73,-4.69,-0.12,2.1
3,0.75,0.13,0.8775,4.55,5.61,18.12,-7.1025,-0.125,-87.7,-17.565,-30.0925,-3.5775,-0.15,2.075
3,1.25,0.14,0.94,4.83,5.53,18.01,-7.235,-0.15,-88.265,-18.83,-35.135,-4.305,-0.0925,2.04
3,1.75,0.13,0.87,4.6,5.59,19,-7.19,-0.17,-88.64,-19.8075,-35.19,-4.47,-0.13,1.95
3,2.25,0.13,0.88,4.865,5.51,18.5025,-7.26,-0.15,-88.34,-18.47,-35.245,-4.065,-0.15,1.95
3,2.75,0.13,0.805,4.805,5.495,17.39,-7.35,-0.26,-86.3375,-18.78,-33.73,-5.02,-0.14,1.91
3,3.25,0.13,0.76,4.78,5.57,17.445,-7.2975,-0.15,-86.7925,-20.37,-32.425,-2.73,-0.15,1.87
3,3.75,0.13,0.82,4.615,5.3875,16.75,-7.165,-0.11,-87.485,-18.54,-40.77,-3.63,-0.07,1.85
3,4.25,0.14,0.9275,4.575,5.4225,16.445,-7.13,-0.115,-88.145,-18.51,-35.2425,-4.55,-0.1525,1.86
3,4.75,0.13,0.87,4.45,5.965,15.835,-7.22,-0.15,-87.5,-18.12,-34.855,-3.61,-0.18,1.85
3,5.25,0.13,0.93,4.43,5.335,15.915,-7.2325,-0.205,-87.5475,-19.43,-35.46,-2.41,-0.07,1.83
3,5.75,0.13,0.91,4.45,5.3,16,-6.14,-0.07,-86.345,-19.27,-44.65,-1.88,-0.12,1.81
3,6.25,0.13,0.8575,4.61,5.2375,16.13,1.845,0.65,-78.27,-20.24,-32.2425,-3.04,-0.08,1.8
3,6.75,0.12,0.77,4.8525,5.86,16.58,18.24,1.995,-63.99,-17.64,-33.7425,-2.98,-0.17,1.79
3,7.25,0.12,0.53,5.16,6.19,15.65,36.31,4.3425,-46.395,-19.87,-28.73,-1.985,-0.2875,1.79
3,7.75,0.16,0.2925,5.54,6.455,16.12,175.55,13,54,-19.47,-20.45,0.2425,-1.395,1.78
3,8.25,0.18,0.45,6.245,7.15,18.025,400.8275,27.2,205.3325,-16.21,-3.3675,22.7325,-3.335,1.78
3,8.75,0.235,0.73,6.675,7.395,18.94,500.025,37.5775,282.86,-1.81,30.895,46.7375,-4.87,1.78
3,9.25,0.31,1.03,6.95,7.52,19.0225,607.115,49.6325,364.465,5.98,73.605,50.54,-5.9025,1.79
3,9.75,0.38,1.255,7.21,7.76,19.28,678.585,59.475,416.9875,1.01,105.5125,57.29,-6.17,1.8
3,10.25,0.39,1.4325,7.5675,7.92,20.04,734.325,67.2175,471.23,3.8,145.35,66.82,-6.49,1.84
3,10.75,0.42,1.535,7.495,8.145,20.845,791.32,73.615,505.0875,2.38,157.85,70.9925,-6.82,1.84
3,11.25,0.44,1.5925,7.7975,8.0175,21.675,823.57,79.77,530.035,0.4,187.39,69.39,-6.79,1.87
3,11.75,0.45,1.6425,8.03,8.445,22.11,843.99,81.65,539.8425,3.27,217.3575,70.16,-7.065,1.93
3,12.25,0.49,1.71,8.22,8.5,23.045,812.91,80.78,525.65,0.45,218.7825,74.1,-7.0475,1.98
3,12.75,0.48,1.82,8.245,8.66,22.91,772.65,79.395,512.83,-1.91,227.07,64.81,-6.995,2.06
3,13.25,0.49,1.74,8.3325,8.55,23,728.165,76.8675,476.23,0,212.57,71.7,-6.69,2.14
3,13.75,0.49,1.75,8.48,8.69,23.2,683.945,70.325,440.515,3.7,216.605,61.21,-6.4025,2.18
3,14.25,0.47,1.71,8.7475,8.9125,23.94,591.73,61.64,388.88,0.8,188.13,63.48,-6.0125,2.24
3,14.75,0.47,1.6275,8.71,8.82,23.88,500.96,54.44,329.8175,0.7,168.6575,56.1,-5.49,2.27
3,15.25,0.43,1.57,8.48,8.72,23.97,417.5,41.83,249.545,1.88,146.4925,43.15,-5.1975,2.31
3,15.75,0.42,1.5,8.3275,8.7075,24.03,317.09,32.7325,170.19,1.38,109.9975,39.6025,-4.765,2.33
3,16.25,0.4,1.35,8.195,8.5425,24.49,214.8,21.825,102.86,-2.25,73.84,30.79,-3.58,2.34
3,16.75,0.36,1.2275,7.46,8.085,26.1,121.715,12.6175,35.07,2.49,31.1975,21.42,-2.895,2.38
3,17.25,0.285,0.97,6.94,7.555,28.56,46.205,4.6225,-19.175,2.83,7.8575,5.36,-1.4575,2.39
3,17.75,0.19,0.54,6.22,6.97,31.35,3.28,0.28,-75,0.88,-9.34,-4.77,-0.53,2.41
3,18.25,0.12,0.6,5.33,6.3275,31.545,-9.25,-1.77,-90.63,-4.7425,-16.46,-5.8,-0.445,2.41
3,18.75,0.13,0.75,4.9275,5.975,30.4375,-8.03,-0.27,-89.43,-10.21,-17.255,-4.28,-0.23,2.41
3,19.25,0.13,0.85,5.085,6.06,29.195,-7.245,-0.05,-88.935,-13.7275,-21.585,-6.5475,-0.255,2.41
3,19.75,0.13,0.87,5.13,6.055,28.03,-6.99,0,-88.28,-19.1875,-25.35,-7.4875,-0.2825,2.4
3,20.25,0.1225,0.8525,5.52,6.08,26.905,-7.2375,0,-88.32,-17.54,-27.8,-3.6,-0.16,2.38
3,20.75,0.1275,0.93,5.285,6.03,26.145,-7.025,0,-88.8775,-20.2075,-32.955,-3.62,-0.1875,2.34
3,21.25,0.14,0.89,5.315,5.9225,24.415,-7.1125,0,-88.74,-19.605,-31.935,-6.69,-0.17,2.32
3,21.75,0.13,0.89,5.0975,5.91,23.735,-7.045,0,-89.55,-19.605,-40.7525,-6.41,-0.13,2.31
3,22.25,0.13,0.87,5.0175,5.63,21.76,-7.2,-0.035,-88.87,-20.6675,-38.105,-8.54,-0.215,2.29
3,22.75,0.13,0.86,4.72,5.7325,21.63,-7.1525,0,-89.84,-18.8375,-39.0575,-4.585,-0.21,2.26
3,23.25,0.1275,0.895,4.9375,5.7375,21.335,-7.26,-0.04,-89.84,-22.15,-36.92,-5.815,-0.12,2.23
3,23.75,0.14,0.9325,4.42,5.6825,19.385,-7.2575,-0.12,-89.3475,-20.8575,-40.105,-3.73,-0.22,2.19
4,0.25,0.13,0.8575,4.42,5.93,18.625,-7.09,0,-88.45,-28.45,-43.04,-5.94,-0.08,4.9325
4,0.75,0.13,0.835,4.55,6.12,19,-7.1,-0.02,-88.575,-27.13,-44.88,-3.82,-0.12,4.8325
4,1.25,0.1425,0.845,4.665,5.85,20.02,-7.16,0,-88.26,-27.9675,-38.13,-5.6075,-0.155,4.73
4,1.75,0.13,0.83,4.37,5.6575,19.0175,-7.26,-0.09,-88.325,-28.87,-37.53,-5.53,-0.15,4.65
4,2.25,0.14,0.78,4.9875,5.985,18.91,-7.2525,-0.0425,-88.285,-26.535,-35.96,-4.8825,-0.1,4.5525
4,2.75,0.14,0.8,4.84,5.9425,17.9625,-7.095,-0.07,-87.8625,-27.195,-37.0475,-4.665,-0.13,4.44
4,3.25,0.14,0.84,5.095,5.89,17.615,-7.1425,-0.065,-88.715,-28.4825,-41.96,-2.9525,-0.115,4.375
4,3.75,0.1225,0.82,4.76,6.345,18.02,-7.095,-0.1,-89.36,-26.2475,-41.14,-3.7775,-0.205,4.3125
4,4.25,0.13,0.815,4.7325,6.4825,18.165,-7.21,-0.11,-89.25,-28.2075,-37.42,-5.3925,-0.175,4.2525
4,4.75,0.13,0.84,4.71,6.1075,18.17,-7.04,-0.09,-88.105,-26.6075,-45.56,-4.0175,-0.09,4.1975
4,5.25,0.12,0.83,4.725,6.2475,17.1225,-4.47,0.15,-85.16,-26.7075,-40.755,-2.78,-0.1,4.145
4,5.75,0.13,0.84,4.85,6.1925,17,7.785,1.1,-73.44,-27.5175,-37.995,-2.97,-0.13,4.1
4,6.25,0.12,0.69,5.4,6.4725,16.2825,26.97,2.88,-49.91,-27.0625,-41.6075,-3.89,-0.14,4.0325
4,6.75,0.13,0.54,5.575,7.0725,16.755,137.91,9.55,35.38,-28.6825,-28.65,-0.51,-0.56,4.0125
4,7.25,0.14,0.32,6.23,7.5675,17,322.1,17.87,142.705,-26.16,-14.715,3.31,-1.5325,4.0025
4,7.75,0.1925,0.44,6.85,8.31,17.9,448.33,26.585,248.59,-17.32,2.2175,31.855,-3.635,4.0425
4,8.25,0.26,0.855,7.44,8.93,18.49,554.72,36.095,332.345,-6.6975,46.325,53.27,-5.095,4.1075
4,8.75,0.34,1.1,7.845,8.6775,19.895,656.5175,47.05,409.7425,29.34,84.02,54.96,-5.6575,4.2225
