DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,G,SG,USTAR,H,LE,FC,SC,NEE,H2O,CO2,U_SIGMA,V_SIGMA,W_SIGMA
1,22.75,0.57975,43.71425,0.97,85.39,0,0,-92,-3,1.32275,221,303.17,1.42,-2.126675,4.324,5.2495,6.405,7.5925,7.256,10.6,-29,-12.5915,0.0653210532677,-23.43825,-0.0055,-0.194139,-0.057996279,-0.22046345475,4.68025,383.1,0.387298334621,0.34748601071925,0.10636401243825
1,23.25,0.4185,44.44525,1.0325,85.3815,0,0,-91.6345,-3,1.54275,220.37,303,1.3125,-2.21,4.0285,5.02325,6.2925,7.5025,7.26825,10.6,-29.1085,-11.6355,0.0632139225171,-23.423,-0.034,-0.166056,-0.0497025,-0.22089446775,4.6992,382.17,0.374165738677,0.346410161514,0.109544511501
1,23.75,0.25125,45.1,1.02,85.38,0,0,-91,-3,1.4785,220,301.1,1.25,-2.445825,3.85025,4.857,6.1405,7.4,7.287,10.6,-29.98725,-10.8225,0.066,-24,0,-0.194139,-0.05121075,-0.2217915,4.7128,382.675,0.3827526268725,0.346410161514,0.105303846084
2,0.25,0.8,39.35,1.207,85.2,0,0,-95,-3,1.625,220,306,1.58,-2.0167,4.915,5.89,7.195,8.425,7.6185,10.42,-30.889,-11.562,0.077722878328325,-26,0,-0.182,-0.051564,-0.22336394025,4.732,386.69,0.4,0.360555127546,0.116417782147
2,0.75,0.75,40.3195,1.23,85.2,0,0,-95,-3,1.839,219.985,305.855,1.555,-2.1,4.656,5.66,7.0005,8.335,7.62,10.42,-32.89,-11.085,0.074012967613825,-25.8825,0,-0.166056,-0.05404146,-0.2183988048,4.8229,388.9025,0.387298334621,0.356362372126,0.116417782147
2,1.25,0.5,40.422,1.1625,85.2,0,0,-94,-3,1.6445,220,304,1.45,-2.2333,4.485,5.46,6.863,8.22,7.645,10.42,-33,-10.6295,0.063,-26.15775,0,-0.194139,-0.0457311545,-0.222222,4.71185,385.88,0.387298334621,0.346410161514,0.11401754251
2,1.75,0.3,41.25,1.13,85.2,0,0,-94,-3,1.7045,219,303.15,1.385,-2.42,4.2955,5.2905,6.723,8.12,7.648,10.42,-32.315,-10.075,0.0726960108947,-27.398,0,-0.194139,-0.05299746575,-0.2200980705,4.7268,383.44,0.374165738677,0.331662479036,0.116417782147
2,2.25,0.107,42.08,1.074,85.2,0,0,-93,-3,1.632,220,302,1.34,-2.74,4.1455,5.095,6.56,8.025,7.658,10.42,-33,-9.5573,0.076,-26.03075,0,-0.213611,-0.0589672425,-0.2638295,4.609925,378.08,0.38922841399925,0.346410161514,0.11401754251
2,2.75,0,42.7205,1.064,85.2,0,0,-91.5635,-3,1.648,220,301,1.375,-3.0333,4.04,4.92,6.411,7.9395,7.66,10.42,-33,-9.241,0.07079444007205,-26.6265,0,-0.19110425,-0.053926,-0.22759775775,4.63735,381.345,0.374165738677,0.346410161514,0.11401754251
2,3.25,-0.1,43.3,1.04,85.19,0,0,-91,-3,1.691,219.2,301,1.355,-3.15,3.905,4.785,6.245,7.8425,7.669,10.41,-32.633,-9.0288,0.073,-26.9515,0,-0.194139,-0.05529255,-0.23408975,4.4784,378.51,0.368072540069,0.346410161514,0.11401754251
2,3.75,-0.25,43.2035,1.12,85.163,0,0,-89.1035,-3,1.585,219,299.89,1.295,-3.2667,3.73,4.637,6.12,7.7295,7.675,10.41,-32.7875,-8.35405,0.0716424455194,-28.57725,0,-0.166056,-0.0414462345,-0.1954519413,4.587375,376.5975,0.374165738677,0.360555127546,0.11401754251
2,4.25,-0.4,43.85,1.0425,85.134,0,0,-89,-3,1.6155,218,299,1.23,-3.5167,3.577,4.487,6.0035,7.6485,7.6755,10.41,-33,-8.208,0.0642674878924,-25.57,-0.17475,-0.213611,-0.035449,-0.236682,4.466975,378.3225,0.360555127546,0.346410161514,0.109544511501
2,4.75,-0.624,44.332,1.1,85.16,0,0,-89.5065,-3,1.622,218.115,298,1.15,-3.55,3.452,4.3835,5.8685,7.545,7.69,10.41,-32.767,-7.7395,0.063160441887825,-24.1725,0,-0.194139,-0.0414301305,-0.2158079332,4.4921,381.35,0.374165738677,0.346410161514,0.105303846084
2,5.25,-0.75,45,0.971,85.165,0,0,-89,-3,1.631,217.5,298,1.17,-3.7833,3.2965,4.252,5.733,7.44,7.6945,10.41,-32.949,-7.7725,0.063,-25.765,-0.072,-0.194139,-0.05054175,-0.24187556925,4.6431,378.465,0.3694534869185,0.346410161514,0.104880884817
2,5.75,-0.798,44.8,1.03,85.1815,0,0,-88.511,-3,1.74,218.365,297.195,1.155,-4.11,3.1505,4.0965,5.593,7.34,7.7,10.4,-32.4175,-7.4305,0.0642674878924,-26.473,-0.362,-0.2093055,-0.04544985325,-0.2318679,4.6779,385.925,0.37549966711,0.331662479036,0.109544511501
2,6.25,-0.9,45.772,1.04,85.2,0,0,-88.011,-3,1.844,218.695,297,1.14,-4.1833,3.06,3.991,5.4745,7.25,7.705,10.4,-32.0295,-7.3099,0.061776697941625,-23.04,0,-0.182,-0.0403415,-0.1994934,4.73055,381.6325,0.364348248555,0.3346506696795,0.109544511501
2,6.75,-1.1,46.4835,1.015,85.2,0,0,-86.732,-2,2,218.27,296.87,1.075,-4.11,2.941,3.8695,5.37,7.16,7.685,10.4,-32,-6.953,0.063,-23.67775,-0.23,-0.20228475,-0.02880008775,-0.20851656,4.7024,378.54,0.360555127546,0.331662479036,0.111
2,7.25,-1.0165,47.2,0.924,85.2,19,4,-80,9,6.042,217.68,299,1.045,-3.3167,2.802,3.7885,5.2405,7.07,7.6515,10.4,-31.8065,-5.3476,0.0716424455194,-22.081,0,-0.194139,-0.0343125,-0.21084,4.8224,386.94,0.374165738677,0.346410161514,0.111
