DOY2,HR2,CO2,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD_1_1_1,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TA_1_1_1,TS_1_1_1,TS_1_2_1,USTAR,VPD,WS
1,20.75,365.41625,-8.3,-18.565,0.51225,-0.5,179.6,203.525,-50.02,95,0,0,74.1,-0.04,-2.3,-0.3,-1.6475,0.0425,-24.1075,-9.1125,-8.6875,0.105,0.17,1.03
1,21.25,365.5205,-8.5,-18.4275,0.5145,-0.5,183.85,205.375,-41.8125,95,0,0,73.25,-0.03,-2.55,-0.2,-1.6975,0.02,-24,-9.0925,-8.67,0.105,0.1575,1.1775
1,21.75,365.27375,-8.9,-20.005,0.48525,-0.55,181.475,202.925,-36.155,95,0,0,75.2,0.04,-2.575,-0.3,-1.635,0.025,-24.65,-9.0725,-8.65,0.1,0.16,1.09
1,22.25,365.47275,-8.8,-14.975,0.483,-0.5,182.85,203.05,-37.5775,95,0,0,74.675,-0.02,-2.225,-0.2,-1.68,0.0425,-24.55,-9.0525,-8.63,0.09,0.15,1.015
1,22.75,365.617,-8.8,-18.11,0.472,-0.4,181.925,203.25,-33.5475,95,0,0,75,-0.08,-2,-0.1,-1.6275,0.02,-24.375,-9.0275,-8.62,0.08,0.15,0.8825
1,23.25,365.66925,-8.8,-12.785,0.469,-0.5,176.95,202.375,-43.6725,95,0,0,75.025,-0.045,-2.4,-0.2,-1.7125,0.02,-24.225,-9.0125,-8.6,0.11,0.15,1.04
1,23.75,365.466,-8.875,-14.2775,0.46475,-0.6,174.55,200.25,-43.25,95,0,0,75.3,-0.15,-2.6,-0.2,-1.59,0.0725,-24.35,-9.02,-8.59,0.1,0.1475,0.9725
2,0.25,365.264,-5.575,-13.9625,0.838,-0.5,174.7,225.15,-60.975,94.925,0,0,75.875,-0.045,-2.9,-0.4,-1.91,0.12,-21.875,-7.2775,-7.03,0.08,0.17,0.96
2,0.75,365.644,-5.575,-12.3525,0.847,-0.4,181.425,225.775,-56.335,94.9,0,0,75.8,-0.2775,-3.175,-0.4,-1.83,0.13,-22.05,-7.2825,-7.0275,0.07,0.1775,0.905
2,1.25,365.998,-5.575,-15.09,0.83,-0.725,176.275,226.725,-56.5875,94.925,0,0,76.4,-0.2125,-3.5,-0.3,-1.815,0.15,-22.1,-7.2775,-7.0325,0.07,0.16,1.015
2,1.75,366.342,-5.575,-16.53,0.803,-0.6,184.775,225.975,-50.7675,95,0,0,76.7,-0.165,-2.975,-0.3,-1.62,0.2025,-21.94,-7.265,-7.0275,0.08,0.1675,0.995
2,2.25,366.4955,-5.575,-14.41,0.844,-0.85,175,223.975,-48.39,95,0,0,77.05,-0.1475,-2,-0.2,-1.5375,0.1125,-21.9,-7.26,-7.0225,0.08,0.1675,0.81
2,2.75,366.4,-5.6,-15.28,0.8175,-0.7,179.775,222.925,-50.0625,95,0,0,76.65,-0.12,-2.6,-0.3,-1.7625,0.1475,-22.625,-7.2575,-7.02,0.06,0.16,0.945
2,3.25,366.828,-5.6,-14.4,0.83875,-0.525,180.95,221.1,-48.5675,95,0,0,77.3,-0.095,-2.8,-0.3,-1.6025,0.1025,-22.2975,-7.2675,-7.0075,0.07,0.16,1.005
2,3.75,365.716,-5.675,-14.455,0.813,-0.525,178.575,219.4,-47.05,95,0,0,76.9,-0.085,-2.2,-0.3,-1.635,0.21,-23,-7.2925,-7.0025,0.07,0.17,0.8915
2,4.25,365.97275,-5.7,-11.89,0.837,-0.6,187.75,216.825,-48.18,95,0,0,77.125,-0.145,-2.1,-0.2,-1.57,0.2225,-23.7,-7.325,-6.99,0.06,0.17,0.88
2,4.75,365.929,-5.8,-14.38,0.763,-0.5,187.25,215.5,-46.8825,94.9,0,0,76.8,-0.14,-2.225,-0.3,-1.51,0.22,-24.375,-7.3525,-6.985,0.06,0.1675,0.844
2,5.25,366.23,-5.975,-12.005,0.786,-0.6,187.875,214.4,-47.02,94.925,0,0,76.35,-0.41,-2.6,-0.4,-1.565,0.14,-25.04,-7.3775,-6.975,0.07,0.16,0.89425
2,5.75,366.176,-6.175,-12.785,0.7635,-0.4,189.325,215.8,-42.9975,94.925,0,0,77.2,-0.12,-1.9,-0.3,-1.7325,0.13,-25.135,-7.41,-6.97,0.08,0.15,0.86
2,6.25,366.3575,-6.275,-12.165,0.785,-0.6,190.725,217.3,-47.155,95,0,0,76.7,-0.17,-2.05,-0.2,-1.7975,0.1325,-24.615,-7.415,-6.9675,0.08,0.16,0.875
2,6.75,366.799,-6.3,-16.7725,0.792,-0.9,192.275,217.2,-40.2575,94.9,0,0,76.65,-0.19,-2.675,-0.5,-1.635,0.075,-25.325,-7.4225,-6.995,0.07,0.1675,1.012
2,7.25,366.97925,-6.375,-16.165,0.822,-0.7,191.8,219.425,-44.0975,94.9,0,0,76.45,-0.17,-1.8,-0.4,-1.755,0.14,-25.61,-7.415,-7.03,0.08,0.1575,1.0835
2,7.75,366.788,-6.45,-13.93,0.81225,-1.1,190.05,221.8,-39.51,95,0,0,77.1,-0.0775,-1.875,-0.3,-1.4175,0.1625,-25.0775,-7.405,-7.055,0.08,0.16,0.97
2,8.25,366.689,-6.55,-11.7,0.8105,-0.7,187.825,221.925,-34.84,95,0,0,76.825,-0.1,-2.6,-0.3,-0.1075,0.3725,-25.2025,-7.3875,-7.07,0.07,0.16,0.81
2,8.75,366.465,-6.575,-8.08,0.8255,-0.8,189.3,222.2,-11.6975,94.925,6.15525,1.46,77.925,-0.09,-1.4,-0.25,6.27,2.0025,-24.2825,-7.3775,-7.0725,0.08,0.15,0.835
2,9.25,368.42175,-6.6,-3.2825,0.82125,-0.4,197.725,226.325,5.4175,94.925,30.815,6.705,79.3,-0.2975,0.025,-0.2,22.7775,5.3725,-22.975,-7.3675,-7.085,0.11,0.14,0.855
2,9.75,369.097,-6.6,6.1,0.843,0.95,195.475,229.975,20.335,94.925,69.62,15.155,78.775,-0.1625,1.3,-0.1,48.785,11.17,-21.65,-7.3625,-7.075,0.17,0.15,0.8925
2,10.25,369.167,-6.575,16.3375,0.91925,2.075,191.125,231.75,43.1275,95,104.225,23.8975,76.975,-0.24,1.925,0,75.325,17.5775,-20.3275,-7.36,-7.0625,0.23,0.2,1.1825
2,10.75,368.425,-6.55,30.45,0.962,3.175,196.25,237.4,72.15,94.9,147.27,32.89,72.675,-0.5275,2.05,0.025,111.175,24.795,-18.2125,-7.34,-7.0375,0.2525,0.2575,1.33
2,11.25,368.59075,-6.525,47.4325,1.04825,3.7,190.025,244.45,91.425,94.9,197.93,41.4125,68.28,-0.4675,2.625,-0.1,140.1,30.5975,-16.825,-7.335,-7.0175,0.27,0.34,1.325
2,11.75,368.608,-6.45,50.5225,1.037,3.725,187.525,246.65,97.4575,95,209.7475,46.075,62.925,-0.5,2.225,0,137.2,32.035,-15.685,-7.4,-6.9875,0.2725,0.43,1.50575
2,12.25,368.02225,-6.475,55.94,0.9965,3.55,178.7,249.275,103.56,95,231.825,47.6425,58.275,-0.57,1.4,0.1,147.85,32.1625,-14.795,-7.3725,-6.975,0.3025,0.5175,1.4775
2,12.75,367.67425,-6.5,55.985,1.0165,4.775,173.675,251,103.0575,95,270.725,49.135,55.9,-0.475,1.025,0,158.025,37.315,-14.125,-7.3375,-6.93,0.32,0.5675,1.6
2,13.25,367.798,-6.475,68.26,1.029,5.25,186.075,253.35,122.825,94.9,305.685,53.09,54.0325,-0.4,1,-0.1,175.475,40.97,-13.2575,-7.285,-6.885,0.32,0.6175,1.75
2,13.75,367.02575,-6.3,72.72,1.04975,4.75,187.9,253.85,133.1125,94.9,325.485,54.2725,53.4,-0.28,0.3,0,194.15,38.61,-12.825,-7.245,-6.8625,0.32,0.6175,1.79275
2,14.25,367.0105,-6.1,65.16,1.04,4.85,177.075,255.475,115.375,94.9,293.73,49.5475,55.41,-0.19,0.8,-0.1,172.75,37,-12.7,-7.2125,-6.8425,0.33,0.6275,1.8175
2,14.75,366.357,-6.1,65.3275,1.083,4.9,173.3,257.1,106.7425,94.9,264.42,45.015,56.1,-0.6525,0.225,0.1,173.05,38.3075,-12.9,-7.1825,-6.82,0.33,0.63,1.9525
2,15.25,365.128,-6.175,50,1.099,3.5,174.975,256.45,85.71,94.9,239.2875,39.8225,56.875,-0.2225,0.2,0,141.725,30.1,-13.09,-7.1525,-6.805,0.3125,0.6,1.829
2,15.75,364.68925,-6.075,39.7525,1.105,3.575,171.35,256.325,61.0625,94.9,192.8375,31.45,57.875,-0.0125,-0.4,-0.3,133.575,27.26,-13.3525,-7.115,-6.8075,0.33,0.5875,1.7925
2,16.25,364.93675,-6.025,26.495,1.137,2.4,168.925,256.425,31.9875,94.9,152.97,24.5425,58.15,-0.5375,-0.6,-0.175,97.65,18.905,-13.325,-7.0875,-6.815,0.32,0.5675,1.7955
2,16.75,365.235,-5.85,9.815,1.0985,1.1,170.075,255.525,4.055,94.9,111.975,16.46775,58.8925,-0.045,-1.825,-0.2,55.9,11.545,-13.275,-7.065,-6.8125,0.27,0.5075,1.6675
2,17.25,366.018,-5.75,-4.785,1.109,0.2,175.225,251.9,-40.685,94.925,59.0625,9.3675,62.69,0.145,-3.675,-0.3,31.9575,7.255,-13.625,-7.0425,-6.7925,0.2325,0.4875,1.45
2,17.75,366.106,-5.675,-13.805,1.0965,-0.125,178.025,246.65,-74.9125,94.925,16.74,3.25,63.73,0.26,-4.4,-0.4,5.645,2.035,-14.3925,-7.03,-6.785,0.19,0.43,1.31
2,18.25,365.681,-5.675,-20.865,1.0655,-0.3,179.275,242.1,-87.4475,95,0,0,67.3,0.18,-5.275,-0.4,-0.7925,0.645,-15.655,-7.0125,-6.775,0.1375,0.37,1.20425
2,18.75,365.324,-5.575,-16.335,1.052,-0.3,177.025,238,-88.335,94.925,0,0,70.025,0.0575,-4.35,-0.4,-2.24,0.235,-17.125,-6.9975,-6.7625,0.1,0.31,1.17825
2,19.25,364.917,-5.45,-20.655,1.036,-0.6,173.475,236.25,-83.5975,94.925,0,0,71.675,0.0675,-4.3,-0.6,-2.275,0.205,-17.815,-6.99,-6.755,0.0925,0.27,1.00975
2,19.75,364.646,-5.4,-22.9325,0.98675,-0.6,173.25,234.95,-81.875,95,0,0,73.55,0.03,-4.35,-0.4,-2.1775,0.2525,-18.85,-6.9925,-6.745,0.08,0.24,1.0275
2,20.25,364.423,-5.35,-16.44,0.974,-0.4,170.85,233,-75.3475,95,0,0,73.775,0.055,-4.85,-0.5,-2.02,0.23,-19.265,-6.995,-6.75,0.07,0.22,1.03
2,20.75,364.40975,-5.275,-20.775,0.9525,-0.6,175.075,232.75,-74.365,95,0,0,75.45,0.0675,-4.625,-0.675,-2.0525,0.2525,-20.1625,-6.9975,-6.75,0.0725,0.21,1.084
2,21.25,365.085,-5.3,-21.4475,0.93925,-0.7,174.4,232.7,-77.9875,95,0,0,76.1,0.05,-4.5,-0.7,-2.1225,0.28,-21.005,-6.995,-6.765,0.08,0.2,1.10625
2,21.75,365.41225,-5.325,-23.6675,0.93825,-0.8,177.35,232.25,-78.945,95,0,0,76.65,0.03,-3.3,-0.475,-2.035,0.255,-20.54,-7,-6.7675,0.07,0.2,1.098
2,22.25,365.839,-5.3,-19.125,0.905,-0.6,176.95,228.75,-68.2875,95,0,0,76.6,-0.08,-2.7,-0.3,-1.8175,0.2275,-20.645,-6.9975,-6.765,0.07,0.2,1.0375
2,22.75,366.02225,-5.3,-21.0225,0.90425,-0.7,178.225,226.375,-68.6825,95,0,0,76.775,0,-3.25,-0.4,-1.9675,0.265,-20.995,-7.0025,-6.7625,0.0625,0.2,0.915
2,23.25,365.59275,-5.375,-16.4875,0.904,-0.6,176.2,227.05,-68.9775,95,0,0,76.75,0.02,-3.125,-0.4,-1.8775,0.2425,-21.6725,-6.995,-6.7525,0.05,0.2,0.9625
2,23.75,365.44575,-5.45,-18.0475,0.905,-0.7,177.3,226.25,-65.95,95,0,0,76.325,-0.01,-2.7,-0.4,-1.7775,0.2825,-22.0175,-6.995,-6.75,0.07,0.19,0.9825
3,0.25,363.81875,-4.35,-16.4925,1.4935,-0.3,192.425,246.95,-79.305,94.525,0,0,76.4,0.02,-2.9,-0.425,-1.98,0.435,-15.75,-3.53,-3.405,0.07,0.22,1.11075
3,0.75,364.24925,-4.45,-17.27,1.457,-0.375,187.45,245.9,-75.885,94.6,0,0,74.475,-0.0875,-2.7,-0.6,-1.915,0.4525,-16.225,-3.5125,-3.3875,0.0825,0.21,1.1565
3,1.25,363.661,-4.575,-19.74,1.429,-0.5,184.85,245.825,-71.53,94.625,0,0,74.8,-0.005,-2.6,-0.4,-1.92,0.4075,-16.51,-3.4975,-3.37,0.0875,0.2,1.12925
3,1.75,364.1235,-4.975,-18.6225,1.421,-0.5,183.6,241.5,-74.955,94.7,0,0,75.425,-0.035,-3.775,-0.5,-2.0775,0.45,-16.65,-3.495,-3.39,0.09,0.19,0.9345
3,2.25,364.1085,-5.175,-21.11,1.383,-0.85,181.675,243.175,-72.125,94.7,0,0,77,-0.0975,-2.775,-0.6,-1.88,0.4425,-17.445,-3.5025,-3.4,0.0825,0.19,1.13575
3,2.75,364.6515,-5.35,-16.39925,1.44425,-0.675,186.35,243.35,-67.88,94.7,0,0,77.25,-0.0675,-2.6,-0.45,-1.875,0.4075,-17.64,-3.51,-3.4,0.07,0.2,1.09525
3,3.25,364.641,-5.45,-17.5375,1.3755,-0.575,186.725,239.575,-70.1825,94.625,0,0,78.125,-0.18,-2.5,-0.475,-1.945,0.4125,-18.0725,-3.5075,-3.4025,0.09,0.2,0.9445
3,3.75,364.692,-5.525,-19.1,1.299,-0.7,190.375,238,-65.56475,94.625,0,0,78.925,-0.19,-3.375,-0.6,-1.9875,0.195,-18.645,-3.5125,-3.3975,0.0825,0.1975,1.0475
3,4.25,365.576,-5.625,-19.1,1.2555,-0.55,192.8,237.4,-62.3475,94.625,0,0,78.375,-0.13,-2.425,-0.5,-1.8775,0.2125,-19,-3.52,-3.4025,0.07,0.19,1.0825
3,4.75,365.41325,-5.8,-21.8575,1.238,-0.6,192.6,237.6,-60.1275,94.6,0,0,78.7,-0.065,-2.5,-0.4,-1.915,0.3025,-18.8,-3.52,-3.3975,0.07,0.18,1.08425
