DOY2,HR2,TAU,H,LE,FC,FCH4,WS,USTAR,T_SONIC,CO2,H2O,CH4,U_SIGMA,V_SIGMA,W_SIGMA,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,RH_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,PA
1,15.25,-0.1064415,129.684,80.579,-1.76736,18.856025,4.39666,0.502838,24.921425,413.5685,17.7809,2122.8175,1.2093325,0.9881865,0.568582,326.555124892334,348.122102649006,601.0980972,82.38805,358.339827627858,405.671572146447,48.460676835081,19.5141,102.496
1,15.75,-0.10878475,88.99505,68.4776,-0.6742605,19.1808,4.2481225,0.4868215,24.678075,413.788,17.491225,2118.01,1.171645,0.9195635,0.54635,321.493540051679,344.61548013245,470.505087466667,84.989,283.693839892641,324.746231155779,39.832459485224,19.3704,102.5095
1,16.25,-0.0920014,43.6821,51.49205,-0.00860583,22.8127,4.06711,0.460084,24.398,413.3145,17.1421,2127.6,1.10241,0.848715,0.535347,331.581826012059,341.43832781457,283.634795533333,86.98465,179.038568882818,207.013639626705,28.0930886558627,19.06125,102.507
1,16.75,-0.06129885,6.51401,36.1649,1.272395,17.5133,3.9768,0.42785875,24.168625,414.041,17.5688,2132.305,1.064985,0.805769,0.50968425,327.26571920758,338.195778145695,135.8247516,89.5262,88.9731110612302,105.480258435032,18.4349380362249,18.46675,102.5565
1,17.25,-0.0340518,-7.0997875,23.23875,1.9704225,18.0856,3.7001125,0.40534225,23.833725,414.243,17.9329,2139.43,0.96961525,0.701959,0.4839185,320.597329888028,336.408940397351,33.78341002,91.2877,17.0162422284376,21.8437544867193,6.79135843660629,18.1487,102.5645
1,17.75,-0.0163881,-7.54427,13.5781,2.133885,16.898,3.5007425,0.3833475,23.674525,414.366,17.9914,2156.665,0.92335175,0.6646175,0.44809225,313.966838931955,333.321192052981,2.18106142,92.3363,-1.44878382789611,-1.10440775305097,2.09510009532888,17.9152,102.574
1,18.25,-0.013914375,-5.59848,16.128375,2.040225,20.1657,3.6704125,0.3899615,23.580225,414.72175,18.205275,2178.135,0.93593675,0.66967825,0.47368025,322.143410852713,331.71440397351,0.0683525691866667,92.97015,-1.48241171241608,-1.79893395549174,1.20977121067684,17.8453,102.57575
1,18.75,-0.021265775,-5.71814,12.2523,2.02283,18.8147,3.4848975,0.39275475,23.43745,415.9775,17.72975,2204.085,0.9275925,0.6445765,0.4525725,322.957149009475,330.510140728477,0.0654088993966667,93.441125,-1.50259609141306,-1.03255563531946,2.27760009532889,17.6202,102.595
1,19.25,-0.02186635,-7.7782675,16.9601,2.131585,19.0991,3.3748275,0.3783115,23.33685,418.16975,17.791425,2205.8875,0.91747125,0.674543,0.43036275,321.055986218777,329.478476821192,0.0651209362633333,93.87405,-1.2337482051925,-0.581875448671931,2.44888703527169,17.18045,102.59875
1,19.75,-0.0201218,-5.6307375,16.1325,2.220105,18.4363,3.4283225,0.37618475,23.0954,418.878,17.8292,2228.495,0.869982,0.6284125,0.438732,317.733204134367,329.441432119205,0.0654321142633333,94.49535,-1.69759635488485,-0.626067659727207,2.61882745471878,17.217975,102.62325
1,20.25,-0.013229725,-5.992835,15.8913,2.17723,12.853975,3.6782825,0.40269875,23.14555,418.50925,18.1349,2226.7925,0.954353,0.671708,0.46545875,319.883290267011,328.834437086093,0.0675753897833333,94.492875,-1.72339253396216,-0.757180545585068,2.43135367016206,17.28715,102.61525
1,20.75,-0.0161396,-6.7161175,12.3046,2.08106,19.144525,3.4986825,0.38113825,23.258625,420.58575,18.242475,2232.6375,0.90192225,0.61450025,0.45032375,320.635228251507,328.44536423841,0.0671725377566667,95.3916,-1.24516894307434,-0.602037508973439,2.35492135367016,17.28675,102.6285
1,21.25,-0.0163947,-6.194265,17.0653,2.128935,17.602425,3.3399625,0.3625435,23.116425,419.78575,18.38425,2197.41,0.88261025,0.6407455,0.4276905,325.610465116279,328.925082781457,0.0671215885333333,95.4926,-1.00820770542073,-0.613850861450108,2.33403002859867,16.992725,102.64475
1,21.75,-0.0172029,-6.6419025,17.447,2.15606,21.89615,3.65731,0.392416,22.9985,419.518,18.32785,2208.01,0.897597,0.651279,0.463284,323.586347975883,328.83940397351,0.0666802591,95.791625,-1.3443081797042,-0.603485642498205,2.5323093422307,16.648925,102.627
1,22.25,-0.032105075,-7.7709875,16.60765,2.1179,25.340425,3.76495,0.393376,22.9558,419.798,18.44435,2222.785,0.971749,0.6799,0.470808,327.04112833764,329.225786423841,0.06643020535,96.0199,-1.41056606349872,-0.763466259870782,2.34302907530982,16.633525,102.683
1,22.75,-0.022922475,-9.908305,16.348125,2.12409,22.784,3.52169,0.384911,22.7991,422.859,18.5951,2195.8,0.901317,0.675728,0.45225,326.595391903531,329.952400662252,0.0665327212133334,96.6468,-1.81860144656283,-0.559050251256281,2.32233317445186,16.920525,102.6835
1,23.25,-0.030056225,-9.05329,24.81475,2.17161,19.565125,3.755405,0.41186125,22.912775,422.18575,18.8092,2207.24,0.96737925,0.669627,0.484183,325.360249784668,329.949503311258,0.0669530090866667,96.536625,-1.35395515504804,-0.488225233309404,2.29008341277407,16.8918,102.66025
1,23.75,-0.0311265,-8.89763,24.14105,2.1582625,19.747,3.93019,0.428339,22.7376,421.85225,18.968425,2212.57,1.0197,0.754424,0.50911,328.731266149871,330.187086092715,0.06667922184,95.757125,-1.03041996804807,-0.821807788944724,2.325102478551,17.2405,102.627
2,0.25,-0.031414,-6.34327,29.49065,3.09226,13.394775,3.91043,0.4272245,23.6181,430.829,23.265,2328.4175,1.022554,0.7120465,0.504789,340.417312661498,339.350165562914,0.0654197412333334,97.5136,-0.70735943588295,-1.17077889447236,1.41449952335558,18.72495,102.603
2,0.75,-0.02683735,-7.56232,27.840425,3.05711,12.2195475,3.71894,0.42635075,23.74485,426.89575,22.52945,2454.585,1.05970325,0.80111025,0.48947275,340.193798449612,339.063741721854,0.0654852861866667,97.6455,-0.767847909915929,-0.64855384063173,2.09164442326025,18.5092,102.60025
2,1.25,-0.034693925,-8.17759,24.4126,3.875665,23.6663,3.882945,0.4373635,23.6776,425.607,23.45595,2461.35,1.023155,0.751913,0.4948465,340.305340223945,338.830298013245,0.0651663534333334,97.87175,-0.70469443027477,-0.503346733668342,2.07391325071497,18.6453,102.568
2,1.75,-0.02899145,-4.6839675,23.315675,3.63415,11.3355725,3.6409675,0.4120965,23.75065,431.20725,22.856,2291.99,1.01705225,0.7344545,0.48092375,335.587424633937,338.793046357616,0.0649421077,97.8608,-0.695646057572361,-0.579750538406318,1.9565347950429,18.42365,102.573
2,2.25,-0.034981,-7.97436,18.54335,3.27407,17.1745,3.49073,0.4037015,23.8488,435.53325,23.3903,2393.23,0.9487485,0.7119585,0.461989,335.204565030146,338,0.0645301179066667,97.86545,-0.631994852582381,-0.536481694185212,1.99569113441372,18.3988,102.531
2,2.75,-0.0236579,-3.5097675,21.66355,3.526005,19.475225,3.40873,0.390047,23.6991,429.0605,22.606075,2164.8825,0.922223,0.691425,0.458169,335.190783807063,337.510761589404,0.06493410598,97.6809,-0.689034882022782,-0.656298277099784,1.92364632983794,18.3723,102.5845
2,3.25,-0.021617025,-7.0080275,18.8094,3.13683,18.448,3.41896,0.394342,23.57865,429.871,22.38395,2159.965,0.9263525,0.7430145,0.4619855,336.622308354867,336.651490066226,0.0658227908333333,97.8082,-0.724990948546349,-0.524104809763101,1.92483794089609,18.2544,102.546
2,3.75,-0.0322658,-3.566535,21.688775,3.39654,19.132075,3.2964975,0.39306475,23.60135,430.47375,23.4247,2185.2925,0.9293595,0.6799165,0.445382,336.2721791559,336.929221854305,0.0648712282666667,97.77215,-0.617070677163583,-0.412794687724336,1.8941658722593,18.14055,102.54825
2,4.25,-0.04571935,-3.67265,24.2501,3.467665,18.9021875,3.437115,0.3920645,23.36315,427.90175,23.160425,2233.68,0.938696,0.6513765,0.45507,338.478036175711,337.247930463576,0.0666158008,97.8893,-0.530444091627942,-0.411047738693467,2.05810772163966,18.15825,102.514
2,4.75,-0.05348605,-5.850465,27.832,3.850205,16.34695,3.397755,0.38167775,23.655075,427.4415,22.6599,2224.175,0.94381575,0.69924575,0.44315925,339.983634797588,338.011175496689,0.0667649686666667,97.9903,-0.374947651474031,-0.350880114860014,2.07638703527169,18.19765,102.48675
2,5.25,-0.037149,-8.89097,27.74385,3.646295,22.144375,3.5807525,0.3969235,23.2207,429.1225,21.36465,2191.64875,0.93674975,0.67935175,0.46295725,338.693367786391,337.396523178808,0.0661001344,97.7928,-0.325977209450485,-0.254427494615937,2.01263107721639,18.2487,102.551
