DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,VPD,TS_3
6,4.25,-0.6192445115,-1.47288,-12.255625,29.58,8.22,2.10475,70.98,0.05075,98.9,2.954,-2.6385,52.5057,1.75966,3.1655,0.35994825,6.04925,4.97575,8.1875,12.2625,3.0510556905,-0.99085,407.85,0.79203,2.628
6,4.75,-0.517797,-1.4696625,-11.318175,43.865,9.09,1.98275,68.3325,0.05275,98.9,4.41625,5.9095,81.2554,2.8931525,3.0665,0.3708275,5.82775,4.68275,7.76325,11.31,2.85705,-1.82106183225,406.9,1.14325,2.65375
6,5.25,-0.65684975,0.2289661045,-9.68165,64.7525,10.2,1.912,64.655,0.05894,98.9,6.2935,17.03,112.68725,4.373505,2.9995,0.4141275,5.556,4.4325,7.454,10.665,2.9363,-2.0067642835,405.525,1.243625,2.644
6,5.75,-1.63078069025,5.79105329425,-5.104685,86.2,11.14,1.869,61.84,0.078424475,98.9,8.41,7.4685,159.02025,5.940665,2.9135,0.476515,5.4565,4.2245,7.1185,10.19,3.16595,-1.27565,402.65,1.641925,2.60875
6,6.25,-2.635945,13.23199071,0.691778,112.225,11.72,1.814,58.81,0.096675,98.9,11.24,14.12,203.974,7.85902,2.82,0.602173,5.27,4.193,6.955,10.12,3.6691,-0.12109,401.8,1.9021,2.778
6,6.75,-3.88185,21.5781,8.41086,105.4,12.19,1.7715,54.4825,0.112155742,98.9,12.7175,46.81,248.1635,9.4096725,2.79025,0.697695,5.1785,4.209,6.92775,10.21,4.278875,1.57956559625,398.7,2.0835,3.043
6,7.25,-4.6396115305,29.5587,20.6949,116.75,12.61,1.767,53.15,0.13898456125,98.9,17.1,69.645,290.645,12.3264,2.737,0.84786,5.058,4.32,7.073,10.45,4.784,3.404500078,397.7,2.611325,3.39
6,7.75,-5.590545,37.1738,29.4111,192.275,13.16,1.7915,49.735,0.163147,98.9,19.02,97,371.54825,14.43075,2.7525,0.93515475,5.12575,4.42225,7.20625,11.235,5.36895,5.93415,395.925,3.266675,3.9525
6,8.25,-6.17816,48.61945,41.952,228.4,13.69,1.848,47.06,0.173188,98.9,21.74,121.1,417.404,16.676,2.764,1.0760075,5.197,4.56,7.473,12.08,6.01319437,7.908683205,393.65,3.7716,4.87675
6,8.75,-6.74,57.36346459,57.10200331,280.45,13.96,1.891,45.455,0.201371,98.9,27.265,150.675,514.36925,19.8787,2.7945,1.1755,5.288,4.729,7.863,13.42,6.5539537845,10.189610075,392.95,4.7604,5.924
6,9.25,-7.205615,66.30125,72.1618,316.675,14.48,1.965,42.315,0.2106,98.9,30.615,178,572.85975,22.2587,2.8195,1.2844,5.5105,4.8955,8.385,15.115,7.149539892,12.396106995,392.3,5.30875,6.64475
6,9.75,-7.71431,77.3661,80.94,380.9,15.0575,2.0505,40.015,0.2286975,98.9,34.245,225,660.21425,25.6004,2.8475,1.351775,5.73,5.2655,8.91,16.71,7.5503672865,14.0345,391.2,5.600925,7.49475
6,10.25,-7.751285,85.3488,92.96305,387.2,15.49,2.148,38.105,0.2290995,98.9,35.87,226.225,682.5245,27.23145,2.891,1.376485,5.837,5.5775,9.49,18.03,8.232232016,15.80815528,390.5,6.2963,8.7875
6,10.75,-8.15875,96.43376393,107.9385,406.9,16.06,2.24725,35.24,0.2386295,98.9,40.285,249.1,701.043,29.3032,2.914,1.4574575,5.88125,5.793,10.1325,19.535,8.8307308975,17.51125,389.675,6.49925,9.13
6,11.25,-8.03317,102.822897025,126.391,436.5,16.3625,2.414,33.38,0.24928539875,98.9,42.575,266.2,749.427,31.45485,3.024,1.476105,5.9795,6.1615,10.955,21.255,9.3835093565,19.28529562,389.6,6.331275,9.7525
6,11.75,-7.7600416545,106.8855,124.845055525,455.5,16.6475,2.576,31.5525,0.25548532325,98.9,43.5675,270.7,790.21,32.3938,3.058,1.540225,6.1775,6.5425,12.035,23.2525,9.9235952445,21.30688852,388.975,6.9623,10.25
6,12.25,-7.561345,107.08975,124.457,465.45,17.23,2.72225,29.8525,0.252826,98.9,43.995,274.975,790.045,32.8422,3.09425,1.591,6.3325,6.869,13.28,25.46,10.347300155,23.029631055,388.35,7.70295,10.825
6,12.75,-7.8075,109.9565,134.774,435.6,17.2125,2.9,28.87,0.27696,98.9,41.58,261.825,751.87,31.9568,3.196,1.6594175,6.496,7.24,14.4,27.6275,10.69928179,24.9333881,388.3,7.75945,11.1
6,13.25,-7.014015,104.529,121.0785885,451.025,17.4975,3.08575,28.07,0.255179852,98.8,41.3975,272.15,782.118,31.614875,3.27075,1.6488,6.6265,7.621,15.565,29.2,11.007,26.6621536125,387.9,7.81455,11.06
6,13.75,-7.203737708,98.9394,103.724,402.825,17.505,3.24175,27.5525,0.275254,98.8,37.31,235.2,680.31425,29.42945,3.30325,1.659705,6.831,8.01,16.64,31.285,11.08081104,27.98,388.5,7.9641,11.095
6,14.25,-6.7887559335,95.60285,101.21868215,423.7,17.7975,3.40375,27.1625,0.27129,98.8,38.1325,245.375,681.0315,29.4655,3.364,1.5843,7.11975,8.36,17.505,32.785,10.993163575,29.725550615,388.025,8.3362,11.14
6,14.75,-6.47,95.55325,98.85395,364.8,17.735,3.495,26.2875,0.2551531925,98.8,34.83,212.7,608.982,26.46905,3.45325,1.537725,7.38125,8.6575,18.4275,33.8725,10.828,30.7171843175,387.85,8.9927,11.2675
6,15.25,-5.92962,88.4489,85.6054,325.975,17.7925,3.589,26.39,0.247569258,98.8,30.8925,180.725,552.8725,23.523375,3.49475,1.488675,7.52775,9,19.37,34.6,10.6558477,31.3816981175,388.3,9.307975,11.2575
6,15.75,-5.54874572,82.58285,71.3581,315.6,17.7575,3.665,26.17,0.24194,98.8,29.46,159.7,494.9825,22.3552,3.591,1.5084025,7.779,9.27,19.9,35.42,10.52391189,31.96411894,388.35,8.846875,11.19
6,16.25,-5.09549,74.51569433,61.6104,282.9,17.7325,3.744,26.085,0.252649,98.7,25.5625,151,449.6775,20.8213,3.691,1.518495,8.03,9.56,20.34,35.805,10.43008522,32.265,388.5,9.122175,11.02
6,16.75,-4.81833,71.5918,53.83085101,248.4,17.54,3.8085,25.855,0.24661,98.7,22.9325,123.4,415.95475,17.855775,3.76525,1.42247,8.33,9.9075,20.57,35.77,10.34173024,32.26458526,388.6,7.916525,11.015
6,17.25,-4.3899925,64.07184634,44.025225,216.1,17.46,3.838,26.33,0.24578875,98.7,20.94,106.3,351.748,15.7687,3.842,1.4326425,8.56,10.14,20.65,35.615,10.314,32.24,388.35,7.9578,10.975
6,17.75,-3.898183509,56.37685,30.60628676,198.725,17.5,3.852,27.47,0.2245865,98.7,17.98,85.575,307.9535,13.2654,3.878,1.3342725,8.83,10.34,20.69,35.265,10.157,31.995,388.1,8.7744,10.955
6,18.25,-3.218339908,49.19715,20.6209342,175.4,17.56,3.8425,27.73,0.217195,98.7,16.27,65.3475,282.9795,12.2939,3.91025,1.253725,8.93,10.5925,20.84,34.8675,10.0402213825,31.4303651625,388.6,8.693125,10.675
6,18.75,-2.5861928075,40.927336115,13.41102808,144.2,17.2525,3.82675,28.405,0.204329,98.7,12.815,45.41,227.12475,9.78524,3.9435,1.1388,9.0925,10.5325,20.635,34.1925,9.955725,30.49007611,389.05,8.6901,10.4725
6,19.25,-1.99058,35.30015,4.38696971675,111.1,16.7825,3.8065,29.1975,0.191381,98.7,10.9975,29.3675,182.396,7.973075,3.9425,1.07256,9.2075,10.5525,20.395,33.36,9.689625,29.5219801425,388.825,7.983325,10.1375
6,19.75,-1.153587997,27.568025,-1.814088476,91.4,16.3425,3.77,31.595,0.1717317685,98.7,8.9525,13.14,146.97925,6.35396,3.95,0.90967,9.25,10.5325,19.955,32.365,9.357825,28.230710895,389.5,7.16665,9.7875
