DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1
1,11.75,0.458641,-0.0705,5.6758866101,1.264675,1.3193625,0.012276992,3.0289056743,24.495821874,0.5493663758,1.00456665575,0.492,0.1385,0.307,96.6474213765,79.20535,410.72693982,142.45,847,473.65,264.45,283.9,307.6,5.412335104125,-0.015671,1.3837660428,1.2107387579,0.5643584142,-0.249,0.3821583441,0.65525,0.4985,1.2,2,3.2675
1,12.25,0.477596586025,0.277,6.1261109534,1.365466666675,1.38381,0.0023958333,0.318822,25.755988044,0.446982322925,1.3482882535,0.5165,0.1465,0.3365,96.566763259,79.1795,411.133360095,140.25,899.75,496,286.95,286.2,309.2,5.36506426425,-0.00776503925,1.482574078025,1.350003140525,0.576029506025,0.071,0.3705966766,0.6575,0.49925,1.2,2,3.29075
1,12.75,0.48683275865,0.476,6.13361,1.3164433333,1.34325,0.00125,-2.00057005,26.5448,0.4128185152,1.84861961455,0.547,0.181,0.3385,96.2081299155,79.1631,410.12639277,130.95,916.75,496.45,298.55,285.65,310.1,5.45874996295,-0.01209213375,1.382197839875,1.297445531725,0.5611106761,0.108,0.3844562394,0.6565,0.4985,1.2,2,3.29425
1,13.25,0.4763575,0.6075,6.1452025,1.206965,1.22095,0.00673611115,2.3966997312,27.0552,0.329537364625,1.9077145226,0.55375,0.1805,0.3655,94.86954915725,79.1583,410.8098138975,117.575,914.5,488.875,300.825,288,310.225,5.5265680835,-0.0142592215,1.4023014028,1.27947843,0.5389358251,-0.00825,0.3576492695,0.652875,0.498875,1.2,2,3.29775
1,13.75,0.455765,0.70875,5.8863375,1.2533988889,1.2497425,0.00840277775,3.095155,29.21175,0.38607092845,1.310792416975,0.56475,0.19975,0.381,95.25226133825,79.1563,410.7811930825,101.05,880.5,472.65,293.875,288.65,310.625,5.6392268128,-0.024641525,1.3126614186,1.2728904116,0.5050405924,0.2526016,0.3535128157,0.654875,0.5,1.2,2,3.292125
1,14.25,0.437382,0.78425,5.9030425,1.1969511111,1.216745,0.010763888925,1.054345342975,28.0359,0.359936815,1.3464665814,0.591,0.228,0.3825,95.3396856825,79.1421,410.24073465,80.55,821,434.45,280.1,286.725,310.25,5.7122838422,-0.017358446,1.3895215265,1.26227131365,0.546037348,0.524,0.33535653475,0.6575,0.5,1.2,2,3.283375
1,14.75,0.44997175,0.80125,5.75611,1.22034,1.22549,0.01203549855,0.3954323085,25.7415,0.2720268078,1.53185671005,0.6315,0.24425,0.40875,95.63060052375,79.1376,410.62326216,57.35,736.075,385.25,260.7,286.525,309.4,5.679286563575,-0.02142085,1.33651801815,1.24329960965,0.53808824725,0.341,0.31310087985,0.65125,0.5,1.2,2,3.279875
1,15.25,0.44390275,0.5565,5.7315325,1.29276,1.29003,0.0229166667,-2.2788975,22.44571058325,0.31054354925,1.5205177026,0.666,0.27225,0.44725,95.75227468475,79.139825,410.5649201725,31.575,618.4,319.65,223.55,287.8,308.15,5.7323537158,-0.00779302075,1.329834081725,1.2356262541,0.505060180825,-0.09109975,0.3505238936,0.652375,0.5,1.2,2,3.284
1,15.75,0.433118,0.43725,5.7296047004,1.3510022222,1.34598,0.0264728187,-3.19889,19.641,0.2552525022,1.79831761105,0.67775,0.31025,0.51775,95.43590486975,79.13827,410.654520275,13.35,494.05,243.25,182.225,289.825,307.7,5.8734529142,-0.01162995,1.3202196787,1.2837367331,0.5021543587,-0.3015,0.37983967445,0.65,0.498875,1.2,2,3.289
1,16.25,0.435787,0.38225,5.4850775,1.282338888875,1.281665,0.0331111616,-5.2513,17.4397,0.23129502255,1.75197498405,0.69425,0.313,0.5155,96.2263866665,79.1421,411.3065604,2.69,346.65,174.325,132.925,290.625,306,5.7164168921,-0.0109912,1.31494085305,1.241234505625,0.5038694277,-0.429,0.4287598395,0.645125,0.5,1.2,2,3.282375
1,16.75,0.403524,0.09825,5.62070845595,1.402785814175,1.3723282019,0.03835884835,-4.8327350675,14.17495,0.2027016319,0.9146563532,0.74475,0.322,0.56225,96.33292630025,79.1395125,412.977024685,-2.725,193.15,82.425,72.3775,289.35,304.525,5.649727177025,-0.0050872095,1.2988129194,1.13042127975,0.481364259475,-0.55969115,0.4108260489,0.64275,0.5,1.2,2,3.279375
1,17.25,0.40913725,-0.4895,5.33574,1.5864922222,1.57162,0.0371527778,-4.1580965175,13.77503657025,0.1309378985,-0.044761655,0.74225,0.33775,0.5325,97.03097705075,79.13741,412.45736565,-5.7525,70.25,29.25,25.66,288.025,302.425,5.542091132825,-0.00199547125,1.2582705701,1.1130039627,0.470448903425,-0.614,0.4527350218,0.637,0.4985,1.2,1.99775,3.26525
1,17.75,0.40969125,-0.6765,5.2625715775,1.6380188889,1.64331,0.0329963124,-7.72757,12.3794,0.17244636395,-0.6021794975,0.73725,0.32425,0.48975,97.25923061225,79.130075,412.19826152,-6.29025,13.8125,3.61825,5.50325,288.425,300.775,5.447595328275,-0.002360679,1.243797544175,1.079487186775,0.48170050845,-0.6866496,0.443815201275,0.63275,0.4985,1.2,2,3.265125
1,18.25,0.43732400175,-0.666,5.3338418905,1.5560022222,1.55012,0.0286111111,-6.517958866,11.74035575,0.161887718525,-1.3374029835,0.70775,0.2965,0.445,97.36213622825,79.14284,412.35425582,-6.20075,2.108,0,1.249,289.35,300.65,5.42713208475,-0.00075208,1.252025289775,1.146499015175,0.53145782345,-0.7700029,0.47711287715,0.6315,0.4985,1.2,2,3.274875
1,18.75,0.4264695939,-0.737,5.65672,1.5690527778,1.59812,0.03125,-10.7337,9.97915,0.2171867299,-1.209907766,0.642,0.28225,0.412,97.1842494615,79.13457,411.6394736925,-8.15525,1.68575,0,1.10225,287.925,299.45,5.5482683174,-0.00052876,1.22875318155,1.1397181526,0.50724547355,-0.97975,0.53204150315,0.632375,0.497,1.2,2,3.26125
1,19.25,0.42881212675,-0.87975,5.589615,1.48546,1.5457575,0.022836973575,-8.106495,12.16685,0.162256399025,-0.63107296225,0.6225,0.26375,0.37625,97.4547087925,79.13136,411.15188353,-6.59075,1.7035,0,1.11075,286.25,298.625,5.5461076049,-0.00154074375,1.26640203085,1.1362426128,0.505259967925,-1.0535,0.4917153098,0.629375,0.497375,1.2,2,3.25525
