DOY2,HR2,G_1_1_1,G_1_2_1,H,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TAU,RH,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
10,1.75,-3.774,-2.974,-19.30090461,4.268121123,0.4524735255,1.432437719,1.2916787291,0.56565225965,6.6347975,0.49534568885,-0.0353,91.3,5.471,4.254,3.66,5.277,1.165,-5.563,-1.141,0.756,298.3,318.1,0.225,0.016
10,2.25,-3.775,-3.109,-15.3111608225,4.538295874,0.41939325875,1.2910950137,1.275633857675,0.584406017625,6.2949604,0.47859419715,-0.026725,91.7,5.334,4.26,3.598,5.299,1.113,-6.445,-1.072,0.6,296.8,318.1,0.169,0
10,2.75,-3.774,-3.05,-19.182537075,4.7323675355,0.481502161,1.55671983975,1.37321235875,0.65728353035,6.6034707,0.475167945,-0.03095,91.3,5.406,4.196,3.582,5.296,1.025,-6.968,-0.965,0.769,295.5,317.5,0.113,0
10,3.25,-3.756,-3.19,-21.3577759175,4.74284275575,0.432153555,1.447587819325,1.3380498901,0.634421902925,6.568054425,0.4734324581,-0.041975,91.7,5.595,4.208,3.523,5.286,0.976,-6.112,-1.127,0.732,295.7,317,0.113,0
10,3.75,-3.748,-3.249,-17.3555861525,4.393870024,0.432962826,1.39759710025,1.303997235575,0.6189442855,6.861139075,0.508181351325,-0.043825,91.9,5.61,4.199,3.498,5.292,0.986,-7.007,-1.1,0.774,297.4,316.4,0.056,0
10,4.25,-3.846,-3.245,-19.51431583,4.330421077,0.405719009,1.2853290423,1.1262226463,0.5438100312,6.5112385,0.5029050636,-0.0404,91.2,5.42,4.199,3.517,5.28,0.93,-8.46,-0.924,0.745,295.8,317.9,0.113,0
10,4.75,-3.87,-3.388,-20.3692486825,4.40426386775,0.40017171625,1.393353199775,1.192893608775,0.55300723585,6.42402595,0.5219998105,-0.040675,91.5,4.817,4.186,3.486,5.262,1.1,-6.836,-0.788,0.784,298.4,318.8,0.112,0
10,5.25,-3.964,-3.36,-16.366345355,4.32258699575,0.3943608825,1.31714860485,1.0880885831,0.473235201475,6.2519496,0.4817204048,-0.0462,92,4.877,4.183,3.501,5.265,0.917,-5.043,-0.817,0.716,298.3,318.3,0.113,0.016
10,5.75,-4.01,-3.453,-17.7243845525,4.24482628375,0.39990529,1.278107997225,1.1657129989,0.54370284145,5.575067275,0.470935926925,-0.038325,91.7,4.408,4.183,3.492,5.256,0.999,-7.834,-0.91,0.749,297.9,318.5,0.281,0
10,6.25,-4.09,-3.52,-13.67005974,4.22519256775,0.37493574475,1.3464450475,1.08199865395,0.50381254045,5.6801178,0.4830918784,-0.044325,91.2,4.429,4.186,3.439,5.208,0.77,-5.448,-0.136,1.045,297.4,318,1.461,1.027
10,6.75,-4.172,-3.519,-12.781470855,4.417010318,0.39343241825,1.22396655375,1.191852639775,0.497363931925,6.076294075,0.43219352935,-0.047025,91.4,4.805,4.174,3.38,5.238,0.789,-4.555,10.31,9.26,299.5,317.6,24.35,18.08
10,7.25,-4.19,-3.563,-13.7650718725,4.62450876275,0.43211465625,1.378878583825,1.209963388175,0.571360605375,6.25990685,0.352152502725,-0.046925,91.6,4.617,4.159,3.361,5.262,1.184,-0.441,66.09,47.62,301.2,319.9,106,83
10,7.75,-4.09,-3.569,-7.81146194425,4.5702201415,0.42378296625,1.359397977075,1.255537378975,0.542513662125,6.372011975,0.337767806675,-0.05545,91.9,5.437,4.128,3.289,5.195,1.991,16.28,166.5,94.4,298.4,323,263.9,170.2
10,8.25,-3.834,-3.57,12.10763494225,4.99503933325,0.4469545165,1.366411917125,1.35572879625,0.597875349875,6.90790895,0.31607129435,-0.06415,92,5.975,4.153,3.295,5.208,3.276,59.11,266.2,167.8,297.8,328.7,424.4,322.4
10,8.75,-3.669,-3.445,44.18403563,5.217046517,0.480177652,1.364648587,1.3477338751,0.6388062969,7.5026209,0.3732233205,-0.0788,91.1,6.834,4.14,3.217,5.189,4.396,116.6,359.3,193.8,294.8,333.7,599.6,412.8
10,9.25,-3.356,-3.246,80.620233615,5.45877635075,0.47058648025,1.3854582226,1.355521138975,0.6475315355,8.09009285,0.42406009685,-0.075275,90.6,7.236,4.069,3.226,5.223,5.556,173.8,430.5,195.1,294.8,338.1,713.1,478.7
10,9.75,-2.772,-3.085,96.755464805,5.372557099,0.485085258,1.5519460666,1.3539166546,0.6386339367,8.5888926,0.50318630575,-0.0733,88.6,7.777,4.115,3.189,5.171,6.788,221.275,515.6,246.35,299.2,343.3,858,579.3
10,10.25,-1.564,-2.808,112.714241025,5.57647024925,0.48364208375,1.454651813625,1.40400358825,0.663196666875,8.692925225,0.5495393019,-0.07025,86.7,8.01,4.088,3.204,5.189,7.305,241.45,569.9,226.9,295.8,347.6,965,605.9
10,10.75,-0.607,-1.898,107.0338446,5.349260682,0.462789132,1.45529312465,1.45280169465,0.6334661048,8.8600963,0.525038405,-0.07645,84.7,8.73,4.082,3.292,5.168,7.769,274,611.8,218.4,299.1,351.3,1031,605.675
10,11.25,2.048,-0.868,140.956834975,5.47937329375,0.49460999475,1.61417906785,1.5530869429,0.67734726135,9.1360023,0.555310572575,-0.081,84.8,8.89,4.066,3.358,5.186,9.64,320.8,656,244.85,297.9,354,1117,732.5
10,11.75,3.282,0.14,127.1489154,5.483073821,0.518776941,1.7341031878,1.648016351,0.6929708558,9.5695995,0.6437176586,-0.081,84.4,8.79,4.041,3.355,5.177,9.73,308.2,680.3,255.95,297.8,354.4,1152,809.75
