DOY2,HR2,CO2,FC,H2O,H,LE,PA,RH,T_SONIC,TA,VPD,TS_1_2_1,TS_2_2_1,USTAR,WS,G_1_2_1,G_2_2_1
1,16.75,593.64485,-0.651561917,3.4524115,116,12.8,93.92259,14.9595,25.018185,24.015,27.3,25.865,19.575,0.3528604,2.411927316,27.81,16.93
1,17.25,594.0631,-0.401521193,3.487792,78.8,11.3,93.92005,15.11245,25.029055,23.835,27.35,24.925,19.475,0.3337934,2.549350719,27.44,17.66
1,17.75,594.2402,-0.165944385,3.366693,35.4,8.73,93.92091,15.2381,24.87244,23.54,27,23.84,19.5,0.3203353,2.527502244,27.07,15.625
1,18.25,595.0602,0.0255183255,3.4774695,0.9,3.71,93.933555,15.8992,24.418355,23.05,25.95,22.555,19.44,0.2405564,2.242681299,16.595,12.9
1,18.75,594.0936,0.140305483,3.630784,-6.72,1.11,93.94666,16.9894,23.58191,21.81,24.5,21.32,19.33,0.1659565,1.9500501755,4.901,8.075
1,19.25,593.66075,0.120317926,3.754583,-14.6,0.745,93.96175,18.5516,22.514875,20.63,23,20.145,18.99,0.1508592,1.785325231,-3.3305,2.907
1,19.75,596.5453,0.1152006425,3.783473,-16.4,0.44,93.97502,19.95175,21.625065,19.81,21.3,19.14,18.605,0.15658575,1.6523507985,-8.975,-1.051
1,20.25,597.8403,0.139850154,3.852994,-15.35,0.47,94.00977,20.69644,20.99401,19.05,19.9,18.38,18.3,0.14627085,1.5609120255,-12.24,-3.7175
1,20.75,598.6774,0.179038618,3.905165,-14.25,0.28,94.01824,21.8463,20.23685,18.35,18.6,17.89,17.94,0.15028835,1.684180503,-14.515,-5.914
1,21.25,600.9318,0.166435158,3.973562,-14.35,0.14,94.03046,22.8284,19.29417,17.24,17.8,17.33,17.61,0.1476962,1.53667183,-16.695,-7.719
1,21.75,602.8034,0.137233272,4.034419,-11.35,0.03,94.04495,24.2136,18.85558,16.9,16.7,16.74,17.29,0.16075585,1.4727785065,-17.31,-9.26
1,22.25,603.6578,0.154707306,4.116459,-14.6,0.185,94.04544,25.574,17.92913,16.05,15.6,16.26,16.99,0.1337921,1.458158568,-18.27,-10.995
1,22.75,605.5256,0.200659687,4.101358,-14.05,0.13,94.05369,26.5883,17.40422,15.51,15.1,15.81,16.69,0.15057815,1.2958347315,-19.21,-12.535
1,23.25,605.2479,0.183079959,4.099581,-17.6,0.055,94.06457,28.07556,16.69961,14.83,14,15.38,16.48,0.16054925,1.357736547,-19.965,-13.69
1,23.75,605.51895,0.1625039375,4.171284,-15.3,0.435,94.07087,28.8283,16.191475,14.43,13.35,14.92,16.31,0.1485427,1.1960873025,-20.39,-14.35
2,0.25,612.2188,0.197449174,4.86232,-10.6,0.4,93.96342,32.40894,15.70798,13.67,12,14,15.335,0.13188545,1.2281561355,-23.31,-19.01
2,0.75,611.6589,0.262198492,4.844375,-12.8,0.53,93.9677,33.76368,15.35617,13.44,12.1,13.87,15.14,0.1382633,1.150210322,-23.665,-18.995
2,1.25,606.072,0.211623187,4.840902,-11.8,0.475,93.97279,35.20085,14.89034,13.05,11.2,14,14.9,0.1337036,1.179758189,-24.16,-19.53
2,1.75,606.8256,0.197138478,4.897373,-15.05,0.53,93.95409,35.9479,14.29744,12.495,10.7,13.79,14.68,0.1326171,1.109172259,-24.565,-20.57
2,2.25,607.4276,0.137802623,4.926661,-10.7,0.65,93.9585,36.0865,13.78675,11.84,10.3,13.475,14.55,0.1298245,1.052097839,-25.285,-21.55
2,2.75,608.835,0.217245031,4.990434,-13.2,0.735,93.96033,37.4379,13.29495,11.79,9.6597,13.205,14.415,0.1293014,1.077601352,-26.07,-22.17
2,3.25,599.5406,0.182014252,4.901801,-11.4,0.855,93.95334,38.71555,13.03336,11.23,9.40165,12.935,14.275,0.1262858,1.007309255,-26.13,-22.8
2,3.75,604.3547,0.1876245005,4.927172,-9.82,1.015,93.931545,40.2614,12.89259,11.005,8.9737,12.65,14.07,0.1144238,0.949226871,-26.505,-23.605
2,4.25,601.5056,0.132826953,4.92768,-12.1,0.545,93.91368,42.046185,12.81889,11.04,8.8506,12.46,14.14,0.1213959,0.980575955,-26.56,-23.73
2,4.75,603.154,0.170772841,4.968571,-11.65,0.83,93.91394,40.695135,12.394455,10.49,8.6832,12.34,13.94,0.1337268,0.905281114,-26.36,-24.1
2,5.25,602.7595,0.14985644,5.035879,-12.3,0.43,93.91602,42.85922,11.837365,10.07,8.19065,12.05,13.74,0.1344447,1.0009878565,-26.32,-24.54
2,5.75,602.74895,0.1555949745,4.969551,-14.6,0.725,93.91737,43.21447,11.950735,9.99,7.8862,11.89,13.54,0.13857995,0.987565314,-26.5,-24.72
2,6.25,604.6328,0.190612383,4.936541,-12.95,0.53,93.91457,43.808315,11.458185,9.695,7.7079,11.66,13.34,0.1404607,1.017288947,-26.4,-24.91
2,6.75,603.8801,0.175104391,4.915021,-15.55,1.01,93.93823,42.99056,11.17215,9.45,7.4389,11.545,13.205,0.1452257,0.919379701,-26.665,-25.305
2,7.25,605.0525,0.128136095,4.935043,-11.45,0.69,93.95329,43.15425,10.84517,9.03,7.2463,11.32,13.03,0.1168518,0.963627746,-26.365,-25.67
2,7.75,604.8633,0.136496379,4.7735305,-5.59,0.44,93.98124,43.3049,10.909385,8.87,7.021,11.15,12.94,0.1324952,0.894296742,-26.36,-25.21
2,8.25,607.2195,0.1484689925,4.766881,-11.6,0.83,93.99968,44.9873,10.891055,9.14,6.9519,11.09,12.775,0.1306571,1.037984392,-25.53,-25.34
2,8.75,608.0733,0.138557488,4.861917,-5.38,1.85,94.03479,42.9913,11.22685,10.05,7.29675,11.35,12.79,0.1480489,0.879673813,-23.635,-24.275
2,9.25,619.9687,0.009810022,5.032859,17.65,6.075,94.06992,40.87594,12.44849,11.185,8.37145,11.82,12.78,0.1992905,1.050437416,-19.46,-20.875
2,9.75,616.97105,-0.261141611,5.03937,48.75,10.1,94.09287,37.10072,14.23121,12.89,10.0235,12.975,13.47,0.2634637,1.4717716865,-13.95,-16.04
2,10.25,617.4596,-0.543695053,5.13152,87.65,11.9,94.112635,32.349445,15.8286,14.73,12.05,14.12,13.54,0.2943073,1.606602114,-4.2565,-9.805
2,10.75,613.90695,-0.698481837,5.115577,116,17.2,94.11573,29.26945,17.69541,16.36,14.35,15.16,14.365,0.3027267,1.596040506,5.999,-6.3435
2,11.25,610.6003,-0.651452509,4.938069,158,21.75,94.12209,25.58663,19.169295,18.12,16.4,16.85,15.995,0.29534605,1.523504342,16.59,-2.385
2,11.75,607.3012,-0.875078478,4.753204,195,24.6,94.12491,22.91887,20.435635,19.38,18.8,18.535,17.055,0.27919645,1.507275847,28.45,2.2115
2,12.25,605.0928,-1.0894273325,4.7538005,214,26.4,94.11995,22.09524,21.388105,20.25,19.9,20.395,17.555,0.2917976,1.8037323445,35.12,7.145
2,12.75,602.3871,-1.073833174,4.352268,232,23.6,94.09,20.4699,21.88778,20.82,21.3,22.5,18.18,0.316563,2.027109926,31.25,15.55
2,13.25,601.1707,-1.3971754475,4.461019,248,31.7,94.048995,19.8677,22.49861,21.555,22.2,22.73,18.64,0.3431947,2.403822571,46.485,23.17
2,13.75,603.6059,-1.250854681,4.2742925,257,31.1,94.02733,18.64331,23.113505,21.78,22.6,23.93,19.68,0.3529382,2.5600331125,69.165,29.905
2,14.25,600.3452,-1.225984653,4.068884,269,30.6,93.97587,17.762,23.418365,22.09,23.2,24.52,19.8,0.3670368,2.511491446,81.5,30.1
2,14.75,600.72245,-1.457815287,4.135924,264,23.3,93.94198,17.428915,23.55323,22.37,24.2,25.475,19.59,0.3670763,2.8048231145,85.25,28.455
2,15.25,600.1744,-1.3737275315,3.984003,241,24.6,93.910415,17.24061,23.90422,22.79,24.6,26.05,20.1,0.4014708,2.8721770585,76.415,29.525
2,15.75,598.2653,-1.141284325,3.99598,230.5,22,93.88229,16.61815,24.416445,23.24,25,26.64,19.96,0.4041844,2.8766078715,50.63,26.34
2,16.25,600.27555,-0.967312233,3.7661475,206.5,21.1,93.86432,16.49125,24.59981,23.32,25.25,25.36,19.67,0.4103001,2.983896383,37.155,25.635
2,16.75,599.1918,-0.7692122565,3.794544,169,21.35,93.829625,16.20546,24.47866,23.29,25.4,24.34,19,0.3960637,2.9544731035,30.7,28.67
2,17.25,598.97,-0.677821464,3.632672,134,17.95,93.83047,16.059,24.274865,23.28,25.3,23.6,18.74,0.3765922,3.076168284,33.49,28.34
2,17.75,599.5923,-0.405727967,3.66582,89.8,13.5,93.83605,15.8111,24.38544,23.04,25.1,23.03,19.01,0.3877095,3.1267907325,31.975,25.31
2,18.25,600.06335,-0.03450515,3.609476,40.2,10.75,93.83516,16.536,24.06015,22.66,24.6,21.78,18.85,0.3410224,3.0464734445,19.85,20.305
2,18.75,601.3802,0.178566061,3.822177,3.57,5.64,93.846065,17.78545,23.425655,21.955,23.45,20.77,19.04,0.2808084,2.52357415,6.55,13.05
2,19.25,603.60065,0.190265484,3.963122,-11.7,1.69,93.850715,19.30308,22.50461,20.615,21.95,19.56,18.67,0.2094129,2.241773617,-4.154,6.2
2,19.75,605.8881,0.186949301,4.167845,-12.2,1.25,93.863415,20.666,21.626795,19.625,19.85,18.72,18.21,0.1650585,1.993968623,-10.68,0.062
2,20.25,606.9025,0.263673725,4.247462,-18,1.42,93.86199,22.0884,20.49,18.7,18.8,17.98,17.805,0.1731612,1.660094162,-14.31,-4.767
2,20.75,609.1844,0.187024059,4.425659,-13.65,1.11,93.88314,23.1465,19.7764,17.85,17.9,17.2,17.37,0.1569189,1.542791089,-17.14,-7.703
2,21.25,608.5761,0.2281125485,4.4207055,-11.7,0.91,93.90632,24.22275,19.51637,17.745,17.45,16.68,17,0.1504984,1.48570101,-18.96,-11.08
2,21.75,604.48315,0.232003016,4.5813515,-13.2,1.04,93.931545,25.1875,18.93552,16.83,16.15,16.18,16.68,0.1521433,1.574995706,-20.12,-13.14
2,22.25,611.6781,0.2198050735,4.616461,-14.6,0.92,93.94134,26.88708,18.315925,16.425,15.3,15.72,16.45,0.1576827,1.601007039,-21.03,-14.63
2,22.75,613.00405,0.251348122,4.730519,-14.5,0.62,93.950265,28.71082,17.54016,15.65,14.15,15.21,16.18,0.150701,1.542361021,-21.75,-15.95
2,23.25,611.0725,0.253026227,4.827169,-14.05,0.635,93.94849,29.9599,16.8119,15.01,13.4,14.82,15.92,0.1332756,1.442029173,-22.54,-17.25
2,23.75,610.8254,0.326318505,4.807891,-15.45,0.6,93.96346,30.5988,15.89064,14,12.9,14.46,15.62,0.1327664,1.263365422,-23.36,-18.42
