DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU
1,14.25,414.3835305,9.6014905,2103.1210125,1.986604,34.441139,128.97136,43.553782,1.50557,0.272475,0.610995,0.317827,102.15,59.44,13.095,6.156211,20.560948,0.4932225,7.9913335,7.779167,7.837167,8.1085,8.9398335,11.516,210.916701,681.41,61.702128,359.4386955,51.1219615,325.325344,389.5129285,-0.0911785
1,14.75,414.611578,9.4824725,2093.1767075,1.516601,31.8266035,104.466467,37.244044,1.464279,0.258129,0.594369,0.298313,102.143,58.55,13.2,6.246447,20.655276,0.4521945,8.0301665,7.8111665,7.8741665,8.146833,8.9671665,11.516,168.681063,588.75,54.255319,305.31,44.8076925,322.930869,388.286648,-0.08074
1,15.25,413.4362395,9.6611565,2087.118911,1.7967755,38.2997025,64.074381,32.6704075,1.409373,0.2469925,0.542322,0.2797025,102.142,58.275,13.335,6.425105,20.7777685,0.334063,8.0444165,7.8413335,7.904667,8.1713335,8.9786665,11.516,111.781606,452.708333,44.468085,235.362319,37.230769,320.4202685,384.921474,-0.0748895
1,15.75,413.9439725,9.6308705,2097.965469,1.7331195,35.020109,25.071376,21.7999735,1.2928785,0.222199,0.4643985,0.251981,102.129,58.35,13.135,6.193809,20.709272,0.257061,8.0595,7.865833,7.9281665,8.1765,8.9858335,11.516,58.4601335,313.958333,31.276596,160.2173915,25.8846155,318.6336005,380.5198665,-0.061741
1,16.25,414.420379,9.7728305,2112.9028195,1.168259,18.235897,-0.7425405,5.973949,1.085567,0.177531,0.3713435,0.199777,102.116,60.4,12.65,5.675344,20.466734,0.219583,8.1236665,7.8835,7.943333,8.197167,8.998,11.516,13.4393045,170.625,17.12766,89.673913,13.769231,315.544101,374.719807,-0.039322
1,16.75,415.527883,9.827262,2153.088119,1.203117,14.898439,-6.924616,0.915617,0.87699,0.1186135,0.290797,0.139795,102.11,64.895,11.815,4.6243245,19.8469915,0.2804795,8.1439165,7.899,7.9731665,8.1998335,9.017833,11.516,-19.5264775,58.958333,5.2210745,27.0652175,4,313.2658515,366.993249,-0.0164645
1,17.25,417.3826045,9.7691435,2222.414562,0.782716,18.3710455,-9.0499385,-0.1458855,0.7477735,0.083382,0.2520145,0.0960285,102.1165,71.175,10.695,3.507938,19.0661125,0.336131,8.1430835,7.9133335,8.003167,8.225333,9.055,11.516,-46.6549895,6.875,0.638298,0.217391,0.461538,309.133709,356.8207345,-0.0067565
1,17.75,422.5043035,9.5312715,2286.218228,0.589003,4.928325,-3.768685,1.053443,0.7958365,0.08636,0.2661495,0.079317,102.122,77.265,9.675,2.765644,18.315045,0.360436,8.1325,7.9118335,8.0086665,8.244,9.082333,11.516,-47.610106,0.208333,0,-3.188406,0.461538,305.1335625,349.471114,-0.005123
1,18.25,425.139215,9.497417,2327.524553,0.568991,15.979973,-5.330607,-0.414664,0.7648715,0.0889485,0.285432,0.086811,102.135,80.45,8.9849,2.165636,18.0308355,0.3300895,8.0994165,7.8773335,7.9983335,8.2283335,9.040833,11.516,-44.364207,0,0,-2.572464,0.923077,303.6848865,346.0971525,-0.006945
1,18.75,427.959269,9.408338,2414.681321,0.7731565,8.9433495,-3.558825,-0.033717,0.7393915,0.087461,0.282394,0.0825395,102.162,84.05,8.43,1.760532,17.509587,0.340378,8.0366665,7.8326665,7.9778335,8.226833,9.006,11.516,-41.125936,0,0,-2.246377,0.923077,303.727747,343.6162125,-0.0047545
1,19.25,430.713969,9.1774555,2475.686214,1.2393555,18.192577,-3.7737695,0.793964,0.7365395,0.088758,0.303719,0.087064,102.165,86.0265,7.8425,1.4712825,17.10091,0.338258,8.0338335,7.803,7.964,8.2055,8.9663335,11.5035,-38.342713,0,0,-2.101449,0.923077,305.407891,342.247748,-0.0051745
1,19.75,431.013309,9.19262,2540.502589,1.255895,19.745,-4.120364,-1.160594,0.7176385,0.091997,0.3026915,0.08202,102.171,87.7,7.3808,1.278651,16.770826,0.354364,8.032833,7.7921665,7.9506665,8.193667,8.9483335,11.504,-34.5058415,0,0,-1.884058,0.923077,307.1295085,341.1060455,-0.004835
1,20.25,432.9445455,9.1429775,2593.8881715,1.513137,21.1420725,-6.8423345,-0.115513,0.777658,0.088172,0.272861,0.090391,102.181,88.7945,7.0915,1.1239955,16.387586,0.3381055,8.0126665,7.773,7.901667,8.1776665,8.895,11.4915,-30.2379875,0,0,-1.73913,0.9615385,308.056755,340.7516245,-0.005875
