DOY2,HR2,CO2,FC,G_1,H,H2O,LE,NEE,NETRAD,PA,PPFD_IN,SC,SW_IN,RH,SW_OUT,TA,TS_1_1_1,TS_2_1_1,USTAR,VPD,WS,CO2_SIGMA,CH4,FCH4,SCH4,H2O_SIGMA,G_2,SH,SLE,T_SONIC,T_SONIC_SIGMA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,U_SIGMA,V_SIGMA,W_SIGMA
7,22.25,370.7913,-5.062075,-6.5,-22.2004,23.4936,-0.57692,0.446725,-72.2375,101.301,0,-1.65772575,0,59.0384532749198,0.9985,23.698625,26.26,26.025,0.03675,0,0.020825,0.0164255725457591,1893.3745,-111.767695,-15.8238065,2.85293839800863,-8.1095,-1.62555325,-4.44112,25.493475,0.05240425301724,28.197,27.88575,27.214,26.64775,26.51725,26.5695,27.25575,25.61375,0.16772566057757,0.15764940951197,0.052776926844992
7,22.75,372.980015,-4.1262939,-7.6,-24.4836975,23.6207,-0.16103219,0.413375,-71.55,101.301,0,-2.82170975,0,72.5125,1,23.44567,26.165,25.87,0.031825,0,0.021,0.0182680004264076,1899.4595,-47.8704205,-13.5439285,3.62611433717568,-9.22225,-2.80706725,-8.540298875,24.87052,0.0487006030130284,28.12375,27.902,27.2235,26.47125,26.3585,26.447,27.01975,25.47875,0.164123497829079,0.157412328672972,0.0573318930872405
7,23.25,364.6465,-3.654475,-8.15,-17.50775,22.90125,8.85992375,0.186625,-71.1425,101.301,0,-2.416499,0,66.293,1.254,23.32105,26.045,25.8,0.0393,0,0.00177500000000001,0.0207799037667569,1899.0778,-93.122828,-21.85758775,2.73300125812744,-9.737,-1.55896375,-3.744083375,24.982925,0.0584378213328172,28.179,27.59825,27.246,26.451,26.26475,26.3495,26.897,25.323,0.17089364040774,0.152644646540552,0.055215188880167
7,23.75,360.13055,-4.8864,-8.65,-17.4188045,23.560375,16.96116,-0.2506,-70.46,101.2,0,-4.2072,0,64.0785,0.88125,23.16,25.915,25.68,0.0305,0,0,0.0134301389756671,1908.802,-40.592551,-20.378116,3.25735657078743,-10.76125,-1.71243425,-3.113702825,24.508,0.0496020879108401,28.1525,27.5755,27.26875,26.2225,26.07675,26.1925,26.73075,25.22625,0.169590023723687,0.156843976740253,0.0593144467019474
8,0.25,374.50865,-7.02496145,-9.54,-11.97143625,25.5628,30.04155,-0.270775,-71.855,100.913725,0,-0.8435751,0,70.719,1.1,23.90252,26.542,26.72175,0.037,0,0.0357250000000001,0.0110932018498276,1913.1543,-367.62625,-26.19789,3.22253063496225,-6.4095,-1.35331725,-3.751736,25.550145,0.0558325583929855,28.643,26.81175,28.08125,27.186,26.703,27.518,26.7345,26.8315,0.160161681385648,0.163768293722029,0.0754502014661581
8,0.75,379.108375,-2.692893725,-10.125,-12.039775,25.7102,21.0254,-0.759,-70.2275,100.9,0,-2.80125,0,70.274986323798,1.1,23.9205,26.5,26.65,0.043875,0,0.00907500000000001,0.0127011632272106,1924.714,-84.239401,-88.973596,4.8779396663808,-6.85425,-0.935351025,-4.3407979,25.609385,0.0529548033682026,28.5775,26.772,28.10475,27.27925,26.6405,27.43,26.681,26.7485,0.161957535577242,0.169271964592121,0.0772776316635031
8,1.25,377.3484,-4.723575,-10.8,-12.8115664,25.499168,31.7707,-0.00554999999999997,-69.0855,100.9,0,-1.6058736,0,71.445,1.18425,23.7729,26.444,26.57725,0.035725,0,0,0.0133587414891161,1916.6044,-123.572305,-87.84821825,4.77177145340513,-7.2575,-0.7910781,-2.4022267,25.74492,0.0473478314480322,28.4875,26.7065,28.06475,27.13275,26.456,27.37,26.623,26.69425,0.155712673329154,0.153443369785831,0.0720085484376147
8,1.75,380.6456,-2.91625,-11.0225,-9.61525,25.361625,18.1757375,-1.8556,-68.18025,100.9,0,-2.4265,0,71.647275,1.08,23.58745,26.29075,26.459,0.03455,0,0.0108,0.0142911150679714,1930.994425,-156.38172,-73.1876150000001,5.39332709816176,-7.6425,-0.715996005,-2.693142,25.5235,0.0532377695936308,28.41,26.60575,28.08825,27.0645,26.47,27.242,26.55,26.511,0.155808811805262,0.144354357560615,0.0648476549313604
8,2.25,380.0160175,-4.0171975,-11.4135,-11.06812,25.1824,22.248311,-0.049675,-68.50025,100.9,0,-2.0321,0,70.842575,1.0925,23.5923,26.22725,26.366,0.033,0,0.02,0.0120129840806654,1950.277275,-119.87312,-149.556075,5.61319057047786,-8.11925,-0.75381668,-2.2962875,25.41231,0.0547121417262984,28.3535,26.486,28.103,26.962,26.26375,27.1,26.4805,26.375,0.154723953040863,0.167811625952053,0.0625314486856818
8,2.75,380.998625,-4.4941078,-11.709,-13.905248,24.64325,2.4703,0.290725,-68.24275,100.9,0,-3.05812765,0,69.333975,0.672,23.484675,26.17375,26.25,0.0358,0,0.00850000000000001,0.0110751309951749,1935.43475,-166.0718075,-29.03372725,5.70101978130065,-8.537,-0.757314055,-4.281695775,25.2733425,0.0503702862012868,28.3435,26.376,28.124,26.822,26.15225,27.0295,26.372,26.21,0.15514569516407,0.156886969217541,0.0705339611015075
8,3.25,382.332675,-2.593089,-12.09,-12.646384,24.93775,7.253767,0.21725,-67.392,100.81745,0,-1.9713,0,74.0513312067845,1,23.45125,26.114,26.184,0.02965,0,0,0.0196351957267455,1937.16,-103.0241375,-50.334585,6.30167798682674,-8.981,-0.66627487,-3.4948411,25.322425,0.0500053868384023,28.29075,26.3515,28.126,26.67,26.073,26.90975,26.274,26.088,0.162400682187675,0.158882319125216,0.064226758279647
8,3.75,376.97664,-5.55119035,-12.695,-8.5359094,25.4484,19.939525,-0.958125,-66.341,100.896,0,-2.2623,0,75.103132,0.731,23.3251,25.948,26.11625,0.0392,0,0.01425,0.0134691475318992,1938.756775,-256.4364275,-47.7900325,6.00998003037547,-9.32875,-0.67468894,-2.1648509,25.1122475,0.0482876081600639,28.215,26.14,28.133,26.5445,25.8825,26.776,26.14,25.99475,0.153609773934462,0.1661466812011,0.0651452549486464
8,4.25,376.2834,-7.28308,-13.535,-9.02793675,25.042625,11.0694675,-0.9454,-65.762,100.89575,0,-1.92684,0,76.79395,1.01675,23.41,25.81725,26.07625,0.0295,0,0.019425,0.0132354367976698,1940.27555,-110.630915,-59.540073,6.18658850321895,-9.5625,-0.5993545,-2.983245,25.121585,0.0466290320818728,28.18,25.869,28.10475,26.41975,25.7435,26.502,25.85025,25.9965,0.160802545368691,0.156340004692539,0.053417125436289
8,4.75,381.55,-3.8078,-14.41175,-12.3224,25.08195,13.468175,0.310875,-66.278,100.9,0,-3.1906,0,75.8436195,0.966,23.41275,25.64,25.87875,0.039775,0,0,0.0162725136910641,1941.07145,-202.09945,-96.7791425,5.90790593289782,-9.834,-1.0154670925,-2.08535485,25.035525,0.0494638294738621,28.1075,25.78,28.11,26.246,25.652,26.458,25.77625,25.83425,0.152646385498674,0.160340446807234,0.0611500872405914
8,5.25,378.24,-4.620625,-15.555,-9.357858375,24.83075,7.388,0.8492,-65.7095,100.9,0,-2.7168,0,76.154,0.993,23.30075,25.4925,25.9075,0.020025,0,0,0.0163189076008677,1974.3554,-79.6197,-26.61476,4.07444766238697,-10.057,-0.656886,-2.27745425,25.119345,0.0488689427825877,28.0435,25.555,28.098,26.214,25.523,26.43325,25.541,25.898,0.145704712295279,0.15334978365223,0.0629743583289827
