DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,LW_IN,LW_OUT,VPD,CO2
10,21.25,1.5337825705,7.262885,0.581881,0,1.6452625,4.7747875,100,0.191044,100.1585,1.7336725,-11.0112,0.048399975,5.059225,1.74401,-3.1989675,-2.79144,-4.0236825,-3.54994,-3.75162996175,-4.14006502525,294.0325,314.6525,1.7975,445.36045
10,21.75,1.603033918,7.1244,0.450383278,0,1.6876275,4.7667975,99.7308,0.189474,100.171,1.771765,-9.7891375,0.04754015,5.053665,1.793615,-3.02452,-2.731195,-4.228795,-3.74338,-3.8265733725,-4.15525048225,296.77,314.585,1.8057,442.5771
10,22.25,1.57999335075,6.78276,0.902818,0,1.45126,4.7658,99.6492,0.192265644,100.16325,1.6857775,-9.9738,0.04717235,5.025105,1.70303,-3.122935,-2.7746,-4.2609725,-3.71303,-2.79991066925,-3.7846975,294.8425,314.5625,1.9313,443.6435
10,22.75,1.4705048255,6.479,1.001363277,0,1.18029,4.77444,100,0.1735129865,100.1885,1.684235,-11.022,0.0438053,5.0453875,1.6441825,-2.7670425,-2.6418875,-4.34223,-3.76433,-3.60917542025,-4.0906976315,293.205,314.4375,1.8464,446.6505
10,23.25,1.280532476,6.234690053,0.281822,0,1.108175,4.775075,100,0.17685461275,100.2085,1.7990275,-10.0634025,0.04738085,5.041775,1.60989,-3.072025,-2.7353675,-4.33948,-3.76751,-3.37513942,-3.93104875,291.535,313.7925,1.80755,447.00215
10,23.75,1.437847386,6.1266075,0.97886,0,1.05315,4.768985,100,0.181420834,100.2175,1.6804375,-9.9606,0.040835625,5.03595,1.3945,-2.2698575,-2.58551,-4.130935,-3.4828425,-3.31764511975,-3.98631269575,288.515,313.4225,1.4929,450.3819
11,0.25,1.0716575,3.350095,0.675445476,0,-6.681105,0.742852,89.595,0.1551025,100.33,1.01519,0.72287375,0.0351091,1.480835,1.690425,-2.964325,-3.56178,-4.5507775,-3.86118,-3.73310889,-4.5655612965,273.7875,291.13,1.09059,440.598225
11,0.75,0.919734431,2.88104,0.68653591175,0,-6.76132,0.7216265,89.9094,0.13646,100.31275,0.944782,0.488129,0.034732925,1.44455,1.67324,-3.625575,-3.75591,-4.60909,-3.96702,-4.21226213775,-4.70652401375,271.035,291.09,1.0874,438.928
11,1.25,1.0038007565,3.233105,0.904925,0,-6.59588,0.7230045,90.3106,0.13885185125,100.28725,1.07193,0.76831575,0.03681615,1.421865,1.700285,-3.95805,-3.792785,-4.593585,-4.105255,-4.1726022385,-4.744301876,271.45,290,1.2323,443.88595
11,1.75,0.847953403,3.2762675,0.923406,0,-6.50668,0.714706,90.620525,0.136956,100.31375,1.18857,0.681975,0.033002675,1.428445,1.6640325,-4.06645,-3.7925,-4.635965,-4.1212475,-5.03998976425,-5.202305,277.92,290.03,1.247975,449.34775
