DOY2,HR2,CO2,CH4,H2O,FC,FCH4,G_1_1_1,G_2_1_1,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_3_10_1,TS_3_11_1,TS_3_12_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_4_10_1,TS_4_11_1,TS_4_12_1,TAU,U_SIGMA,V_SIGMA,W_SIGMA,USTAR,WS
4,10.75,450.325,2050.435,2.3164775,0.0228816,-0.170924425,-5.42775,-4.098,3.873895,0.569807,101.398611013638,72.305,-10.37575,-10.535,0.369304973047708,206.325,278.05,505.133726542006,425.646782585429,51.485,1114.92075118798,1054,-5.4265,-6.58375,-6.274,-4.93975,-5.37725,-5.28780216723585,-5.1775,-5.065,-5.052,-4.88475,-4.83675,-4.8205,-4.619,-4.63625,-4.603,-7.252,-7.29925,-6.5655,-5.98975,-5.77975,-5.60675,-5.19425,-4.93291317017083,-4.77975,-4.68475,-4.53772251650183,-4.62875,-0.0969496,0.497921853109104,0.453448090148324,0.159744836500385,0.15125725,2.774
4,11.25,450.03875,2048.91,2.25565,-0.00244319,0.08792215,-5.23025,-3.78855162400684,9.7206325,1.069835,101.411675,68.8700343772759,-9.93424999999999,-10.1536085759523,0.391575249220339,208.1,280.824917977182,532.706942841204,451.3,55.2275,1141.75,1098.25,-5.43171822410958,-6.57825822127584,-6.292,-4.926,-5.38191207613592,-5.28997413127254,-5.18451629550002,-5.06760888316874,-5.0575,-4.88975,-4.85110784231188,-4.83620284993538,-4.629,-4.65175,-4.613,-7.10471422560172,-6.99790291028259,-6.54301507838208,-5.98575,-5.7765,-5.609,-5.194,-4.92625,-4.7785,-4.68899677810992,-4.54841422206751,-4.63075,-0.1127485,0.461217628110012,0.431609666363494,0.171294079696543,0.16243525,2.8665
4,11.75,449.896,2049.455,2.269235,-0.009449715,-0.30984225,-5.1953140418701,-3.60575,6.5582725,1.7945425,101.437,69.7640263848368,-9.51275,-9.6325,0.426274248462042,210.625,281.95,557.55,464.475,60.953410885672,1175.8541267312,1111.75,-5.43,-6.5725,-6.2935,-4.923,-5.423,-5.307,-5.20700489793254,-5.06829827160063,-5.066,-4.896,-4.867,-4.843,-4.64,-4.667,-4.62888700829283,-6.675,-6.713,-6.584,-6.001,-5.788,-5.632,-5.195,-4.93,-4.79,-4.693,-4.554,-4.684,-0.1070735,0.511338200364856,0.462022701727789,0.170943112457943,0.1527605,2.746
4,12.25,449.8505,2049.825,2.246825,-0.019994275,-0.60095,-5.111,-3.5165,8.02066,1.337215,101.411748543425,68.9559706116758,-9.06099999999997,-9.37540072994726,0.470580028322237,210.45,283.1,561.4,459.675,59.9775,1173.25,1109,-5.42175,-6.56,-6.29225,-4.91264428416314,-5.421,-5.321,-5.211,-5.066,-5.064,-4.895,-4.878,-4.853,-4.639,-4.655,-4.66175,-6.556,-6.433,-6.591,-6.016,-5.78827749607995,-5.63,-5.201,-4.922,-4.794,-4.698,-4.556,-4.696,-0.093540675,0.544565872143232,0.428666996172801,0.169749384622909,0.16087075,2.777
4,12.75,449.82475,2049.78,2.2796625,0.0061065525,-0.4269655,-4.64425,-3.28475,8.6420775,1.4550175,101.3931,67.9675,-8.94774999999997,-9.07231323329811,0.435039063891278,210.659324823977,283.575,550.625,448.825,59.1175264712777,1162,1090,-5.42155764447757,-6.49575,-6.28950821653017,-4.89025,-5.41879127172368,-5.333,-5.206,-5.069,-5.068,-4.89761088571057,-4.88348881902443,-4.857,-4.64546262566901,-4.66059339054404,-4.6622987800175,-6.55666103584448,-6.4221582888562,-6.46,-6.02634707383699,-5.771,-5.63075567636942,-5.20446109073622,-4.908,-4.79891406579128,-4.70326360456281,-4.559,-4.701,-0.100471475,0.497798357266229,0.456050402133653,0.170473303087787,0.142709,2.76
4,13.25,449.6905,2048.475,2.3021875,0.01912255,-0.2355855,-4.2455,-3.0645,5.0004375,1.748395,101.382675,67.9082177544451,-8.7765,-9.0125,0.464472555894611,210,283.6,559.868741860657,450.8,56.2475,1161.5,1098.13272149683,-5.42175,-6.381,-6.28126085512088,-4.86725,-5.416,-5.337,-5.198,-5.068,-5.076,-4.899,-4.884,-4.872,-4.656,-4.671,-4.65350422544446,-6.545,-6.36,-6.273,-5.996,-5.755,-5.637,-5.203,-4.905,-4.807,-4.712,-4.582,-4.703,-0.11431,0.519454684940932,0.471230732222446,0.171916549140016,0.15050825,3.1115
4,13.75,449.5545,2048.6975,2.268785,0.0100467625,-0.580515,-3.952,-2.84125,5.47846,1.82223,101.389525,66.845,-8.69349999999997,-8.885,0.462214578649229,209.425,284.531464117758,529.5,436.35,57.5825,1092,1044.5,-5.41175,-6.274,-6.26775,-4.853,-5.411,-5.338,-5.178,-5.072,-5.08124947172301,-4.90304012919255,-4.884,-4.883,-4.675,-4.67896587209238,-4.6447949343597,-6.528,-6.35,-6.27,-5.972,-5.761,-5.643,-5.202,-4.904,-4.811,-4.72,-4.574,-4.725,-0.10718,0.520674766949798,0.45255248817213,0.172244032126181,0.160678,3.00825
4,14.25,449.6385,2049.72,2.26515,0.011134515,-0.397618,-3.62825,-2.64509429232646,5.89236,1.56891,101.386125,67.17,-8.54574999999996,-8.9150031080659,0.462384892903412,209.5,283.4,504.95,404.65,52.0247671144932,1024.25,954.75,-5.4047230386682,-6.24020750772383,-6.2495,-4.83525,-5.39707844487041,-5.329,-5.175,-5.067,-5.083,-4.89996090434411,-4.88098904651026,-4.879,-4.654,-4.679,-4.63325,-6.50041517939124,-6.343,-6.257,-5.965,-5.75111143593661,-5.63486098654184,-5.204,-4.9,-4.81066575815406,-4.717,-4.57,-4.722,-0.11956225,0.488349819028827,0.405153258585937,0.178558289018211,0.1455335,3.10325
4,14.75,449.78025,2050.405,2.3042875,0.011242275,-0.17445,-3.41625,-2.48525,5.0537525,1.455995,101.37975,64.375,-8.46449999999999,-8.8775,0.45713550922503,206.9,282.45,459.85,349.775,45.0963884184419,913.773515904898,867.5,-5.3935,-6.1795,-6.23475,-4.8115,-5.384,-5.32,-5.167,-5.057,-5.083,-4.895,-4.878,-4.882,-4.65,-4.672,-4.61811180596405,-6.469,-6.372,-6.221,-5.965,-5.743,-5.627,-5.198,-4.896,-4.806,-4.715,-4.561,-4.724,-0.11348725,0.485291762328263,0.464365664821805,0.164836400447319,0.15386375,3.201
4,15.25,449.77525,2050.3025,2.32442,0.020622475,-0.2448615,-3.00866377451902,-2.31825,1.8897475,0.99269975,101.38445,66.2370312238762,-8.55399999999999,-8.91219182445272,0.483620174519053,204.715603382255,281.6,416.906129123075,315.375,38.2997997153783,833.75,778.65,-5.37675,-6.1125,-6.21025,-4.79025,-5.353,-5.31375,-5.16625,-5.05600390190572,-5.083,-4.89532076989411,-4.875,-4.8695,-4.65025,-4.66675,-4.607,-6.41675,-6.3415,-6.169,-5.9505,-5.75075,-5.62225,-5.1895,-4.89125,-4.80325,-4.713,-4.56825,-4.75475,-0.1073945,0.488299387320673,0.450702552700708,0.164769472296803,0.1423245,2.73175
4,15.75,449.74475,2049.6225,2.313105,0.0184395,-0.0208534,-2.895,-2.15498422914577,-1.659125,0.6760655,101.40835,69.6310750999261,-8.54099999999999,-8.99484601753788,0.502305160476789,204.025,280.525,353.885539610502,276.25,27.5756853042581,711.275,669.25,-5.36873395995154,-6.0575,-6.17445932227708,-4.77575,-5.3185,-5.305,-5.173,-5.07247939808851,-5.08195721631754,-4.90006133765918,-4.87812921348891,-4.87438604470467,-4.6588348130293,-4.68282969710753,-4.64191547284406,-6.35845670446597,-6.32230985203662,-6.12625786011358,-5.99449120175425,-5.75438666470321,-5.65406954626848,-5.22596478376984,-4.9206646235922,-4.81047838597051,-4.71585937380278,-4.58159502975878,-4.7459811279186,-0.10415925,0.479468565483866,0.386370797985726,0.156756243587116,0.1549395,2.765
4,16.25,449.88325,2050.1725,2.3197275,0.0211964,-0.02845875,-2.67318528254271,-2.07075,-3.513,0.56501225,101.442975,68.4725,-8.59675,-8.9475,0.507532629411341,204.25178339147,278.902946019954,306,231.9,20.41,607.9,560.2,-5.3532425522566,-6.00725,-6.13808321158462,-4.75625,-5.2375,-5.26525,-5.1645,-5.05271365523235,-5.0755,-4.8945,-4.86125,-4.8634171612916,-4.65075,-4.66375,-4.601,-6.27419814263579,-6.25264825447824,-6.03908418298619,-5.95525,-5.7415,-5.627,-5.19825,-4.89075,-4.80325,-4.71229103631192,-4.573,-4.68724832517026,-0.100879425,0.481195903296441,0.376884774880385,0.157271470535063,0.14468925,2.809
4,16.75,449.75,2051.29,2.2829625,-0.00666165,0.00442095,-2.44925,-1.9865,-7.9342,0.18865525,101.443138419198,67.085,-8.64699999999996,-8.92,0.478351140606499,206.075,276.40439850235,228.025,172.325,14.7352590333994,450.325,412.225,-5.32625,-5.9495,-6.10325,-4.73275,-5.233,-5.26375,-5.16075,-5.04675,-5.0625,-4.88325,-4.85025,-4.84475,-4.64875,-4.64875,-4.621,-6.3365,-6.245,-6.01925,-5.95125,-5.71918534320478,-5.61075,-5.20125,-4.88875,-4.7865,-4.69275,-4.5665,-4.677,-0.096246025,0.564244018442651,0.335528271714561,0.157026328633323,0.14688875,2.609
4,17.25,449.7105,2051.5825,2.2739675,0.02023745,-0.0242139375,-2.24975,-1.903,-11.0341,-0.1007822,101.442699889634,66.9678647962632,-8.6125,-9.29,0.423296563658111,209.05,272.5,174.025255464306,133.2,3.55069057246508,331.871315748201,300.75,-5.28694280759901,-5.90617460657715,-6.0635,-4.71725,-5.23225,-5.267,-5.15205271600234,-5.04462983632697,-5.05501375707895,-4.87857721925586,-4.8451405813623,-4.83725,-4.63875,-4.65,-4.62320059718424,-6.35825,-6.231,-6.00501572008724,-5.90982067218194,-5.70664339944895,-5.59950754551104,-5.20375,-4.889,-4.77653489770425,-4.68425,-4.55175,-4.66325,-0.085137225,0.488514002713048,0.321246471551984,0.150388901815506,0.1309025,2.7685
