DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,T_CANOPY,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF,PPFD_IN,PPFD_OUT,NETRAD,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_A,TS_1_2_1,TS_1_2_2,TS_1_2_A
1,18.25,2.6237,0.3746,0.3848,0.1556,7.885,6.022,61.13,97.6194,10.22565,0.20655,406.22565,7.8661,0.4775,0.4775,-22.0336,6.6145,0.1954,6.1805,0.579,281.8,331.7,2.849,0,0,-52.293,-7.615,-14.35,-9.35,-6.722,-9.7388,5.876,6.236,6.056,4.802,4.854,4.8415
1,18.75,2.5386,0.5654,0.4558,0.1773,6.286,5.189,64.42,97.6675,9.0199,0.35695,407.43865,7.6366,0.3792,0.3792,-27.2794,6.9177,0.1739,6.1805,0.7045,279.1,328.4,2.053,0,0,-47.836,-9.65,-16.91,-12.34,-11.57,-13.5425,5.868,6.158,6.014,4.862,4.937,4.9125
1,19.25,2.363,0.5069,0.4185,0.2039,5.455,4.593,67.12,97.6215,7.6933,0.2972,409.4934,7.5867,0.5716,0.5716,-30.58255,7.0858,0.1863,6.1805,0.874,290.5,325.4,1.745,0,0,-45.032,-11.58,-17.17,-11.68,-14.65,-14.75,5.788,6.015,5.9145,4.923,5.012,4.9815
1,19.75,2.6588,0.522,0.4173,0.2385,5.22,4.48,68.91,97.5973,6.98015,0.26155,411.1034,7.3792,0.4587,0.4587,-31.0913,12.72795,0.2113,6.1805,0.831,284.2,324.5,1.588,0,0,-45.731,-13.07,-19.63,-14.13,-17.31,-17.0875,5.697,5.838,5.7735,4.979,5.083,5.0445
1,20.25,2.5578,0.5334,0.4121,0.2356,4.555,4.181,71.08,97.6006,6.83965,0.315,411.36245,7.42755,0.48715,0.48715,-30.8194,10.91555,0.22305,6.1805,0.891,272.5,322.1,1.489,0,0,-46.047,-13.86,-21.33,-14.94,-19.51,-18.115,5.581,5.647,5.614,5.032,5.142,5.0585
1,20.75,2.6317,0.5098,0.4301,0.2335,4.511,3.65,70.64,97.5915,7.2714,0.2944,410.8405,7.109,0.4263,0.4263,-25.4328,7.2601,0.1931,6.1805,0.868,272.1,320.7,1.499,0,0,-49.794,-14.79,-23.15,-15.94,-21.17,-17.3375,5.435,5.446,5.4405,5.081,5.191,5.086
1,21.25,2.7338,0.6099,0.5074,0.2369,3.55,3.303,72.88,97.5745,6.9011,0.197,411.1512,7.03,0.09065,0.09065,-28.35945,9.0451,0.23865,6.1805,0.749,271,321.3,1.693,0,0,-48.129,-15.56,-25.19,-15.43,-22.42,-20.79,5.271,5.223,5.247,5.121,5.234,5.137
1,21.75,2.616,0.5528,0.4693,0.2486,3.226,3.042,71.83,97.5783,6.5193,0.3798,409.8628,7.08915,0.42455,0.42455,-23.00145,11.539,0.23375,6.1805,0.6315,268.7,319.8,1.505,0,0,-48.922,-15.05,-26.05,-15.74,-22.6,-19.345,5.093,4.987,5.04,5.158,5.263,5.1815
1,22.25,2.8448,0.6849,0.4952,0.2405,3.091,3.158,72.99,97.5776,4.982,0.3543,411.8496,7.11315,0.4118,0.4118,-25.12005,6.47115,0.2264,6.1805,0.925,267.1,318.1,1.288,0,0,-53.397,-15.01,-23.7,-15.29,-21.9,-19.285,4.908,4.758,4.833,5.187,5.287,5.2185
1,22.75,2.661,0.571,0.5044,0.254,3.018,2.72,77.2,97.559,4.9781,0.3593,411.0699,7.07205,0.5664,0.5664,-26.71835,10.3612,0.2202,6.1805,0.832,265.7,316.5,1.444,0,0,-54.297,-14.5,-24.78,-15.22,-21.98,-18.6825,4.726,4.534,4.63,5.211,5.301,5.251
1,23.25,2.8959,0.5249,0.4801,0.2453,3.094,2.897,75.32,97.5203,5.4647,0.2668,411.4022,7.1,0.5937,0.5937,-29.45,9.63335,0.2249,6.1805,0.857,266.1,314.9,1.273,0,0,-52.007,-13.41,-25.45,-14.02,-20.87,-17.4175,4.544,4.318,4.431,5.234,5.306,5.276
1,23.75,3.2057,0.5926,0.4668,0.2421,3.03,3.102,76.36,97.5067,4.2574,0.3248,411.6218,6.8934,0.7063,0.7063,-23.0897,6.1212,0.236,6.1805,0.7005,265.5,314.1,1.595,0,0,-57.025,-14.16,-26.31,-14.12,-21.1,-18.4175,4.368,4.11,4.239,5.221,5.309,5.286
2,0.25,2.69425,0.5337,0.445,0.2296,4.284,2.989,67.25,97.53165,5.429,0.47645,409.024,8.9749,0.6085,0.6085,-30.9618,7.3437,0.2141,5.762,1.017,267,317.8,1.328,0,0,-60.206,-16.79,-27.605,-18.685,-25,-21.09875,6.568,6.5065,6.47075,7.1495,7.407,7.30675
