DOY2,HR2,H,LE,FC,SH,SLE,SC,CO2,H2O,RH,VPD,WS,USTAR,LW_IN,LW_OUT,RH_1_1_1,NETRAD,SW_IN,SW_OUT,G_1_1_1,G_2_1_1,G_3_1_1,TAU,T_SONIC,TA,PA,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA
1,11.25,-3.03285875,46.354735,-19.31639125,-5.45100515,-8.65053975,-1.73502475,373.346,8.6200325,42.7361845,0.06054503,1.2820473,0.1927892125,266.915925,362.25388,45.38842125,76.1026225,90.643363,9.40454,-21.520988,-29.157032,-24.123572,-0.879736625,15.448677,11.0195055,101.749385,0.541551564375,0.548084095,0.2775849125,0.3418310626,0.8637327375,0.119449048625
1,11.75,-13.34416555,45.41217875,-29.17220875,-5.7022824,-10.317365,-1.4353835,374.783675,7.69044325,45.7556405,0.0925689005,1.05936905,0.205230665,271.594375,367.139,46.73133925,104.7129,123.47546,13.718117,-19.245838,-24.552722,-20.025444,-1.0242541,16.485047,11.1873985,101.804635,0.52159136,0.477836715,0.305075915,0.326227595,0.8264045875,0.1312189625
1,12.25,-19.218919,11.7085179,-33.435112,-7.82628515,-15.896611,-0.686322515,375.49127,8.4596438,42.369965,0.10251773,1.0393536,0.20748215,275.171415,373.43097,43.5956685,95.237742,110.36184,10.11485855,-17.293684,-20.005332,-14.65351,-0.876923405,18.4286665,11.8698695,101.755155,0.565419245,0.567198505,0.30627709,0.3887729,0.85656416,0.128134975
1,12.75,-3.029555,48.95051525,-45.833325,-5.358818125,-12.404999,-1.787732525,372.1668875,7.97508025,41.926905,0.0942502700000001,1.082291625,0.1628706125,277.8106375,373.1815375,37.6600265,108.3308375,147.71335,15.03384375,-15.5371,-14.886646,-13.190612,-0.9325255,18.62966875,11.45326875,101.6929,0.5904402875,0.576344049125,0.3157505375,0.3815087935,0.9527155875,0.13726417
1,13.25,4.3356055,32.659838,-12.3224375,-5.9519425,-7.37817125,-0.209230375,375.27993,7.764587125,38.9232,0.1064691875,1.26586,0.21447141,280.034945,375.32499,37.25762875,63.303851,77.267138,7.19408515,-11.849954,-7.6820276,-9.981804,-0.85661,18.9894725,11.487692,101.62619,0.576867945,0.54361959,0.33068765105,0.3689199129,0.9241379377,0.109778775
1,13.75,-18.520317,37.738185,-15.30947,-6.8096636,-5.5256044,-0.85920084,375.50241,8.012425125,36.62315375,0.1050268375,0.98732712,0.221487955,272.945785,376.99967,36.0455295,64.0832375,82.7511845,7.9083208,-11.943196,-5.919694,-8.7285506,-0.828419505,19.0445775,12.0868975,101.606625,0.55593684,0.59570926755,0.3225654481,0.33774971,0.89264865,0.10899448
1,14.25,-17.37689125,23.55824375,-22.286645,-5.9464685,-6.9181383,-2.0124881,372.330275,8.12660665,36.960328,0.207504385,1.2921412,0.1838498375,277.86156,374.581335,35.024409,64.3283825,78.68267,8.0940555,-11.500448,-5.5169936,-7.452752,-0.8688696125,19.01184,12.176499,101.631635,0.55752301,0.552613825,0.3021665875,0.263912012,0.6914463697,0.089556575
1,14.75,14.164425,21.2138915,-10.0238373,-5.7559415,-6.09646295,-1.25033659,376.58255,8.50866135,38.2893135,0.153084235,1.09525915,0.20281841,274.427535,373.1138,35.509659,59.648915,92.15839,10.898515,-10.859808,-5.6371792,-9.587012,-0.85870504,18.732126,12.177033,101.635525,0.5608593506,0.49620352935,0.29006988,0.2111470984,0.57251081,0.0839305845
1,15.25,-18.1253735,-8.631314,-6.50917835,-5.288884,-5.7616412,-2.39465645,351.21348,8.7449248,40.2223385,0.1523584895,1.5238395,0.20024818,271.71526,369.81249,36.675032,58.4568545,86.848472,9.2105243,-10.558608,-5.5100892,-11.9261,-0.7748575875,18.5201995,11.876044,101.63741,0.608530685,0.50959419165,0.30024652,0.20163016995,0.445586585,0.08540184
1,15.75,-33.075815,10.50376295,-15.998905,-7.05120035,-13.347981,-0.512001555,369.18037,8.70851995,41.455961,0.141459165,1.7867495,0.23443945,269.76024,368.270755,36.50810525,35.2952125,47.9560585,5.1334918,-11.117172,-6.221296,-12.87352,-0.86054946,18.0454575,12.7500815,101.664975,0.65304242285,0.53064792,0.2918585505,0.16821027995,0.306172605,0.0743407785
