DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,G,SG,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TA_1_2_1,RH_1_2_1,TA_1_3_1,RH_1_3_1,TA_1_4_1,TS_2_1_1
1,5.25,411.35,1.297738,2.4364165,0.0697761,0.2792953,-1.36401545,-4.759974,-4.665382,-1.4645985,1.336349,0.10311955,-0.011195555,0.5116022,0.4390039,0.08958482,83.749415,-6.509119,58.7521473333333,1.705127,-5.432716,0.46145755,-1.6881365,-33.89939,0,1.147091,232.49495,275.689,-5.831516,55.27265,-7.0819,86.89962,-1.9044765,-1.8546715
1,5.75,411.8962,1.194723,2.391521,0.06731492,0.2480191,-0.8933803,-4.4719335,-10.22845,-6.429206,1.44871,0.11289965,-0.01437719,0.49892645,0.4312405,0.092666205,83.730855,-6.3685755,58.97002,1.722658,-5.4954975,0.44965675,-1.775118,-26.09031,0,0.5640799,234.66845,272.7958,-5.9477795,55.3873,-7.235588,86.02203,-1.8530825,-1.957587
1,6.25,411.514,1.148188,2.350768,0.06607102,0.23127795,-0.5552467,-3.13065,-6.964035,-3.729669,1.3996465,0.1109584,-0.01195231,0.45519335,0.45345085,0.09135289,83.73665,-6.751351,59.37992,1.770084,-5.791173,0.48913735,-1.824269,-30.37081,0,0.56803585,232.28225,271.3427,-6.4217115,55.87814,-7.5241455,86.449445,-1.4838715,-2.055222
1,6.75,412.3065,1.34374,2.254733,0.070288335,0.152456,-0.62697755,-4.080688,-8.356446,-4.5331045,1.301598,0.10876065,-0.011273915,0.45815305,0.41297545,0.081952645,83.73419,-6.8196505,58.09661,1.706419,-5.9203015,0.4696983,-1.849437,-31.887085,0,0.6106554,227.1596,272.3777,-6.478848,54.7626,-7.886151,86.41259,-1.44821,-2.23075
1,7.25,412.7134,1.223664,2.380099,0.066983815,0.12556235,-0.3529267,-2.167963,-9.418527,-4.8918015,1.4106105,0.10269025,-0.009368115,0.4426035,0.4105699,0.075947615,83.72826,-6.9114155,57.788025,1.729297,-6.02381,0.4825146,-1.9166645,-30.50588,0.01063333,0.6631993,227.9764,271.6423,-6.5839825,55.4543,-7.9841945,85.91141,-1.1084125,-2.250542
1,7.75,413.20905,1.355125,2.415131,0.063516185,0.22701235,-0.3208688,-3.2179575,-16.192345,-8.477836,1.2962905,0.11253345,-0.011400565,0.46331865,0.4335343,0.08694552,83.72739,-6.445284,57.16356,1.6801895,-5.6019095,0.4409671,-1.946473,-16.256425,11.88043,5.209031,233.6589,272.5709,-5.909966,54.81331,-7.8872575,86.2353,1.22019985,-2.234436
1,8.25,411.2485,1.224486,2.476716,0.08796265,0.1173196,0.6718161,-1.519942,-11.28127,-5.6981785,1.3427935,0.1010102,-0.0089437245,0.4717057,0.3688126,0.09455907,83.71647,-5.89395,55.31597,1.770109,-5.2752235,0.5216756,-2.1583475,10.784595,75.7544,21.982195,228.11365,274.73535,-5.7531045,54.28243,-7.094326,85.70287,1.125411,-2.70814
1,8.75,410.3522,0.9589849,2.6516275,0.1092296,0.356263,2.5296975,-0.2907726,-3.1286475,0.4757637,1.279053,0.1191289,-0.0135629,0.423961,0.39719045,0.12314645,83.721305,-4.774931,53.925445,1.877773,-4.2918415,0.49028475,-1.7682225,53.09839,160.21535,43.186965,227.9543,281.99085,-5.0209595,55.63122,-6.263494,86.37218,1.2779655,-2.6174805
1,9.25,409.46845,0.9776267,2.812944,0.1172692,0.2003909,10.14796,6.693507,1.339372,6.7881465,1.347845,0.13304945,-0.01647963,0.4379842,0.42066135,0.1456906,83.73378,-3.7017005,53.32432,1.974338,-3.6749665,0.4333631,-1.409148,85.967495,238.1636,72.57775,232.11785,292.4274,-3.965605,56.00386,-5.222951,85.62539,1.590675,-2.361462
1,9.75,409.5599,0.9732537,2.893174,0.1345343,0.433513,21.17021,8.5444245,1.9458,4.9135635,1.467935,0.13198385,-0.015922305,0.44825585,0.43370605,0.1715456,83.761535,-2.658783,51.530915,2.295637,-2.777023,0.4341621,-1.2728,139.71605,322.2743,101.8884,232.9722,301.3091,-3.093969,53.32261,-4.3748735,83.97689,1.4688375,-2.118943
1,10.25,409.8066,0.7361857,3.018795,0.1391681,0.3372344,30.769875,18.97838,2.681963,6.2823135,1.5113695,0.1425193,-0.01870967,0.50867995,0.44888605,0.1982211,83.775225,-1.629681,49.79531,2.6467295,-1.8968635,0.457695,-1.2927375,165.37385,363.966,131.23395,233.654,308.14275,-2.149991,51.771705,-3.261043,80.9046,1.4811365,-1.819371
1,10.75,410.60185,0.845734,3.211516,0.1307985,0.46669385,37.560875,36.004975,9.0292035,13.51133,1.548549,0.15463805,-0.02179457,0.5158671,0.48312435,0.20575185,83.75352,-0.38174595,47.265145,2.977963,-0.75968385,0.51266605,-1.2905105,188.04365,441.23885,156.5388,237.81195,311.03,-1.01033785,48.83881,-2.693905,77.23635,1.7712945,-1.4675445
1,11.25,409.86375,0.7581976,3.340497,0.124595,0.3437605,38.7963,35.84798,12.22156,13.594225,1.7186165,0.1629975,-0.025704445,0.53929125,0.55399485,0.21719245,83.737895,0.4562555,45.25807,3.4485065,-0.10971925,0.4871823,-1.1734855,223.3829,497.9343,178.93485,243.45355,312.8978,-0.3486267,45.90476,-1.646154,73.5731,2.067065,-1.322058
1,11.75,410.57275,0.8216041,3.474898,0.131013,0.26282065,42.16488,41.91196,5.984902,9.372827,1.567793,0.16589315,-0.02587405,0.58943245,0.58931945,0.22713935,83.711395,1.6038125,43.45051,3.684362,0.48738725,0.5006668,-0.9441452,226.0049,523.86155,190.3362,243.82565,314.3456,0.18955475,44.37084,-1.0775875,70.58773,2.3671165,-1.2775425
1,12.25,410.96285,0.71717685,3.530098,0.1266708,0.2305736,40.1684,49.90302,6.9454445,9.995234,1.4317595,0.16984645,-0.03012414,0.61557695,0.623585,0.2291903,83.715745,2.0775735,42.26719,3.609347,1.125267,0.52210735,-0.9578002,243.44385,552.13665,177.7498,245.94005,316.9022,0.89761595,42.5638,-0.49361245,68.06978,2.694948,-1.21029
1,12.75,411.2386,0.7646612,3.49343,0.1216891,0.19504475,36.46549,36.79705,8.204766,14.30082,1.2421935,0.17406075,-0.02681663,0.56982865,0.6248124,0.23316895,83.66724,2.4337155,40.25903,3.6851775,1.5447165,0.4543386,-0.84112235,243.67565,525.8207,202.2628,248.31405,317.79865,1.2330745,41.96552,-0.03013195,64.8407,2.914949,-1.137
1,13.25,411.3811,0.7959801,3.602056,0.11656075,0.3145697,41.49733,41.6405,5.9926145,10.422895,1.3797785,0.15753315,-0.0234487,0.6092092,0.61021135,0.2280179,83.6292,2.5270265,39.77155,3.84399,1.9977055,0.49669985,-0.7473581,236.021,516.5795,195.6031,249.0865,318.57185,1.681511,41.17992,0.31903195,65.19876,2.9799445,-1.02947
1,13.75,410.7669,0.76134535,3.5422215,0.11314495,0.3219869,36.32976,29.9306,1.419787,2.300053,1.3208975,0.1543073,-0.02457291,0.62363655,0.61839105,0.218747,83.61927,2.4759285,39.434595,3.963488,2.4941935,0.39625545,-0.7227378,223.05275,480.09395,179.7132,250.6732,317.82315,2.118722,39.74789,0.00336389999999999,66.04204,3.234232,-0.93990095
1,14.25,410.7417,0.6946962,3.61553,0.1176396,0.3482338,34.59007,33.50906,5.0437735,6.9561795,1.483608,0.170872,-0.02934259,0.5738248,0.676214,0.2204141,83.61321,2.7901265,38.592,4.24142,2.902194,0.4197401,-0.6879121,195.0194,461.49045,147.4108,249.1916,318.5619,2.69043,39.8047,-0.1144333115,65.137085,3.20253,-0.88149205
