DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
2,5.75,-25.5311,-31.4015,0.305901,-3.54073,0.12552,0.0566228,386.419,5.36423,-2.451535,87.6859,-2.7176,85.9942,0.388382,0,-0.0877788,1.52,3.5415,6.4775,7.985,8.935,10.03
2,6.25,-24.2012,-31.7024,-0.1187005,-2.98289,0.162749,0.0646697,385.252,5.37633,-2.582715,87.73715,-2.9135,85.4537,0.392473,0,-0.09336725,1.4425,3.42125,6.39575,7.89,8.945,10.03
2,6.75,-22.706,-31.3879,0.1884225,-2.31293,0.0373375,0.05889305,385.694,5.206915,-2.86286,87.7459,-3.12398,86.7188,0.3829555,0,-0.01498745,1.2705,3.231,6.2825,7.785,8.945,10.03
2,7.25,-11.413,-31.5283,0.01396108,-1.93312,0.135878,0.0563331,386.373,5.24383,-2.90028,87.76515,-2.9819,87.6905,0.387008,33.6602,3.85808,1.13625,3.08175,6.17625,7.7,8.945,10.03
2,7.75,23.8316,-24.5404,4.820755,1.730675,0.1968845,0.0655223,386.56,5.81513,-0.452896,87.7845,-0.81922,82.7533,0.301376,175.413,23.04575,1.1235,2.9215,6.0735,7.6,8.96,10.03
2,8.25,82.4449,-12.7856,15.5815,26.4867,0.101739,0.1124555,384.378,6.23446,2.057405,87.8079,2.04609,72.0293,0.6149885,338.827,46.0636,1.33075,2.92575,5.97,7.49,8.92,10.03
2,8.75,152.7835,-1.74011,22.9186,67.8557,0.110604,0.1549065,383.774,6.57725,5.271275,87.8129,5.473715,61.0471,0.824906,453.4735,64.8531,1.85075,3.0135,5.891,7.4,8.92,10.02
2,9.25,232.487,10.78875,28.675,119.766,0.236056,0.161538,383.539,6.75247,8.1902,87.8019,8.42501,49.9655,0.910355,617.196,81.46345,3.1615,3.2145,5.86875,7.29,8.905,9.965
2,9.75,304.7355,22.97535,31.5051,162.585,0.3732975,0.175064,383.015,6.69404,10.649,87.784,11.0931,44.493,0.93328,882.141,98.4591,4.423,3.6075,5.792,7.195,8.9,10.01
2,10.25,372.068,40.8316,29.77545,197.159,0.5105615,0.189766,382.4835,6.515705,12.2351,87.7517,12.4988,37.25975,1.01399,1121.19,116.337,6.0205,4.2855,5.7615,7.12,8.94,10.01
2,10.75,426.032,62.2825,31.721,229.194,0.608062,0.20722,382,6.345015,13.4499,87.7473,13.7667,34.2481,1.22802,1266.28,122.7235,7.432,5.0425,5.702,7.04,8.87,10
2,11.25,467.019,77.4087,33.5491,253.545,0.7213815,0.220029,381.652,5.86352,14.1474,87.7316,14.7136,31.5615,1.35397,1356.49,132.0585,9.0365,5.698,5.67275,6.9575,8.855,10
2,11.75,478.167,91.7155,33.15325,261.787,0.63033,0.256679,381.5615,5.64388,15.0581,87.6911,15.4716,28.2607,1.6768,1402.87,136.016,10.33175,6.51975,5.72825,6.8815,8.85,10
2,12.25,492.532,101.226,32.2573,276.6055,0.7333605,0.288033,381.112,5.76375,15.8669,87.659,16.4531,25.9937,1.7567,1426.84,137.7715,11.5095,7.2475,5.86025,6.902,8.85,10
2,12.75,497.657,108.121,30.9751,277.9635,0.746985,0.314025,381.2165,5.69227,16.3948,87.6176,16.9204,24.2305,2.12119,1437.83,139.241,12.315,7.927,5.983,6.9255,8.815,9.995
2,13.25,474.776,104.8015,29.1601,269.467,0.669839,0.3183965,381.268,5.450685,16.76875,87.5623,17.33435,24.1148,1.98861,1422.305,134.7915,12.904,8.53775,6.0885,6.9615,8.79,9.995
2,13.75,448.779,83.02045,27.59985,255.642,0.677153,0.340233,381.1025,5.189135,16.74945,87.5324,17.5078,23.8796,2.204855,1360.04,122.7835,13.00525,9.14825,6.2455,7.055,8.79,9.995
2,14.25,416.5245,63.51165,27.1181,239.54,0.685079,0.36134,381.022,5.22516,16.94735,87.49475,17.527,23.33465,2.292945,1268.695,124.872,12.875,9.495,6.521,7.195,8.765,9.995
2,14.75,364.703,50.9909,22.978,216.83,0.6216105,0.362884,380.932,5.10052,17.1967,87.4739,17.91585,22.8897,2.445055,1140.245,111.308,12.48925,9.74925,6.701,7.335,8.755,10
2,15.25,294.056,42.89955,18.7173,172.703,0.6365235,0.361963,381.01,5.0868,17.3657,87.4706,17.93945,21.8692,2.585225,977.3045,100.31315,12.2175,9.71825,6.90725,7.475,8.73,9.995
2,15.75,231.9815,31.8714,19.8831,142.1485,0.6318245,0.360401,381.086,4.82917,17.14545,87.4701,17.71625,21.25035,2.507865,813.9765,91.9828,12.07625,9.835,7.1045,7.655,8.73,10
2,16.25,156.325,19.83455,14.5606,89.33175,0.592455,0.3473615,380.996,4.80572,16.9188,87.46485,17.63255,21.12475,2.496075,615.1945,74.55555,11.86,9.88,7.232,7.83,8.735,10
2,16.75,81.8532,3.596065,10.2015,42.2961,0.5504545,0.346096,381.069,4.84751,16.3182,87.4853,16.9959,21.81065,2.525175,429.5305,53.1677,11.5325,9.7925,7.37575,8.015,8.695,10
2,17.25,16.1674,-5.9761,6.85767,-1.024673,0.51212,0.331405,381.144,4.98465,15.7148,87.50975,16.35925,22.73445,2.328985,233.034,29.26475,11.1325,9.7525,7.497,8.15,8.71,10
2,17.75,-33.9528,-14.2356,2.74355,-25.3251,0.436085,0.263357,381.4275,5.138835,14.49435,87.532,14.92255,25.2797,2.010185,70.1998,8.087315,10.55,9.6625,7.5985,8.31,8.68,10
2,18.25,-55.2395,-23.7464,0.19159,-28.3175,0.284688,0.1801895,381.664,5.62964,13.09805,87.5526,13.2109,30.002,1.51517,6.244325,0.5091725,9.9525,9.5325,7.69925,8.405,8.695,10
2,18.75,-52.2676,-30.0089,0.047482,-21.3727,0.2941195,0.1190485,381.777,5.80417,11.1336,87.57715,11.2657,34.82095,1.08498,0,-0.0624978,9.2975,9.2275,7.7555,8.515,8.705,10.045
2,19.25,-48.4445,-36.5215,0.410461,-14.8889,0.2032095,0.0959142,382.251,5.818445,9.940575,87.60105,9.83881,40.29195,0.8547865,0,-0.0662041,8.4575,8.811,7.8135,8.625,8.71,10.05
2,19.75,-46.12815,-38.5778,0.271539,-12.78505,0.2148705,0.0899407,382.732,5.69041,8.69698,87.62835,8.649135,45.2436,0.728453,0,-0.0770432,7.8005,8.45,7.87025,8.66,8.715,10.1
2,20.25,-45.72405,-39.76075,0.0699761,-12.81025,0.2747815,0.0877471,383.95,5.81546,7.523235,87.657,7.25796,47.33825,0.6198985,0,-0.08068115,7.2135,8.13825,7.945,8.71,8.73,10.1
2,20.75,-43.78825,-39.5324,0.0716759,-9.564145,0.235116,0.0796159,384.506,5.94712,6.11057,87.67225,6.185015,51.2648,0.550715,0,-0.08244875,6.481,7.626,7.946,8.775,8.74,10.105
2,21.25,-41.96105,-39.92265,0.2927525,-7.36498,0.181146,0.0718114,384.932,6.12354,5.28698,87.69815,5.281175,53.7907,0.530973,0,-0.08776915,6.02825,7.2305,7.92375,8.8,8.76,10.105
2,21.75,-40.01685,-39.45545,0.136505,-6.75767,0.271866,0.07406845,385.814,6.18401,4.7448,87.7174,4.60252,59.31325,0.509766,0,-0.08607805,5.58225,6.8815,7.8935,8.85,8.785,10.11
2,22.25,-39.79935,-38.67345,0.283735,-5.50098,0.2290315,0.0693218,386.1275,6.147465,3.72177,87.7302,3.57712,62.8647,0.499435,0,-0.08779165,5.19825,6.64,7.8045,8.905,8.795,10.11
2,22.75,-38.75405,-37.59065,0.6051535,-4.957035,0.2781585,0.0723594,386.0685,6.06146,3.0099,87.7506,2.877665,66.7318,0.454515,0,-0.09340505,4.88875,6.4375,7.783,8.885,8.8,10.11
2,23.25,-37.8742,-36.71695,-0.08392415,-4.29941,0.126006,0.0670043,386.2845,5.99124,2.21687,87.7399,2.121985,69.6292,0.406332,0,-0.0932626,4.55825,6.176,7.683,8.865,8.875,10.105
2,23.75,-36.298,-34.98035,-0.2330455,-3.14873,0.200786,0.0682428,386.137,5.741955,1.5809,87.72745,1.703805,71.9897,0.397662,0,-0.09366485,4.229,5.9245,7.60525,8.895,8.855,10.025
