DOY2,HR2,FC_1_1_1,FC_1_1_2,CO2_1_1_1,CO2_1_1_2,H_1_1_1,LE_1_1_1,LE_1_1_2,H2O_1_1_1,H2O_1_1_2,H2O_1_2_1,NEE_1_1_1,NEE_1_1_2,FCH4_1_1_1,CH4_1_1_1,RH_1_1_1,RH_1_1_2,RH_1_2_1,VPD_1_1_1,VPD_1_1_3,VPD_1_1_2,VPD_1_2_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,WS_2_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_2_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,LW_OUT_2_1_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,G_1_1_1,PPFD_DIF_1_1_1,TA_1_1_2,TA_1_1_3,TA_1_1_4,TA_1_1_5,TA_1_2_1,TA_1_2_2,TA_1_2_3,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_6_1_1,TS_6_3_1,TS_6_4_1,TS_6_5_1
1,5.25,-0.679192594525,-0.9575685,367.506425,392.119345,-84.8827045,-5.83073965,-2.15425875,0.69322758915,0.4273401875,0.7167722,-0.5721132301,-1.270687,-2.94298594155,1909.347611525,50.1436184035,22.94584,55.819,0,0.083398706,0.19889908,0.10282006,-24.76946,-1.10522,0.05653713675,0.5487796775,0.054925,98.3,-23.808,-88.849329,0,-2.46575,-9.42647035,-7.58546305,153.30605,220.6564125,-97.5,-4.522875,-2.600625,144.9625,217.75,-1.1185,-0.43925,0.5005,1.4985,1.8285,-1.4,-0.6,0.152825,1.891075,2.9,-1.061,0.422725,-21.671,-21.64375,-21.641,-21.73925,-20.03067775,-19.83805875,-19.40164875,0.3638,1.7409,2.733175,3.758525,0.645,1.826375,3.006625,3.842375,-0.453825,1.43635,3.3178,4.293225
1,5.75,-0.50061725,-0.57387108,367.837265,392.398635,-81.5061985,-6.9625302342,-5.650381025,0.683763696225,0.3971515025,0.720285025,-1.1688512,-0.61434238,-2.99432903045,1912.363764,50.350166,22.9523505,55.183,0,0.0512798137,0.2172508,0.1036843875,-24.68871,-1.1624201,0.05962157265,0.45563298,0.081525,98.3,-23.839,-90.04533175,0,-2.442875,-9.40052935,-7.0960503,152.9266225,216.514555,-98.175,-4.43575,-2.436375,145.1875,215.8375,-1.1155,-0.4495,0.4905,1.49,1.81,-1.40825,-0.6,0.1485,1.88425,2.9,-1.2578,0.417,-21.9085,-21.88575,-21.87575,-21.99025,-20.58252025,-20.565784,-19.92072875,0.36045,1.740525,2.738,3.763675,0.6422,1.833275,3.00045,3.8415,-0.45065,1.44295,3.3187,4.29975
1,6.25,-0.54902042,-0.430358965,367.5764,391.8023625,-78.7858955,-5.2133525,-8.2101875,0.6961432874,0.59071875,0.66953475,-1.0883758372,-1.0125733,-3.4448328452,1912.001605975,50.91487049,25.31309,53.9995,0,0.0509784127,0.16718898,0.10786825,-25.2487675,-1.1438665,0.05639747515,0.487586625,0.029175,98.3,-24.09,-90.110873,0,-2.44215,-9.36347155,-7.495776525,152.184425,218.01944,-97.5625,-4.66175,-2.606,145.6375,215.725,-1.1,-0.43975,0.5005,1.48925,1.82925,-1.4559,-0.6,0.15425,1.896325,2.9,-1.238,0.418,-21.3945,-21.38175,-21.37175,-21.5825,-21.08587925,-21.0535345,-20.4300665,0.36435,1.74,2.737975,3.7653,0.6562,1.828925,3.001,3.845025,-0.437875,1.436125,3.316875,4.290575
1,6.75,-0.3198528725,-0.5368033,367.49935,392.21792,-74.53967825,-6.7760618,-4.76658425,0.7046024024,0.32047532,0.6631176,-1.057948,-0.7616933975,-2.2281885,1910.3582899,49.3820406985,25.010983,54.1145,0,0.01017100525,0.190532525,0.10727532,-24.91968,-1.288991799,0.052133826,0.4798856525,0.015625,98.3048,-24.2995,-89.204321,0,-2.452,-9.195327675,-7.5512394,152.00137,216.667505,-97.6,-4.09075,-2.726375,144.0625,215.5375,-1.1155,-0.43,0.51,1.4885,1.83,-1.491925,-0.59825,0.15835,1.88425,2.9,-1.205,0.425,-21.5295,-21.49775,-21.48775,-21.67225,-20.75898975,-20.72424225,-20.28378575,0.36165,1.73945,2.7309,3.7585,0.65525,1.8322,3.00245,3.843575,-0.445475,1.440175,3.3257,4.29395
1,7.25,-0.664197395525,-0.6658565,367.369155,392.638975,-75.59354189625,-7.0166255,-6.00189505,0.69747747435,0.432577895,0.63463685,-1.017856927,-1.23183934,-4.7028564288,1911.400273525,50.3860271095,24.17877,52.6045,0,0.00948752024999998,0.22935181,0.107209075,-24.81208,-1.1931788,0.048313876925,0.51903135745,0.02475,98.4,-24.08825,-80.64052875,1.78575,-2.4865,-4.85046505,-7.05953245,152.0817075,217.5834725,-90.575,-0.54425,-2.24125,142.05,215.6875,-1.142,-0.43975,0.51,1.48,1.8385,-1.498575,-0.603825,0.1415,1.882675,2.9,-1.16335,0.448625,-21.98125,-21.96125,-21.96125,-22.1205,-21.002783,-20.95793625,-20.4463575,0.365725,1.7398,2.74135,3.75785,0.66595,1.83495,3.005075,3.848475,-0.453625,1.44445,3.322425,4.2975
1,7.75,-0.330376165,-0.41577248,367.361585,392.84632,-71.204882,-4.4459482,-6.571795,0.69191544,0.34192708,0.6413494,-0.68570552,-0.5731734225,-3.597432507,1912.1768375,49.680536,24.29265475,52.6965,0,0.0878790803,0.202646335,0.11271584,-24.6101475,-1.216573,0.053871554,0.4371223525,0.064725,98.4,-23.629,-52.9938225,9.873,-2.517,0.7381848125,-5.177220525,152.78169,219.8220375,-59.9975,3.25875,-1.39125,141.725,219.275,-1.15,-0.43,0.51,1.4885,1.847,-1.498575,-0.60035,0.154325,1.885825,2.9,-1.113,4.3088,-22.10675,-22.094,-22.084,-22.18475,-21.27015375,-21.21219425,-20.67300875,0.364275,1.746625,2.735075,3.75705,0.6597,1.8404,3.005525,3.841675,-0.450525,1.439575,3.3159,4.29015
1,8.25,-0.9714879,-0.64085452,367.3880125,391.0891125,-54.9635335,-5.580370275,-3.7541892,0.694057905,0.30199386,0.6729465,-0.78529032,-1.460307425,-2.4549044335,1913.09236965,48.2871493195,24.12518425,55.1185,0,0.03964687975,0.16988002,0.112771075,-24.593185,-1.3070728246,0.0611420955,0.3905849025,0.0572,98.31385,-23.09,-6.14022155,21.319,-2.558,5.19029075,-3.3991552,155.12062,224.2122325,-23.19375,8.215,-0.6295,141.8875,223.55,-1.173625,-0.43975,0.51025,1.47925,1.83775,-1.5,-0.603675,0.152325,1.887925,2.9,-1.26,14.63825,-20.9255,-20.89825,-20.88825,-20.9585,-20.794957,-20.683616,-20.146469,0.3682,1.738625,2.736075,3.7604,0.667425,1.838075,3.002725,3.846125,-0.44895,1.444075,3.32035,4.291925
1,8.75,-0.5633471825,-0.73760795,367.7174025,391.19892,-51.240784106,-6.875639628375,-3.935378675,0.73550366,0.3384014,0.74305475,-1.154919225,-2.012032125,-4.155621884,1912.108873875,44.859650696,28.375925,51.9215,0,0.0236370629,0.21811175,0.15474825,-24.0404825,-1.2329796716,0.0772277675,0.40296271,0.045,98.4,-22.19,12.12817775,35.85925,-2.539125,11.5231905,-2.3884351,156.605715,230.1153625,6.805375,14.825,0.342125,141.9,227,-1.185,-0.4495,0.51,1.47,1.8285,-1.5105,-0.606825,0.14675,1.880575,2.9,-1.365075,26.33025,-19.80775,-19.78775,-19.77775,-19.91425,-19.395639,-19.283013,-18.78021425,0.37095,1.741625,2.735075,3.755975,0.666275,1.84155,3.002725,3.8444,-0.45925,1.4488,3.315725,4.2914
1,9.25,-0.4922374,-0.5405957,367.415495,391.222925,-39.57699,-7.795381,-6.735057,0.757407725,0.4813535,0.799914,-1.198344211675,-1.318303,-4.438965622975,1913.75109425,43.63727377,28.606336,48.50825,0,0.01318772125,0.2475622425,0.18775825,-23.119615,-1.3952694,0.100133114025,0.4347532925,0.028,98.4,-21.288,15.949907,50.0808839805,-2.563875,18.12782025,-0.90650405,158.52092,232.53336,16.565,22.3375,0.840875,143.04,232.1,-1.18125,-0.44975,0.51025,1.47925,1.82,-1.501575,-0.61035,0.14835,1.893175,2.9,-1.31635,39.026,-19.1295,-19.1095,-19.0995,-19.243,-17.79106675,-17.6709525,-17.25951775,0.3647,1.745525,2.7407,3.75405,0.664125,1.845,3.000725,3.84295,-0.478175,1.4467,3.323975,4.29085
1,9.75,-0.5871569152,-0.450418375,367.307575,392.03258,-32.1560655,-9.40514625,-18.367772,0.8469873675,0.50730636,0.8247268,-1.34732645,-1.6920769,-3.247427813175,1911.6418191,40.821483417,28.6112095,45.304,0,0.009608264625,0.24797262,0.2211158,-22.141795,-1.38962321725,0.1175055125,0.4761517725,0.067525,98.393875,-20.59,20.910867,51.0625,-2.5055,21.48416925,-0.8892094325,161.343595,235.4226025,19.19475,24.70625,1.3576,146.065,236.395,-1.185,-0.4525,0.505,1.4855,1.8255,-1.487175,-0.60525,0.14675,1.880575,2.9,-1.28975,34.592,-17.81625,-17.8035,-17.79075,-17.84625,-16.3439815,-16.28055925,-15.717815,0.367175,1.74145,2.732075,3.754975,0.66795,1.847625,3.0059,3.83105,-0.493275,1.44835,3.322075,4.291325
