DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,LW_IN,LW_OUT,VPD
1,17.75,0.2917555825,-0.104323,-2.37006,0,-20.10595,-0.118525,74.1651,0.0668,99.4336,0.1918055,-1.49442,0.00574131,-0.171445,0.456927,-7.46266,-6.4778,-8.943395,-6.357945,-4.71705,-8.4604425,423.27785,241.775,247,0.25805
1,18.25,0.24777,0.0456,-2.41686,0,-20.10945,-0.130234,73.86385,0.0702,99.39675,0.2442145,-1.840365,0.004174445,-0.1901775,0.4380095,-7.4808,-6.5483,-8.920465,-6.353805,-4.728845,-8.413445,423.33,239.87,246.36,0.251955
1,18.75,0.257114101,0.029,-1.2560923745,0,-20.395,-0.1414395,73.67205,0.0622,99.4365,0.23849,-1.4714,0.002768105,-0.200402,0.431313,-7.4733,-6.6079,-8.902285,-6.35437,-4.73726,-8.458625,424.47,240.825,250.215,0.247945
1,19.25,0.347690663,-0.0206,-2.893460474,0,-20.49665,-0.1466215,73.82715,0.07125,99.4765,0.272148,-1.50103,0.00211866,-0.19672,0.429814,-7.5944,-6.6108,-8.882865,-6.356435,-4.729915,-8.5531825,424.9154,241.52,249.705,0.24987
1,19.75,0.3112626615,-0.0858,-2.7204,0,-20.921,-0.16356,73.9565,0.0653,99.4447,0.274127,-1.739185,0.00244624,-0.201345,0.425566,-7.4063,-6.6123,-8.98697,-6.36501,-4.714585,-8.63021,426.20605,240.325,251.155,0.243325
1,20.25,0.271695,-0.005185,-2.3603,0,-21.0808,-0.15886,73.6449,0.0661,99.3696,0.311812,-1.4605,0.00231691,-0.22295,0.406872,-7.3821,-6.6179,-8.95336,-6.36478,-4.699615,-8.57715665,426.828,238.34,248.675,0.236035
1,20.75,0.256945934,-0.117498,-2.115495,0,-21.1826,-0.16785,73.7897,0.0618,99.3517,0.33766,-1.64175,0.00203932,-0.21155,0.4295315,-7.5022,-6.61591,-8.99568,-6.35442,-4.68365,-8.300455,426.6878,237.475,249.15,0.221795
1,21.25,0.26765024,0.0186,-2.020971998,0,-21.2003,-0.172167,73.606,0.062,99.3351,0.353429,-1.48472,0.00222671,-0.210321,0.429597,-7.34103,-6.6526,-8.99761,-6.34557,-4.670405,-8.27153,426.8,237.79,248.39,0.231485
1,21.75,0.313711283,-0.06345,-2.18952,0,-21.168,-0.176721,73.9675,0.0689,99.3496,0.31843,-1.34673,0.0014037,-0.224889,0.415067,-7.36601,-6.6519,-9.01434,-6.33852,-4.655755,-8.2127,426.3704,242.07,249.635,0.250505
1,22.25,0.2648915825,0.0355,-1.55793,0,-21.4576,-0.189192,74.0767,0.062,99.33465,0.297141,-1.30295,0.0018809,-0.258489,0.42274,-7.48074,-6.7452,-9.01919,-6.31783,-4.64033,-8.209075,426.74015,238.12,250.14,0.235675
