DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,FC_1_1_1,H_1_1_1,LE_1_1_1,TS_1,RH_1_1_1,CO2_1_1_1,PPFD_IN_1_1_1,H2O_1_1_1,T_SONIC_1_1_1,VPD_1_1_1,TA_1_1_2,PPFD_OUT_2_1_1,PPFD_IN_2_1_1,PPFD_IN_2_3_1,NETRAD_2_1_1,SW_OUT_2_1_1,SW_IN_2_1_1,LW_OUT_2_1_1,LW_IN_2_1_1,TA_2_2_1,RH_2_2_1,TA_2_3_1,RH_2_3_1,TA_2_4_1,WS_2_1_1,CO2_2_1_1,H2O_2_1_1,WS_2_2_1,USTAR_2_1_1,H_2_1_1,LE_2_1_1,FC_2_1_1,T_SONIC_2_1_1,TA_2_1_1,RH_2_1_1,VPD_2_1_1,PPFD_IN_2_2_1,TA_2_1_2
4,22.75,0.56,9.07,2.475,1.2,-14.8,5.3,7,91.375,402.9,0,8.275,11.9,5,9.5,-0.07905,0,0,-9.085,1.405,-0.9,353,320.025,7.8875,98,7.7975,98.75,8.155,3.2625,423.175,8.1725,2.8,0.6128,-10.0935,3.479,1.208,8.8,8.325,96.125,3.958725,0,7.4
4,23.25,0.538875,9,2.395,1.1,-12.495,4.316,6.925,91.075,403.1,0,8.35,11.3,5,9.05,-0.076075,0,0,-9.4725,1.3775,-0.7475,350.45,319.725,7.44,98,7.45,98.8,7.8825,3.1325,423.3,8.22,2.7825,0.59,-11.12,3.116,1.23825,8.175,7.825,96.775,3.675575,0,7.25
4,23.75,0.52,8.6025,2.35,1.13,-12.025,4.75,6.9,93.925,403.475,0,8.45,11,5,8.9,-0.073875,0,0,-10.855,1.4025,-0.7525,348.25,322.4,7.165,98.125,7.0475,98.8,7.54,2.96,423.55,8.3,2.67,0.577,-8.98425,3.076,1.297,8,7.5,96.825,3.6641,0,6.6
5,0.25,0.47,13.0875,2.13,2.2,-9.875,4.45,11.2,100,404.95,0,12.775,17.6,4.098,14.525,-0.088925,0,0,-6.375,1.32,-0.82,382,353,13.49,99.1,13.54,99.6,14.35,2.6625,423.6,12.035,2.455,0.51655,-9.8305,4.642,2.58325,15.275,13.8,98.6,4.602525,-0.1,13.425
5,0.75,0.46,12.8,2.1175,2.2,-10.0375,4.55,11.2,100,405.25,0,12.6,17.3,4,14.3,-0.0894,0,0,-4.84675,1.3225,-0.5675,380.865,353.0275,13.1,99.5,13,99.6,13.95,2.655,424.4,12.175,2.415,0.527,-7.09625,3.534,2.5235,15,13.55,99.3,4.41665,-0.1,12.6
5,1.25,0.47,12.69,2.2275,2.15,-8.2,4.15,11.2,100,405.3,0,12.5,17.05,4,13.8225,-0.0877,0,0,-4.39,1.4,-0.45,379,351.275,12.8,99.2,12.6,99.8,13.8,2.615,424.4,12.1,2.505,0.5243,-6.66025,4.62475,2.5265,14.675,13.41,99.4,4.256225,-0.1,12.525
5,1.75,0.48,12.175,2.195,2.4,-9.925,4.325,11.1,100,405.4,0,12.5,16.65,4,13.8,-0.0809,0,0,-4.325,1.3125,-0.53,378,352.7,12.5,99.5,12.3,99.9,13.4,2.62,424.4,12.12,2.49,0.50805,-8.0795,5.50775,2.68075,14.35,13,99.1,4.080225,-0.1,12.525
5,2.25,0.46,12.4,2.13,2.1983,-9.58,4.775,11.03,100,405.9,0,12.6,16.175,4,13.775,-0.0887,0,0,-5.6,1.3325,-0.58625,377,352.025,12.42,99.65,12.31,99.9,13.2,2.5425,424.8,12.0975,2.51,0.510175,-9.4415,4.86325,2.5435,13.95,12.8,99.625,3.7413,-0.1,12.525
5,2.75,0.46,12.075,2.08,2.0075,-9.565,3.725,11,100,405.9,0,12.6,16.075,3.04925,13.4,-0.08985,0,0,-5.475,1.3,-0.3105,375.73,351,12.1,99.9,12.1,100,13,2.56,425,11.925,2.375,0.4727,-8.54775,3.987,2.709,13.975,13,99.575,3.6176,-0.1,12.25
5,3.25,0.46,11.8975,2.15,1.9475,-8.225,3.55,10.9975,100,406.775,0,12.6,15.9,3.045,13.15,-0.086425,0,0,-4.7,1.39,-0.39,375.1225,352.7,12,99.825,12,100,13,2.6275,425,11.935,2.48,0.503525,-8.22975,4.03075,2.5265,13.8,12.9,99.9,3.494325,-0.1,12.35
5,3.75,0.46,11.9,2.12,1.9,-6.8893,4.45,10.9,100,406.8,0,12.625,16.1,3,12.875,-0.080375,0.0425,0,-4.075,1.3125,-0.4675,375,350.04,12,99.9,12.1,100,12.95,2.65,425.2,11.96,2.45,0.4781,-8.437,4.8265,2.3675,13.5,12.4,100,3.470675,0,12.275
5,4.25,0.42795,11.8,2.055,2.14,-8.1,4.5,10.895,100,406.9,4,12.6,15.75,3,12.9,0.1,4.7,0.6,-3.5,1.7625,0.88,374,351,12,100,11.6,100,12.65,2.7375,425.6,12.04,2.44,0.48545,-10.85,5.442,2.396,13.4,12.4,100,3.39015,2.4,11.95
5,4.75,0.45,11.78,2.0375,1.5025,-7.107375,4.6,10.815,100,407.475,35.75,12.7,15.55,3,12.9975,1.9,41.725,5.1,1.06,5.92,23.3,374,352,11.9,100,11.9,100,12.65,2.73,425.825,11.86,2.455,0.48,-7.429,5.433,1.707,13.2,12.2,100,3.391375,20,11.375
5,5.25,0.45,11.86,2.07,0.6,-0.83382,6.9789,10.8,100,407.325,102.75,12.7,15.675,4,13.0425,7.625,142.65,12.975,15.8,15.55,83.7075,373,351.1425,11.9,100,11.7,100,12.85,2.7575,425.1,11.945,2.36,0.506,-3.442,9.012,1.204,13.4,12.21,100,3.634025,52.7,11.325
5,5.75,0.4625,12.2525,2.065,-0.3,18.64125,16.9,10.8,100,406.6,231,12.7,15.9,4,13.7,14.625,291.65,24.4,61.725,25.6,169.15,377,352,12.3,100,12,100,12.8,2.7875,424.5,12.16,2.525,0.5635,17.905,19.78,0.0809175,13.7,12.9,100,4.024725,104.675,11.675
5,6.25,0.52,12.7,2.075,-1.5,55.8825,29.475,10.8,100,405,425,12.9,16.425,4.734,14.4,22.45,475.7,42,137.55,36.1,270.05,379.9625,352.8425,12.9,100,12.4,100,13.4,2.77,423.7,12.37,2.58,0.6255,68.06,30.475,-1.1625,14,13.2,100,4.0691,140.9,12.6
5,6.75,0.5775,13.1,2.24,-3.0091,106.92,45.9,10.7,100,404.15,610.5,12.7,17.1,5,15.375,29.1,673.275,69.6,228.725,46.3325,368.5,385.6175,351.7,13.8,99.4,13.2,99.9,13.8,2.92,423.2,12.305,2.67,0.6781,117.8,49.5825,-2.09,14.6,13.7,100,4.614425,185.65,13.4
5,7.25,0.62,13.89,2.34,-3.9292,140.26,62.825,10.7,100,403,790,12.825,17.6,6,15.775,34.4,848.75,85,313.175,53.975,463,389,354.1125,14.44,98.5,14.2,99.1,14.8,3.135,422.1,12.655,2.74,0.706825,178.825,62.86,-2.782,15.125,14.3,99.5,4.925,276.7,13.925
5,7.75,0.645,14.57,2.355,-5.22,191.49,78.2,10.7,100,401.825,971.25,13.15,18.5,7,16.475,39.02,1030.5,105.6,390.85,63.175,557,395,354.175,15.3,97.2,15,97.45,15.8,3.22,421.7,12.6325,2.84,0.726,206.25,76.86,-3.241,15.85,15,98.5,5.70845,288.175,14.3
5,8.25,0.69,15.1,2.4275,-6.54,225.31,91,10.7,97.8,401.2,1153,13,19,7.35825,17.375,45.85,1196.25,229.625,471.6,72.65,651.6275,399.25,356,16,96.45,15.9,95.8,16.1,3.2875,420.4,12.76,3.005,0.791325,251.475,87.14,-3.889,17.35,15.4,96.9,6.38955,482.1025,14.95
5,8.75,0.72,16.17525,2.5425,-7.1,255.2,106.525,10.7,96.8,400,1311,12.89,19.75,8.45275,18.19,49.3,1344.25,433.8,541.675,80.225,724.85,403.25,358.25,16.6,94.7,16.7,95.1,17,3.36,420,12.76,2.96,0.7945,304.1,109.95,-4.41825,17.3,16.3,95.15,7.399,661.175,15.95
5,9.25,0.73,16.7,2.54,-7.85,289.3,121.9,10.7,92.75,399.4,1439,13,20.75,9,19.0025,49.8,1465.25,295.2,602.5,82.015,792.5,406.25,359.25,17.6,91.3,17.6,92.9,17.8,3.3775,418.7,12.595,2.985,0.82675,316.2,122,-4.381,18.525,16.9,93.525,8.3,524.8,17.15
5,9.75,0.74,17.555,2.6275,-8,305.71,135.2,10.7925,90.25,398.8,1556,13.1,21.7,10,19.475,52,1591.25,177.7475,661.1,87.075,853.35,410,361,18.1,87.3,18.06,89.5,18.65,3.55,418.125,12.6325,3.22,0.8609,341.9,134.5,-5.208,18.9,17.5,89.2,9.1075,601.3,18.35
5,10.25,0.77,18,2.7025,-8.1,316.83,143.7,10.8,90.6,398.25,1645,13.1,22.3,11,20.1,52.83,1664.25,136.4,698.525,90.1,903.25,415.1,361.925,18.625,87.375,18.375,88.5,19.6,3.595,417.5,13.11,3.26,0.89925,345.95,141.9,-5.208,18.875,17.95,87.775,9.9325,708.475,19.55
5,10.75,0.79,18.7,2.68,-8.8,332.2,155.3,10.9,89.55,397.5,1679,12.95,22.975,12,20.7775,53.9,1753.5,199.225,733.85,93.9,938.125,420,362.25,19.475,86.6,19.35,86.6,20.65,3.6325,417.175,12.945,3.35,0.91285,382.75,157.45,-5.8565,19.325,18.675,85.875,10.65275,1390.225,20.075
5,11.25,0.7681,19.2,2.5825,-8.6,326.4,148.525,11,85.85,397.45,1735,12.725,22.65,12.7,21.175,51.2,1742.5,228.1,742.8,93.05,941,423.25,364.15,19.975,84.4,19.85,85.4,20.85,3.6225,416.75,13.4,3.32,0.9203,339.6,139.6,-5.11075,19.6,19.125,85.325,11.711,1574.06,19.9
5,11.75,0.81,19.775,2.815,-8.4559,338.4,153.1,11.1,81.975,396.975,1737,12.6,23.35,13,21.8,50.99,1769.5,352.9,751.7,94.5,961,428,365,20.6,83.8,20.675,84.9,21.3,3.8,416.55,13.815,3.49,0.925775,367.05,138.775,-5.494,19.975,19.825,83.525,12.32575,1617,20.225
5,12.25,0.816375,20.275,2.76,-8.4,330.6,152.075,11.2,79.85,396.375,1737,12.425,23.55,14,22.675,51.2,1769.25,178,741.7,93.225,945.25,432.25,365,21.3,81.1,21.225,82.1,21.825,3.91,416.275,13.8025,3.52,0.941375,374.3,166.5,-5.52125,20.9,20.5,83,13.072,1606.875,20.8
5,12.75,0.8307,20.605,2.91,-7.7,322.015,148.7,11.2,77.975,395.75,1683,12.64,23.8,15,23.0725,50.25,1713,167.5,721.9,92.125,930.8,433.7,365.46,21.925,80.5,21.675,81.95,22.05,3.9125,415.85,13.695,3.6425,0.962325,375.25,153.7,-4.926,20.675,20.95,81.3,13.36675,1577.85,21.225
5,13.25,0.79,20.83,2.8325,-7.3925,302.225,145,11.3,77.35,395.525,1606,12.6,24.2,16,22.93,48.5,1664.75,281.3,690.9,88.7175,889,435,365.25,22.15,77,21.975,79.5,22.3,3.8325,415.75,13.89,3.49,0.97475,344.6,155.725,-4.772,21.3,21.4,76.9,14.0245,1496.02,21.55
5,13.75,0.80155,21.08,2.8125,-6.767,280.3,143.65,11.4,81.225,395.825,1523,12.6,24.3,16,23.3875,45.575,1572.5,355.4,641.8,83.4525,841,435.25,366.3175,22.425,73.275,22.175,76.525,22.5,3.8775,415.5,13.61,3.4525,0.926525,317.75,135.8,-4.7805,22.625,21.7,72.4,14.672,1423.6,22.3
5,14.25,0.79,21.1,2.7425,-6.5,259.71,141.25,11.5,84,395.05,1425,12.68,24.6,16.105,23.3075,42,1441.82375,138,574.15,76.0475,767,435,369.05,22.4675,72.525,22.36,73.7,22.8,3.89,415.4,13.2525,3.475,0.9378,291.5,125.55,-4.1575,22.9,21.85,71.8,14.61825,1287,22.5
5,14.75,0.79,21.2,2.765,-6.1935,222.78,135.075,11.545,83.3,394.9,1287,12.495,24.6,16.13,23.45,38.2,1292,128.9,510.325,69.3,683,435,367,22.575,72.9,22.405,74.9,22.65,3.8725,415.5,13.035,3.42,0.9328,260.75,123.4,-3.7605,23.15,21.935,74.7,14.713,1124.65,22.075
5,15.25,0.77,21.1,2.69,-5,199.74,122,11.5375,83.9,394.8,1114,12.6,24.5,16,23.1775,35.825,1166.5,97.1,443.8,63.85,622,433.49,367.465,22.4,79.4,22.275,79.7,22.8,3.965,415.05,12.975,3.5,0.919,234.3,118.3,-3.514,22.7,21.875,79.6379675,14.892,572.05,22.125
5,15.75,0.76,21.2,2.74,-4.8,150.625,103.925,11.6,84.35,395.1,768,12.9,24.6,16,23.05,30.425,1026.5,80.95,373.425,57.55,547.1975,430.5,363.5,21.975,81.5,22.15,83,22.35,3.62,415.6,13.105,3.3175,0.89905,192,104.25,-3.0285,22.5,21.675,81.7,14.709,312.9,22.1
5,16.25,0.7625,20.9,2.69,-3.553925,119,95.05,11.6,84.2,395.1,502.9,13,24.6,15.07,22.7,26.025,837.25,63.75,292.1,46.15,444.75,430,365.125,22.05,81.525,21.875,83.1,21.9,3.8725,415.75,13.195,3.48,0.885675,137.2,83.05,-2.249,22.4,21.75,81.225,14.579,272.85,22.35
5,16.75,0.73,20.7,2.66,-2.78,77.3,83.4,11.7,86.375,395.2,398,12.8,24.4,15,22.19,21.4,654.35,56.3,200.925,38.15,349.25,427.185,363.595,21.65,84.175,21.4125,85.85,21.45,3.68,415.5,13.1,3.41,0.8521,92.85,76.97,-1.4645,22.4,21.575,83.4,14.45425,217.35,21.65
5,17.25,0.71,20.2,2.71,-1.73,43.73,63.4,11.7,86.15,395.6,270,12.835,24.075,14,21.4975,15.625,465.875,40.2,122.325,28.3175,255.85,424,362,21.0875,85.85,20.875,88.075,20.9,3.605,416,12.9,3.14,0.81315,49.69,63.7125,-0.4534,22.25,21.1,85.8,14.27625,136.9,21.25
5,17.75,0.66,19.5,2.52,-0.76,7.6,47.525,11.785,91.675,396.35,192,12.975,23.55,13,20.985,9.9625,262.625,24.55,39.4225,17.325,153.25,419.25,362.25,20.4,87.8,20.175,87.9,20.325,3.39,415.825,13.105,3.0425,0.73715,12.265,52.39,0.4213,21.725,20.675,86.9,13.36,97.1,20.7
5,18.25,0.63,18.9,2.485,0.3,-8.6625,33.25,11.7,94.2,396.8,108,13,23.05,12,20.2,4.945,114.025,13.8,4.275,9.6725,62.825,413.05,361,19.3925,89.5,19.2875,90.1,19.75,3.31,416.35,13.335,2.96,0.73825,-4.9505,33.62,1.27275,20.875,19.65,89.3,12.29,54.7,20.025
5,18.75,0.61,17.9,2.48,1.4,-10.225,21.75,11.8,96.4,397.85,42,13.2,22.225,11,19.3,1.31,39.3375,5.25,-8.308,3.5,18,407,362.25,18.4,91.65,18.2,92.8,18.75,2.9175,417.15,13.495,2.76,0.6694,-12.32,21.065,2.312,20.15,18.7975,91.9,11.29525,21,19
